context: I finally found... response:	the peace I lost so long ago.
context: Sorry, the only reaper here...\is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What? response:	You killed our father!
context: is you!\It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What?\You killed our father! response:	Our father? Who?
context: It's part of their Machine Angel!\Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What?\You killed our father!\Our father? Who? response:	Izumo, the commander of Altair!
context: Why do I hear the pilot's voice?\Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What?\You killed our father!\Our father? Who?\Izumo, the commander of Altair! response:	It's your fault!
context: Why do you think?\Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What?\You killed our father!\Our father? Who?\Izumo, the commander of Altair!\It's your fault! response:	You took everything from me!
context: Because I'm you, and you're me!\And that's exactly why I'm going to make you pay for this!\What?\You killed our father!\Our father? Who?\Izumo, the commander of Altair!\It's your fault!\You took everything from me! response:	Shut up, Amata, you worthless wimp.
context: And that's exactly why I'm going to make you pay for this!\What?\You killed our father!\Our father? Who?\Izumo, the commander of Altair!\It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp. response:	You think you're so cool because you can Union by yourself?
context: What?\You killed our father!\Our father? Who?\Izumo, the commander of Altair!\It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself? response:	Well, I can do anything you can do!
context: You killed our father!\Our father? Who?\Izumo, the commander of Altair!\It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do! response:	You can't escape from me!
context: Our father? Who?\Izumo, the commander of Altair!\It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me! response:	What?
context: Izumo, the commander of Altair!\It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me!\What? response:	Now we're even.
context: It's your fault!\You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me!\What?\Now we're even. response:	Two pieces of a divided soul.
context: You took everything from me!\Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me!\What?\Now we're even.\Two pieces of a divided soul. response:	Two pieces of the Machine Angel coming together.
context: Shut up, Amata, you worthless wimp.\You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me!\What?\Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together. response:	The red dream is about to meet the blue reality.
context: You think you're so cool because you can Union by yourself?\Well, I can do anything you can do!\You can't escape from me!\What?\Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality. response:	Chairman Crea, what is happening?
context: Well, I can do anything you can do!\You can't escape from me!\What?\Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening? response:	A red planet!
context: You can't escape from me!\What?\Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet! response:	Is that...?
context: What?\Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet!\Is that...? response:	Altair.
context: Now we're even.\Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet!\Is that...?\Altair. response:	We're detecting Gepard!
context: Two pieces of a divided soul.\Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet!\Is that...?\Altair.\We're detecting Gepard! response:	It's engaged with an Abductor!
context: Two pieces of the Machine Angel coming together.\The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet!\Is that...?\Altair.\We're detecting Gepard!\It's engaged with an Abductor! response:	What?
context: The red dream is about to meet the blue reality.\Chairman Crea, what is happening?\A red planet!\Is that...?\Altair.\We're detecting Gepard!\It's engaged with an Abductor!\What? response:	Mix!
context: Chairman Crea, what is happening?\A red planet!\Is that...?\Altair.\We're detecting Gepard!\It's engaged with an Abductor!\What?\Mix! response:	Let me in, Mix!
context: A red planet!\Is that...?\Altair.\We're detecting Gepard!\It's engaged with an Abductor!\What?\Mix!\Let me in, Mix! response:	Spatial Augmentation!
context: Is that...?\Altair.\We're detecting Gepard!\It's engaged with an Abductor!\What?\Mix!\Let me in, Mix!\Spatial Augmentation! response:	Andy, you're not going to get through to him!
context: Altair.\We're detecting Gepard!\It's engaged with an Abductor!\What?\Mix!\Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him! response:	And if you keep using up your power at this rate, you're dead meat!
context: We're detecting Gepard!\It's engaged with an Abductor!\What?\Mix!\Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat! response:	I can't give up and leave Mix!
context: It's engaged with an Abductor!\What?\Mix!\Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix! response:	I'm staying right here, Mix!
context: What?\Mix!\Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix! response:	Until I have you in my arms!
context: Mix!\Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms! response:	Mix!
context: Let me in, Mix!\Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms!\Mix! response:	Mix!
context: Spatial Augmentation!\Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms!\Mix!\Mix! response:	Why can't you leave me alone?
context: Andy, you're not going to get through to him!\And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms!\Mix!\Mix!\Why can't you leave me alone? response:	Let me fill your hole.
context: And if you keep using up your power at this rate, you're dead meat!\I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms!\Mix!\Mix!\Why can't you leave me alone?\Let me fill your hole. response:	I hate holes!
context: I can't give up and leave Mix!\I'm staying right here, Mix!\Until I have you in my arms!\Mix!\Mix!\Why can't you leave me alone?\Let me fill your hole.\I hate holes! response:	And I absolutely hate you!
context: I'm staying right here, Mix!\Until I have you in my arms!\Mix!\Mix!\Why can't you leave me alone?\Let me fill your hole.\I hate holes!\And I absolutely hate you! response:	Mix!
context: Until I have you in my arms!\Mix!\Mix!\Why can't you leave me alone?\Let me fill your hole.\I hate holes!\And I absolutely hate you!\Mix! response:	Andy!
context: Mix!\Mix!\Why can't you leave me alone?\Let me fill your hole.\I hate holes!\And I absolutely hate you!\Mix!\Andy! response:	Get back, Andy!
context: Mix!\Why can't you leave me alone?\Let me fill your hole.\I hate holes!\And I absolutely hate you!\Mix!\Andy!\Get back, Andy! response:	You want to die here?
context: Why can't you leave me alone?\Let me fill your hole.\I hate holes!\And I absolutely hate you!\Mix!\Andy!\Get back, Andy!\You want to die here? response:	I'm not leaving her now!
context: Let me fill your hole.\I hate holes!\And I absolutely hate you!\Mix!\Andy!\Get back, Andy!\You want to die here?\I'm not leaving her now! response:	Mix! I'm going to fill that gaping hole in your heart!
context: I hate holes!\And I absolutely hate you!\Mix!\Andy!\Get back, Andy!\You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart! response:	The hole... in my heart?
context: And I absolutely hate you!\Mix!\Andy!\Get back, Andy!\You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart? response:	Mix!
context: Mix!\Andy!\Get back, Andy!\You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix! response:	You're finally in my arms.
context: Andy!\Get back, Andy!\You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix!\You're finally in my arms. response:	My Mix.
context: Get back, Andy!\You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix!\You're finally in my arms.\My Mix. response:	The holes in my memories are filling up!
context: You want to die here?\I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix!\You're finally in my arms.\My Mix.\The holes in my memories are filling up! response:	The memories of when I was a girl...
context: I'm not leaving her now!\Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix!\You're finally in my arms.\My Mix.\The holes in my memories are filling up!\The memories of when I was a girl... response:	And he's all over them...
context: Mix! I'm going to fill that gaping hole in your heart!\The hole... in my heart?\Mix!\You're finally in my arms.\My Mix.\The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them... response:	Andy!
context: The hole... in my heart?\Mix!\You're finally in my arms.\My Mix.\The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them...\Andy! response:	Andy!
context: Mix!\You're finally in my arms.\My Mix.\The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them...\Andy!\Andy! response:	Your memories are back?
context: You're finally in my arms.\My Mix.\The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them...\Andy!\Andy!\Your memories are back? response:	Andy.. Andy...
context: My Mix.\The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them...\Andy!\Andy!\Your memories are back?\Andy.. Andy... response:	Mix! Thank -
context: The holes in my memories are filling up!\The memories of when I was a girl...\And he's all over them...\Andy!\Andy!\Your memories are back?\Andy.. Andy...\Mix! Thank - response:	No!
context: The memories of when I was a girl...\And he's all over them...\Andy!\Andy!\Your memories are back?\Andy.. Andy...\Mix! Thank -\No! response:	Don't look at me!
context: And he's all over them...\Andy!\Andy!\Your memories are back?\Andy.. Andy...\Mix! Thank -\No!\Don't look at me! response:	I can't face you looking like this!
context: Andy!\Andy!\Your memories are back?\Andy.. Andy...\Mix! Thank -\No!\Don't look at me!\I can't face you looking like this! response:	Mix...
context: Andy!\Your memories are back?\Andy.. Andy...\Mix! Thank -\No!\Don't look at me!\I can't face you looking like this!\Mix... response:	I'm not a girl anymore!
context: Your memories are back?\Andy.. Andy...\Mix! Thank -\No!\Don't look at me!\I can't face you looking like this!\Mix...\I'm not a girl anymore! response:	Doesn't bother me.
context: Andy.. Andy...\Mix! Thank -\No!\Don't look at me!\I can't face you looking like this!\Mix...\I'm not a girl anymore!\Doesn't bother me. response:	I don't care if you're a boy or a girl.
context: Mix! Thank -\No!\Don't look at me!\I can't face you looking like this!\Mix...\I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl. response:	The one I love is Mix.
context: No!\Don't look at me!\I can't face you looking like this!\Mix...\I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix. response:	Andy!
context: Don't look at me!\I can't face you looking like this!\Mix...\I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix.\Andy! response:	Can we Union?
context: I can't face you looking like this!\Mix...\I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix.\Andy!\Can we Union? response:	Yeah.
context: Mix...\I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix.\Andy!\Can we Union?\Yeah. response:	Are you sure?
context: I'm not a girl anymore!\Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix.\Andy!\Can we Union?\Yeah.\Are you sure? response:	I am.
context: Doesn't bother me.\I don't care if you're a boy or a girl.\The one I love is Mix.\Andy!\Can we Union?\Yeah.\Are you sure?\I am. response:	You guys are gonna Union right here?
context: I don't care if you're a boy or a girl.\The one I love is Mix.\Andy!\Can we Union?\Yeah.\Are you sure?\I am.\You guys are gonna Union right here? response:	Did you forget what we're here for?
context: The one I love is Mix.\Andy!\Can we Union?\Yeah.\Are you sure?\I am.\You guys are gonna Union right here?\Did you forget what we're here for? response:	I've been saving my purity all this time!
context: Andy!\Can we Union?\Yeah.\Are you sure?\I am.\You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time! response:	But now it's time to let that chastity burst open!
context: Can we Union?\Yeah.\Are you sure?\I am.\You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open! response:	Long-Awaited Union!
context: Yeah.\Are you sure?\I am.\You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union! response:	Go!
context: Are you sure?\I am.\You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union!\Go! response:	Aquarion!
context: I am.\You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union!\Go!\Aquarion! response:	Um...
context: You guys are gonna Union right here?\Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union!\Go!\Aquarion!\Um... response:	I'm sorry to butt in.
context: Did you forget what we're here for?\I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union!\Go!\Aquarion!\Um...\I'm sorry to butt in. response:	You too, Mix.
context: I've been saving my purity all this time!\But now it's time to let that chastity burst open!\Long-Awaited Union!\Go!\Aquarion!\Um...\I'm sorry to butt in.\You too, Mix. response:	Kagura! You had Mom and Dad with you this whole time, right here on Altair!
context: But now it's time to let that chastity burst open!\Long-Awaited Union!\Go!\Aquarion!\Um...\I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair! response:	Everything I didn't have, you had within your reach!
context: Long-Awaited Union!\Go!\Aquarion!\Um...\I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach! response:	And what did you do?
context: Go!\Aquarion!\Um...\I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do? response:	I was never raised by a father or a mother!
context: Aquarion!\Um...\I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother! response:	What?
context: Um...\I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother!\What? response:	I was raised by that evil bastard Mikage.
context: I'm sorry to butt in.\You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage. response:	Living with him was horrible.
context: You too, Mix.\Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage.\Living with him was horrible. response:	Being with Mikage was even lonelier than being by myself.
context: Kagura! You had Mom and Dad with you this whole time, right here on Altair!\Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself. response:	I couldn't trust anyone.
context: Everything I didn't have, you had within your reach!\And what did you do?\I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone. response:	But the instant I smelled Silvie, my smelly wench, I knew.
context: And what did you do?\I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew. response:	That in all the world, only she would accept me.
context: I was never raised by a father or a mother!\What?\I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me. response:	That we were destined for each other!
context: What?\I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other! response:	I'm going to kill Silvie.
context: I was raised by that evil bastard Mikage.\Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie. response:	We're going to kill each other in love.
context: Living with him was horrible.\Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love. response:	I'll give up my worthless parents for that!
context: Being with Mikage was even lonelier than being by myself.\I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that! response:	Kagura!
context: I couldn't trust anyone.\But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura! response:	You're the weak part of me.
context: But the instant I smelled Silvie, my smelly wench, I knew.\That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura!\You're the weak part of me. response:	You're weak. Even your love is weak.
context: That in all the world, only she would accept me.\That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura!\You're the weak part of me.\You're weak. Even your love is weak. response:	You're the reason we were separated from Silvie 12,000 years ago!
context: That we were destined for each other!\I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura!\You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago! response:	No!
context: I'm going to kill Silvie.\We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura!\You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No! response:	And even in this life, you let our mother slip away too!
context: We're going to kill each other in love.\I'll give up my worthless parents for that!\Kagura!\You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too! response:	No, no!
context: I'll give up my worthless parents for that!\Kagura!\You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too!\No, no! response:	And now you're going to lose Silvie!
context: Kagura!\You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie! response:	No! No!
context: You're the weak part of me.\You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie!\No! No! response:	You're wrong!
context: You're weak. Even your love is weak.\You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie!\No! No!\You're wrong! response:	Altair is still approaching! It's actually accelerating!
context: You're the reason we were separated from Silvie 12,000 years ago!\No!\And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie!\No! No!\You're wrong!\Altair is still approaching! It's actually accelerating! response:	They're going to collide. It's like the worlds are following Amata's fight.
context: No!\And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie!\No! No!\You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight. response:	Chairman?
context: And even in this life, you let our mother slip away too!\No, no!\And now you're going to lose Silvie!\No! No!\You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman? response:	This is the next page being written in the Book of Twin Stars.
context: No, no!\And now you're going to lose Silvie!\No! No!\You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars. response:	As two fragments of one soul call to one another,
context: And now you're going to lose Silvie!\No! No!\You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another, response:	the two worlds are drawn together until they collide.
context: No! No!\You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide. response:	The old will die, and a new world will be born in their place.
context: You're wrong!\Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place. response:	In this new world, Mikage will be a god.
context: Altair is still approaching! It's actually accelerating!\They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god. response:	Is that the ending you wanted?
context: They're going to collide. It's like the worlds are following Amata's fight.\Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted? response:	You've been watching this world silently,
context: Chairman?\This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently, response:	and I've been watching you the same way.
context: This is the next page being written in the Book of Twin Stars.\As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way. response:	You've been Immovable through the worst of times.
context: As two fragments of one soul call to one another,\the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times. response:	But what about this?
context: the two worlds are drawn together until they collide.\The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this? response:	Everything that lives will be sacrificed to the new world.
context: The old will die, and a new world will be born in their place.\In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world. response:	Even the students of our school.
context: In this new world, Mikage will be a god.\Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school. response:	All because it was foretold in the Book of Twin Stars.
context: Is that the ending you wanted?\You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars. response:	Are you going to silently allow all those deaths?
