context: How'd your date go? response:	Uh...
context: Yoshida-kun?\Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that! response:	The Distance Between Us
context: Yo, class rep.\Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us response:	So, I've been working hard as the class rep.
context: Whatcha up to?\I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep. response:	I've been doing what I can, like you said.
context: I have a meeting for the cultural festival.\What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said. response:	Now I have more little tasks to do.
context: What about you, Yoshida-kun?\Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do. response:	Why did I get assigned to the cultural festival committee?
context: Sunbathing Nagoya.\I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee? response:	Oh, I learned that from someone else.
context: I don't think I've seen you since you asked about my balls.\Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else. response:	Still, I feel better now.
context: Don't mention that!\The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now. response:	Really? That's nice.
context: The Distance Between Us\So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice. response:	Uh-huh.
context: So, I've been working hard as the class rep.\I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice.\Uh-huh. response:	Why is that guy hitting on a girl at a time like this?
context: I've been doing what I can, like you said.\Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this? response:	Oh, class rep.
context: Now I have more little tasks to do.\Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep. response:	Shizuku shot me down.
context: Why did I get assigned to the cultural festival committee?\Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down. response:	Huh? What?
context: Oh, I learned that from someone else.\Still, I feel better now.\Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down.\Huh? What? response:	You told her how you feel?
context: Still, I feel better now.\Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down.\Huh? What?\You told her how you feel? response:	No, I didn't.
context: Really? That's nice.\Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down.\Huh? What?\You told her how you feel?\No, I didn't. response:	When you asked me how I felt about Shizuku,
context: Uh-huh.\Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down.\Huh? What?\You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku, response:	that opened my eyes,
context: Why is that guy hitting on a girl at a time like this?\Oh, class rep.\Shizuku shot me down.\Huh? What?\You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes, response:	but I guess it's too late.
context: Oh, class rep.\Shizuku shot me down.\Huh? What?\You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late. response:	R-Really?
context: Shizuku shot me down.\Huh? What?\You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late.\R-Really? response:	Goo
context: Huh? What?\You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late.\R-Really?\Goo response:	Good luck...
context: You told her how you feel?\No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late.\R-Really?\Goo\Good luck... response:	Huh?
context: No, I didn't.\When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late.\R-Really?\Goo\Good luck...\Huh? response:	If she didn't flat out reject you,
context: When you asked me how I felt about Shizuku,\that opened my eyes,\but I guess it's too late.\R-Really?\Goo\Good luck...\Huh?\If she didn't flat out reject you, response:	maybe you still have a chance.
context: that opened my eyes,\but I guess it's too late.\R-Really?\Goo\Good luck...\Huh?\If she didn't flat out reject you,\maybe you still have a chance. response:	You think so?
context: but I guess it's too late.\R-Really?\Goo\Good luck...\Huh?\If she didn't flat out reject you,\maybe you still have a chance.\You think so? response:	She looked like she was completely done with this problem set.
context: R-Really?\Goo\Good luck...\Huh?\If she didn't flat out reject you,\maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set. response:	Well, it doesn't matter.
context: Goo\Good luck...\Huh?\If she didn't flat out reject you,\maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter. response:	I also learned this from someone else.
context: Good luck...\Huh?\If she didn't flat out reject you,\maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else. response:	You can't pick up water once it's spilled, so handle it carefully.
context: Huh?\If she didn't flat out reject you,\maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully. response:	That's why I don't want to make a mistake.
context: If she didn't flat out reject you,\maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake. response:	Banana Juice
context: maybe you still have a chance.\You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice response:	That's stupid.
context: You think so?\She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice\That's stupid. response:	Natsume?
context: She looked like she was completely done with this problem set.\Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice\That's stupid.\Natsume? response:	If you have time to spend thinking of stuff like that,
context: Well, it doesn't matter.\I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice\That's stupid.\Natsume?\If you have time to spend thinking of stuff like that, response:	go tell her how you feel.
context: I also learned this from someone else.\You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice\That's stupid.\Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel. response:	Slide while the iron's hot.
context: You can't pick up water once it's spilled, so handle it carefully.\That's why I don't want to make a mistake.\Banana Juice\That's stupid.\Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot. response:	Are you drunk?
context: That's why I don't want to make a mistake.\Banana Juice\That's stupid.\Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot.\Are you drunk? response:	And you used the wrong...
context: Banana Juice\That's stupid.\Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot.\Are you drunk?\And you used the wrong... response:	Banana juice wouldn't make me drunk!
context: That's stupid.\Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot.\Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk! response:	So what if Mitty isn't very responsive?
context: Natsume?\If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot.\Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive? response:	That's what makes Mitty attractive.
context: If you have time to spend thinking of stuff like that,\go tell her how you feel.\Slide while the iron's hot.\Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive. response:	That's why I can relax around her.
context: go tell her how you feel.\Slide while the iron's hot.\Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her. response:	She's not interested in me,
context: Slide while the iron's hot.\Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me, response:	so she doesn't call me phony or slutty
context: Are you drunk?\And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty response:	or anything stupid like that.
context: And you used the wrong...\Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that. response:	You're such a baby, Haru-kun.
context: Banana juice wouldn't make me drunk!\So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun. response:	If she shoots you down, keep on trying!
context: So what if Mitty isn't very responsive?\That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying! response:	Stupid
context: That's what makes Mitty attractive.\That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid response:	loser!
context: That's why I can relax around her.\She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid\loser! response:	Wh-What's her problem?
context: She's not interested in me,\so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid\loser!\Wh-What's her problem? response:	I keep getting in trouble with women these days.
context: so she doesn't call me phony or slutty\or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid\loser!\Wh-What's her problem?\I keep getting in trouble with women these days. response:	Haru.
context: or anything stupid like that.\You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid\loser!\Wh-What's her problem?\I keep getting in trouble with women these days.\Haru. response:	Wait.
context: You're such a baby, Haru-kun.\If she shoots you down, keep on trying!\Stupid\loser!\Wh-What's her problem?\I keep getting in trouble with women these days.\Haru.\Wait. response:	Never mind.
context: If she shoots you down, keep on trying!\Stupid\loser!\Wh-What's her problem?\I keep getting in trouble with women these days.\Haru.\Wait.\Never mind. response:	Haru.
context: Stupid\loser!\Wh-What's her problem?\I keep getting in trouble with women these days.\Haru.\Wait.\Never mind.\Haru. response:	That's nothing new.
context: loser!\Wh-What's her problem?\I keep getting in trouble with women these days.\Haru.\Wait.\Never mind.\Haru.\That's nothing new. response:	Business as usual.
context: Wh-What's her problem?\I keep getting in trouble with women these days.\Haru.\Wait.\Never mind.\Haru.\That's nothing new.\Business as usual. response:	That's no good, Haru.
context: I keep getting in trouble with women these days.\Haru.\Wait.\Never mind.\Haru.\That's nothing new.\Business as usual.\That's no good, Haru. response:	Honestly, you keep breaking stuff.
context: Haru.\Wait.\Never mind.\Haru.\That's nothing new.\Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff. response:	It's such a waste.
context: Wait.\Never mind.\Haru.\That's nothing new.\Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste. response:	Screw you, old lady.
context: Never mind.\Haru.\That's nothing new.\Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady. response:	Eh?
context: Haru.\That's nothing new.\Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady.\Eh? response:	Hey, stupid kid!
context: That's nothing new.\Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady.\Eh?\Hey, stupid kid! response:	Watch your mouth!
context: Business as usual.\That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady.\Eh?\Hey, stupid kid!\Watch your mouth! response:	Lemme go!
context: That's no good, Haru.\Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady.\Eh?\Hey, stupid kid!\Watch your mouth!\Lemme go! response:	Mitsuyoshi, stop it.
context: Honestly, you keep breaking stuff.\It's such a waste.\Screw you, old lady.\Eh?\Hey, stupid kid!\Watch your mouth!\Lemme go!\Mitsuyoshi, stop it. response:	What? You're already done?
context: It's such a waste.\Screw you, old lady.\Eh?\Hey, stupid kid!\Watch your mouth!\Lemme go!\Mitsuyoshi, stop it.\What? You're already done? response:	Wow, I'm impressed.
context: Screw you, old lady.\Eh?\Hey, stupid kid!\Watch your mouth!\Lemme go!\Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed. response:	Good job, Haru-kun.
context: Eh?\Hey, stupid kid!\Watch your mouth!\Lemme go!\Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun. response:	This doesn't mean anything.
context: Hey, stupid kid!\Watch your mouth!\Lemme go!\Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything. response:	Silly boy.
context: Watch your mouth!\Lemme go!\Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything.\Silly boy. response:	Why are you denying your own strengths?
context: Lemme go!\Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything.\Silly boy.\Why are you denying your own strengths? response:	Now listen to me, Haru.
context: Mitsuyoshi, stop it.\What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything.\Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru. response:	Humans will wither away if they're always alone.
context: What? You're already done?\Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything.\Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone. response:	The only remedy would be
context: Wow, I'm impressed.\Good job, Haru-kun.\This doesn't mean anything.\Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be response:	to seek out other people.
context: Good job, Haru-kun.\This doesn't mean anything.\Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be\to seek out other people. response:	I hope you find the right person one day.
context: This doesn't mean anything.\Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be\to seek out other people.\I hope you find the right person one day. response:	I hope you find someone
context: Silly boy.\Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be\to seek out other people.\I hope you find the right person one day.\I hope you find someone response:	whose presence is enough
context: Why are you denying your own strengths?\Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be\to seek out other people.\I hope you find the right person one day.\I hope you find someone\whose presence is enough response:	to soothe your pain.
context: Now listen to me, Haru.\Humans will wither away if they're always alone.\The only remedy would be\to seek out other people.\I hope you find the right person one day.\I hope you find someone\whose presence is enough\to soothe your pain. response:	Haru, get that bird off me.
context: Humans will wither away if they're always alone.\The only remedy would be\to seek out other people.\I hope you find the right person one day.\I hope you find someone\whose presence is enough\to soothe your pain.\Haru, get that bird off me. response:	You look like you're enjoying yourself, Haru.
context: The only remedy would be\to seek out other people.\I hope you find the right person one day.\I hope you find someone\whose presence is enough\to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru. response:	Yep, I was thinking about a dead person.
context: to seek out other people.\I hope you find the right person one day.\I hope you find someone\whose presence is enough\to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person. response:	Huh?
context: I hope you find the right person one day.\I hope you find someone\whose presence is enough\to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh? response:	Clean up after yourself.
context: I hope you find someone\whose presence is enough\to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh?\Clean up after yourself. response:	If you want to be accepted, you must first accept yourself.
context: whose presence is enough\to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself. response:	I wonder why I still remember all these things.
context: to soothe your pain.\Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things. response:	I love you.
context: Haru, get that bird off me.\You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you. response:	But just so you know...
context: You look like you're enjoying yourself, Haru.\Yep, I was thinking about a dead person.\Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you.\But just so you know... response:	You're not in love with me anymore, right?
context: Yep, I was thinking about a dead person.\Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you.\But just so you know...\You're not in love with me anymore, right? response:	I know that.
context: Huh?\Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you.\But just so you know...\You're not in love with me anymore, right?\I know that. response:	I just want to be with you.
context: Clean up after yourself.\If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you.\But just so you know...\You're not in love with me anymore, right?\I know that.\I just want to be with you. response:	Haru...
context: If you want to be accepted, you must first accept yourself.\I wonder why I still remember all these things.\I love you.\But just so you know...\You're not in love with me anymore, right?\I know that.\I just want to be with you.\Haru... response:	Whoa, there!
context: I wonder why I still remember all these things.\I love you.\But just so you know...\You're not in love with me anymore, right?\I know that.\I just want to be with you.\Haru...\Whoa, there! response:	Oh, sorry.
context: I love you.\But just so you know...\You're not in love with me anymore, right?\I know that.\I just want to be with you.\Haru...\Whoa, there!\Oh, sorry. response:	As soon as I realized that I love you,
context: But just so you know...\You're not in love with me anymore, right?\I know that.\I just want to be with you.\Haru...\Whoa, there!\Oh, sorry.\As soon as I realized that I love you, response:	I started having these urges.
context: You're not in love with me anymore, right?\I know that.\I just want to be with you.\Haru...\Whoa, there!\Oh, sorry.\As soon as I realized that I love you,\I started having these urges. response:	His actions don't match his words...
context: I know that.\I just want to be with you.\Haru...\Whoa, there!\Oh, sorry.\As soon as I realized that I love you,\I started having these urges.\His actions don't match his words... response:	Let's go out?
context: I just want to be with you.\Haru...\Whoa, there!\Oh, sorry.\As soon as I realized that I love you,\I started having these urges.\His actions don't match his words...\Let's go out? response:	I can see that you didn't understand a word I said.
context: Haru...\Whoa, there!\Oh, sorry.\As soon as I realized that I love you,\I started having these urges.\His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said. response:	But you said that you'd go out with me if I fell in love with you.
context: Whoa, there!\Oh, sorry.\As soon as I realized that I love you,\I started having these urges.\His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you. response:	That's ancient history.
context: Oh, sorry.\As soon as I realized that I love you,\I started having these urges.\His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history. response:	I don't see a problem.
context: As soon as I realized that I love you,\I started having these urges.\His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem. response:	This makes everyone happy.
context: I started having these urges.\His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem.\This makes everyone happy. response:	Are you ignoring my feelings?
context: His actions don't match his words...\Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings? response:	What am I supposed to do then?
context: Let's go out?\I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then? response:	You're the one who said you just wanted to be with me.
context: I can see that you didn't understand a word I said.\But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me. response:	Are you an idiot?!
context: But you said that you'd go out with me if I fell in love with you.\That's ancient history.\I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?! response:	No man's gonna put up with that!
context: That's ancient history.\I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that! response:	What are you trying to say?!
context: I don't see a problem.\This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?! response:	Give in! Give in! Give in! Give in!
context: This makes everyone happy.\Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in! response:	Leave! Scram! Get lost!
context: Are you ignoring my feelings?\What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost! response:	After that,
context: What am I supposed to do then?\You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that, response:	I began to feel as though I were in constant danger.
context: You're the one who said you just wanted to be with me.\Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that,\I began to feel as though I were in constant danger. response:	Midterm Grades Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku 4th Kasano Masamune
context: Are you an idiot?!\No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that,\I began to feel as though I were in constant danger.\Midterm Grades Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku 4th Kasano Masamune response:	Why...
context: No man's gonna put up with that!\What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that,\I began to feel as though I were in constant danger.\Midterm Grades Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku 4th Kasano Masamune\Why... response:	Why can't I win?!
context: What are you trying to say?!\Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that,\I began to feel as though I were in constant danger.\Midterm Grades Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku 4th Kasano Masamune\Why...\Why can't I win?! response:	Well, I tried a little harder this time.
context: Give in! Give in! Give in! Give in!\Leave! Scram! Get lost!\After that,\I began to feel as though I were in constant danger.\Midterm Grades Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku 4th Kasano Masamune\Why...\Why can't I win?!\Well, I tried a little harder this time. response:	Just a little.
