context: Can you see them? response:	Sir.
context: Those northern freaks came many times...\but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men? response:	Yes. If they don't lead the army, this country will be destroyed.
context: but they have never breached this wall.\We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed. response:	We can't win a battle like this.
context: We've been driving them to the other side for hundreds of years.\We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this. response:	The power of Drifters alone can't bring us a victory!
context: We are the people of Carneades, the protectors of this wall.\What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory! response:	Act 3 Army of Ours-Sortie at Dawn
context: What can those freaks do?!\Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn response:	Don't be a fool!
context: Those soldiers are useless. They won't even last two days.\You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool! response:	Are you telling me to give up my command...
context: You're in charge here. I'm going to Kafet to check on the situation.\Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command... response:	Don't mess with me, magicians!
context: Are you talking about those two old men?\Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians! response:	But if we don't let them lead, we'll lose.
context: Yes. If they don't lead the army, this country will be destroyed.\We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose. response:	Are you mocking me?!
context: We can't win a battle like this.\The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?! response:	What do you know?! You are just a magician organization!
context: The power of Drifters alone can't bring us a victory!\Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization! response:	Besides, what can those two Drifters- those scruffy old men-do?!
context: Act 3 Army of Ours-Sortie at Dawn\Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?! response:	What? What? What are you two arguing about?
context: Don't be a fool!\Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about? response:	Well... umm... we're trying to have him give up command of his troops to you two.
context: Are you telling me to give up my command...\Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two. response:	Huh?! All of a sudden! That's impossible!
context: Don't mess with me, magicians!\But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible! response:	I know it's unreasonable, but...
context: But if we don't let them lead, we'll lose.\Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but... response:	Hmph. Why on earth do we have to do such a thing?!
context: Are you mocking me?!\What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?! response:	Nasty Drifters!
context: What do you know?! You are just a magician organization!\Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters! response:	-Bastards! -Shut up, Drifters! -What the hell are you talking about?!
context: Besides, what can those two Drifters- those scruffy old men-do?!\What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?! response:	I don't understand their language, but I could tell we were insulted.
context: What? What? What are you two arguing about?\Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted. response:	H-Hey!
context: Well... umm... we're trying to have him give up command of his troops to you two.\Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey! response:	Huh?!
context: Huh?! All of a sudden! That's impossible!\I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?! response:	I'm about to pee my pants.
context: I know it's unreasonable, but...\Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?!\I'm about to pee my pants. response:	Shiver shiver shiver
context: Hmph. Why on earth do we have to do such a thing?!\Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?!\I'm about to pee my pants.\Shiver shiver shiver response:	-Huh?! -You idiot! Hold it! You old fool!
context: Nasty Drifters!\-Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?!\I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool! response:	No, I can't. Aging causes me to have sudden urges to urinate.
context: -Bastards! -Shut up, Drifters! -What the hell are you talking about?!\I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?!\I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate. response:	Wh-Wh-What should I do?
context: I don't understand their language, but I could tell we were insulted.\H-Hey!\Huh?!\I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do? response:	I'm fed up with this lightning of Carthage.
context: H-Hey!\Huh?!\I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage. response:	I-I hate getting old...
context: Huh?!\I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old... response:	He is just a stupid old man!
context: I'm about to pee my pants.\Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man! response:	There's no way I will give command to such an old wretch!
context: Shiver shiver shiver\-Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch! response:	W-What the...
context: -Huh?! -You idiot! Hold it! You old fool!\No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the... response:	That man is...
context: No, I can't. Aging causes me to have sudden urges to urinate.\Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the...\That man is... response:	That man... That man...
context: Wh-Wh-What should I do?\I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the...\That man is...\That man... That man... response:	That man is Hannibal-Hannibal Barca!
context: I'm fed up with this lightning of Carthage.\I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the...\That man is...\That man... That man...\That man is Hannibal-Hannibal Barca! response:	My Roman Empire did not fear
context: I-I hate getting old...\He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the...\That man is...\That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear response:	Yet, facing that man alone, Hannibal, did Rome tremble!
context: He is just a stupid old man!\There's no way I will give command to such an old wretch!\W-What the...\That man is...\That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble! response:	any enemy, even if there were millions of them.
context: There's no way I will give command to such an old wretch!\W-What the...\That man is...\That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them. response:	Wh-What are you saying?
context: W-What the...\That man is...\That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying? response:	Damn you!
context: That man is...\That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you! response:	You two, that's far enough.
context: That man... That man...\That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you!\You two, that's far enough. response:	Even if he gave in now, it's already pointless.
context: That man is Hannibal-Hannibal Barca!\My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless. response:	Please get ready to escape. Soon, this place will descend into carnage.
context: My Roman Empire did not fear\Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage. response:	The Octobrists will also withdraw.
context: Yet, facing that man alone, Hannibal, did Rome tremble!\any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw. response:	Before the battle against the Black King's army begins,
context: any enemy, even if there were millions of them.\Wh-What are you saying?\Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins, response:	we must allow the Drifters to escape...
context: Wh-What are you saying?\Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape... response:	Scipio...
context: Damn you!\You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio... response:	W-Well, that's the assurance of the victor.
context: You two, that's far enough.\Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor. response:	Besides, I am stronger than you.
context: Even if he gave in now, it's already pointless.\Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you. response:	What did you say, you beardless idiot?!
context: Please get ready to escape. Soon, this place will descend into carnage.\The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?! response:	You wanna fight, old man?!
context: The Octobrists will also withdraw.\Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?! response:	This is Semu. This is Semu.
context: Before the battle against the Black King's army begins,\we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu. response:	What should we do? Wh... is... the... con... dition... ther...
context: we must allow the Drifters to escape...\Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther... response:	Ca... yo... hea... me, Gr... Mas...
context: Scipio...\W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas... response:	It's magic disruption.
context: W-Well, that's the assurance of the victor.\Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption. response:	Shoot! They are coming!
context: Besides, I am stronger than you.\What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming! response:	There is no response from four reconnaissance units.
context: What did you say, you beardless idiot?!\You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units. response:	Damn!
context: You wanna fight, old man?!\This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units.\Damn! response:	What are those noises?
context: This is Semu. This is Semu.\What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units.\Damn!\What are those noises? response:	What's goin' on?
context: What should we do? Wh... is... the... con... dition... ther...\Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units.\Damn!\What are those noises?\What's goin' on? response:	You got a cigarette?
context: Ca... yo... hea... me, Gr... Mas...\It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units.\Damn!\What are those noises?\What's goin' on?\You got a cigarette? response:	Don't be an idiot. Course not.
context: It's magic disruption.\Shoot! They are coming!\There is no response from four reconnaissance units.\Damn!\What are those noises?\What's goin' on?\You got a cigarette?\Don't be an idiot. Course not. response:	You're lying! You're hiding the last two cigarettes, aren't ya?!
context: Shoot! They are coming!\There is no response from four reconnaissance units.\Damn!\What are those noises?\What's goin' on?\You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?! response:	Whose fault was it that we ended up in a place like this?!
context: There is no response from four reconnaissance units.\Damn!\What are those noises?\What's goin' on?\You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?! response:	Who would give ya cigarettes, ya fool?!
context: Damn!\What are those noises?\What's goin' on?\You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?! response:	I want a cigarette so bad.
context: What are those noises?\What's goin' on?\You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad. response:	Wherever we go, there's no tomorrow...
context: What's goin' on?\You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow... response:	We, the Wild Bunch, only got today.
context: You got a cigarette?\Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today. response:	I should at least be able to smoke as I please.
context: Don't be an idiot. Course not.\You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please. response:	The Black King...
context: You're lying! You're hiding the last two cigarettes, aren't ya?!\Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King... response:	Crusade, crusade.
context: Whose fault was it that we ended up in a place like this?!\Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King...\Crusade, crusade. response:	Crusade of his Majesty, the Black King.
context: Who would give ya cigarettes, ya fool?!\I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King. response:	Crusade, crusade.
context: I want a cigarette so bad.\Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade. response:	The time has finally come.
context: Wherever we go, there's no tomorrow...\We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come. response:	Crusade, crusade.
context: We, the Wild Bunch, only got today.\I should at least be able to smoke as I please.\The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come.\Crusade, crusade. response:	Those who have ears, listen.
context: I should at least be able to smoke as I please.\The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come.\Crusade, crusade.\Those who have ears, listen. response:	Those who have eyes, watch.
context: The Black King...\Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come.\Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch. response:	Those who have mouths, shout.
context: Crusade, crusade.\Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come.\Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout. response:	Let them know everything.
context: Crusade of his Majesty, the Black King.\Crusade, crusade.\The time has finally come.\Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything. response:	Crusade, crusade, crusade.
context: Crusade, crusade.\The time has finally come.\Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade. response:	It's the beginning of the eradication of mankind.
context: The time has finally come.\Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind. response:	Gather together. Join us.
context: Crusade, crusade.\Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us. response:	All your power to the Black King!
context: Those who have ears, listen.\Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King! response:	All your power to the Black King!
context: Those who have eyes, watch.\Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King!\All your power to the Black King! response:	The Black King... The king of the Ends.
context: Those who have mouths, shout.\Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends. response:	It's too late!
context: Let them know everything.\Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends.\It's too late! response:	He's already here!
context: Crusade, crusade, crusade.\It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends.\It's too late!\He's already here! response:	Do you hate us that much, Black King?
context: It's the beginning of the eradication of mankind.\Gather together. Join us.\All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends.\It's too late!\He's already here!\Do you hate us that much, Black King? response:	The Drifters, this world...
context: Gather together. Join us.\All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends.\It's too late!\He's already here!\Do you hate us that much, Black King?\The Drifters, this world... response:	They are coming! They're closing in!
context: All your power to the Black King!\All your power to the Black King!\The Black King... The king of the Ends.\It's too late!\He's already here!\Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in! response:	Archers! Take aim!
context: All your power to the Black King!\The Black King... The king of the Ends.\It's too late!\He's already here!\Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim! response:	Bring death.
context: The Black King... The king of the Ends.\It's too late!\He's already here!\Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim!\Bring death. response:	Sh-Shoot!
context: It's too late!\He's already here!\Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim!\Bring death.\Sh-Shoot! response:	Hijikata.
context: He's already here!\Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim!\Bring death.\Sh-Shoot!\Hijikata. response:	Joan of Arc.
context: Do you hate us that much, Black King?\The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim!\Bring death.\Sh-Shoot!\Hijikata.\Joan of Arc. response:	Anastasia Nikolaevna Romanova.
context: The Drifters, this world...\They are coming! They're closing in!\Archers! Take aim!\Bring death.\Sh-Shoot!\Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova. response:	You may go.
context: They are coming! They're closing in!\Archers! Take aim!\Bring death.\Sh-Shoot!\Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go. response:	At last, you've made your move.
context: Archers! Take aim!\Bring death.\Sh-Shoot!\Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go.\At last, you've made your move. response:	Are you really going to eradicate this world?
context: Bring death.\Sh-Shoot!\Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go.\At last, you've made your move.\Are you really going to eradicate this world? response:	You do as you please.
context: Sh-Shoot!\Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go.\At last, you've made your move.\Are you really going to eradicate this world?\You do as you please. response:	Yeah. That's how I live my life. So, allow me to continue on.
context: Hijikata.\Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go.\At last, you've made your move.\Are you really going to eradicate this world?\You do as you please.\Yeah. That's how I live my life. So, allow me to continue on. response:	Kurou Hougan Yoshitsune.
context: Joan of Arc.\Anastasia Nikolaevna Romanova.\You may go.\At last, you've made your move.\Are you really going to eradicate this world?\You do as you please.\Yeah. That's how I live my life. So, allow me to continue on.\Kurou Hougan Yoshitsune. response:	Which side are you on...
