context: I was having a dream... response:	There! Look!
context: Nino.\There's no one else here, is there?\Wh-What? This is my room.\What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect? response:	The girls thought you were going to die.
context: There's no one else here, is there?\Wh-What? This is my room.\What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die. response:	Your father was the one who paid for my hospital expenses, too, wasn't he?
context: Wh-What? This is my room.\What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he? response:	That's right.
context: What do you care?\Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right. response:	Which basically means we paid for them.
context: Who do you think is paying for it?\It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them. response:	Yikes. I didn't think anyone could be such a brat.
context: It didn't have to be such a fancy single bed room.\The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat. response:	I never thought you, of all people, would be the one to come visit me, though.
context: The nurses are gossiping about how I may be the hospital director's bastard son.\What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though. response:	I guess...
context: What did you expect?\The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess... response:	Shoot, I have to get going!
context: The girls thought you were going to die.\Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going! response:	Don't you dare tell anyone about this, all right?
context: Your father was the one who paid for my hospital expenses, too, wasn't he?\That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right? response:	Uesugi-san, have you seen Nino here?
context: That's right.\Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here? response:	Yotsuba.
context: Which basically means we paid for them.\Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba. response:	Hey.
context: Yikes. I didn't think anyone could be such a brat.\I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba.\Hey. response:	I haven't seen you since school camp.
context: I never thought you, of all people, would be the one to come visit me, though.\I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba.\Hey.\I haven't seen you since school camp. response:	How are you feeling?
context: I guess...\Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba.\Hey.\I haven't seen you since school camp.\How are you feeling? response:	And the rest of you.
context: Shoot, I have to get going!\Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba.\Hey.\I haven't seen you since school camp.\How are you feeling?\And the rest of you. response:	Thank goodness.
context: Don't you dare tell anyone about this, all right?\Uesugi-san, have you seen Nino here?\Yotsuba.\Hey.\I haven't seen you since school camp.\How are you feeling?\And the rest of you.\Thank goodness. response:	I'm glad you're alive, at least.
context: Uesugi-san, have you seen Nino here?\Yotsuba.\Hey.\I haven't seen you since school camp.\How are you feeling?\And the rest of you.\Thank goodness.\I'm glad you're alive, at least. response:	Jeez.
context: Yotsuba.\Hey.\I haven't seen you since school camp.\How are you feeling?\And the rest of you.\Thank goodness.\I'm glad you're alive, at least.\Jeez. response:	Who ever asked you to come?
context: Hey.\I haven't seen you since school camp.\How are you feeling?\And the rest of you.\Thank goodness.\I'm glad you're alive, at least.\Jeez.\Who ever asked you to come? response:	I definitely smell Nino.
context: I haven't seen you since school camp.\How are you feeling?\And the rest of you.\Thank goodness.\I'm glad you're alive, at least.\Jeez.\Who ever asked you to come?\I definitely smell Nino. response:	Sniff, sniff...
context: How are you feeling?\And the rest of you.\Thank goodness.\I'm glad you're alive, at least.\Jeez.\Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff... response:	Is her BO that bad?
context: And the rest of you.\Thank goodness.\I'm glad you're alive, at least.\Jeez.\Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff...\Is her BO that bad? response:	Poor girl...
context: Thank goodness.\I'm glad you're alive, at least.\Jeez.\Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff...\Is her BO that bad?\Poor girl... response:	It's my perfume!
context: I'm glad you're alive, at least.\Jeez.\Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff...\Is her BO that bad?\Poor girl...\It's my perfume! response:	We weren't sure you were going to make it, at one point.
context: Jeez.\Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff...\Is her BO that bad?\Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point. response:	Your temperature was as high as a record-breaking summer day.
context: Who ever asked you to come?\I definitely smell Nino.\Sniff, sniff...\Is her BO that bad?\Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day. response:	I'm glad you're better.
context: I definitely smell Nino.\Sniff, sniff...\Is her BO that bad?\Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better. response:	You can call if you ever get lonely.
context: Sniff, sniff...\Is her BO that bad?\Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely. response:	We'll come take care of you.
context: Is her BO that bad?\Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you. response:	Thanks.
context: Poor girl...\It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you.\Thanks. response:	But I prefer being by myself.
context: It's my perfume!\We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you.\Thanks.\But I prefer being by myself. response:	Ow!
context: We weren't sure you were going to make it, at one point.\Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you.\Thanks.\But I prefer being by myself.\Ow! response:	Futaro-kun, that wasn't good.
context: Your temperature was as high as a record-breaking summer day.\I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you.\Thanks.\But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good. response:	Also, here.
context: I'm glad you're better.\You can call if you ever get lonely.\We'll come take care of you.\Thanks.\But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good.\Also, here. response:	Handouts from class while you were sick.
context: You can call if you ever get lonely.\We'll come take care of you.\Thanks.\But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick. response:	Good thing I finally got them to you.
context: We'll come take care of you.\Thanks.\But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you. response:	So you're going to school, huh?
context: Thanks.\But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh? response:	Yeah.
context: But I prefer being by myself.\Ow!\Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh?\Yeah. response:	I might quit school.
context: Ow!\Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh?\Yeah.\I might quit school. response:	You were never that committed, were you?
context: Futaro-kun, that wasn't good.\Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh?\Yeah.\I might quit school.\You were never that committed, were you? response:	Come on, you're so mean.
context: Also, here.\Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh?\Yeah.\I might quit school.\You were never that committed, were you?\Come on, you're so mean. response:	I thought school was boring...
context: Handouts from class while you were sick.\Good thing I finally got them to you.\So you're going to school, huh?\Yeah.\I might quit school.\You were never that committed, were you?\Come on, you're so mean.\I thought school was boring... response:	That I wouldn't have any problem quitting.
context: Good thing I finally got them to you.\So you're going to school, huh?\Yeah.\I might quit school.\You were never that committed, were you?\Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting. response:	But I'm going to stay a little longer.
context: So you're going to school, huh?\Yeah.\I might quit school.\You were never that committed, were you?\Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer. response:	There's something I can't leave behind now.
context: Yeah.\I might quit school.\You were never that committed, were you?\Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now. response:	You're aloof, insensitive, and mean.
context: I might quit school.\You were never that committed, were you?\Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean. response:	So why...
context: You were never that committed, were you?\Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why... response:	does it have to be you?
context: Come on, you're so mean.\I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why...\does it have to be you? response:	Was there something you didn't like?
context: I thought school was boring...\That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why...\does it have to be you?\Was there something you didn't like? response:	Huh?
context: That I wouldn't have any problem quitting.\But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why...\does it have to be you?\Was there something you didn't like?\Huh? response:	I would've cooked for you if you'd asked me.
context: But I'm going to stay a little longer.\There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why...\does it have to be you?\Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me. response:	No, I just don't really have an appetite.
context: There's something I can't leave behind now.\You're aloof, insensitive, and mean.\So why...\does it have to be you?\Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite. response:	Oh.
context: You're aloof, insensitive, and mean.\So why...\does it have to be you?\Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh. response:	Say ahh.
context: So why...\does it have to be you?\Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh.\Say ahh. response:	Hey.
context: does it have to be you?\Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh.\Say ahh.\Hey. response:	You'd better eat.
context: Was there something you didn't like?\Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh.\Say ahh.\Hey.\You'd better eat. response:	What is this?
context: Huh?\I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh.\Say ahh.\Hey.\You'd better eat.\What is this? response:	Hey!
context: I would've cooked for you if you'd asked me.\No, I just don't really have an appetite.\Oh.\Say ahh.\Hey.\You'd better eat.\What is this?\Hey! response:	I found Nino!
context: No, I just don't really have an appetite.\Oh.\Say ahh.\Hey.\You'd better eat.\What is this?\Hey!\I found Nino! response:	What are you, a dog?!
context: Oh.\Say ahh.\Hey.\You'd better eat.\What is this?\Hey!\I found Nino!\What are you, a dog?! response:	Come on. Let's go.
context: Say ahh.\Hey.\You'd better eat.\What is this?\Hey!\I found Nino!\What are you, a dog?!\Come on. Let's go. response:	L-Let me go!
context: Hey.\You'd better eat.\What is this?\Hey!\I found Nino!\What are you, a dog?!\Come on. Let's go.\L-Let me go! response:	Well, we'd better be going.
context: You'd better eat.\What is this?\Hey!\I found Nino!\What are you, a dog?!\Come on. Let's go.\L-Let me go!\Well, we'd better be going. response:	I hope you get better soon.
context: What is this?\Hey!\I found Nino!\What are you, a dog?!\Come on. Let's go.\L-Let me go!\Well, we'd better be going.\I hope you get better soon. response:	Huh?
context: Hey!\I found Nino!\What are you, a dog?!\Come on. Let's go.\L-Let me go!\Well, we'd better be going.\I hope you get better soon.\Huh? response:	What happened?
context: I found Nino!\What are you, a dog?!\Come on. Let's go.\L-Let me go!\Well, we'd better be going.\I hope you get better soon.\Huh?\What happened? response:	I feel a little better.
context: What are you, a dog?!\Come on. Let's go.\L-Let me go!\Well, we'd better be going.\I hope you get better soon.\Huh?\What happened?\I feel a little better. response:	Examination Room
context: Come on. Let's go.\L-Let me go!\Well, we'd better be going.\I hope you get better soon.\Huh?\What happened?\I feel a little better.\Examination Room response:	You're being discharged tomorrow, aren't you, Uesugi-kun?
context: L-Let me go!\Well, we'd better be going.\I hope you get better soon.\Huh?\What happened?\I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun? response:	Yes.
context: Well, we'd better be going.\I hope you get better soon.\Huh?\What happened?\I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes. response:	Are you worried about your studies?
context: I hope you get better soon.\Huh?\What happened?\I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies? response:	Well...
context: Huh?\What happened?\I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies?\Well... response:	I'm doing fine,
context: What happened?\I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies?\Well...\I'm doing fine, response:	but there are some idiots that I have to teach.
context: I feel a little better.\Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies?\Well...\I'm doing fine,\but there are some idiots that I have to teach. response:	I see.
context: Examination Room\You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies?\Well...\I'm doing fine,\but there are some idiots that I have to teach.\I see. response:	That concludes your examination.
context: You're being discharged tomorrow, aren't you, Uesugi-kun?\Yes.\Are you worried about your studies?\Well...\I'm doing fine,\but there are some idiots that I have to teach.\I see.\That concludes your examination. response:	S-Stop shoving!
context: Yes.\Are you worried about your studies?\Well...\I'm doing fine,\but there are some idiots that I have to teach.\I see.\That concludes your examination.\S-Stop shoving! response:	Silence in the hospital, Nino.
context: Are you worried about your studies?\Well...\I'm doing fine,\but there are some idiots that I have to teach.\I see.\That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino. response:	I can't help it!
context: Well...\I'm doing fine,\but there are some idiots that I have to teach.\I see.\That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino.\I can't help it! response:	I was scared!
context: I'm doing fine,\but there are some idiots that I have to teach.\I see.\That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino.\I can't help it!\I was scared! response:	Those girls...
context: but there are some idiots that I have to teach.\I see.\That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino.\I can't help it!\I was scared!\Those girls... response:	I guess I should thank them for coming to visit.
context: I see.\That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino.\I can't help it!\I was scared!\Those girls...\I guess I should thank them for coming to visit. response:	You're never going to get your ears pierced if you're afraid of needles.
context: That concludes your examination.\S-Stop shoving!\Silence in the hospital, Nino.\I can't help it!\I was scared!\Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles. response:	Needles?
context: S-Stop shoving!\Silence in the hospital, Nino.\I can't help it!\I was scared!\Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles? response:	Uesugi-san.
context: Silence in the hospital, Nino.\I can't help it!\I was scared!\Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san. response:	What are you guys actually here for?
context: I can't help it!\I was scared!\Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san.\What are you guys actually here for? response:	What for?
context: I was scared!\Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san.\What are you guys actually here for?\What for? response:	Vaccinations.
context: Those girls...\I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san.\What are you guys actually here for?\What for?\Vaccinations. response:	We always get vaccinated around this time every year.
context: I guess I should thank them for coming to visit.\You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san.\What are you guys actually here for?\What for?\Vaccinations.\We always get vaccinated around this time every year. response:	But Itsuki and Nino keep running away.
context: You're never going to get your ears pierced if you're afraid of needles.\Needles?\Uesugi-san.\What are you guys actually here for?\What for?\Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away. response:	I hate pain.
context: Needles?\Uesugi-san.\What are you guys actually here for?\What for?\Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain. response:	I'm glad we got to see Uesugi-san while we were at it, though.
context: Uesugi-san.\What are you guys actually here for?\What for?\Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though. response:	You what...
context: What are you guys actually here for?\What for?\Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what... response:	Damn you all! You're going to get it!
context: What for?\Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it! response:	You!
context: Vaccinations.\We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it!\You! response:	No shouting in the hospital!
context: We always get vaccinated around this time every year.\But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it!\You!\No shouting in the hospital! response:	You're sick! Stay put!
context: But Itsuki and Nino keep running away.\I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it!\You!\No shouting in the hospital!\You're sick! Stay put! response:	Uesugi-kun...
context: I hate pain.\I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it!\You!\No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun... response:	I expect great things from you.
context: I'm glad we got to see Uesugi-san while we were at it, though.\You what...\Damn you all! You're going to get it!\You!\No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun...\I expect great things from you. response:	I feel like I've seen that man somewhere.
context: You what...\Damn you all! You're going to get it!\You!\No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun...\I expect great things from you.\I feel like I've seen that man somewhere. response:	It was a long time ago.
context: Damn you all! You're going to get it!\You!\No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun...\I expect great things from you.\I feel like I've seen that man somewhere.\It was a long time ago. response:	But it's a scene that's etched firmly in my mind.
context: You!\No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun...\I expect great things from you.\I feel like I've seen that man somewhere.\It was a long time ago.\But it's a scene that's etched firmly in my mind. response:	Right, that was...
context: No shouting in the hospital!\You're sick! Stay put!\Uesugi-kun...\I expect great things from you.\I feel like I've seen that man somewhere.\It was a long time ago.\But it's a scene that's etched firmly in my mind.\Right, that was... response:	Uesugi Futaro-kun.
context: You're sick! Stay put!\Uesugi-kun...\I expect great things from you.\I feel like I've seen that man somewhere.\It was a long time ago.\But it's a scene that's etched firmly in my mind.\Right, that was...\Uesugi Futaro-kun. response:	Bye-bye.
