context: What? response:	What's wrong, Maka?
context: Shut up...\Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul! response:	Shut up and listen to what I say!
context: Black Star.\He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say! response:	Hurry and do it! Demon Blade Mode!
context: He's... the Kishin?\Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode! response:	I can't!
context: Tsubaki, Demon Blade Mode.\I'll kill him while he's still getting up!\Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't! response:	Then, you'll just have to watch from here!
context: I'll kill him while he's still getting up!\Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here! response:	Black Star!
context: Impossible.\Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here!\Black Star! response:	We're going, too!
context: Your body's already worn out...\If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here!\Black Star!\We're going, too! response:	Aye!
context: If we use Demon Blade any further, I'll begin tearing at your soul!\Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here!\Black Star!\We're going, too!\Aye! response:	Yeah...
context: Shut up and listen to what I say!\Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here!\Black Star!\We're going, too!\Aye!\Yeah... response:	Eat this, naked pervert!
context: Hurry and do it! Demon Blade Mode!\I can't!\Then, you'll just have to watch from here!\Black Star!\We're going, too!\Aye!\Yeah...\Eat this, naked pervert! response:	Black Star Big Wave!!
context: I can't!\Then, you'll just have to watch from here!\Black Star!\We're going, too!\Aye!\Yeah...\Eat this, naked pervert!\Black Star Big Wave!! response:	My body can't handle my own wavelength.
context: Then, you'll just have to watch from here!\Black Star!\We're going, too!\Aye!\Yeah...\Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength. response:	I'm not done yet!
context: Black Star!\We're going, too!\Aye!\Yeah...\Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet! response:	Black Star!
context: We're going, too!\Aye!\Yeah...\Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet!\Black Star! response:	Damn it!
context: Aye!\Yeah...\Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet!\Black Star!\Damn it! response:	Kid!
context: Yeah...\Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet!\Black Star!\Damn it!\Kid! response:	I feel so naked!
context: Eat this, naked pervert!\Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet!\Black Star!\Damn it!\Kid!\I feel so naked! response:	I have to put on a few layers!
context: Black Star Big Wave!!\My body can't handle my own wavelength.\I'm not done yet!\Black Star!\Damn it!\Kid!\I feel so naked!\I have to put on a few layers! response:	How nice... to be macho...
context: My body can't handle my own wavelength.\I'm not done yet!\Black Star!\Damn it!\Kid!\I feel so naked!\I have to put on a few layers!\How nice... to be macho... response:	Was that about me?
context: I'm not done yet!\Black Star!\Damn it!\Kid!\I feel so naked!\I have to put on a few layers!\How nice... to be macho...\Was that about me? response:	He ran away.
context: Black Star!\Damn it!\Kid!\I feel so naked!\I have to put on a few layers!\How nice... to be macho...\Was that about me?\He ran away. response:	Maka!
context: Damn it!\Kid!\I feel so naked!\I have to put on a few layers!\How nice... to be macho...\Was that about me?\He ran away.\Maka! response:	Maka!
context: Kid!\I feel so naked!\I have to put on a few layers!\How nice... to be macho...\Was that about me?\He ran away.\Maka!\Maka! response:	You're not getting away!
context: I feel so naked!\I have to put on a few layers!\How nice... to be macho...\Was that about me?\He ran away.\Maka!\Maka!\You're not getting away! response:	Nice!
context: I have to put on a few layers!\How nice... to be macho...\Was that about me?\He ran away.\Maka!\Maka!\You're not getting away!\Nice! response:	Awesome!
context: How nice... to be macho...\Was that about me?\He ran away.\Maka!\Maka!\You're not getting away!\Nice!\Awesome! response:	Keep going!
context: Was that about me?\He ran away.\Maka!\Maka!\You're not getting away!\Nice!\Awesome!\Keep going! response:	More... more...
context: He ran away.\Maka!\Maka!\You're not getting away!\Nice!\Awesome!\Keep going!\More... more... response:	I've seen this in a dream once...
context: Maka!\Maka!\You're not getting away!\Nice!\Awesome!\Keep going!\More... more...\I've seen this in a dream once... response:	Cat fight!
context: Maka!\You're not getting away!\Nice!\Awesome!\Keep going!\More... more...\I've seen this in a dream once...\Cat fight! response:	You bitch!
context: You're not getting away!\Nice!\Awesome!\Keep going!\More... more...\I've seen this in a dream once...\Cat fight!\You bitch! response:	You're a witch, right? Use magic!
context: Nice!\Awesome!\Keep going!\More... more...\I've seen this in a dream once...\Cat fight!\You bitch!\You're a witch, right? Use magic! response:	You use it first, loser cat!
context: Awesome!\Keep going!\More... more...\I've seen this in a dream once...\Cat fight!\You bitch!\You're a witch, right? Use magic!\You use it first, loser cat! response:	You're heavy! Hurry and move it!
context: Keep going!\More... more...\I've seen this in a dream once...\Cat fight!\You bitch!\You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it! response:	Shut up! Go spend your life lingering in a ditch!
context: More... more...\I've seen this in a dream once...\Cat fight!\You bitch!\You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch! response:	Oi, isn't something shaking?
context: I've seen this in a dream once...\Cat fight!\You bitch!\You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking? response:	You're just too excited!
context: Cat fight!\You bitch!\You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited! response:	No, it's really shaking...
context: You bitch!\You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited!\No, it's really shaking... response:	What? Are you shaking?
context: You're a witch, right? Use magic!\You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited!\No, it's really shaking...\What? Are you shaking? response:	How lame!
context: You use it first, loser cat!\You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited!\No, it's really shaking...\What? Are you shaking?\How lame! response:	No! What's shaking is the ground, you idiot!
context: You're heavy! Hurry and move it!\Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited!\No, it's really shaking...\What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot! response:	An earthquake?
context: Shut up! Go spend your life lingering in a ditch!\Oi, isn't something shaking?\You're just too excited!\No, it's really shaking...\What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot!\An earthquake? response:	Seems like Eruka and the others did it.
context: Oi, isn't something shaking?\You're just too excited!\No, it's really shaking...\What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it. response:	Oi, what's that?
context: You're just too excited!\No, it's really shaking...\What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it.\Oi, what's that? response:	Something came out of the ground.
context: No, it's really shaking...\What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground. response:	That's the Kishin?
context: What? Are you shaking?\How lame!\No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground.\That's the Kishin? response:	Maka!
context: How lame!\No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground.\That's the Kishin?\Maka! response:	The Kishin...
context: No! What's shaking is the ground, you idiot!\An earthquake?\Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground.\That's the Kishin?\Maka!\The Kishin... response:	I must... stop him...
context: An earthquake?\Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground.\That's the Kishin?\Maka!\The Kishin...\I must... stop him... response:	I must... stop him...
context: Seems like Eruka and the others did it.\Oi, what's that?\Something came out of the ground.\That's the Kishin?\Maka!\The Kishin...\I must... stop him...\I must... stop him... response:	You're amazing...
context: Oi, what's that?\Something came out of the ground.\That's the Kishin?\Maka!\The Kishin...\I must... stop him...\I must... stop him...\You're amazing... response:	What the...?
context: Something came out of the ground.\That's the Kishin?\Maka!\The Kishin...\I must... stop him...\I must... stop him...\You're amazing...\What the...? response:	Something's still coming out.
context: That's the Kishin?\Maka!\The Kishin...\I must... stop him...\I must... stop him...\You're amazing...\What the...?\Something's still coming out. response:	What's that?
context: Maka!\The Kishin...\I must... stop him...\I must... stop him...\You're amazing...\What the...?\Something's still coming out.\What's that? response:	That's...
context: The Kishin...\I must... stop him...\I must... stop him...\You're amazing...\What the...?\Something's still coming out.\What's that?\That's... response:	The Shinigami's seals are still alive?
context: I must... stop him...\I must... stop him...\You're amazing...\What the...?\Something's still coming out.\What's that?\That's...\The Shinigami's seals are still alive? response:	What's that?
context: I must... stop him...\You're amazing...\What the...?\Something's still coming out.\What's that?\That's...\The Shinigami's seals are still alive?\What's that? response:	Thanks to the Kishin drilling this big hole, we got to the surface easily.
context: You're amazing...\What the...?\Something's still coming out.\What's that?\That's...\The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily. response:	Ribbit.
context: What the...?\Something's still coming out.\What's that?\That's...\The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit. response:	Something's caught him!
context: Something's still coming out.\What's that?\That's...\The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him! response:	They must be the Shinigami's seals that were activated before.
context: What's that?\That's...\The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before. response:	Will he be okay?
context: That's...\The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay? response:	Those old seals can't stop the resurrected Kishin.
context: The Shinigami's seals are still alive?\What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin. response:	It's like he's ripping paper, isn't it?
context: What's that?\Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it? response:	Ribbit.
context: Thanks to the Kishin drilling this big hole, we got to the surface easily.\Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit. response:	Other than that...
context: Ribbit.\Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit.\Other than that... response:	Free, that -
context: Something's caught him!\They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit.\Other than that...\Free, that - response:	Look at that!
context: They must be the Shinigami's seals that were activated before.\Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit.\Other than that...\Free, that -\Look at that! response:	Oi, look!
context: Will he be okay?\Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit.\Other than that...\Free, that -\Look at that!\Oi, look! response:	What's wrong, Eruka?
context: Those old seals can't stop the resurrected Kishin.\It's like he's ripping paper, isn't it?\Ribbit.\Other than that...\Free, that -\Look at that!\Oi, look!\What's wrong, Eruka? response:	Wasn't your magic supposed to last for one hour?!
context: It's like he's ripping paper, isn't it?\Ribbit.\Other than that...\Free, that -\Look at that!\Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?! response:	It hasn't even been forty minutes!
context: Ribbit.\Other than that...\Free, that -\Look at that!\Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes! response:	Looks like I exaggerated a little on the time...
context: Other than that...\Free, that -\Look at that!\Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time... response:	I'm also a man.
context: Free, that -\Look at that!\Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man. response:	I have an image to keep.
context: Look at that!\Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep. response:	You're...
context: Oi, look!\What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep.\You're... response:	Shinigami.
context: What's wrong, Eruka?\Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep.\You're...\Shinigami. response:	Hey there!
context: Wasn't your magic supposed to last for one hour?!\It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep.\You're...\Shinigami.\Hey there! response:	It's been a while.
context: It hasn't even been forty minutes!\Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep.\You're...\Shinigami.\Hey there!\It's been a while. response:	You okay? You look a bit frail.
context: Looks like I exaggerated a little on the time...\I'm also a man.\I have an image to keep.\You're...\Shinigami.\Hey there!\It's been a while.\You okay? You look a bit frail. response:	You always wore thick clothing, so that light clothing must make you feel anxious.
context: I'm also a man.\I have an image to keep.\You're...\Shinigami.\Hey there!\It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious. response:	And what's with you... wearing that foolish mask?
context: I have an image to keep.\You're...\Shinigami.\Hey there!\It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask? response:	And what's with you... wearing that foolish mask?
context: You're...\Shinigami.\Hey there!\It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask? response:	Ah, you see...
context: Shinigami.\Hey there!\It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see... response:	After I beat you into the sack, I built a school for Technicians and Weapons.
context: Hey there!\It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons. response:	The children got scared of my old mask...
context: It's been a while.\You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask... response:	I couldn't even talk to them.
context: You okay? You look a bit frail.\You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them. response:	The little kids just ran off crying...
context: You always wore thick clothing, so that light clothing must make you feel anxious.\And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying... response:	Those seals are from long ago, so they still have a slightly scary face...
context: And what's with you... wearing that foolish mask?\And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face... response:	That comical way of speaking, too?
context: And what's with you... wearing that foolish mask?\Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too? response:	It became a part of me completely.
context: Ah, you see...\After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely. response:	Though you've just awakened, you'll have to excuse me, but...
context: After I beat you into the sack, I built a school for Technicians and Weapons.\The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but... response:	Die once again.
context: The children got scared of my old mask...\I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again. response:	Shinigami Chop!
context: I couldn't even talk to them.\The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop! response:	Shinigami...
context: The little kids just ran off crying...\Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop!\Shinigami... response:	The pain of having all your skin removed... Do you know how it feels?
context: Those seals are from long ago, so they still have a slightly scary face...\That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels? response:	I've forgotten it, too...
context: That comical way of speaking, too?\It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too... response:	Help me remember it!
context: It became a part of me completely.\Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it! response:	A shock wave, huh?
context: Though you've just awakened, you'll have to excuse me, but...\Die once again.\Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it!\A shock wave, huh? response:	Now it's my turn.
context: Die once again.\Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it!\A shock wave, huh?\Now it's my turn. response:	Dammit...
context: Shinigami Chop!\Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it!\A shock wave, huh?\Now it's my turn.\Dammit... response:	What is this?
context: Shinigami...\The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it!\A shock wave, huh?\Now it's my turn.\Dammit...\What is this? response:	It's too overwhelming!
context: The pain of having all your skin removed... Do you know how it feels?\I've forgotten it, too...\Help me remember it!\A shock wave, huh?\Now it's my turn.\Dammit...\What is this?\It's too overwhelming! response:	What are you guys doing?
context: I've forgotten it, too...\Help me remember it!\A shock wave, huh?\Now it's my turn.\Dammit...\What is this?\It's too overwhelming!\What are you guys doing? response:	Help out and look after the wounded!
context: Help me remember it!\A shock wave, huh?\Now it's my turn.\Dammit...\What is this?\It's too overwhelming!\What are you guys doing?\Help out and look after the wounded! response:	Y-Yes!
context: A shock wave, huh?\Now it's my turn.\Dammit...\What is this?\It's too overwhelming!\What are you guys doing?\Help out and look after the wounded!\Y-Yes! response:	Guide the elderly citizens out of the city!
context: Now it's my turn.\Dammit...\What is this?\It's too overwhelming!\What are you guys doing?\Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city! response:	Got it?
context: Dammit...\What is this?\It's too overwhelming!\What are you guys doing?\Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city!\Got it? response:	Understood!
context: What is this?\It's too overwhelming!\What are you guys doing?\Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city!\Got it?\Understood! response:	Understood!
context: It's too overwhelming!\What are you guys doing?\Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city!\Got it?\Understood!\Understood! response:	If those two actually fought seriously, who knows what would happen to Death City?
context: What are you guys doing?\Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city!\Got it?\Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City? response:	I'm counting on you, Shinigami-sama.
context: Help out and look after the wounded!\Y-Yes!\Guide the elderly citizens out of the city!\Got it?\Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama. response:	I said I wouldn't let you!
context: Y-Yes!\Guide the elderly citizens out of the city!\Got it?\Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you! response:	A-Amazing...
context: Guide the elderly citizens out of the city!\Got it?\Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing... response:	Even though he's not in his normal state yet...
context: Got it?\Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet... response:	Without a Death Scythe with me...
context: Understood!\Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me... response:	Move!
context: Understood!\If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move! response:	Vajra!
context: If those two actually fought seriously, who knows what would happen to Death City?\I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move!\Vajra! response:	You can't stop me!
context: I'm counting on you, Shinigami-sama.\I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move!\Vajra!\You can't stop me! response:	Shinigami-sama!
context: I said I wouldn't let you!\A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move!\Vajra!\You can't stop me!\Shinigami-sama! response:	How dare you, you low-life pig...
context: A-Amazing...\Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move!\Vajra!\You can't stop me!\Shinigami-sama!\How dare you, you low-life pig... response:	I'll scrape your skin right off!
context: Even though he's not in his normal state yet...\Without a Death Scythe with me...\Move!\Vajra!\You can't stop me!\Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off! response:	He repelled them.
context: Without a Death Scythe with me...\Move!\Vajra!\You can't stop me!\Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them. response:	How?
context: Move!\Vajra!\You can't stop me!\Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them.\How? response:	You piece of crap!
context: Vajra!\You can't stop me!\Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them.\How?\You piece of crap! response:	Cunning bastard...
