context: Painful Countdown response:	Here.
context: And the ocean's dangerous.\I'm not interested at all.\No more fishing! Forbidden!\Absolutely not!\What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that. response:	No fishing! Forbidden!
context: I'm not interested at all.\No more fishing! Forbidden!\Absolutely not!\What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden! response:	He's a hypocrite now?
context: No more fishing! Forbidden!\Absolutely not!\What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now? response:	What are you talking about?
context: Absolutely not!\What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now?\What are you talking about? response:	You're not making any sense!
context: What are you talking about?\You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now?\What are you talking about?\You're not making any sense! response:	No!
context: You're the one who said we should fish.\No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now?\What are you talking about?\You're not making any sense!\No! response:	Stop!
context: No fishing for you, Yuki.\What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now?\What are you talking about?\You're not making any sense!\No!\Stop! response:	Yamada, is that true?
context: What are you doing? Stop that.\No fishing! Forbidden!\He's a hypocrite now?\What are you talking about?\You're not making any sense!\No!\Stop!\Yamada, is that true? response:	Yes. I was there to witness it.
context: No fishing! Forbidden!\He's a hypocrite now?\What are you talking about?\You're not making any sense!\No!\Stop!\Yamada, is that true?\Yes. I was there to witness it. response:	I saw it...
context: He's a hypocrite now?\What are you talking about?\You're not making any sense!\No!\Stop!\Yamada, is that true?\Yes. I was there to witness it.\I saw it... response:	I saw it with my own eyes.
context: What are you talking about?\You're not making any sense!\No!\Stop!\Yamada, is that true?\Yes. I was there to witness it.\I saw it...\I saw it with my own eyes. response:	Bermuda Syndrome is the work of aliens,
context: You're not making any sense!\No!\Stop!\Yamada, is that true?\Yes. I was there to witness it.\I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens, response:	and JF1 is one of their kin.
context: No!\Stop!\Yamada, is that true?\Yes. I was there to witness it.\I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin. response:	Do you have proof?
context: Stop!\Yamada, is that true?\Yes. I was there to witness it.\I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof? response:	I told you, I saw it myself.
context: Yamada, is that true?\Yes. I was there to witness it.\I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself. response:	Did you record the event?
context: Yes. I was there to witness it.\I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself.\Did you record the event? response:	Well, it happened so suddenly...
context: I saw it...\I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly... response:	We understand your speculation,
context: I saw it with my own eyes.\Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly...\We understand your speculation, response:	but we are curious about one thing.
context: Bermuda Syndrome is the work of aliens,\and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing. response:	Twinkle!
context: and JF1 is one of their kin.\Do you have proof?\I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing.\Twinkle! response:	Why did you go fishing with them?
context: Do you have proof?\I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing.\Twinkle!\Why did you go fishing with them? response:	To observe JF1, of course.
context: I told you, I saw it myself.\Did you record the event?\Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing.\Twinkle!\Why did you go fishing with them?\To observe JF1, of course. response:	Is there a problem?
context: Did you record the event?\Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing.\Twinkle!\Why did you go fishing with them?\To observe JF1, of course.\Is there a problem? response:	Not at all.
context: Well, it happened so suddenly...\We understand your speculation,\but we are curious about one thing.\Twinkle!\Why did you go fishing with them?\To observe JF1, of course.\Is there a problem?\Not at all. response:	Stay an appropriate distance from the target at all times.
context: We understand your speculation,\but we are curious about one thing.\Twinkle!\Why did you go fishing with them?\To observe JF1, of course.\Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times. response:	Understood?
context: but we are curious about one thing.\Twinkle!\Why did you go fishing with them?\To observe JF1, of course.\Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times.\Understood? response:	Understood.
context: Twinkle!\Why did you go fishing with them?\To observe JF1, of course.\Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times.\Understood?\Understood. response:	Well, then.
context: Why did you go fishing with them?\To observe JF1, of course.\Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times.\Understood?\Understood.\Well, then. response:	Duck!
context: To observe JF1, of course.\Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times.\Understood?\Understood.\Well, then.\Duck! response:	Duck!
context: Is there a problem?\Not at all.\Stay an appropriate distance from the target at all times.\Understood?\Understood.\Well, then.\Duck!\Duck! response:	Damn it.
context: Not at all.\Stay an appropriate distance from the target at all times.\Understood?\Understood.\Well, then.\Duck!\Duck!\Damn it. response:	They don't believe me.
context: Stay an appropriate distance from the target at all times.\Understood?\Understood.\Well, then.\Duck!\Duck!\Damn it.\They don't believe me. response:	They would understand if they had been there.
context: Understood?\Understood.\Well, then.\Duck!\Duck!\Damn it.\They don't believe me.\They would understand if they had been there. response:	The Bermuda Syndrome is about to strike again.
context: Understood.\Well, then.\Duck!\Duck!\Damn it.\They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again. response:	Right here on Enoshima!
context: Well, then.\Duck!\Duck!\Damn it.\They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima! response:	I'll make dinner tomorrow.
context: Duck!\Duck!\Damn it.\They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow. response:	That's great. You can use the rest of the whitebait.
context: Duck!\Damn it.\They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait. response:	Okay. Maybe I'll make a salad.
context: Damn it.\They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad. response:	Yuki, be careful with that.
context: They don't believe me.\They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that. response:	Oh, sorry.
context: They would understand if they had been there.\The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry. response:	It feels great!
context: The Bermuda Syndrome is about to strike again.\Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry.\It feels great! response:	Having your own pole's nice, isn't it?
context: Right here on Enoshima!\I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry.\It feels great!\Having your own pole's nice, isn't it? response:	Yeah.
context: I'll make dinner tomorrow.\That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry.\It feels great!\Having your own pole's nice, isn't it?\Yeah. response:	Hey.
context: That's great. You can use the rest of the whitebait.\Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry.\It feels great!\Having your own pole's nice, isn't it?\Yeah.\Hey. response:	What's up with him?
context: Okay. Maybe I'll make a salad.\Yuki, be careful with that.\Oh, sorry.\It feels great!\Having your own pole's nice, isn't it?\Yeah.\Hey.\What's up with him? response:	Who knows?
context: Yuki, be careful with that.\Oh, sorry.\It feels great!\Having your own pole's nice, isn't it?\Yeah.\Hey.\What's up with him?\Who knows? response:	He said he's going to play soccer instead of fish now.
context: Oh, sorry.\It feels great!\Having your own pole's nice, isn't it?\Yeah.\Hey.\What's up with him?\Who knows?\He said he's going to play soccer instead of fish now. response:	I don't know what he's thinking.
context: It feels great!\Having your own pole's nice, isn't it?\Yeah.\Hey.\What's up with him?\Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking. response:	Don't think you can fool me with that.
context: Having your own pole's nice, isn't it?\Yeah.\Hey.\What's up with him?\Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that. response:	Akira, why are you dressed like that?
context: Yeah.\Hey.\What's up with him?\Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that? response:	It's supposed to rain today.
context: Hey.\What's up with him?\Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today. response:	Is that right?
context: What's up with him?\Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today.\Is that right? response:	Looks like you've really gotten into fishing.
context: Who knows?\He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing. response:	I've always liked fishing.
context: He said he's going to play soccer instead of fish now.\I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing. response:	Why don't you fish by yourself, then?
context: I don't know what he's thinking.\Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then? response:	I have my reasons.
context: Don't think you can fool me with that.\Akira, why are you dressed like that?\It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons. response:	Just be honest.
context: Akira, why are you dressed like that?\It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons.\Just be honest. response:	About what?
context: It's supposed to rain today.\Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons.\Just be honest.\About what? response:	I bet you had fun the other day.
context: Is that right?\Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons.\Just be honest.\About what?\I bet you had fun the other day. response:	Fishing for tuna with the rest of us.
context: Looks like you've really gotten into fishing.\I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons.\Just be honest.\About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us. response:	Ridiculous.
context: I've always liked fishing.\Why don't you fish by yourself, then?\I have my reasons.\Just be honest.\About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous. response:	You're not very cute, are you?
context: Why don't you fish by yourself, then?\I have my reasons.\Just be honest.\About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you? response:	So, Natsuki.
context: I have my reasons.\Just be honest.\About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you?\So, Natsuki. response:	What are you going to teach me today?
context: Just be honest.\About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you?\So, Natsuki.\What are you going to teach me today? response:	I'm not teaching you anything today.
context: About what?\I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you?\So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today. response:	What?
context: I bet you had fun the other day.\Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you?\So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today.\What? response:	Fishing's something you think about for yourself.
context: Fishing for tuna with the rest of us.\Ridiculous.\You're not very cute, are you?\So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today.\What?\Fishing's something you think about for yourself. response:	Based on your current location and conditions,
context: Ridiculous.\You're not very cute, are you?\So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today.\What?\Fishing's something you think about for yourself.\Based on your current location and conditions, response:	you come up with your own strategy.
context: You're not very cute, are you?\So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today.\What?\Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy. response:	A strategy.
context: So, Natsuki.\What are you going to teach me today?\I'm not teaching you anything today.\What?\Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy.\A strategy. response:	Yeah.
context: What are you going to teach me today?\I'm not teaching you anything today.\What?\Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy.\A strategy.\Yeah. response:	An angler's greatest moment is when it all comes together.
context: I'm not teaching you anything today.\What?\Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy.\A strategy.\Yeah.\An angler's greatest moment is when it all comes together. response:	I see.
context: What?\Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy.\A strategy.\Yeah.\An angler's greatest moment is when it all comes together.\I see. response:	Look at that.
context: Fishing's something you think about for yourself.\Based on your current location and conditions,\you come up with your own strategy.\A strategy.\Yeah.\An angler's greatest moment is when it all comes together.\I see.\Look at that. response:	Is that...
context: Based on your current location and conditions,\you come up with your own strategy.\A strategy.\Yeah.\An angler's greatest moment is when it all comes together.\I see.\Look at that.\Is that... response:	The sea bass are eating Japanese anchovies.
context: you come up with your own strategy.\A strategy.\Yeah.\An angler's greatest moment is when it all comes together.\I see.\Look at that.\Is that...\The sea bass are eating Japanese anchovies. response:	Go for the sea bass out there today.
context: A strategy.\Yeah.\An angler's greatest moment is when it all comes together.\I see.\Look at that.\Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today. response:	The rest is up to you.
context: Yeah.\An angler's greatest moment is when it all comes together.\I see.\Look at that.\Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you. response:	Huh? It's up to me? But...
context: An angler's greatest moment is when it all comes together.\I see.\Look at that.\Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But... response:	An angler has to develop
context: I see.\Look at that.\Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But...\An angler has to develop response:	a habit of always thinking of how to fish...
context: Look at that.\Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish... response:	so you're always ready, no matter what kind of tough catch appears.
context: Is that...\The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears. response:	A tough catch.
context: The sea bass are eating Japanese anchovies.\Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch. response:	I will go for the sea bass with this top water lure.
context: Go for the sea bass out there today.\The rest is up to you.\Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure. response:	I see. What about you, Yuki?
context: The rest is up to you.\Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki? response:	I, um...
context: Huh? It's up to me? But...\An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um... response:	You'll think of something.
context: An angler has to develop\a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um...\You'll think of something. response:	I'll use this sinking lure.
context: a habit of always thinking of how to fish...\so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um...\You'll think of something.\I'll use this sinking lure. response:	Why?
context: so you're always ready, no matter what kind of tough catch appears.\A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um...\You'll think of something.\I'll use this sinking lure.\Why? response:	It's just a hunch,
context: A tough catch.\I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um...\You'll think of something.\I'll use this sinking lure.\Why?\It's just a hunch, response:	but I thought sea bass feeding at
context: I will go for the sea bass with this top water lure.\I see. What about you, Yuki?\I, um...\You'll think of something.\I'll use this sinking lure.\Why?\It's just a hunch,\but I thought sea bass feeding at response:	the surface must be small.
context: I see. What about you, Yuki?\I, um...\You'll think of something.\I'll use this sinking lure.\Why?\It's just a hunch,\but I thought sea bass feeding at\the surface must be small. response:	I care more about numbers than size.
context: I, um...\You'll think of something.\I'll use this sinking lure.\Why?\It's just a hunch,\but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size. response:	I want to catch a big one.
context: You'll think of something.\I'll use this sinking lure.\Why?\It's just a hunch,\but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size.\I want to catch a big one. response:	I have a feeling the big one's biding his time in there.
context: I'll use this sinking lure.\Why?\It's just a hunch,\but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there. response:	I see. Is that the color you want to use?
context: Why?\It's just a hunch,\but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use? response:	The color?
context: It's just a hunch,\but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color? response:	You should match the color of your lure
context: but I thought sea bass feeding at\the surface must be small.\I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color?\You should match the color of your lure response:	to whatever the fish are eating.
context: the surface must be small.\I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color?\You should match the color of your lure\to whatever the fish are eating. response:	Then...
context: I care more about numbers than size.\I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color?\You should match the color of your lure\to whatever the fish are eating.\Then... response:	This one, I guess.
context: I want to catch a big one.\I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color?\You should match the color of your lure\to whatever the fish are eating.\Then...\This one, I guess. response:	Now you just have to figure out how deep their prey is.
context: I have a feeling the big one's biding his time in there.\I see. Is that the color you want to use?\The color?\You should match the color of your lure\to whatever the fish are eating.\Then...\This one, I guess.\Now you just have to figure out how deep their prey is. response:	How?
context: I see. Is that the color you want to use?\The color?\You should match the color of your lure\to whatever the fish are eating.\Then...\This one, I guess.\Now you just have to figure out how deep their prey is.\How? response:	With a countdown.
context: The color?\You should match the color of your lure\to whatever the fish are eating.\Then...\This one, I guess.\Now you just have to figure out how deep their prey is.\How?\With a countdown. response:	A countdown?
context: You should match the color of your lure\to whatever the fish are eating.\Then...\This one, I guess.\Now you just have to figure out how deep their prey is.\How?\With a countdown.\A countdown? response:	It's a method for measuring how long it takes for your lure to sink.
context: to whatever the fish are eating.\Then...\This one, I guess.\Now you just have to figure out how deep their prey is.\How?\With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink. response:	But how am I supposed to do that?
context: Then...\This one, I guess.\Now you just have to figure out how deep their prey is.\How?\With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that? response:	Figure it out yourself.
context: This one, I guess.\Now you just have to figure out how deep their prey is.\How?\With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that?\Figure it out yourself. response:	For example, this lure will sink to the bottom in five seconds.
context: Now you just have to figure out how deep their prey is.\How?\With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that?\Figure it out yourself.\For example, this lure will sink to the bottom in five seconds. response:	One... two... three... four... five.
context: How?\With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that?\Figure it out yourself.\For example, this lure will sink to the bottom in five seconds.\One... two... three... four... five. response:	That means it'll be around the middle at three seconds.
context: With a countdown.\A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that?\Figure it out yourself.\For example, this lure will sink to the bottom in five seconds.\One... two... three... four... five.\That means it'll be around the middle at three seconds. response:	You can measure five levels of depth this way.
context: A countdown?\It's a method for measuring how long it takes for your lure to sink.\But how am I supposed to do that?\Figure it out yourself.\For example, this lure will sink to the bottom in five seconds.\One... two... three... four... five.\That means it'll be around the middle at three seconds.\You can measure five levels of depth this way. response:	I see.
