context: The truth is... response:	Honestly, I wasn't going to play volleyball in high school.
context: everyone acted like that was expected.\I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope. response:	And that's where I met Rena.
context: I was always left out.\Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena. response:	Everyone's Selfish Desires
context: Kaizaki-kun, you asked me the other day\why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires response:	Okay, trial first-years, that's enough.
context: why I didn't go to a school with a better volleyball team.\I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough. response:	We're still going tomorrow, so come hang out, if you like.
context: I just got sick of it in junior high,\so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like. response:	Thank you!
context: so I turned down offers from all powerhouse teams.\But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you! response:	Thank goodness.
context: But I still wanted to play something,\so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness. response:	This is a prep school that doesn't care about sports too much.
context: so I came to check out the volleyball team, hoping against hope.\And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much. response:	Nobody knows who I am.
context: And that's where I met Rena.\Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am. response:	If I play well, I'll find good teammates to play volleyball with.
context: Everyone's Selfish Desires\Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with. response:	Hey.
context: Okay, trial first-years, that's enough.\We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey. response:	Got a sec?
context: We're still going tomorrow, so come hang out, if you like.\Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec? response:	You're Tamarai-san from Toyofuji Junior High, right?
context: Thank you!\Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right? response:	What the hell were you doing today?
context: Thank goodness.\This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today? response:	Mocking us?
context: This is a prep school that doesn't care about sports too much.\Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us? response:	You don't need to work any harder at Aoba, huh?
context: Nobody knows who I am.\If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh? response:	No, that's not...!
context: If I play well, I'll find good teammates to play volleyball with.\Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...! response:	Hit it.
context: Hey.\Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it. response:	For real.
context: Got a sec?\You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it.\For real. response:	Just do it.
context: You're Tamarai-san from Toyofuji Junior High, right?\What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it.\For real.\Just do it. response:	If you hold back, I'll be pissed.
context: What the hell were you doing today?\Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it.\For real.\Just do it.\If you hold back, I'll be pissed. response:	What's with this girl?
context: Mocking us?\You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it.\For real.\Just do it.\If you hold back, I'll be pissed.\What's with this girl? response:	A-Are you okay?
context: You don't need to work any harder at Aoba, huh?\No, that's not...!\Hit it.\For real.\Just do it.\If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay? response:	I'm sorry.
context: No, that's not...!\Hit it.\For real.\Just do it.\If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay?\I'm sorry. response:	I actually hit it with everything I had! Sorry!
context: Hit it.\For real.\Just do it.\If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry! response:	I knew it!
context: For real.\Just do it.\If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it! response:	I knew you were holding back!
context: Just do it.\If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back! response:	I'm Kariu Rena.
context: If you hold back, I'll be pissed.\What's with this girl?\A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back!\I'm Kariu Rena. response:	You'll join the team, right, Tamarai Honoka-san?
context: What's with this girl?\A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san? response:	For the next three years, I'm gonna practice real hard
context: A-Are you okay?\I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard response:	and get good enough to match you.
context: I'm sorry.\I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you. response:	Got it?
context: I actually hit it with everything I had! Sorry!\I knew it!\I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it? response:	Don't you dare hold back again.
context: I knew it!\I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it?\Don't you dare hold back again. response:	It was my first time having a rival. I was overjoyed.
context: I knew you were holding back!\I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed. response:	If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.
context: I'm Kariu Rena.\You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here. response:	I'm really grateful to her.
context: You'll join the team, right, Tamarai Honoka-san?\For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her. response:	That's why I want to play our last match together.
context: For the next three years, I'm gonna practice real hard\and get good enough to match you.\Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together. response:	But Rena said she couldn't.
context: and get good enough to match you.\Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't. response:	Not just that. I'm scared we won't even be friends anymore.
context: Got it?\Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore. response:	I want to talk to her...
context: Don't you dare hold back again.\It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her... response:	But she might push me away again.
context: It was my first time having a rival. I was overjoyed.\If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again. response:	I'm afraid the next time I speak to her really will be the last.
context: If it weren't for Rena, I wouldn't have gotten to spend three wonderful years here.\I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last. response:	I'm scared.
context: I'm really grateful to her.\That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared. response:	You're good friends.
context: That's why I want to play our last match together.\But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends. response:	You should treasure that.
context: But Rena said she couldn't.\Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends.\You should treasure that. response:	I transferred a lot as a kid.
context: Not just that. I'm scared we won't even be friends anymore.\I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends.\You should treasure that.\I transferred a lot as a kid. response:	Hello, I'm Hishiro Chizuru!
context: I want to talk to her...\But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends.\You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru! response:	Nice to meet you!
context: But she might push me away again.\I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends.\You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you! response:	I'd make friends, and then transfer again.
context: I'm afraid the next time I speak to her really will be the last.\I'm scared.\You're good friends.\You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again. response:	Hello. I'm Hishiro Chizuru.
context: I'm scared.\You're good friends.\You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru. response:	Nice to meet you.
context: You're good friends.\You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you. response:	I could feel my heart growing numb.
context: You should treasure that.\I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb. response:	Was there any point to me being there?
context: I transferred a lot as a kid.\Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there? response:	I grew convinced that no one would even remember me.
context: Hello, I'm Hishiro Chizuru!\Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me. response:	I'm Hishiro Chizuru.
context: Nice to meet you!\I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru. response:	Nice to meet you.
context: I'd make friends, and then transfer again.\Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you. response:	I gave up on knowing people.
context: Hello. I'm Hishiro Chizuru.\Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people. response:	And this mess is the result.
context: Nice to meet you.\I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people.\And this mess is the result. response:	This mess?
context: I could feel my heart growing numb.\Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people.\And this mess is the result.\This mess? response:	If you keep avoiding her, you'll drift further apart,
context: Was there any point to me being there?\I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people.\And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart, response:	and you really won't know how to talk to them.
context: I grew convinced that no one would even remember me.\I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people.\And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them. response:	Value the friends you have.
context: I'm Hishiro Chizuru.\Nice to meet you.\I gave up on knowing people.\And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have. response:	Don't give up like I did.
context: Nice to meet you.\I gave up on knowing people.\And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did. response:	The bond between you two makes me...
context: I gave up on knowing people.\And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did.\The bond between you two makes me... response:	Makes me...
context: And this mess is the result.\This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did.\The bond between you two makes me...\Makes me... response:	The bond between you makes me very jealous.
context: This mess?\If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did.\The bond between you two makes me...\Makes me...\The bond between you makes me very jealous. response:	The times you're spending now, and the friends you have,
context: If you keep avoiding her, you'll drift further apart,\and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did.\The bond between you two makes me...\Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have, response:	are irreplaceable.
context: and you really won't know how to talk to them.\Value the friends you have.\Don't give up like I did.\The bond between you two makes me...\Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable. response:	Make the most of them, or you'll regret it someday.
context: Value the friends you have.\Don't give up like I did.\The bond between you two makes me...\Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday. response:	Thank you, Hishiron. Kaizaki-kun.
context: Don't give up like I did.\The bond between you two makes me...\Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun. response:	I'll go talk to Rena.
context: The bond between you two makes me...\Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena. response:	I can't leave things like this.
context: Makes me...\The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this. response:	Thanks! You've given me strength!
context: The bond between you makes me very jealous.\The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength! response:	You haven't smiled like that in a while.
context: The times you're spending now, and the friends you have,\are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while. response:	Is that right?
context: are irreplaceable.\Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right? response:	You were quite ugly the other day.
context: Make the most of them, or you'll regret it someday.\Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day. response:	Don't say that!
context: Thank you, Hishiron. Kaizaki-kun.\I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day.\Don't say that! response:	Ah, sorry we kept you this long.
context: I'll go talk to Rena.\I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long. response:	Okay. Let's go.
context: I can't leave things like this.\Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go. response:	Crap!
context: Thanks! You've given me strength!\You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go.\Crap! response:	Hide!
context: You haven't smiled like that in a while.\Is that right?\You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go.\Crap!\Hide! response:	Hey, don't push...!
context: Is that right?\You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go.\Crap!\Hide!\Hey, don't push...! response:	Nah, I got it...
context: You were quite ugly the other day.\Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go.\Crap!\Hide!\Hey, don't push...!\Nah, I got it... response:	What are you doing?
context: Don't say that!\Ah, sorry we kept you this long.\Okay. Let's go.\Crap!\Hide!\Hey, don't push...!\Nah, I got it...\What are you doing? response:	Wait, Rena! Please!
context: Ah, sorry we kept you this long.\Okay. Let's go.\Crap!\Hide!\Hey, don't push...!\Nah, I got it...\What are you doing?\Wait, Rena! Please! response:	Your ankle seems better.
context: Okay. Let's go.\Crap!\Hide!\Hey, don't push...!\Nah, I got it...\What are you doing?\Wait, Rena! Please!\Your ankle seems better. response:	Good.
context: Crap!\Hide!\Hey, don't push...!\Nah, I got it...\What are you doing?\Wait, Rena! Please!\Your ankle seems better.\Good. response:	I really want to play in the tournament with you.
context: Hide!\Hey, don't push...!\Nah, I got it...\What are you doing?\Wait, Rena! Please!\Your ankle seems better.\Good.\I really want to play in the tournament with you. response:	I don't want things to end like this.
context: Hey, don't push...!\Nah, I got it...\What are you doing?\Wait, Rena! Please!\Your ankle seems better.\Good.\I really want to play in the tournament with you.\I don't want things to end like this. response:	It's my fault you got hurt, so maybe I'm being selfish.
context: Nah, I got it...\What are you doing?\Wait, Rena! Please!\Your ankle seems better.\Good.\I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish. response:	But please. Come back to the team.
context: What are you doing?\Wait, Rena! Please!\Your ankle seems better.\Good.\I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team. response:	Let's play together again.
context: Wait, Rena! Please!\Your ankle seems better.\Good.\I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again. response:	I already told Amatsu-sensei.
context: Your ankle seems better.\Good.\I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei. response:	I'm gonna retire.
context: Good.\I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire. response:	But, you c
context: I really want to play in the tournament with you.\I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire.\But, you c response:	I'm done with the team!
context: I don't want things to end like this.\It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire.\But, you c\I'm done with the team! response:	I don't care!
context: It's my fault you got hurt, so maybe I'm being selfish.\But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire.\But, you c\I'm done with the team!\I don't care! response:	Just let it drop!
context: But please. Come back to the team.\Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire.\But, you c\I'm done with the team!\I don't care!\Just let it drop! response:	Kariu-san!
context: Let's play together again.\I already told Amatsu-sensei.\I'm gonna retire.\But, you c\I'm done with the team!\I don't care!\Just let it drop!\Kariu-san! response:	I'm going to watch the tournament.
context: I already told Amatsu-sensei.\I'm gonna retire.\But, you c\I'm done with the team!\I don't care!\Just let it drop!\Kariu-san!\I'm going to watch the tournament. response:	I want to see what you two always looked so happy talking about.
context: I'm gonna retire.\But, you c\I'm done with the team!\I don't care!\Just let it drop!\Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about. response:	Tamarai-san.
context: But, you c\I'm done with the team!\I don't care!\Just let it drop!\Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san. response:	I dunno if I should say this,
context: I'm done with the team!\I don't care!\Just let it drop!\Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this, response:	but Kariu was crying the other day.
context: I don't care!\Just let it drop!\Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day. response:	The day after she got hurt, I think.
context: Just let it drop!\Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think. response:	Back then, I had no idea why she was crying.
context: Kariu-san!\I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying. response:	But I think I get it now.
context: I'm going to watch the tournament.\I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now. response:	If she really didn't care about you or the club,
context: I want to see what you two always looked so happy talking about.\Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club, response:	I don't think she'd cry.
