context: Why am I in this crowd? response:	No no, if I make it through there's a mountain of dojinshi waiting for me.
context: I've just been over-excited since yesterday, and it's worn me out...\It's still too early to be tired.\That's true...\Kohsaka stands out...\But still...\Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express. response:	My life reflected in the train window.
context: It's still too early to be tired.\That's true...\Kohsaka stands out...\But still...\Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window. response:	I'm sure I have something that I won't lose to anyone in Japan...
context: That's true...\Kohsaka stands out...\But still...\Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan... response:	I can't run fast, though.
context: Kohsaka stands out...\But still...\Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though. response:	I'm not that strongly-built.
context: But still...\Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built. response:	Here I go, at my dauntless pace.
context: Is it 100 otaku in here?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace. response:	Pass away, today's sadness, raining in the sun!
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun! response:	Hesitation, repetition, dreaming all night, all night.
context: I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night. response:	Farewell sadness, to outer space you go!
context: My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go! response:	Look to the sky and shout at the top of your lungs!
context: I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs! response:	At this tempo!
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	International Exhibition Hall Station
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station response:	The foreboding of a storm...
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm... response:	M-Madarame's getting into character s-so don't mind him.
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him. response:	Oh...
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh... response:	We took the first train, so why are so many people lined up already?
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already? response:	They've been here all night, of course.
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course. response:	I-Isn't that prohibited?
context: Genshiken Right now, at this tempo!\International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited? response:	Besides, it's such bad weather...
context: International Exhibition Hall Station\The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather... response:	A storm, in fact.
context: The foreboding of a storm...\M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact. response:	Oh...
context: M-Madarame's getting into character s-so don't mind him.\Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact.\Oh... response:	Well, it's not like I'd want to go that far.
context: Oh...\We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact.\Oh...\Well, it's not like I'd want to go that far. response:	I-lf Kasukabe were here she wouldn't understand a word of this.
context: We took the first train, so why are so many people lined up already?\They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact.\Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this. response:	No, I don't think she'd realize she was missing anything.
context: They've been here all night, of course.\I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact.\Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything. response:	Ugh, high humidity.
context: I-Isn't that prohibited?\Besides, it's such bad weather...\A storm, in fact.\Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity. response:	Why's the air so hot?
context: Besides, it's such bad weather...\A storm, in fact.\Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot? response:	It sure is hot.
context: A storm, in fact.\Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot?\It sure is hot. response:	Oh yeah!
context: Oh...\Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot?\It sure is hot.\Oh yeah! response:	Why are you so cheerful?
context: Well, it's not like I'd want to go that far.\I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot?\It sure is hot.\Oh yeah!\Why are you so cheerful? response:	This bad weather makes it feel like a real event.
context: I-lf Kasukabe were here she wouldn't understand a word of this.\No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot?\It sure is hot.\Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event. response:	It's times like this when things like religious experiences happen!
context: No, I don't think she'd realize she was missing anything.\Ugh, high humidity.\Why's the air so hot?\It sure is hot.\Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen! response:	You think so?
context: Ugh, high humidity.\Why's the air so hot?\It sure is hot.\Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so? response:	Religious experiences aside, this weather is a rare thing.
context: Why's the air so hot?\It sure is hot.\Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing. response:	Y-You're right.
context: It sure is hot.\Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right. response:	Recently it's been otherwise, but in the past...
context: Oh yeah!\Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past... response:	Wow, is that so...
context: Why are you so cheerful?\This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so... response:	Yes!
context: This bad weather makes it feel like a real event.\It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so...\Yes! response:	I get the feeling something will happen today!
context: It's times like this when things like religious experiences happen!\You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so...\Yes!\I get the feeling something will happen today! response:	Something divinely inspired!
context: You think so?\Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so...\Yes!\I get the feeling something will happen today!\Something divinely inspired! response:	You lost me...
context: Religious experiences aside, this weather is a rare thing.\Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so...\Yes!\I get the feeling something will happen today!\Something divinely inspired!\You lost me... response:	Stop and go, what a drag!
context: Y-You're right.\Recently it's been otherwise, but in the past...\Wow, is that so...\Yes!\I get the feeling something will happen today!\Something divinely inspired!\You lost me...\Stop and go, what a drag! response:	But we're definitely making progress.
context: Recently it's been otherwise, but in the past...\Wow, is that so...\Yes!\I get the feeling something will happen today!\Something divinely inspired!\You lost me...\Stop and go, what a drag!\But we're definitely making progress. response:	I've got a total runner's high.
context: Wow, is that so...\Yes!\I get the feeling something will happen today!\Something divinely inspired!\You lost me...\Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high. response:	Huh?
context: Yes!\I get the feeling something will happen today!\Something divinely inspired!\You lost me...\Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high.\Huh? response:	The world of light!
context: I get the feeling something will happen today!\Something divinely inspired!\You lost me...\Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high.\Huh?\The world of light! response:	Running in place is depressing.
context: Something divinely inspired!\You lost me...\Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high.\Huh?\The world of light!\Running in place is depressing. response:	Why not go actually run for a bit?
context: You lost me...\Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high.\Huh?\The world of light!\Running in place is depressing.\Why not go actually run for a bit? response:	We'll keep your place in line.
context: Stop and go, what a drag!\But we're definitely making progress.\I've got a total runner's high.\Huh?\The world of light!\Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line. response:	Good idea!
context: But we're definitely making progress.\I've got a total runner's high.\Huh?\The world of light!\Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line.\Good idea! response:	Are you serious?
context: I've got a total runner's high.\Huh?\The world of light!\Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line.\Good idea!\Are you serious? response:	Just kidding, I'd never mess up the line like...
context: Huh?\The world of light!\Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line.\Good idea!\Are you serious?\Just kidding, I'd never mess up the line like... response:	M-Madarame, are you all right?
context: The world of light!\Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line.\Good idea!\Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right? response:	He's embarrassed.
context: Running in place is depressing.\Why not go actually run for a bit?\We'll keep your place in line.\Good idea!\Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed. response:	This could become legendary.
context: Why not go actually run for a bit?\We'll keep your place in line.\Good idea!\Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed.\This could become legendary. response:	Yeah, um, well...
context: We'll keep your place in line.\Good idea!\Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed.\This could become legendary.\Yeah, um, well... response:	Am I in trouble?
context: Good idea!\Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed.\This could become legendary.\Yeah, um, well...\Am I in trouble? response:	It's sprained...
context: Are you serious?\Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed.\This could become legendary.\Yeah, um, well...\Am I in trouble?\It's sprained... response:	No, broken...
context: Just kidding, I'd never mess up the line like...\M-Madarame, are you all right?\He's embarrassed.\This could become legendary.\Yeah, um, well...\Am I in trouble?\It's sprained...\No, broken... response:	But at least my fingers move, and it doesn't feel like it's snapped...
context: M-Madarame, are you all right?\He's embarrassed.\This could become legendary.\Yeah, um, well...\Am I in trouble?\It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped... response:	I need to hit the corporate booths before dojinshi today!
context: He's embarrassed.\This could become legendary.\Yeah, um, well...\Am I in trouble?\It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today! response:	My first priority is to get my hands on the commemorative limited edition...
context: This could become legendary.\Yeah, um, well...\Am I in trouble?\It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition... response:	All you have to do is line up for them!
context: Yeah, um, well...\Am I in trouble?\It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them! response:	I can do it!
context: Am I in trouble?\It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it! response:	Piece of cake!
context: It's sprained...\No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it!\Piece of cake! response:	I just need to get to them...
context: No, broken...\But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it!\Piece of cake!\I just need to get to them... response:	You sure got quiet.
context: But at least my fingers move, and it doesn't feel like it's snapped...\I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it!\Piece of cake!\I just need to get to them...\You sure got quiet. response:	Of c-course, he's embarrassed.
context: I need to hit the corporate booths before dojinshi today!\My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it!\Piece of cake!\I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed. response:	Good, I'll go as far as I can, to the divine domain!
context: My first priority is to get my hands on the commemorative limited edition...\All you have to do is line up for them!\I can do it!\Piece of cake!\I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain! response:	It feels like I can reach heaven!
context: All you have to do is line up for them!\I can do it!\Piece of cake!\I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven! response:	The exhibit hall is currently terribly crowded.
context: I can do it!\Piece of cake!\I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded. response:	Please do not rush, but walk slowly and carefully.
context: Piece of cake!\I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully. response:	We thank you for your cooperation.
context: I just need to get to them...\You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation. response:	Posters, pencil boards...
context: You sure got quiet.\Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards... response:	Would it be best to check what the trading cards are now?
context: Of c-course, he's embarrassed.\Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now? response:	B-Before that let's get in the card-only line.
context: Good, I'll go as far as I can, to the divine domain!\It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line. response:	If it's there, we can always g-get out.
context: It feels like I can reach heaven!\The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out. response:	That's true.
context: The exhibit hall is currently terribly crowded.\Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true. response:	Madarame?
context: Please do not rush, but walk slowly and carefully.\We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true.\Madarame? response:	We're going.
context: We thank you for your cooperation.\Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true.\Madarame?\We're going. response:	Uh, yeah.
context: Posters, pencil boards...\Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true.\Madarame?\We're going.\Uh, yeah. response:	I-I don't have t-today's rare card.
context: Would it be best to check what the trading cards are now?\B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true.\Madarame?\We're going.\Uh, yeah.\I-I don't have t-today's rare card. response:	Neither do I.
context: B-Before that let's get in the card-only line.\If it's there, we can always g-get out.\That's true.\Madarame?\We're going.\Uh, yeah.\I-I don't have t-today's rare card.\Neither do I. response:	Or me...
context: If it's there, we can always g-get out.\That's true.\Madarame?\We're going.\Uh, yeah.\I-I don't have t-today's rare card.\Neither do I.\Or me... response:	W-Well, I'll sort them so gather them up.
context: That's true.\Madarame?\We're going.\Uh, yeah.\I-I don't have t-today's rare card.\Neither do I.\Or me...\W-Well, I'll sort them so gather them up. response:	What about you, Madarame?
context: Madarame?\We're going.\Uh, yeah.\I-I don't have t-today's rare card.\Neither do I.\Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame? response:	Sorry, Sasahara, look for me.
context: We're going.\Uh, yeah.\I-I don't have t-today's rare card.\Neither do I.\Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me. response:	What?
context: Uh, yeah.\I-I don't have t-today's rare card.\Neither do I.\Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me.\What? response:	It turns out I twisted my wrist when I fell.
context: I-I don't have t-today's rare card.\Neither do I.\Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell. response:	Are you all right?
context: Neither do I.\Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell.\Are you all right? response:	Is it swollen?
context: Or me...\W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen? response:	Well, I haven't looked...
context: W-Well, I'll sort them so gather them up.\What about you, Madarame?\Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen?\Well, I haven't looked... response:	Anyway you look at it, that's a sprain, or maybe even worse...
context: What about you, Madarame?\Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse... response:	You think so too?
context: Sorry, Sasahara, look for me.\What?\It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too? response:	I even forgot to act like Tetsuo.
context: What?\It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo. response:	Huh?
context: It turns out I twisted my wrist when I fell.\Are you all right?\Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo.\Huh? response:	In any case, you should hurry to Medical...
context: Are you all right?\Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical... response:	I'm okay, I'm okay...
context: Is it swollen?\Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay... response:	I can stay...
context: Well, I haven't looked...\Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay... response:	Here.
context: Anyway you look at it, that's a sprain, or maybe even worse...\You think so too?\I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay...\Here. response:	Well, if you say so...
context: You think so too?\I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay...\Here.\Well, if you say so... response:	There it is...
context: I even forgot to act like Tetsuo.\Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay...\Here.\Well, if you say so...\There it is... response:	The rare card.
context: Huh?\In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay...\Here.\Well, if you say so...\There it is...\The rare card. response:	I have seen God.
context: In any case, you should hurry to Medical...\I'm okay, I'm okay...\I can stay...\Here.\Well, if you say so...\There it is...\The rare card.\I have seen God. response:	You can stop now...
context: I'm okay, I'm okay...\I can stay...\Here.\Well, if you say so...\There it is...\The rare card.\I have seen God.\You can stop now... response:	Man, that's brave...
context: I can stay...\Here.\Well, if you say so...\There it is...\The rare card.\I have seen God.\You can stop now...\Man, that's brave... response:	Brave and risky...
context: Here.\Well, if you say so...\There it is...\The rare card.\I have seen God.\You can stop now...\Man, that's brave...\Brave and risky... response:	Are y-you seriously okay, Madarame?
context: Well, if you say so...\There it is...\The rare card.\I have seen God.\You can stop now...\Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame? response:	It gradually hurts less and less...
context: There it is...\The rare card.\I have seen God.\You can stop now...\Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less... response:	I-Isn't that bad?
context: The rare card.\I have seen God.\You can stop now...\Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad? response:	Come on, here's where it really begins!
context: I have seen God.\You can stop now...\Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins! response:	We're finally at the east hall!
