context: ED response:	Man, this week's storyboard is good too.
context: There's nothing wrong with the art.\But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling. response:	R-Right.
context: But it's dropped in the rankings ever since the anime ended,\and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling.\R-Right. response:	Niizuma's got a point.
context: and this week it's 10th.\I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point. response:	The latest chapters are pretty dull.
context: I know you're doing the art for both, but...\It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point.\The latest chapters are pretty dull. response:	The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.
context: It's because the story for NATURAL isn't interesting.\I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last. response:	Yes, it's the same pattern over and over again.
context: I'm not the story writer.\If you want it to be popular,\you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again. response:	You two sure don't pull any punches.
context: If you want it to be popular,\you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches. response:	The story might improve if I'm allowed to make changes.
context: you and Akina have to make the story compelling.\R-Right.\Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes. response:	But I can only change so many things.
context: R-Right.\Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things. response:	Akina has her pride, after all.
context: Niizuma's got a point.\The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all. response:	Yeah, no kidding.
context: The latest chapters are pretty dull.\The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding. response:	Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.
context: The story's turned into an endless repetition of defeating bad guys, each one stronger than the last.\Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy. response:	At least NATURAL's manga volumes are still selling well...
context: Yes, it's the same pattern over and over again.\You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well... response:	Do you think Niizuma doesn't like the way NATURAL is dragging on?
context: You two sure don't pull any punches.\The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on? response:	Yeah.
context: The story might improve if I'm allowed to make changes.\But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah. response:	It's certainly past its peak.
context: But I can only change so many things.\Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak. response:	I'm finding it hard to breathe when it's just the two of us, Nakai.
context: Akina has her pride, after all.\Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai. response:	It's like there's less oxygen in here than there should be.
context: Yeah, no kidding.\Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be. response:	It's not like I actually want to be your assistant.
context: Forming a relationship with her similar to what Ashirogi Mutou has won't be easy.\At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant. response:	That's no reason to let the quality of your art drop, Nakai.
context: At least NATURAL's manga volumes are still selling well...\Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai. response:	It won't match unless I drop my quality down to the level of your art.
context: Do you think Niizuma doesn't like the way NATURAL is dragging on?\Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art. response:	Why do you insist on talking to me like we're buddies?
context: Yeah.\It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies? response:	Aren't I top dog here?
context: It's certainly past its peak.\I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here? response:	I get the feeling you think pretty highly of yourself.
context: I'm finding it hard to breathe when it's just the two of us, Nakai.\It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself. response:	Believe me, I'd rather not speak to you like we're friends.
context: It's like there's less oxygen in here than there should be.\It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends. response:	Why not?
context: It's not like I actually want to be your assistant.\That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not? response:	Because things are going well between you and Aoki, obviously!
context: That's no reason to let the quality of your art drop, Nakai.\It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously! response:	Nakai! Are you telling me you haven't given up on her?!
context: It won't match unless I drop my quality down to the level of your art.\Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?! response:	Oh, I just got an idea! I think we can use it.
context: Why do you insist on talking to me like we're buddies?\Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it. response:	I did give up on her, but I can't help but feel jealous!
context: Aren't I top dog here?\I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous! response:	Do you have any idea how I feel, having to work with you?!
context: I get the feeling you think pretty highly of yourself.\Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?! response:	What I'd give to have a girlfriend...
context: Believe me, I'd rather not speak to you like we're friends.\Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend... response:	Why don't you ask Mr. Yoshida for advice?
context: Why not?\Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice? response:	Huh?
context: Because things are going well between you and Aoki, obviously!\Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh? response:	It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.
context: Nakai! Are you telling me you haven't given up on her?!\Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida. response:	Really?!
context: Oh, I just got an idea! I think we can use it.\I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?! response:	Speak of the devil.
context: I did give up on her, but I can't help but feel jealous!\Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil. response:	What?
context: Do you have any idea how I feel, having to work with you?!\What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil.\What? response:	Nakai? With a girl?
context: What I'd give to have a girlfriend...\Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil.\What?\Nakai? With a girl? response:	Impossible.
context: Why don't you ask Mr. Yoshida for advice?\Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil.\What?\Nakai? With a girl?\Impossible. response:	I know, right?
context: Huh?\It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil.\What?\Nakai? With a girl?\Impossible.\I know, right? response:	Not even you can help him, Mr. Yoshida.
context: It's no secret that my relationship with Aoki started by following advice from Mr. Yoshida.\Really?!\Speak of the devil.\What?\Nakai? With a girl?\Impossible.\I know, right?\Not even you can help him, Mr. Yoshida. response:	Wait a second! If I can make this work...
context: Really?!\Speak of the devil.\What?\Nakai? With a girl?\Impossible.\I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work... response:	Do you really want a girlfriend?
context: Speak of the devil.\What?\Nakai? With a girl?\Impossible.\I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend? response:	O-Of course!
context: What?\Nakai? With a girl?\Impossible.\I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course! response:	You'd be required to follow a diet plan that I would create for you.
context: Nakai? With a girl?\Impossible.\I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you. response:	However, that would lessen a negative influence on Hiramaru,
context: Impossible.\I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru, response:	namely the financial burden of supporting your overeating habits.
context: I know, right?\Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits. response:	Is that all you care about, Mr. Yoshida?!
context: Not even you can help him, Mr. Yoshida.\Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?! response:	But it's true that no matter how much you eat, that feedI mean, food,
context: Wait a second! If I can make this work...\Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food, response:	is not a major source of negativity for Hiramaru at this point in time.
context: Do you really want a girlfriend?\O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time. response:	More important is the risk that you would succumb to obesity-related diseases.
context: O-Of course!\You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases. response:	Your skills as an assistant are practically wasted on Hiramaru.
context: You'd be required to follow a diet plan that I would create for you.\However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru. response:	Nakai.
context: However, that would lessen a negative influence on Hiramaru,\namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai. response:	If you truly intend to follow my teachings,
context: namely the financial burden of supporting your overeating habits.\Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings, response:	then I'll rise to the challenge of transforming you into a Super Manga Author.
context: Is that all you care about, Mr. Yoshida?!\But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author. response:	Super Manga Author?!
context: But it's true that no matter how much you eat, that feedI mean, food,\is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?! response:	Yes! Like a manga Super Saiyan!
context: is not a major source of negativity for Hiramaru at this point in time.\More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan! response:	We'll turn you into a first rate manga author in mind, manners, agility, and looks.
context: More important is the risk that you would succumb to obesity-related diseases.\Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks. response:	You'll be able to turn the head of any womanAoki included!
context: Your skills as an assistant are practically wasted on Hiramaru.\Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included! response:	You already have the skills. I know you can do it!
context: Nakai.\If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it! response:	Mr. Yoshida! What are you saying?!
