context: I can hear cats meowing. response:	Say, you cats have nine lives, do you not?
context: Bring them in.\This train is not meant for humans.\A cat?\Pleased to meet you, sir mage.\Word travels fast.\Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life, response:	but this is my seventh.
context: This train is not meant for humans.\A cat?\Pleased to meet you, sir mage.\Word travels fast.\Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh. response:	There would be something wrong with me if I couldn't.
context: A cat?\Pleased to meet you, sir mage.\Word travels fast.\Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't. response:	First? Seventh?
context: Pleased to meet you, sir mage.\Word travels fast.\Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh? response:	Haven't you heard?
context: Word travels fast.\Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard? response:	Cats have nine lives.
context: Rumors spread a hundred miles a day in the cat world.\He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard?\Cats have nine lives. response:	Nine lives?
context: He spoke.\Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard?\Cats have nine lives.\Nine lives? response:	Exactly.
context: Perhaps that would be surprising for a cat on its first or second life,\but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard?\Cats have nine lives.\Nine lives?\Exactly. response:	We cats become wiser with each life.
context: but this is my seventh.\There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard?\Cats have nine lives.\Nine lives?\Exactly.\We cats become wiser with each life. response:	We too have the idea of countries and kings.
context: There would be something wrong with me if I couldn't.\First? Seventh?\Haven't you heard?\Cats have nine lives.\Nine lives?\Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings. response:	Our King of Cats awaits at Ulthar, sir mage.
context: First? Seventh?\Haven't you heard?\Cats have nine lives.\Nine lives?\Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage. response:	There are a lot of cats here.
context: Haven't you heard?\Cats have nine lives.\Nine lives?\Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here. response:	That's why it's the Kingdom of Cats.
context: Cats have nine lives.\Nine lives?\Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats. response:	Here, there have historically been many cat lovers
context: Nine lives?\Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers response:	and none who are cruel to us, so naturally, our numbers grew.
context: Exactly.\We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew. response:	There are some other reasons as well, though.
context: We cats become wiser with each life.\We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though. response:	Barney! Where the heck have you been?
context: We too have the idea of countries and kings.\Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been? response:	The King wanted me to take a look, so I was on patrol, Jasper.
context: Our King of Cats awaits at Ulthar, sir mage.\There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper. response:	You have a scent that takes me back.
context: There are a lot of cats here.\That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back. response:	You smell kind of like the mages that I used to see around.
context: That's why it's the Kingdom of Cats.\Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around. response:	What an overly chatty animal.
context: Here, there have historically been many cat lovers\and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal. response:	Shut it, you prickly Thorn Mage.
context: and none who are cruel to us, so naturally, our numbers grew.\There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage. response:	I'm not going to scratch up your bride, so don't worry.
context: There are some other reasons as well, though.\Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry. response:	Even cats know about this?
context: Barney! Where the heck have you been?\The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this? response:	Cats' rumors can easily make it to the other side of the world.
context: The King wanted me to take a look, so I was on patrol, Jasper.\You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world. response:	She just looked at me.
context: You have a scent that takes me back.\You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me. response:	Oh, yeah. Where's this King?
context: You smell kind of like the mages that I used to see around.\What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King? response:	Right next to you.
context: What an overly chatty animal.\Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King?\Right next to you. response:	Hello, mage and apprentice.
context: Shut it, you prickly Thorn Mage.\I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice. response:	You're the King of Cats?
context: I'm not going to scratch up your bride, so don't worry.\Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice.\You're the King of Cats? response:	Yes.
context: Even cats know about this?\Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice.\You're the King of Cats?\Yes. response:	My name is Molly.
context: Cats' rumors can easily make it to the other side of the world.\She just looked at me.\Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice.\You're the King of Cats?\Yes.\My name is Molly. response:	You must be Chise.
context: She just looked at me.\Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice.\You're the King of Cats?\Yes.\My name is Molly.\You must be Chise. response:	You struck me as odd, choosing to pair bond with this cranky man.
context: Oh, yeah. Where's this King?\Right next to you.\Hello, mage and apprentice.\You're the King of Cats?\Yes.\My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man. response:	Shut up.
context: Right next to you.\Hello, mage and apprentice.\You're the King of Cats?\Yes.\My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up. response:	Pair bond...
context: Hello, mage and apprentice.\You're the King of Cats?\Yes.\My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond... response:	I'm glad to see you both here.
context: You're the King of Cats?\Yes.\My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond...\I'm glad to see you both here. response:	I don't know what I would have done if they'd sent a sorcerer instead.
context: Yes.\My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead. response:	Would it have been bad if we were sorcerers?
context: My name is Molly.\You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers? response:	We hate sorcerers, lady!
context: You must be Chise.\You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady! response:	They're skeevy, lawless lowlifes!
context: You struck me as odd, choosing to pair bond with this cranky man.\Shut up.\Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes! response:	I don't wanna be anywhere near them.
context: Shut up.\Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them. response:	I know you were sent here by the Church.
context: Pair bond...\I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church. response:	I wish I could tell you that there was nothing wrong with our land.
context: I'm glad to see you both here.\I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land. response:	However, we're in a bit of trouble.
context: I don't know what I would have done if they'd sent a sorcerer instead.\Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble. response:	You'll help us, right, mage?
context: Would it have been bad if we were sorcerers?\We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage? response:	That's why I'm here, although I wish I weren't.
context: We hate sorcerers, lady!\They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't. response:	Hey, who are you, miss?
context: They're skeevy, lawless lowlifes!\I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss? response:	E-Elias...
context: I don't wanna be anywhere near them.\I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias... response:	Who were you talking to outside my house?
context: I know you were sent here by the Church.\I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house? response:	Oh, no. I just noticed the cute cat on the wall.
context: I wish I could tell you that there was nothing wrong with our land.\However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall. response:	That's our cat.
context: However, we're in a bit of trouble.\You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat. response:	Isn't she pretty?
context: You'll help us, right, mage?\That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty? response:	Molly, it'll be time to eat soon.
context: That's why I'm here, although I wish I weren't.\Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon. response:	Come inside, okay?
context: Hey, who are you, miss?\E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay? response:	My owner.
context: E-Elias...\Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay?\My owner. response:	I've looked after her since she was born, so she's like my child.
context: Who were you talking to outside my house?\Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child. response:	She's a cute girl.
context: Oh, no. I just noticed the cute cat on the wall.\That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl. response:	I'm proud of her like she's my own daughter.
context: That's our cat.\Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter. response:	Elias.
context: Isn't she pretty?\Molly, it'll be time to eat soon.\Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter.\Elias. response:	I hate kids.
context: Molly, it'll be time to eat soon.\Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter.\Elias.\I hate kids. response:	They don't even have magic,
context: Come inside, okay?\My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter.\Elias.\I hate kids.\They don't even have magic, response:	but they have a strong ability to perceive the essence of a being.
context: My owner.\I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter.\Elias.\I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being. response:	Sometimes, they can see through me.
context: I've looked after her since she was born, so she's like my child.\She's a cute girl.\I'm proud of her like she's my own daughter.\Elias.\I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me. response:	I might as well go investigate.
context: She's a cute girl.\I'm proud of her like she's my own daughter.\Elias.\I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate. response:	Where are you going?
context: I'm proud of her like she's my own daughter.\Elias.\I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate.\Where are you going? response:	Something doesn't feel right.
context: Elias.\I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate.\Where are you going?\Something doesn't feel right. response:	Well, then, I'd like to show you around.
context: I hate kids.\They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate.\Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around. response:	Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it
context: They don't even have magic,\but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate.\Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it response:	there was a man here who enjoyed killing us.
context: but they have a strong ability to perceive the essence of a being.\Sometimes, they can see through me.\I might as well go investigate.\Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us. response:	Killing cats?
context: Sometimes, they can see through me.\I might as well go investigate.\Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats? response:	Run as we may, hide as we may,
context: I might as well go investigate.\Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may, response:	we were captured, and our lives were snuffed out.
context: Where are you going?\Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out. response:	It was the first King of Cats who ended that.
context: Something doesn't feel right.\Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that. response:	The first king gathered the remaining cats, and together they attacked.
context: Well, then, I'd like to show you around.\Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked. response:	They clawed him apart, chewed him to bits, drank his blood,
context: Long agoso long ago that even we, with our nine lives, don't have many tales to tell of it\there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood, response:	and left not even a trace of him.
context: there was a man here who enjoyed killing us.\Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him. response:	Each generation of kings pays for the reverence we receive by sacrificing
context: Killing cats?\Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing response:	several of our lives in order to hold the corruption at bay.
context: Run as we may, hide as we may,\we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay. response:	That's the price we pay for our veneration.
context: we were captured, and our lives were snuffed out.\It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration. response:	Look really carefully.
context: It was the first King of Cats who ended that.\The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully. response:	I'm sure you can see it.
context: The first king gathered the remaining cats, and together they attacked.\They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it. response:	It's filth.
context: They clawed him apart, chewed him to bits, drank his blood,\and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it.\It's filth. response:	The corrupt state of souls that were never cleansed...
context: and left not even a trace of him.\Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed... response:	The corruption has been trying to escape in recent days.
context: Each generation of kings pays for the reverence we receive by sacrificing\several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days. response:	It seeks maniacally and indiscriminately to take the lives of both cats and humans.
context: several of our lives in order to hold the corruption at bay.\That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans. response:	I must not allow it to emerge,
context: That's the price we pay for our veneration.\Look really carefully.\I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge, response:	even if it kills me.
context: Look really carefully.\I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me. response:	For the girl's sake?
context: I'm sure you can see it.\It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me.\For the girl's sake? response:	What mother fails to protect her own child?
context: It's filth.\The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me.\For the girl's sake?\What mother fails to protect her own child? response:	It would be unthinkable, at least to me.
context: The corrupt state of souls that were never cleansed...\The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me.\For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me. response:	Yeah. I guess.
context: The corruption has been trying to escape in recent days.\It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me.\For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me.\Yeah. I guess. response:	Chise!
context: It seeks maniacally and indiscriminately to take the lives of both cats and humans.\I must not allow it to emerge,\even if it kills me.\For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me.\Yeah. I guess.\Chise! response:	Don't take this personally.
context: I must not allow it to emerge,\even if it kills me.\For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me.\Yeah. I guess.\Chise!\Don't take this personally. response:	Mina.
context: even if it kills me.\For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me.\Yeah. I guess.\Chise!\Don't take this personally.\Mina. response:	Mina.
context: For the girl's sake?\What mother fails to protect her own child?\It would be unthinkable, at least to me.\Yeah. I guess.\Chise!\Don't take this personally.\Mina.\Mina. response:	Mina.
