context: Sis, please pass the soy sauce. response:	Stand up, then reach out and get it yourself.
context: Kagome, I don't know what happened over there...\but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school. response:	Kagome!
context: but it's been so long since we sat down to breakfast together.\So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome! response:	Oh! Yuka, Eri, Ayumi! Good morning!
context: So why don't you cheer up, and smile up, and talk up a storm?\Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning! response:	How can you be so carefree?
context: Gramps... wrong move.\Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree? response:	There's big trouble!
context: Excuse me!\Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble! response:	While you were absent from school...
context: Oh boy, what's the matter with that girl?\I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble!\While you were absent from school... response:	with your economy-class syndrome...
context: I wouldn't worry. See... an upright tea stem!\It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble!\While you were absent from school...\with your economy-class syndrome... response:	Whatever is this such-and-such syndrome?!
context: It seems so long since I came to school.\Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble!\While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?! response:	Gramps made up another new illness for me!
context: Kagome!\Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble!\While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me! response:	Hojo!
context: Oh! Yuka, Eri, Ayumi! Good morning!\How can you be so carefree?\There's big trouble!\While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo! response:	Hi!
context: How can you be so carefree?\There's big trouble!\While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo!\Hi! response:	You see!
context: There's big trouble!\While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo!\Hi!\You see! response:	She's only a seventh-grader!
context: While you were absent from school...\with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo!\Hi!\You see!\She's only a seventh-grader! response:	She's been following Hojo around lately.
context: with your economy-class syndrome...\Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo!\Hi!\You see!\She's only a seventh-grader!\She's been following Hojo around lately. response:	And it doesn't seem as though Hojo minds the attention.
context: Whatever is this such-and-such syndrome?!\Gramps made up another new illness for me!\Hojo!\Hi!\You see!\She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention. response:	What'll you do, Kagome?
context: Gramps made up another new illness for me!\Hojo!\Hi!\You see!\She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome? response:	Why? Nothing wrong with that.
context: Hojo!\Hi!\You see!\She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that. response:	Hey!
context: Hi!\You see!\She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that.\Hey! response:	If you ignore her, she'll steal him away!
context: You see!\She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away! response:	Your rival is a seventh-grader!
context: She's only a seventh-grader!\She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader! response:	Her skin is peachy smooth!
context: She's been following Hojo around lately.\And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth! response:	Dreamy Hojo is easy prey for someone like her!
context: And it doesn't seem as though Hojo minds the attention.\What'll you do, Kagome?\Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her! response:	But... it's not like I'm going steady with Hojo.
context: What'll you do, Kagome?\Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo. response:	Kagome... are you...
context: Why? Nothing wrong with that.\Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you... response:	I knew it! You are seeing someone else!
context: Hey!\If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else! response:	I'm sure of it!
context: If you ignore her, she'll steal him away!\Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it! response:	That's the only reason you can be so nonchalant!
context: Your rival is a seventh-grader!\Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant! response:	So who is it?
context: Her skin is peachy smooth!\Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it? response:	Who?
context: Dreamy Hojo is easy prey for someone like her!\But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it?\Who? response:	Confess!
context: But... it's not like I'm going steady with Hojo.\Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it?\Who?\Confess! response:	Oh, stop!
context: Kagome... are you...\I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it?\Who?\Confess!\Oh, stop! response:	I don't even want to think about that guy!
context: I knew it! You are seeing someone else!\I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it?\Who?\Confess!\Oh, stop!\I don't even want to think about that guy! response:	There is someone!
context: I'm sure of it!\That's the only reason you can be so nonchalant!\So who is it?\Who?\Confess!\Oh, stop!\I don't even want to think about that guy!\There is someone! response:	That's why!
context: That's the only reason you can be so nonchalant!\So who is it?\Who?\Confess!\Oh, stop!\I don't even want to think about that guy!\There is someone!\That's why! response:	Class is starting! I have to hurry!
context: So who is it?\Who?\Confess!\Oh, stop!\I don't even want to think about that guy!\There is someone!\That's why!\Class is starting! I have to hurry! response:	Kagome, wait!
context: Who?\Confess!\Oh, stop!\I don't even want to think about that guy!\There is someone!\That's why!\Class is starting! I have to hurry!\Kagome, wait! response:	Hey, wait!
context: Confess!\Oh, stop!\I don't even want to think about that guy!\There is someone!\That's why!\Class is starting! I have to hurry!\Kagome, wait!\Hey, wait! response:	Oh boy... This is so awful!
context: Oh, stop!\I don't even want to think about that guy!\There is someone!\That's why!\Class is starting! I have to hurry!\Kagome, wait!\Hey, wait!\Oh boy... This is so awful! response:	Inuyasha...
context: I don't even want to think about that guy!\There is someone!\That's why!\Class is starting! I have to hurry!\Kagome, wait!\Hey, wait!\Oh boy... This is so awful!\Inuyasha... response:	just what are you suspecting me of?!
context: There is someone!\That's why!\Class is starting! I have to hurry!\Kagome, wait!\Hey, wait!\Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?! response:	Is that how you've been seeing me?!
context: That's why!\Class is starting! I have to hurry!\Kagome, wait!\Hey, wait!\Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?! response:	W- what're you scolding me for?!
context: Class is starting! I have to hurry!\Kagome, wait!\Hey, wait!\Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?! response:	Because you've totally misunderstood!
context: Kagome, wait!\Hey, wait!\Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood! response:	Shaddup!
context: Hey, wait!\Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup! response:	I don't wanna see your face anymore! Just go away!
context: Oh boy... This is so awful!\Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away! response:	I see!
context: Inuyasha...\just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away!\I see! response:	Sango!
context: just what are you suspecting me of?!\Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away!\I see!\Sango! response:	I'm going back home! Stupid!
context: Is that how you've been seeing me?!\W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away!\I see!\Sango!\I'm going back home! Stupid! response:	Stupid!
context: W- what're you scolding me for?!\Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away!\I see!\Sango!\I'm going back home! Stupid!\Stupid! response:	Hmm... it looks like an ordinary old well.
context: Because you've totally misunderstood!\Shaddup!\I don't wanna see your face anymore! Just go away!\I see!\Sango!\I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well. response:	But this connects to Kagome's world?
context: Shaddup!\I don't wanna see your face anymore! Just go away!\I see!\Sango!\I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world? response:	But the only ones able to cross through the well...
context: I don't wanna see your face anymore! Just go away!\I see!\Sango!\I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well... response:	are Kagome and Inuyasha.
context: I see!\Sango!\I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha. response:	Inuyasha's the only one who can go get Kagome...
context: Sango!\I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome... response:	yet that stubborn dolt!
context: I'm going back home! Stupid!\Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt! response:	Acting so proud! He's holding it all up!
context: Stupid!\Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up! response:	Damn!
context: Hmm... it looks like an ordinary old well.\But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn! response:	Someone out there's bad-mouthing me!
context: But this connects to Kagome's world?\But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me! response:	Inuyasha, of course, people will criticize you.
context: But the only ones able to cross through the well...\are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you. response:	Since you've done something really stupid.
context: are Kagome and Inuyasha.\Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid. response:	What?!
context: Inuyasha's the only one who can go get Kagome...\yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?! response:	Hey, old hag! What's stupid about me?!
context: yet that stubborn dolt!\Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?! response:	Stupid is as stupid does!
context: Acting so proud! He's holding it all up!\Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does! response:	To find the Sacred Jewel fragments...
context: Damn!\Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments... response:	Kagome's spiritual power is essential.
context: Someone out there's bad-mouthing me!\Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential. response:	Yet you got her upset and sent her running home.
context: Inuyasha, of course, people will criticize you.\Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home. response:	Shaddup!
context: Since you've done something really stupid.\What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup! response:	She chose to go home herself!
context: What?!\Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself! response:	She said, I'm going back home, stupid!
context: Hey, old hag! What's stupid about me?!\Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid! response:	Inuyasha...
context: Stupid is as stupid does!\To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha... response:	What?!
context: To find the Sacred Jewel fragments...\Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha...\What?! response:	Even your imitation of her is stupid.
context: Kagome's spiritual power is essential.\Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha...\What?!\Even your imitation of her is stupid. response:	So what?!
context: Yet you got her upset and sent her running home.\Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha...\What?!\Even your imitation of her is stupid.\So what?! response:	All right, please line up.
context: Shaddup!\She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha...\What?!\Even your imitation of her is stupid.\So what?!\All right, please line up. response:	Oh... this is a fine palm.
context: She chose to go home herself!\She said, I'm going back home, stupid!\Inuyasha...\What?!\Even your imitation of her is stupid.\So what?!\All right, please line up.\Oh... this is a fine palm. response:	You'll live a long life and have many children.
context: She said, I'm going back home, stupid!\Inuyasha...\What?!\Even your imitation of her is stupid.\So what?!\All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children. response:	Is that really true, Master Monk?
context: Inuyasha...\What?!\Even your imitation of her is stupid.\So what?!\All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk? response:	How about it? Won't you have one of my children?
context: What?!\Even your imitation of her is stupid.\So what?!\All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children? response:	Oh, stop! Master Monk!
context: Even your imitation of her is stupid.\So what?!\All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk! response:	You just asked me the same question earlier!
context: So what?!\All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier! response:	It's something I ask every beautiful woman once.
context: All right, please line up.\Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once. response:	However, you seem to be willing.
context: Oh... this is a fine palm.\You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing. response:	Now then... can I satisfy both of you at the same time?
context: You'll live a long life and have many children.\Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time? response:	Oh dear! Stop, Master Monk!
context: Is that really true, Master Monk?\How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk! response:	What a lecher.
context: How about it? Won't you have one of my children?\Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher. response:	I see... but it's no use for us to get too worried.
context: Oh, stop! Master Monk!\You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried. response:	Until Inuyasha cools down, nothing will be solved.
context: You just asked me the same question earlier!\It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved. response:	He's such a fool!
context: It's something I ask every beautiful woman once.\However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool! response:	I've seen how headstrong Inuyasha can be.
context: However, you seem to be willing.\Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be. response:	In any case, you two... Don't go near the well.
context: Now then... can I satisfy both of you at the same time?\Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well. response:	Why not?
context: Oh dear! Stop, Master Monk!\What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not? response:	Think of Inuyasha's personality.
context: What a lecher.\I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality. response:	If someone is watching...
context: I see... but it's no use for us to get too worried.\Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality.\If someone is watching... response:	he won't go to get Kagome even if he wanted to.
context: Until Inuyasha cools down, nothing will be solved.\He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to. response:	Underneath that exterior is a cute, gentle side of him.
context: He's such a fool!\I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him. response:	You can't always tell a person by his looks.
context: I've seen how headstrong Inuyasha can be.\In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks. response:	And someone else here is a prime example.
context: In any case, you two... Don't go near the well.\Why not?\Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example. response:	Awright... No one's looking.
context: Why not?\Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking. response:	I can't forgive that Kagome! No way!
context: Think of Inuyasha's personality.\If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way! response:	I'm gonna make her apologize!
context: If someone is watching...\he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize! response:	Now then, you're not getting away today!
context: he won't go to get Kagome even if he wanted to.\Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today! response:	Kagome... what kind of guy are you seeing anyway?
context: Underneath that exterior is a cute, gentle side of him.\You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway? response:	So... it's a stupid creep!
context: You can't always tell a person by his looks.\And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep! response:	He's rough and moody and selfish!
context: And someone else here is a prime example.\Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish! response:	And he gets sooo jealous!
context: Awright... No one's looking.\I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish!\And he gets sooo jealous! response:	But getting jealous must mean he cares about you.
context: I can't forgive that Kagome! No way!\I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish!\And he gets sooo jealous!\But getting jealous must mean he cares about you. response:	Oh, then everything's going well with him.
context: I'm gonna make her apologize!\Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish!\And he gets sooo jealous!\But getting jealous must mean he cares about you.\Oh, then everything's going well with him. response:	Geez, I thought it was going to be juicier than this.
context: Now then, you're not getting away today!\Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish!\And he gets sooo jealous!\But getting jealous must mean he cares about you.\Oh, then everything's going well with him.\Geez, I thought it was going to be juicier than this. response:	So it's okay then. He really cares only for you.
context: Kagome... what kind of guy are you seeing anyway?\So... it's a stupid creep!\He's rough and moody and selfish!\And he gets sooo jealous!\But getting jealous must mean he cares about you.\Oh, then everything's going well with him.\Geez, I thought it was going to be juicier than this.\So it's okay then. He really cares only for you. response:	I'd be happy if that were the case.
