context: You like him... response:	And it's perfect.
context: Takahashi!\I was just at the station, and you weren't there...\I'm sorry for breaking our promise.\Go home...\Head inside.\You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right? response:	Because there'd be nothing to feel guilty about.
context: I was just at the station, and you weren't there...\I'm sorry for breaking our promise.\Go home...\Head inside.\You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about. response:	But it's different for Takahashi!
context: I'm sorry for breaking our promise.\Go home...\Head inside.\You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi! response:	How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?
context: Go home...\Head inside.\You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet? response:	You and Takahashi experience things totally differently, all the way down to the bottom!
context: Head inside.\You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom! response:	I don't intend to blame you for going to see Yamamoto.
context: You didn't think something like this would make her cry, did you?\You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto. response:	But...
context: You thought something like this was nothing, since you didn't have feelings for Yamamoto.\That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But... response:	I don't think the important thing to do is always the same as the right thing to do!
context: That's why you were able to go, right?\Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do! response:	Isn't it important to not hurt Takahashi?
context: Because there'd be nothing to feel guilty about.\But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi? response:	You didn't think something like this would make her cry, did you?
context: But it's different for Takahashi!\How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you? response:	You thought something like this was nothing.
context: How do you plan to explain your actions to Takahashi, who's still not confident about all of this yet?\You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing. response:	But it's different for Takahashi!
context: You and Takahashi experience things totally differently, all the way down to the bottom!\I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi! response:	You hurt Takahashi.
context: I don't intend to blame you for going to see Yamamoto.\But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi. response:	Training School
context: But...\I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi.\Training School response:	Damn it!
context: I don't think the important thing to do is always the same as the right thing to do!\Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi.\Training School\Damn it! response:	Morning!
context: Isn't it important to not hurt Takahashi?\You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi.\Training School\Damn it!\Morning! response:	You catch a cold or something?
context: You didn't think something like this would make her cry, did you?\You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi.\Training School\Damn it!\Morning!\You catch a cold or something? response:	Your face is bright red.
context: You thought something like this was nothing.\But it's different for Takahashi!\You hurt Takahashi.\Training School\Damn it!\Morning!\You catch a cold or something?\Your face is bright red. response:	It took me two hours to walk home last night...
context: But it's different for Takahashi!\You hurt Takahashi.\Training School\Damn it!\Morning!\You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night... response:	Huh?! In that snow storm?!
context: You hurt Takahashi.\Training School\Damn it!\Morning!\You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?! response:	I didn't have enough for the bus...
context: Training School\Damn it!\Morning!\You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus... response:	Go rest somewhere... you look like you're about to collapse.
context: Damn it!\Morning!\You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse. response:	Congrats!
context: Morning!\You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats! response:	Umm...
context: You catch a cold or something?\Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm... response:	Nana, so you're finally...!
context: Your face is bright red.\It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm...\Nana, so you're finally...! response:	Yeah!
context: It took me two hours to walk home last night...\Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm...\Nana, so you're finally...!\Yeah! response:	We were so worried for you, like we were your parents.
context: Huh?! In that snow storm?!\I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm...\Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents. response:	So, how was it?
context: I didn't have enough for the bus...\Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm...\Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents.\So, how was it? response:	Did everything go well?
context: Go rest somewhere... you look like you're about to collapse.\Congrats!\Umm...\Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents.\So, how was it?\Did everything go well? response:	U-Umm...
context: Congrats!\Umm...\Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents.\So, how was it?\Did everything go well?\U-Umm... response:	Takahashi.
context: Umm...\Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents.\So, how was it?\Did everything go well?\U-Umm...\Takahashi. response:	Ah... I have to get the class day book...
context: Nana, so you're finally...!\Yeah!\We were so worried for you, like we were your parents.\So, how was it?\Did everything go well?\U-Umm...\Takahashi.\Ah... I have to get the class day book... response:	I'm sorry!
context: Yeah!\We were so worried for you, like we were your parents.\So, how was it?\Did everything go well?\U-Umm...\Takahashi.\Ah... I have to get the class day book...\I'm sorry! response:	Takahashi!
context: We were so worried for you, like we were your parents.\So, how was it?\Did everything go well?\U-Umm...\Takahashi.\Ah... I have to get the class day book...\I'm sorry!\Takahashi! response:	W-Wait up!
context: So, how was it?\Did everything go well?\U-Umm...\Takahashi.\Ah... I have to get the class day book...\I'm sorry!\Takahashi!\W-Wait up! response:	Let go of me!
context: Did everything go well?\U-Umm...\Takahashi.\Ah... I have to get the class day book...\I'm sorry!\Takahashi!\W-Wait up!\Let go of me! response:	Takahashi.
context: U-Umm...\Takahashi.\Ah... I have to get the class day book...\I'm sorry!\Takahashi!\W-Wait up!\Let go of me!\Takahashi. response:	Ah, Takeuchi-kun.
context: Takahashi.\Ah... I have to get the class day book...\I'm sorry!\Takahashi!\W-Wait up!\Let go of me!\Takahashi.\Ah, Takeuchi-kun. response:	I heard he fell?
context: Ah... I have to get the class day book...\I'm sorry!\Takahashi!\W-Wait up!\Let go of me!\Takahashi.\Ah, Takeuchi-kun.\I heard he fell? response:	Ah, yeah. He went home early.
context: I'm sorry!\Takahashi!\W-Wait up!\Let go of me!\Takahashi.\Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early. response:	Seriously? Did he have a fever?
context: Takahashi!\W-Wait up!\Let go of me!\Takahashi.\Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever? response:	He'll be fine.
context: W-Wait up!\Let go of me!\Takahashi.\Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine. response:	They said it was just a cold.
context: Let go of me!\Takahashi.\Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold. response:	Gotta go.
context: Takahashi.\Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold.\Gotta go. response:	Takahashi.
context: Ah, Takeuchi-kun.\I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold.\Gotta go.\Takahashi. response:	Are you... avoiding me?
context: I heard he fell?\Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold.\Gotta go.\Takahashi.\Are you... avoiding me? response:	No...
context: Ah, yeah. He went home early.\Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold.\Gotta go.\Takahashi.\Are you... avoiding me?\No... response:	He stood you up and went to see Yamamoto instead?
context: Seriously? Did he have a fever?\He'll be fine.\They said it was just a cold.\Gotta go.\Takahashi.\Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead? response:	What's up with that? He's scum!
context: He'll be fine.\They said it was just a cold.\Gotta go.\Takahashi.\Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum! response:	Nana, you're just being selfish.
context: They said it was just a cold.\Gotta go.\Takahashi.\Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish. response:	What? He went to see another girl!
context: Gotta go.\Takahashi.\Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl! response:	Isn't that awful?
context: Takahashi.\Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful? response:	But it's not like he hid it. He told her.
context: Are you... avoiding me?\No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her. response:	When accidents like that happen, you can't do anything about it.
context: No...\He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it. response:	You don't fully understand the situation.
context: He stood you up and went to see Yamamoto instead?\What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation. response:	I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?
context: What's up with that? He's scum!\Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto? response:	Because she's his girlfriend, right?
context: Nana, you're just being selfish.\What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right? response:	Always expecting him to put you first because of that is a bit much.
context: What? He went to see another girl!\Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much. response:	If there's trust in the relationship, something like that shouldn't bother you.
context: Isn't that awful?\But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you. response:	Trust, you say? It's because he goes and does things like this that she can't trust him!
context: But it's not like he hid it. He told her.\When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him! response:	That's not really his problem, is it? It's hers.
context: When accidents like that happen, you can't do anything about it.\You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers. response:	My... problem?
context: You don't fully understand the situation.\I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem? response:	Yano probably went because he didn't think there would be a problem, right?
context: I don't know about that! Why does Nana have to be the one to wait, and not Yamamoto?\Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right? response:	And he trusted you, too.
context: Because she's his girlfriend, right?\Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too. response:	Am I wrong?
context: Always expecting him to put you first because of that is a bit much.\If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong? response:	Trust...?
context: If there's trust in the relationship, something like that shouldn't bother you.\Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong?\Trust...? response:	But... if my mom collapsed, I don't think Yano would come running to me.
context: Trust, you say? It's because he goes and does things like this that she can't trust him!\That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me. response:	You wouldn't even call Yano, would you?
context: That's not really his problem, is it? It's hers.\My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you? response:	Isn't that kind of sad?
context: My... problem?\Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad? response:	I'd come to you, Mizu-chin!
context: Yano probably went because he didn't think there would be a problem, right?\And he trusted you, too.\Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin! response:	I think I'd come, too!
context: And he trusted you, too.\Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too! response:	Trust, huh...?
context: Am I wrong?\Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...? response:	That's something I always seem to be lacking...
context: Trust...?\But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking... response:	It's like we kept hitting on the same point every time...
context: But... if my mom collapsed, I don't think Yano would come running to me.\You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time... response:	Yamamoto and I had sex.
context: You wouldn't even call Yano, would you?\Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time...\Yamamoto and I had sex. response:	Deep in my heart, I may not have been able to forgive that.
context: Isn't that kind of sad?\I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time...\Yamamoto and I had sex.\Deep in my heart, I may not have been able to forgive that. response:	The problem...
context: I'd come to you, Mizu-chin!\I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time...\Yamamoto and I had sex.\Deep in my heart, I may not have been able to forgive that.\The problem... response:	But please... don't make me any more uneasy...
context: I think I'd come, too!\Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time...\Yamamoto and I had sex.\Deep in my heart, I may not have been able to forgive that.\The problem...\But please... don't make me any more uneasy... response:	How do you feel?
context: Trust, huh...?\That's something I always seem to be lacking...\It's like we kept hitting on the same point every time...\Yamamoto and I had sex.\Deep in my heart, I may not have been able to forgive that.\The problem...\But please... don't make me any more uneasy...\How do you feel? response:	Your fever seems to have broken.
