context: Typhoon 13 is maintaining its extremely strong force response:	as it continues making its way up north.
context: And it had to be on a day like today that we've got tons of samples to ship...\Thank you.\What's that?\My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too. response:	Even though I kinda doubt he'll be college material, being my kid...
context: Thank you.\What's that?\My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid... response:	We got two, so it's pretty tight.
context: What's that?\My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight. response:	Ours is still a little squirt, so we got day-care fees too,
context: My kids' educational insurance...\Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too, response:	which is nothin' to sneeze at.
context: Your kids are still babies!\If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at. response:	And he outgrows his clothes like that...
context: If I waited'til they got bigger, the insurance wouldn't mean a thing.\G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that... response:	Well, we're only contract employees, but it helps
context: G-Good point.\We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps response:	that the welfare pension program and health insurance are included.
context: We're enrolled too.\Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included. response:	How about life insurance?
context: Even though I kinda doubt he'll be college material, being my kid...\We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance? response:	My wife took care of that behind my back.
context: We got two, so it's pretty tight.\Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back. response:	For mine, the payout is decent if I kick the bucket,
context: Ours is still a little squirt, so we got day-care fees too,\which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket, response:	but she has universal life insurance.
context: which is nothin' to sneeze at.\And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance. response:	The basic one...
context: And he outgrows his clothes like that...\Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one... response:	You guys really are Dads, aren't you?
context: Well, we're only contract employees, but it helps\that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you? response:	I'm impressed.
context: that the welfare pension program and health insurance are included.\How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you?\I'm impressed. response:	There's nothin' to be impressed about.
context: How about life insurance?\My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about. response:	I wonder how much insurance costs...
context: My wife took care of that behind my back.\For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs... response:	The brat next door is so frickin' noisy, we wanna move,
context: For mine, the payout is decent if I kick the bucket,\but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move, response:	but the money just ain't there.
context: but she has universal life insurance.\The basic one...\You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there. response:	Yeah, I don't even know what I'm workin' for...
context: The basic one...\You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for... response:	Take a good look at us!
context: You guys really are Dads, aren't you?\I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us! response:	You get married, this is what happens!
context: I'm impressed.\There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens! response:	I don't have a girlfriend, so no danger of that.
context: There's nothin' to be impressed about.\I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that. response:	They're always bitching and moaning, and yet...
context: I wonder how much insurance costs...\The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet... response:	Deep down, there's a sense of security...
context: The brat next door is so frickin' noisy, we wanna move,\but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security... response:	I can't imagine them becoming like Rin's mother.
context: but the money just ain't there.\Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother. response:	Kouki-san!
context: Yeah, I don't even know what I'm workin' for...\Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san! response:	Sit down and draw!
context: Take a good look at us!\You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw! response:	Yikes!
context: You get married, this is what happens!\I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw!\Yikes! response:	What about your drawing board?
context: I don't have a girlfriend, so no danger of that.\They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw!\Yikes!\What about your drawing board? response:	Eh... The ground is flat, so I don't need it.
context: They're always bitching and moaning, and yet...\Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw!\Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it. response:	That's not gonna float!
context: Deep down, there's a sense of security...\I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw!\Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float! response:	When I tell you to bring something, you bring it!
context: I can't imagine them becoming like Rin's mother.\Kouki-san!\Sit down and draw!\Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it! response:	Get it right now! Run!
context: Kouki-san!\Sit down and draw!\Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run! response:	Wow, your drawing is really good, Rin-chan!
context: Sit down and draw!\Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan! response:	Yeah, it is! That's great!
context: Yikes!\What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great! response:	It's pretty!
context: What about your drawing board?\Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty! response:	I don't know...
context: Eh... The ground is flat, so I don't need it.\That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty!\I don't know... response:	That really is good!
context: That's not gonna float!\When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty!\I don't know...\That really is good! response:	The colors of this flower and this flower are slightly different,
context: When I tell you to bring something, you bring it!\Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty!\I don't know...\That really is good!\The colors of this flower and this flower are slightly different, response:	and Rin-san's drawing shows that with both bluish and purplish colors.
context: Get it right now! Run!\Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty!\I don't know...\That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors. response:	You have a sharp eye.
context: Wow, your drawing is really good, Rin-chan!\Yeah, it is! That's great!\It's pretty!\I don't know...\That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye. response:	Kouki-kun and those boys are wandering around again.
context: Yeah, it is! That's great!\It's pretty!\I don't know...\That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again. response:	Kouki-san...
context: It's pretty!\I don't know...\That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san... response:	Right now, it's drawing time.
context: I don't know...\That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san...\Right now, it's drawing time. response:	Kouki-san, your morning glories are looking splendid!
context: That really is good!\The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san...\Right now, it's drawing time.\Kouki-san, your morning glories are looking splendid! response:	It would be a waste not to sketch them.
context: The colors of this flower and this flower are slightly different,\and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san...\Right now, it's drawing time.\Kouki-san, your morning glories are looking splendid!\It would be a waste not to sketch them. response:	Kouki-san, do you like drawing?
context: and Rin-san's drawing shows that with both bluish and purplish colors.\You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san...\Right now, it's drawing time.\Kouki-san, your morning glories are looking splendid!\It would be a waste not to sketch them.\Kouki-san, do you like drawing? response:	So-so, I guess...
context: You have a sharp eye.\Kouki-kun and those boys are wandering around again.\Kouki-san...\Right now, it's drawing time.\Kouki-san, your morning glories are looking splendid!\It would be a waste not to sketch them.\Kouki-san, do you like drawing?\So-so, I guess... response:	Tatsumi-sensei...
