context: So you've brought her. response:	K-Kagome...
context: I'll kill a hundred, even a thousand of'em!\You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?!\More villagers have been killed!\That's not what you promised!\Why'd they attack us?! response:	She's probably one of them... one of those Demon Bats!
context: You lied to us!\You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?!\More villagers have been killed!\That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats! response:	Yeah! Show no mercy! Let her have it!
context: You said if you gave your daughter to them,\Our village wouldn't be attacked!\Well?!\More villagers have been killed!\That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it! response:	H-Huh?
context: Our village wouldn't be attacked!\Well?!\More villagers have been killed!\That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh? response:	W-Who're you?!
context: Well?!\More villagers have been killed!\That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?! response:	You mentioned Demon Bats just now.
context: More villagers have been killed!\That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?!\You mentioned Demon Bats just now. response:	Tell me where their nest is.
context: That's not what you promised!\Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is. response:	Are you all right?
context: Why'd they attack us?!\She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right? response:	How dare you attack a woman like that!?
context: She's probably one of them... one of those Demon Bats!\Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!? response:	As if we would know where the nest is!
context: Yeah! Show no mercy! Let her have it!\H-Huh?\W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is! response:	Ask that woman!
context: H-Huh?\W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman! response:	She's a rotten bitch who calls herself human,
context: W-Who're you?!\You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human, response:	but bore the child of a Demon Bat!
context: You mentioned Demon Bats just now.\Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat! response:	The child of a demon?
context: Tell me where their nest is.\Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon? response:	Why do you want to know where the nest is?
context: Are you all right?\How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is? response:	Well...
context: How dare you attack a woman like that!?\As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is?\Well... response:	I'm gonna destroy them.
context: As if we would know where the nest is!\Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is?\Well...\I'm gonna destroy them. response:	Huh?
context: Ask that woman!\She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is?\Well...\I'm gonna destroy them.\Huh? response:	Wait a minute, Inuyasha.
context: She's a rotten bitch who calls herself human,\but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is?\Well...\I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha. response:	You said you gave your child to the Demon Bats.
context: but bore the child of a Demon Bat!\The child of a demon?\Why do you want to know where the nest is?\Well...\I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats. response:	What does that mean?
context: The child of a demon?\Why do you want to know where the nest is?\Well...\I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean? response:	The Demon Bats have always lived in this region.
context: Why do you want to know where the nest is?\Well...\I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region. response:	They prey on humans and animals and suck out their blood...
context: Well...\I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood... response:	they're frightening demons.
context: I'm gonna destroy them.\Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons. response:	But Tsukuyomaru...
context: Huh?\Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru... response:	My daughter's father, Tsukuyomaru, was different.
context: Wait a minute, Inuyasha.\You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different. response:	He did not kill humans.
context: You said you gave your child to the Demon Bats.\What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans. response:	And after Shiori was born,
context: What does that mean?\The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born, response:	I don't know if he convinced the other Demon Bats,
context: The Demon Bats have always lived in this region.\They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats, response:	but they stopped attacking Our village.
context: They prey on humans and animals and suck out their blood...\they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village. response:	Yes, Our village was at peace.
context: they're frightening demons.\But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace. response:	Was?
context: But Tsukuyomaru...\My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace.\Was? response:	Tsukuyomaru died.
context: My daughter's father, Tsukuyomaru, was different.\He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace.\Was?\Tsukuyomaru died. response:	And there was no one to stop them.
context: He did not kill humans.\And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace.\Was?\Tsukuyomaru died.\And there was no one to stop them. response:	Aghh! The Demon Bats!
context: And after Shiori was born,\I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace.\Was?\Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats! response:	Soon after, Tsukuyomaru's father,
context: I don't know if he convinced the other Demon Bats,\but they stopped attacking Our village.\Yes, Our village was at peace.\Was?\Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father, response:	Taigokumaru, who is Shiori's grandfather, came to see me.
context: but they stopped attacking Our village.\Yes, Our village was at peace.\Was?\Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me. response:	If I handed Shiori over to him, he promised to leave our village alone.
context: Yes, Our village was at peace.\Was?\Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone. response:	Taigokumaru and Tsukuyomaru were guardians of the barrier,
context: Was?\Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier, response:	a duty passed down from generation to generation.
context: Tsukuyomaru died.\And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation. response:	And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.
context: And there was no one to stop them.\Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work. response:	Why did it have to be Shiori?
context: Aghh! The Demon Bats!\Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori? response:	If this Taigokumaru had the guardian power...
context: Soon after, Tsukuyomaru's father,\Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power... response:	Power wanes.
context: Taigokumaru, who is Shiori's grandfather, came to see me.\If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes. response:	And once one passes on his duty, he loses the power.
context: If I handed Shiori over to him, he promised to leave our village alone.\Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power. response:	In other words, Shiori is the only one remaining
context: Taigokumaru and Tsukuyomaru were guardians of the barrier,\a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining response:	who has the power to protect the barrier?
context: a duty passed down from generation to generation.\And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier? response:	Half-demon! Half-demon!
context: And Shiori, as Tsukuyomaru's daughter, was needed to carry on the work.\Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier?\Half-demon! Half-demon! response:	I'm home, Mommy.
context: Why did it have to be Shiori?\If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier?\Half-demon! Half-demon!\I'm home, Mommy. response:	Shiori! How'd you get those scratches on your face?
context: If this Taigokumaru had the guardian power...\Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier?\Half-demon! Half-demon!\I'm home, Mommy.\Shiori! How'd you get those scratches on your face? response:	It's nothing. I just fell.
context: Power wanes.\And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier?\Half-demon! Half-demon!\I'm home, Mommy.\Shiori! How'd you get those scratches on your face?\It's nothing. I just fell. response:	What's the matter?
context: And once one passes on his duty, he loses the power.\In other words, Shiori is the only one remaining\who has the power to protect the barrier?\Half-demon! Half-demon!\I'm home, Mommy.\Shiori! How'd you get those scratches on your face?\It's nothing. I just fell.\What's the matter? response:	I just fell, I said.
