context: Man, I'm hungry. response:	After we visit Big Bro's grave, let's get something to eat, Josuke.
context: Let's go! Let's go!\Is this it?\Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too! response:	Episode 10 Let's Go Eat Some Italian Food
context: Is this it?\Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food response:	Two of you?
context: Trendy\I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you? response:	Come, have a seat.
context: I thought this was an empty building...\Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat. response:	Uh... Thanks...
context: Maybe they remodeled it. It looks nice.\What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat.\Uh... Thanks... response:	Please.
context: What? Depends on the customer?\Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat.\Uh... Thanks...\Please. response:	R-Right...
context: Today's Course Depends on the Customer With Coffee Dessert From 3,500 yen\The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat.\Uh... Thanks...\Please.\R-Right... response:	Um, are you a foreigner?
context: The inside looks nice, too!\Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat.\Uh... Thanks...\Please.\R-Right...\Um, are you a foreigner? response:	Si, Signore. I'm Italian.
context: Episode 10 Let's Go Eat Some Italian Food\Two of you?\Come, have a seat.\Uh... Thanks...\Please.\R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian. response:	My name is Tonio Trendy. Please call me Tonio.
context: Two of you?\Come, have a seat.\Uh... Thanks...\Please.\R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio. response:	Well, this is great! We get to eat authentic Italian food!
context: Come, have a seat.\Uh... Thanks...\Please.\R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food! response:	I have traveled the world.
context: Uh... Thanks...\Please.\R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world. response:	I've studied various cuisines to better the cuisine of my motherland.
context: Please.\R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland. response:	Then I came to Japan hoping to get my chance.
context: R-Right...\Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance. response:	Morioh is a wonderful place.
context: Um, are you a foreigner?\Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place. response:	There are plenty of farms where you can get fresh produce,
context: Si, Signore. I'm Italian.\My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce, response:	and the seafood is wonderful, as well.
context: My name is Tonio Trendy. Please call me Tonio.\Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well. response:	I love it very much.
context: Well, this is great! We get to eat authentic Italian food!\I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much. response:	Using the ingredients that Morioh has to offer,
context: I have traveled the world.\I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer, response:	I will bring you food that will make you feel your best.
context: I've studied various cuisines to better the cuisine of my motherland.\Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best. response:	Nice! I wonder what I should get.
context: Then I came to Japan hoping to get my chance.\Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get. response:	Could we hurry up and get the menu?
context: Morioh is a wonderful place.\There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu? response:	Menu?
context: There are plenty of farms where you can get fresh produce,\and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu? response:	We don't have a menu here.
context: and the seafood is wonderful, as well.\I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu?\We don't have a menu here. response:	What do you mean you don't have a menu?
context: I love it very much.\Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu?\We don't have a menu here.\What do you mean you don't have a menu? response:	Because what I serve depends on the customer.
context: Using the ingredients that Morioh has to offer,\I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu?\We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer. response:	So show me the menu.
context: I will bring you food that will make you feel your best.\Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu?\We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu. response:	No, no! It means that I will determine the dishes by looking at the customers.
context: Nice! I wonder what I should get.\Could we hurry up and get the menu?\Menu?\We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers. response:	What the hell?
context: Could we hurry up and get the menu?\Menu?\We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell? response:	You mean you're not going to let the customer eat what they want? Huh?
context: Menu?\We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh? response:	You had diarrhea last night, didn't you?
context: We don't have a menu here.\What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you? response:	Your intestinal walls are inflamed.
context: What do you mean you don't have a menu?\Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed. response:	And you didn't sleep enough. You only slept about four hours, didn't you?
context: Because what I serve depends on the customer.\So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you? response:	No wonder your eyes are so puffy.
context: So show me the menu.\No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy. response:	Let me see your left hand, too.
context: No, no! It means that I will determine the dishes by looking at the customers.\What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too. response:	Yes, yes... You have athlete's foot on your right foot.
context: What the hell?\You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot. response:	You have two cavities and your left shoulder is stiff, right?
context: You mean you're not going to let the customer eat what they want? Huh?\You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right? response:	H-How do you know all that?!
context: You had diarrhea last night, didn't you?\Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?! response:	That's all correct!
context: Your intestinal walls are inflamed.\And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct! response:	By looking at both of your hands, I know everything about your health.
context: And you didn't sleep enough. You only slept about four hours, didn't you?\No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health. response:	Oh, I'm sorry!
context: No wonder your eyes are so puffy.\Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry! response:	What about you, signore?
context: Let me see your left hand, too.\Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore? response:	Yeah, I'm not really hungry, so just coffee is fine.
context: Yes, yes... You have athlete's foot on your right foot.\You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine. response:	I'll have a cappuccino.
context: You have two cavities and your left shoulder is stiff, right?\H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino. response:	Ho capito.
context: H-How do you know all that?!\That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito. response:	Healthy food that concentrates too much on being healthy
context: That's all correct!\By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy response:	usually doesn't taste good.
context: By looking at both of your hands, I know everything about your health.\Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good. response:	If it tastes even a little bad, we don't have to pay.
context: Oh, I'm sorry!\What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay. response:	We can complain and leave.
context: What about you, signore?\Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave. response:	Right.
context: Yeah, I'm not really hungry, so just coffee is fine.\I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right. response:	J-Josuke...
context: I'll have a cappuccino.\Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right.\J-Josuke... response:	This water... No, is this mineral water?
context: Ho capito.\Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right.\J-Josuke...\This water... No, is this mineral water? response:	What's up?
context: Healthy food that concentrates too much on being healthy\usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right.\J-Josuke...\This water... No, is this mineral water?\What's up? response:	I-I've never had water this delicious before!
context: usually doesn't taste good.\If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right.\J-Josuke...\This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before! response:	It's like... water filled with elegance...
context: If it tastes even a little bad, we don't have to pay.\We can complain and leave.\Right.\J-Josuke...\This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance... response:	It's like the water a princess in the Alps playing a harp would drink, perhaps.
context: We can complain and leave.\Right.\J-Josuke...\This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps. response:	It's so soothing.
context: Right.\J-Josuke...\This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing. response:	Like the first water you drink after wandering in the desert for three days.
context: J-Josuke...\This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days. response:	Y-You're right! This is great!
context: This water... No, is this mineral water?\What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great! response:	So good!
context: What's up?\I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good! response:	Whew
context: I-I've never had water this delicious before!\It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good!\Whew response:	You're right. This is delicious.
context: It's like... water filled with elegance...\It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good!\Whew\You're right. This is delicious. response:	What brand of water is this?
context: It's like the water a princess in the Alps playing a harp would drink, perhaps.\It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good!\Whew\You're right. This is delicious.\What brand of water is this? response:	Th-This water is so delicious that I'm about to cry.
context: It's so soothing.\Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good!\Whew\You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry. response:	Hey, you don't have to cry just from drinking some water.
context: Like the first water you drink after wandering in the desert for three days.\Y-You're right! This is great!\So good!\Whew\You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water. response:	Maybe it's because it's so pure.
context: Y-You're right! This is great!\So good!\Whew\You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure. response:	Do you have a handkerchief? The tears won't stop.
context: So good!\Whew\You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop. response:	The tears just keep flowing! It won't stop!
context: Whew\You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop! response:	O-Okuyasu! Hey, there's something wrong with you.
context: You're right. This is delicious.\What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you. response:	Are you okay?
context: What brand of water is this?\Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay? response:	Gush
context: Th-This water is so delicious that I'm about to cry.\Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush response:	O-Okuyasu!
context: Hey, you don't have to cry just from drinking some water.\Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush\O-Okuyasu! response:	Gush
context: Maybe it's because it's so pure.\Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush\O-Okuyasu!\Gush response:	Wh-What the hell's with these tears?!
context: Do you have a handkerchief? The tears won't stop.\The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush\O-Okuyasu!\Gush\Wh-What the hell's with these tears?! response:	They just keep flowing!
context: The tears just keep flowing! It won't stop!\O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush\O-Okuyasu!\Gush\Wh-What the hell's with these tears?!\They just keep flowing! response:	Okuyasu, y-your eyes, your eyeballs, the white part...
context: O-Okuyasu! Hey, there's something wrong with you.\Are you okay?\Gush\O-Okuyasu!\Gush\Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part... response:	It's all shriveled up and squishy!
context: Are you okay?\Gush\O-Okuyasu!\Gush\Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy! response:	Momento! Please do not panic.
context: Gush\O-Okuyasu!\Gush\Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic. response:	Y-You bastard! What did you make Okuyasu drink?
context: O-Okuyasu!\Gush\Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink? response:	Please, calm down! His eyeballs will only be shriveled up momentarily.
context: Gush\Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily. response:	That mineral water is from snow on Kilimanjaro in Africa
context: Wh-What the hell's with these tears?!\They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa response:	that melted 50,000 years ago.
context: They just keep flowing!\Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago. response:	It's water that flushes out the inside of the eyeball,
context: Okuyasu, y-your eyes, your eyeballs, the white part...\It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball, response:	along with any dirt, and helps relieve insomnia.
context: It's all shriveled up and squishy!\Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia. response:	The reason you didn't start crying when you drank it
context: Momento! Please do not panic.\Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it response:	is because you got plenty of sleep last night.
context: Y-You bastard! What did you make Okuyasu drink?\Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night. response:	Josuke!
context: Please, calm down! His eyeballs will only be shriveled up momentarily.\That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke! response:	I'm not sleepy at all now!
context: That mineral water is from snow on Kilimanjaro in Africa\that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now! response:	I feel refreshed! Like I slept a full ten hours!
context: that melted 50,000 years ago.\It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours! response:	Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?
context: It's water that flushes out the inside of the eyeball,\along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes? response:	Josuke, when you drink water this good for the first time,
