context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late response:	What's wrong?
context: Gohan's Ki has all but disappeared!\You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish! response:	H- How can he be...!?
context: You're the only one that ever freely associated with me.\Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!? response:	He was supposed to have been at least critically wounded!
context: Before I realized what had happened, you found your way into my heart,\and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded! response:	W- Why!?
context: and made yourself a place there large enough that I was unable to drive you out.\Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!? response:	Kienzan!
context: Stay alive, Gohan!\Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!?\Kienzan! response:	Kuririn...
context: Is there nothing I can do? If I don't act, I'll be next!\Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!?\Kienzan!\Kuririn... response:	Kuririn's Ki has been restored! What's going on?
context: Gohan, just hang on. I'll be right there.\Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!?\Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on? response:	If you don't like it, come on over here!
context: Now the big finish!\H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!?\Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here! response:	Come and paddle my bum!
context: H- How can he be...!?\He was supposed to have been at least critically wounded!\W- Why!?\Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum! response:	Why you... How dare you make a fool of me!
context: He was supposed to have been at least critically wounded!\W- Why!?\Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me! response:	Th- There's no way I can stand against him. I'll just have to keep running away.
context: W- Why!?\Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away. response:	Somehow, I've got to keep him a little bit further away from Gohan.
context: Kienzan!\Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan. response:	Oh no!
context: Kuririn...\Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no! response:	All right...
context: Kuririn's Ki has been restored! What's going on?\If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right... response:	You will not die easily. I'll take you apart with my own hands.
context: If you don't like it, come on over here!\Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right...\You will not die easily. I'll take you apart with my own hands. response:	Damn.
context: Come and paddle my bum!\Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right...\You will not die easily. I'll take you apart with my own hands.\Damn. response:	Fool.
context: Why you... How dare you make a fool of me!\Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right...\You will not die easily. I'll take you apart with my own hands.\Damn.\Fool. response:	Now, come on out!
context: Th- There's no way I can stand against him. I'll just have to keep running away.\Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right...\You will not die easily. I'll take you apart with my own hands.\Damn.\Fool.\Now, come on out! response:	That was close!
context: Somehow, I've got to keep him a little bit further away from Gohan.\Oh no!\All right...\You will not die easily. I'll take you apart with my own hands.\Damn.\Fool.\Now, come on out!\That was close! response:	I don't know how it is you recovered,
context: Oh no!\All right...\You will not die easily. I'll take you apart with my own hands.\Damn.\Fool.\Now, come on out!\That was close!\I don't know how it is you recovered, response:	but you dared to clip the tail of Freeza-sama, didn't you?
context: All right...\You will not die easily. I'll take you apart with my own hands.\Damn.\Fool.\Now, come on out!\That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you? response:	I'm going to knock you into so many pieces, you'll never recover again!
context: You will not die easily. I'll take you apart with my own hands.\Damn.\Fool.\Now, come on out!\That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again! response:	Now I've done it!
context: Damn.\Fool.\Now, come on out!\That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it! response:	Damn!
context: Fool.\Now, come on out!\That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn! response:	No matter how you struggle, you will not escape my grasp.
context: Now, come on out!\That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp. response:	Looks like you're about out of breath. I'll tear you to bits with my bare hands!
context: That was close!\I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands! response:	Come on out!
context: I don't know how it is you recovered,\but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out! response:	Die!
context: but you dared to clip the tail of Freeza-sama, didn't you?\I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die! response:	Taiyo-ken!
context: I'm going to knock you into so many pieces, you'll never recover again!\Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die!\Taiyo-ken! response:	M- My eyes!
context: Now I've done it!\Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die!\Taiyo-ken!\M- My eyes! response:	Thank goodness! You're not dead!
context: Damn!\No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die!\Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead! response:	I'll heal you right now!
context: No matter how you struggle, you will not escape my grasp.\Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die!\Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now! response:	R- Rotten Earthling! Calling me out here for such a vain struggle...
context: Looks like you're about out of breath. I'll tear you to bits with my bare hands!\Come on out!\Die!\Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle... response:	Vegeta, now! Attack him!
context: Come on out!\Die!\Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him! response:	S- So that's what's going on!
context: Die!\Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on! response:	What are you doing, Vegeta!?
context: Taiyo-ken!\M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!? response:	Great! Gohan's been healed!
context: M- My eyes!\Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed! response:	Why did you guys keep silent about the Namekian kid having that ability!?
context: Thank goodness! You're not dead!\I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!? response:	We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!
context: I'll heal you right now!\R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already! response:	It doesn't hurt at all any more!
context: R- Rotten Earthling! Calling me out here for such a vain struggle...\Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more! response:	You surprised me, Dende! Thanks.
context: Vegeta, now! Attack him!\S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks. response:	Not at all. Good luck!
context: S- So that's what's going on!\What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck! response:	Shoot! Why you...!
context: What are you doing, Vegeta!?\Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...! response:	W- What's this!?
context: Great! Gohan's been healed!\Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...!\W- What's this!? response:	True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!
context: Why did you guys keep silent about the Namekian kid having that ability!?\We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly! response:	Gohan...
context: We didn't keep silent! We didn't know about it either! If we had known, we would have him heal Goku already!\It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan... response:	All right! Slight though it may be,
context: It doesn't hurt at all any more!\You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be, response:	fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.
context: You surprised me, Dende! Thanks.\Not at all. Good luck!\Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out. response:	Impossible! That runt has been revived! And he should have been on the brink of death!
context: Not at all. Good luck!\Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death! response:	Now! Shoot him!
context: Shoot! Why you...!\W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him! response:	You guys just don't know when you're beaten.
context: W- What's this!?\True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten. response:	How many times have I told you that neither Earthlings or Saiyans are a match for me?
context: True to the Saiyan blood that he carries, now that he's recovered, his battle power has increased greatly!\Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me? response:	Dammit.
context: Gohan...\All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit. response:	Have we had it?
context: All right! Slight though it may be,\fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it? response:	I'm not giving up! How can I possibly give up!?
context: fate has somewhat turned to our favor. With the three of us fighting now, something may turn out.\Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!? response:	Whether we've had it or not, there's nothing we can do but try!
context: Impossible! That runt has been revived! And he should have been on the brink of death!\Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try! response:	Gohan!
context: Now! Shoot him!\You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan! response:	You fool! Stop!
context: You guys just don't know when you're beaten.\How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop! response:	Piccolo-san!
context: How many times have I told you that neither Earthlings or Saiyans are a match for me?\Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop!\Piccolo-san! response:	Sorry to keep you waiting.
context: Dammit.\Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop!\Piccolo-san!\Sorry to keep you waiting. response:	Thank goodness! We've been waiting for you, Piccolo-san!
context: Have we had it?\I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop!\Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san! response:	So that's Freeza, is it?
context: I'm not giving up! How can I possibly give up!?\Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop!\Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it? response:	Yes!
context: Whether we've had it or not, there's nothing we can do but try!\Gohan!\You fool! Stop!\Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes! response:	Indeed. He really is an incredible beast.
context: Gohan!\You fool! Stop!\Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast. response:	Well, if it isn't the guy we slaughtered back on Earth.
context: You fool! Stop!\Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth. response:	So, I need not wonder what you wished for with the Dragonballs.
context: Piccolo-san!\Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs. response:	I see you brought this good-for-nothing scum back to life with them.
context: Sorry to keep you waiting.\Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them. response:	That scum line was uncalled-for. And I want you to remember something.
context: Thank goodness! We've been waiting for you, Piccolo-san!\So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something. response:	I want you to remember that after I put Freeza away, your turn comes next.
context: So that's Freeza, is it?\Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next. response:	After you put Freeza away, you're coming for me?
context: Yes!\Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me? response:	I didn't think you Namekians were capable of telling jokes.
context: Indeed. He really is an incredible beast.\Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes. response:	It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,
context: Well, if it isn't the guy we slaughtered back on Earth.\So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place, response:	Freeza's on a completely different dimension from the rest of us!
context: So, I need not wonder what you wished for with the Dragonballs.\I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us! response:	There's still a surviving Namekian, is there?
context: I see you brought this good-for-nothing scum back to life with them.\That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there? response:	But there's something different about you from the other Namekians.
context: That scum line was uncalled-for. And I want you to remember something.\I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians. response:	There seems to be something special about you. And even so, you are still utterly no match for me.
context: I want you to remember that after I put Freeza away, your turn comes next.\After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me. response:	Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.
context: After you put Freeza away, you're coming for me?\I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is. response:	Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.
