context: What's wrong? response:	Oh? So you're off to Mistral?
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Echoing Sound - Town at Daybreak
context: Come now and remember that kindly voice\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak response:	There's a festival in Seize today.
context: Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today. response:	A festival?
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival? response:	So I'm leaving you here.
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival?\So I'm leaving you here. response:	Look.
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival?\So I'm leaving you here.\Look. response:	That's your assignment. They call it the Time-Telling Fortress.
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival?\So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress. response:	Set a course and walk.
context: In this light pouring down onto you, play tomorrow's song\Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival?\So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk. response:	Yes!
context: Echoing Sound - Town at Daybreak\There's a festival in Seize today.\A festival?\So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes! response:	Private Kanata Sorami.
context: There's a festival in Seize today.\A festival?\So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes!\Private Kanata Sorami. response:	Seize, Trois region.
context: A festival?\So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes!\Private Kanata Sorami.\Seize, Trois region. response:	You are assigned to Platoon 1121.
context: So I'm leaving you here.\Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes!\Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121. response:	General Headquarters of the Armed Forces of the Republic of Helvetia.
context: Look.\That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes!\Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia. response:	1320.
context: That's your assignment. They call it the Time-Telling Fortress.\Set a course and walk.\Yes!\Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320. response:	Mission complete.
context: Set a course and walk.\Yes!\Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete. response:	Thank you, sir!
context: Yes!\Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete.\Thank you, sir! response:	The town of lakes and glass,
context: Private Kanata Sorami.\Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete.\Thank you, sir!\The town of lakes and glass, response:	Seize.
context: Seize, Trois region.\You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete.\Thank you, sir!\The town of lakes and glass,\Seize. response:	Wait, wait!
context: You are assigned to Platoon 1121.\General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete.\Thank you, sir!\The town of lakes and glass,\Seize.\Wait, wait! response:	Assignment time is 1500.
context: General Headquarters of the Armed Forces of the Republic of Helvetia.\1320.\Mission complete.\Thank you, sir!\The town of lakes and glass,\Seize.\Wait, wait!\Assignment time is 1500. response:	I finally get to let you sing.
context: 1320.\Mission complete.\Thank you, sir!\The town of lakes and glass,\Seize.\Wait, wait!\Assignment time is 1500.\I finally get to let you sing. response:	Bearing: confirmed.
context: Mission complete.\Thank you, sir!\The town of lakes and glass,\Seize.\Wait, wait!\Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed. response:	Assignment time: confirmed.
context: Thank you, sir!\The town of lakes and glass,\Seize.\Wait, wait!\Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed. response:	Equipment: confirmed.
context: The town of lakes and glass,\Seize.\Wait, wait!\Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed. response:	Forward march!
context: Seize.\Wait, wait!\Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed.\Forward march! response:	G-flat.
context: Wait, wait!\Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed.\Forward march!\G-flat. response:	A beautiful sound.
context: Assignment time is 1500.\I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed.\Forward march!\G-flat.\A beautiful sound. response:	Fish.
context: I finally get to let you sing.\Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed.\Forward march!\G-flat.\A beautiful sound.\Fish. response:	10.25.
context: Bearing: confirmed.\Assignment time: confirmed.\Equipment: confirmed.\Forward march!\G-flat.\A beautiful sound.\Fish.\10.25. response:	What a pretty doll-
context: Assignment time: confirmed.\Equipment: confirmed.\Forward march!\G-flat.\A beautiful sound.\Fish.\10.25.\What a pretty doll- response:	I'm sorry!
context: Equipment: confirmed.\Forward march!\G-flat.\A beautiful sound.\Fish.\10.25.\What a pretty doll-\I'm sorry! response:	What is it, Rio?
context: Forward march!\G-flat.\A beautiful sound.\Fish.\10.25.\What a pretty doll-\I'm sorry!\What is it, Rio? response:	A kitten, drunk in the merriment
context: G-flat.\A beautiful sound.\Fish.\10.25.\What a pretty doll-\I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment response:	was running full-speed into places it shouldn't be.
context: A beautiful sound.\Fish.\10.25.\What a pretty doll-\I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be. response:	Well, you can't help that.
context: Fish.\10.25.\What a pretty doll-\I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that. response:	Kittens thrive on what they find in the streets.
context: 10.25.\What a pretty doll-\I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets. response:	Isn't that why they're cute?
context: What a pretty doll-\I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute? response:	Maybe for stray cats.
context: I'm sorry!\What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats. response:	Unfortunately, it was a pet cat.
context: What is it, Rio?\A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat. response:	That was scary.
context: A kitten, drunk in the merriment\was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary. response:	But I found another wonderful thing.
context: was running full-speed into places it shouldn't be.\Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing. response:	What is it?
context: Well, you can't help that.\Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing.\What is it? response:	Thank you!
context: Kittens thrive on what they find in the streets.\Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing.\What is it?\Thank you! response:	Oh, a soldier!
context: Isn't that why they're cute?\Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing.\What is it?\Thank you!\Oh, a soldier! response:	One of the girls in the fortress?
context: Maybe for stray cats.\Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing.\What is it?\Thank you!\Oh, a soldier!\One of the girls in the fortress? response:	Now here's something to celebrate!
context: Unfortunately, it was a pet cat.\That was scary.\But I found another wonderful thing.\What is it?\Thank you!\Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate! response:	For the fire!
context: That was scary.\But I found another wonderful thing.\What is it?\Thank you!\Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate!\For the fire! response:	Thank you!
context: But I found another wonderful thing.\What is it?\Thank you!\Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate!\For the fire!\Thank you! response:	Alright!
context: What is it?\Thank you!\Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate!\For the fire!\Thank you!\Alright! response:	You sure did it!
context: Thank you!\Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate!\For the fire!\Thank you!\Alright!\You sure did it! response:	Aim.
context: Oh, a soldier!\One of the girls in the fortress?\Now here's something to celebrate!\For the fire!\Thank you!\Alright!\You sure did it!\Aim. response:	Fire!
context: One of the girls in the fortress?\Now here's something to celebrate!\For the fire!\Thank you!\Alright!\You sure did it!\Aim.\Fire! response:	Thank you.
context: Now here's something to celebrate!\For the fire!\Thank you!\Alright!\You sure did it!\Aim.\Fire!\Thank you. response:	Thank you!
context: For the fire!\Thank you!\Alright!\You sure did it!\Aim.\Fire!\Thank you.\Thank you! response:	Hey!
context: Thank you!\Alright!\You sure did it!\Aim.\Fire!\Thank you.\Thank you!\Hey! response:	Are you an idiot? Getting completely caught up in the festivities.
context: Alright!\You sure did it!\Aim.\Fire!\Thank you.\Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities. response:	Where are you going looking like that!
context: You sure did it!\Aim.\Fire!\Thank you.\Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that! response:	Gesundheit.
context: Aim.\Fire!\Thank you.\Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit. response:	Thank y-
context: Fire!\Thank you.\Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit.\Thank y- response:	Come with me.
context: Thank you.\Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit.\Thank y-\Come with me. response:	How's the water?
context: Thank you!\Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit.\Thank y-\Come with me.\How's the water? response:	I'm happy!
context: Hey!\Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit.\Thank y-\Come with me.\How's the water?\I'm happy! response:	That's good to hear.
context: Are you an idiot? Getting completely caught up in the festivities.\Where are you going looking like that!\Gesundheit.\Thank y-\Come with me.\How's the water?\I'm happy!\That's good to hear. response:	It does look like you did quite a job.
context: Where are you going looking like that!\Gesundheit.\Thank y-\Come with me.\How's the water?\I'm happy!\That's good to hear.\It does look like you did quite a job. response:	You couldn't at least dodge it?
context: Gesundheit.\Thank y-\Come with me.\How's the water?\I'm happy!\That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it? response:	This dye goes away when it dries.
context: Thank y-\Come with me.\How's the water?\I'm happy!\That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries. response:	No need to worry.
context: Come with me.\How's the water?\I'm happy!\That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry. response:	That was the festival, wasn't it?
context: How's the water?\I'm happy!\That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it? response:	There's a legend here in Seize.
context: I'm happy!\That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize. response:	A legend? What kind?
context: That's good to hear.\It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind? response:	The Maidens of Fire
context: It does look like you did quite a job.\You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire response:	protect the town.
context: You couldn't at least dodge it?\This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire\protect the town. response:	Sorry for all the trouble.
context: This dye goes away when it dries.\No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire\protect the town.\Sorry for all the trouble. response:	I'll add it on. I finished repairing that thing.
context: No need to worry.\That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire\protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing. response:	And...
context: That was the festival, wasn't it?\There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire\protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And... response:	this, too.
context: There's a legend here in Seize.\A legend? What kind?\The Maidens of Fire\protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And...\this, too. response:	Felicia?
context: A legend? What kind?\The Maidens of Fire\protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And...\this, too.\Felicia? response:	That meddling...
context: The Maidens of Fire\protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And...\this, too.\Felicia?\That meddling... response:	Late.
context: protect the town.\Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And...\this, too.\Felicia?\That meddling...\Late. response:	Late, late, late!
context: Sorry for all the trouble.\I'll add it on. I finished repairing that thing.\And...\this, too.\Felicia?\That meddling...\Late.\Late, late, late! response:	We even came all the way out here for her!
context: I'll add it on. I finished repairing that thing.\And...\this, too.\Felicia?\That meddling...\Late.\Late, late, late!\We even came all the way out here for her! response:	Yes.
context: And...\this, too.\Felicia?\That meddling...\Late.\Late, late, late!\We even came all the way out here for her!\Yes. response:	Let's stand at ease.
context: this, too.\Felicia?\That meddling...\Late.\Late, late, late!\We even came all the way out here for her!\Yes.\Let's stand at ease. response:	It was a present from your father, right?
context: Felicia?\That meddling...\Late.\Late, late, late!\We even came all the way out here for her!\Yes.\Let's stand at ease.\It was a present from your father, right? response:	It's a good one.
context: That meddling...\Late.\Late, late, late!\We even came all the way out here for her!\Yes.\Let's stand at ease.\It was a present from your father, right?\It's a good one. response:	D-flat.
context: Late.\Late, late, late!\We even came all the way out here for her!\Yes.\Let's stand at ease.\It was a present from your father, right?\It's a good one.\D-flat. response:	Thank you for letting me use your bath.
context: Late, late, late!\We even came all the way out here for her!\Yes.\Let's stand at ease.\It was a present from your father, right?\It's a good one.\D-flat.\Thank you for letting me use your bath. response:	I tend to get lost on the road...
context: We even came all the way out here for her!\Yes.\Let's stand at ease.\It was a present from your father, right?\It's a good one.\D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road... response:	but I'm thankful that I was able to meet such a wonderful person!
context: Yes.\Let's stand at ease.\It was a present from your father, right?\It's a good one.\D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person! response:	You... know the sound?
context: Let's stand at ease.\It was a present from your father, right?\It's a good one.\D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound? response:	It's a clear... somewhat familiar sound.
context: It was a present from your father, right?\It's a good one.\D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound. response:	I don't mean like th-
context: It's a good one.\D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th- response:	Thief!
context: D-flat.\Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th-\Thief! response:	Idiot!
context: Thank you for letting me use your bath.\I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th-\Thief!\Idiot! response:	Thank you very much.
context: I tend to get lost on the road...\but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th-\Thief!\Idiot!\Thank you very much. response:	Honestly.
context: but I'm thankful that I was able to meet such a wonderful person!\You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th-\Thief!\Idiot!\Thank you very much.\Honestly. response:	Were you going to die for that thing?
context: You... know the sound?\It's a clear... somewhat familiar sound.\I don't mean like th-\Thief!\Idiot!\Thank you very much.\Honestly.\Were you going to die for that thing? response:	But that bell...
context: It's a clear... somewhat familiar sound.\I don't mean like th-\Thief!\Idiot!\Thank you very much.\Honestly.\Were you going to die for that thing?\But that bell... response:	It's fine.
context: I don't mean like th-\Thief!\Idiot!\Thank you very much.\Honestly.\Were you going to die for that thing?\But that bell...\It's fine. response:	I'm sure...
context: Thief!\Idiot!\Thank you very much.\Honestly.\Were you going to die for that thing?\But that bell...\It's fine.\I'm sure... response:	this is how it should be.
context: Idiot!\Thank you very much.\Honestly.\Were you going to die for that thing?\But that bell...\It's fine.\I'm sure...\this is how it should be. response:	Late.
context: Thank you very much.\Honestly.\Were you going to die for that thing?\But that bell...\It's fine.\I'm sure...\this is how it should be.\Late. response:	Happiness.
context: Honestly.\Were you going to die for that thing?\But that bell...\It's fine.\I'm sure...\this is how it should be.\Late.\Happiness. response:	Sound of the Skies
context: Were you going to die for that thing?\But that bell...\It's fine.\I'm sure...\this is how it should be.\Late.\Happiness.\Sound of the Skies response:	Sound of the Skies
context: But that bell...\It's fine.\I'm sure...\this is how it should be.\Late.\Happiness.\Sound of the Skies\Sound of the Skies response:	Excuse me...
context: It's fine.\I'm sure...\this is how it should be.\Late.\Happiness.\Sound of the Skies\Sound of the Skies\Excuse me... response:	I have some business to attend to.
context: I'm sure...\this is how it should be.\Late.\Happiness.\Sound of the Skies\Sound of the Skies\Excuse me...\I have some business to attend to. response:	Don't get lost again.
context: this is how it should be.\Late.\Happiness.\Sound of the Skies\Sound of the Skies\Excuse me...\I have some business to attend to.\Don't get lost again. response:	That bell...
context: Late.\Happiness.\Sound of the Skies\Sound of the Skies\Excuse me...\I have some business to attend to.\Don't get lost again.\That bell... response:	It must be important to her.
context: Happiness.\Sound of the Skies\Sound of the Skies\Excuse me...\I have some business to attend to.\Don't get lost again.\That bell...\It must be important to her. response:	What should I do?
context: Sound of the Skies\Sound of the Skies\Excuse me...\I have some business to attend to.\Don't get lost again.\That bell...\It must be important to her.\What should I do? response:	Oh no!
context: Sound of the Skies\Excuse me...\I have some business to attend to.\Don't get lost again.\That bell...\It must be important to her.\What should I do?\Oh no! response:	Over there?
