context: Captain! response:	Homecoming
context: You were always with me when I was lonely.\You were always thinking about me.\You tried to do everything you could for me.\You're the\kind Verde that I love!\What's that?\Oh no!\Wait! response:	That light is...
context: You were always thinking about me.\You tried to do everything you could for me.\You're the\kind Verde that I love!\What's that?\Oh no!\Wait!\That light is... response:	A cursed blade.
context: You tried to do everything you could for me.\You're the\kind Verde that I love!\What's that?\Oh no!\Wait!\That light is...\A cursed blade. response:	It shattered.
context: You're the\kind Verde that I love!\What's that?\Oh no!\Wait!\That light is...\A cursed blade.\It shattered. response:	I knew it.
context: kind Verde that I love!\What's that?\Oh no!\Wait!\That light is...\A cursed blade.\It shattered.\I knew it. response:	He was possessed by a cursed blade, too.
context: What's that?\Oh no!\Wait!\That light is...\A cursed blade.\It shattered.\I knew it.\He was possessed by a cursed blade, too. response:	I'm sorry, Aria.
context: Oh no!\Wait!\That light is...\A cursed blade.\It shattered.\I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria. response:	Heroes of the surface,
context: Wait!\That light is...\A cursed blade.\It shattered.\I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface, response:	I'm sorry.
context: That light is...\A cursed blade.\It shattered.\I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface,\I'm sorry. response:	What's this?
context: A cursed blade.\It shattered.\I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface,\I'm sorry.\What's this? response:	It's okay.
context: It shattered.\I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface,\I'm sorry.\What's this?\It's okay. response:	This is a good change.
context: I knew it.\He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface,\I'm sorry.\What's this?\It's okay.\This is a good change. response:	Verde will slowly regain
context: He was possessed by a cursed blade, too.\I'm sorry, Aria.\Heroes of the surface,\I'm sorry.\What's this?\It's okay.\This is a good change.\Verde will slowly regain response:	his original form inside this crystal.
context: I'm sorry, Aria.\Heroes of the surface,\I'm sorry.\What's this?\It's okay.\This is a good change.\Verde will slowly regain\his original form inside this crystal. response:	He was probably
context: Heroes of the surface,\I'm sorry.\What's this?\It's okay.\This is a good change.\Verde will slowly regain\his original form inside this crystal.\He was probably response:	originally a high-level spirit or a local god's servant.
context: I'm sorry.\What's this?\It's okay.\This is a good change.\Verde will slowly regain\his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant. response:	The cursed blade possessed him
context: What's this?\It's okay.\This is a good change.\Verde will slowly regain\his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him response:	and turned him into a Sickness Demon Disciple.
context: It's okay.\This is a good change.\Verde will slowly regain\his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple. response:	Normally it would take
context: This is a good change.\Verde will slowly regain\his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take response:	a very long time for him to regain his original form, but...
context: Verde will slowly regain\his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but... response:	If you keep him by your side
context: his original form inside this crystal.\He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side response:	and sing him gentle songs all the time,
context: He was probably\originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time, response:	he may wake up fast.
context: originally a high-level spirit or a local god's servant.\The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast. response:	That's right.
context: The cursed blade possessed him\and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast.\That's right. response:	Yes.
context: and turned him into a Sickness Demon Disciple.\Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast.\That's right.\Yes. response:	Her voice...
context: Normally it would take\a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast.\That's right.\Yes.\Her voice... response:	It's a pretty voice.
context: a very long time for him to regain his original form, but...\If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast.\That's right.\Yes.\Her voice...\It's a pretty voice. response:	Aria-san!
context: If you keep him by your side\and sing him gentle songs all the time,\he may wake up fast.\That's right.\Yes.\Her voice...\It's a pretty voice.\Aria-san! response:	Rebecca-san.
context: and sing him gentle songs all the time,\he may wake up fast.\That's right.\Yes.\Her voice...\It's a pretty voice.\Aria-san!\Rebecca-san. response:	I'm sorry to worry you.
context: he may wake up fast.\That's right.\Yes.\Her voice...\It's a pretty voice.\Aria-san!\Rebecca-san.\I'm sorry to worry you. response:	And you, too, princess of the surface world.
context: That's right.\Yes.\Her voice...\It's a pretty voice.\Aria-san!\Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world. response:	My name is Millihiore.
context: Yes.\Her voice...\It's a pretty voice.\Aria-san!\Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore. response:	Nice to meet you, Songstress of the Sky Sea.
context: Her voice...\It's a pretty voice.\Aria-san!\Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea. response:	I will sing a song of healing as the
context: It's a pretty voice.\Aria-san!\Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the response:	songstress of the Star Festival.
context: Aria-san!\Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival. response:	Princess Millihiore, will you sing with me?
context: Rebecca-san.\I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me? response:	Yes, I'd love to!
context: I'm sorry to worry you.\And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to! response:	This is a big help, Couver-sama.
context: And you, too, princess of the surface world.\My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama. response:	It's nothing!
context: My name is Millihiore.\Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing! response:	People of the surface, and Dragon Priestess Sharl,
context: Nice to meet you, Songstress of the Sky Sea.\I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl, response:	once again, I thank you.
context: I will sing a song of healing as the\songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you. response:	It took a long time,
context: songstress of the Star Festival.\Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time, response:	but I was able to find the Fire Dragon.
context: Princess Millihiore, will you sing with me?\Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon. response:	Yahoo!
context: Yes, I'd love to!\This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon.\Yahoo! response:	Now we don't have anything to worry about.
context: This is a big help, Couver-sama.\It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about. response:	It's time to say goodbye.
context: It's nothing!\People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye. response:	Yes.
context: People of the surface, and Dragon Priestess Sharl,\once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye.\Yes. response:	But before that...
context: once again, I thank you.\It took a long time,\but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye.\Yes.\But before that... response:	Right!
context: It took a long time,\but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye.\Yes.\But before that...\Right! response:	I'd like to give you a sign of thanks
context: but I was able to find the Fire Dragon.\Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye.\Yes.\But before that...\Right!\I'd like to give you a sign of thanks response:	for your courage and effort.
context: Yahoo!\Now we don't have anything to worry about.\It's time to say goodbye.\Yes.\But before that...\Right!\I'd like to give you a sign of thanks\for your courage and effort. response:	What's this?
context: Now we don't have anything to worry about.\It's time to say goodbye.\Yes.\But before that...\Right!\I'd like to give you a sign of thanks\for your courage and effort.\What's this? response:	I believe on the surface,
context: It's time to say goodbye.\Yes.\But before that...\Right!\I'd like to give you a sign of thanks\for your courage and effort.\What's this?\I believe on the surface, response:	you call it a Phantasmal Beast or a Divine Beast!
context: Yes.\But before that...\Right!\I'd like to give you a sign of thanks\for your courage and effort.\What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast! response:	Phantasmal Beasts are truly legendary!
context: But before that...\Right!\I'd like to give you a sign of thanks\for your courage and effort.\What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary! response:	They're said to be servants of the gods,
context: Right!\I'd like to give you a sign of thanks\for your courage and effort.\What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods, response:	and just seeing them will bring you good luck.
context: I'd like to give you a sign of thanks\for your courage and effort.\What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck. response:	The only ones I've ever seen are
context: for your courage and effort.\What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are response:	Pega and this one.
context: What's this?\I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one. response:	Pega is one, too?
context: I believe on the surface,\you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one.\Pega is one, too? response:	Yeah, he looked like that before he transformed.
context: you call it a Phantasmal Beast or a Divine Beast!\Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed. response:	He'll look like that too, once he transforms.
context: Phantasmal Beasts are truly legendary!\They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms. response:	I will give him to you
context: They're said to be servants of the gods,\and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you response:	as a sign of friendship.
context: and just seeing them will bring you good luck.\The only ones I've ever seen are\Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship. response:	What? Me?
context: The only ones I've ever seen are\Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship.\What? Me? response:	It seems he's taken a liking to Prince Gaul.
context: Pega and this one.\Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul. response:	That's great.
context: Pega is one, too?\Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul.\That's great. response:	It's wonderful, Prince Gaul.
context: Yeah, he looked like that before he transformed.\He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul. response:	Then as a representative of the Tri-country Alliance,
context: He'll look like that too, once he transforms.\I will give him to you\as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance, response:	we'll keep him in Galette. Will that be all right?
context: I will give him to you\as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right? response:	Yes, that would be ideal.
context: as a sign of friendship.\What? Me?\It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal. response:	It seems like keeping a phantasmal beast
context: What? Me?\It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast response:	would be a scary experience.
context: It seems he's taken a liking to Prince Gaul.\That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience. response:	Huh?
context: That's great.\It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience.\Huh? response:	Bye-bye, everyone!
context: It's wonderful, Prince Gaul.\Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience.\Huh?\Bye-bye, everyone! response:	Bye!
context: Then as a representative of the Tri-country Alliance,\we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience.\Huh?\Bye-bye, everyone!\Bye! response:	Goodbye!
context: we'll keep him in Galette. Will that be all right?\Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience.\Huh?\Bye-bye, everyone!\Bye!\Goodbye! response:	Prince Gaul.
context: Yes, that would be ideal.\It seems like keeping a phantasmal beast\would be a scary experience.\Huh?\Bye-bye, everyone!\Bye!\Goodbye!\Prince Gaul. response:	Aria-san is over there.
context: It seems like keeping a phantasmal beast\would be a scary experience.\Huh?\Bye-bye, everyone!\Bye!\Goodbye!\Prince Gaul.\Aria-san is over there. response:	I see.
context: would be a scary experience.\Huh?\Bye-bye, everyone!\Bye!\Goodbye!\Prince Gaul.\Aria-san is over there.\I see. response:	Couver.
context: Huh?\Bye-bye, everyone!\Bye!\Goodbye!\Prince Gaul.\Aria-san is over there.\I see.\Couver. response:	Can you head over there?
context: Bye-bye, everyone!\Bye!\Goodbye!\Prince Gaul.\Aria-san is over there.\I see.\Couver.\Can you head over there? response:	Sure.
context: Bye!\Goodbye!\Prince Gaul.\Aria-san is over there.\I see.\Couver.\Can you head over there?\Sure. response:	We should all say goodbye.
context: Goodbye!\Prince Gaul.\Aria-san is over there.\I see.\Couver.\Can you head over there?\Sure.\We should all say goodbye. response:	No, Prince Gaul.
context: Prince Gaul.\Aria-san is over there.\I see.\Couver.\Can you head over there?\Sure.\We should all say goodbye.\No, Prince Gaul. response:	She saved your life,
context: Aria-san is over there.\I see.\Couver.\Can you head over there?\Sure.\We should all say goodbye.\No, Prince Gaul.\She saved your life, response:	so go yourself.
context: I see.\Couver.\Can you head over there?\Sure.\We should all say goodbye.\No, Prince Gaul.\She saved your life,\so go yourself. response:	Ready, set...
context: Couver.\Can you head over there?\Sure.\We should all say goodbye.\No, Prince Gaul.\She saved your life,\so go yourself.\Ready, set... response:	Those guys...
