context: Naniwa Bay, now the flower blooms, but for winter. response:	Here comes spring, now the flower blooms.
context: E-Err...\The hell?\Track pants?\Look at the belt.\Ayase-san!\Just look at yourself!\Have you no shame?!\What? response:	You're the one who told me that I shouldn't do this with a skirt on.
context: The hell?\Track pants?\Look at the belt.\Ayase-san!\Just look at yourself!\Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on. response:	If you're going to wear track pants, take off the skirt!
context: Track pants?\Look at the belt.\Ayase-san!\Just look at yourself!\Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt! response:	Also, you're only allowed to put one flyer on the board.
context: Look at the belt.\Ayase-san!\Just look at yourself!\Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board. response:	Don't take it off here!
context: Ayase-san!\Just look at yourself!\Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here! response:	You keep trying to start a karuta club,
context: Just look at yourself!\Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club, response:	Right, everyone was saying how she's pretty,
context: Have you no shame?!\What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty, response:	but you always fall asleep during classical literature!
context: What?\You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature! response:	but it's wasted as soon as she talks or does something.
context: You're the one who told me that I shouldn't do this with a skirt on.\If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something. response:	Beauty in vain...
context: If you're going to wear track pants, take off the skirt!\Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain... response:	Chihaya Furu
context: Also, you're only allowed to put one flyer on the board.\Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu response:	Verse 1
context: Don't take it off here!\You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu\Verse 1 response:	Now The Flower Blooms
context: You keep trying to start a karuta club,\Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu\Verse 1\Now The Flower Blooms response:	Let's start a competitive karuta club!
context: Right, everyone was saying how she's pretty,\but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu\Verse 1\Now The Flower Blooms\Let's start a competitive karuta club! response:	Nobody's come to see me.
context: but you always fall asleep during classical literature!\but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu\Verse 1\Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me. response:	Chi-chan.
context: but it's wasted as soon as she talks or does something.\Beauty in vain...\Chihaya Furu\Verse 1\Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan. response:	Forget about karuta.
context: Beauty in vain...\Chihaya Furu\Verse 1\Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan.\Forget about karuta. response:	Do track with me again.
context: Chihaya Furu\Verse 1\Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan.\Forget about karuta.\Do track with me again. response:	It'd be a waste to just quit
context: Verse 1\Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan.\Forget about karuta.\Do track with me again.\It'd be a waste to just quit response:	after qualifying for the city meet in short distance.
context: Now The Flower Blooms\Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan.\Forget about karuta.\Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance. response:	Is karuta that idiom card game?
context: Let's start a competitive karuta club!\Nobody's come to see me.\Chi-chan.\Forget about karuta.\Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game? response:	It's not.
context: Nobody's come to see me.\Chi-chan.\Forget about karuta.\Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not. response:	Track was just a way for me to meet people.
context: Chi-chan.\Forget about karuta.\Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people. response:	Meet people?
context: Forget about karuta.\Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people.\Meet people? response:	What's that supposed to mean?
context: Do track with me again.\It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people.\Meet people?\What's that supposed to mean? response:	Hey, we need to hurry to practice,
context: It'd be a waste to just quit\after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people.\Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice, response:	or the seniors will yell at us again.
context: after qualifying for the city meet in short distance.\Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people.\Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again. response:	Uh-huh. See you later, Chi-chan.
context: Is karuta that idiom card game?\It's not.\Track was just a way for me to meet people.\Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan. response:	Wait up!
context: It's not.\Track was just a way for me to meet people.\Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up! response:	Faster!
context: Track was just a way for me to meet people.\Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up!\Faster! response:	Sorry.
context: Meet people?\What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up!\Faster!\Sorry. response:	That one senior is so scary!
context: What's that supposed to mean?\Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up!\Faster!\Sorry.\That one senior is so scary! response:	It must be nice to have teammates.
context: Hey, we need to hurry to practice,\or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up!\Faster!\Sorry.\That one senior is so scary!\It must be nice to have teammates. response:	I figured that high school was where I could
context: or the seniors will yell at us again.\Uh-huh. See you later, Chi-chan.\Wait up!\Faster!\Sorry.\That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could response:	find other players and focus 100 on karuta.
context: Uh-huh. See you later, Chi-chan.\Wait up!\Faster!\Sorry.\That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta. response:	That makes you the Queen, Ayase-san.
context: Wait up!\Faster!\Sorry.\That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san. response:	None are left who know me
context: Faster!\Sorry.\That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me response:	Back when I really enjoyed karuta...
context: Sorry.\That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta... response:	Takasago pines...
context: That one senior is so scary!\It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta...\Takasago pines... response:	They call you beauty in vain
context: It must be nice to have teammates.\I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain response:	because you just plop yourself on the ground.
context: I figured that high school was where I could\find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground. response:	Chihaya.
context: find other players and focus 100 on karuta.\That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground.\Chihaya. response:	Taichi?!
context: That makes you the Queen, Ayase-san.\None are left who know me\Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground.\Chihaya.\Taichi?! response:	That's awesome!
context: None are left who know me\Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground.\Chihaya.\Taichi?!\That's awesome! response:	I never thought you'd come to this high school.
context: Back when I really enjoyed karuta...\Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground.\Chihaya.\Taichi?!\That's awesome!\I never thought you'd come to this high school. response:	I figured you would stay at that fancy academy for high school with the free ride.
context: Takasago pines...\They call you beauty in vain\because you just plop yourself on the ground.\Chihaya.\Taichi?!\That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride. response:	And spend three more years commuting
context: They call you beauty in vain\because you just plop yourself on the ground.\Chihaya.\Taichi?!\That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting response:	an hour and a half each way?
context: because you just plop yourself on the ground.\Chihaya.\Taichi?!\That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way? response:	By the way, that hurt.
context: Chihaya.\Taichi?!\That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way?\By the way, that hurt. response:	Anyway, I think it's more surprising
context: Taichi?!\That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising response:	that you made it into a good public school.
context: That's awesome!\I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school. response:	Taichi, you've grown taller.
context: I never thought you'd come to this high school.\I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller. response:	But we're practically the same height!
context: I figured you would stay at that fancy academy for high school with the free ride.\And spend three more years commuting\an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height! response:	Don't get too cocky!
context: And spend three more years commuting\an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky! response:	I'm still gonna grow!
context: an hour and a half each way?\By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky!\I'm still gonna grow! response:	As am I.
context: By the way, that hurt.\Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky!\I'm still gonna grow!\As am I. response:	You can stop!
context: Anyway, I think it's more surprising\that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky!\I'm still gonna grow!\As am I.\You can stop! response:	Taichi!
context: that you made it into a good public school.\Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky!\I'm still gonna grow!\As am I.\You can stop!\Taichi! response:	What?
context: Taichi, you've grown taller.\But we're practically the same height!\Don't get too cocky!\I'm still gonna grow!\As am I.\You can stop!\Taichi!\What? response:	Taichi!
context: But we're practically the same height!\Don't get too cocky!\I'm still gonna grow!\As am I.\You can stop!\Taichi!\What?\Taichi! response:	Taichi! Taichi! Taichi!
context: Don't get too cocky!\I'm still gonna grow!\As am I.\You can stop!\Taichi!\What?\Taichi!\Taichi! Taichi! Taichi! response:	What's wrong with you?
context: I'm still gonna grow!\As am I.\You can stop!\Taichi!\What?\Taichi!\Taichi! Taichi! Taichi!\What's wrong with you? response:	Chihaya, you probably aren't very popular with the guys.
context: As am I.\You can stop!\Taichi!\What?\Taichi!\Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys. response:	Chihaya.
context: You can stop!\Taichi!\What?\Taichi!\Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya. response:	Hmm?
context: Taichi!\What?\Taichi!\Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm? response:	Say...
context: What?\Taichi!\Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm?\Say... response:	Excuse me for a second.
context: Taichi!\Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm?\Say...\Excuse me for a second. response:	Yeah, it's me.
context: Taichi! Taichi! Taichi!\What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm?\Say...\Excuse me for a second.\Yeah, it's me. response:	Right now?
context: What's wrong with you?\Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm?\Say...\Excuse me for a second.\Yeah, it's me.\Right now? response:	I'm at the station.
context: Chihaya, you probably aren't very popular with the guys.\Chihaya.\Hmm?\Say...\Excuse me for a second.\Yeah, it's me.\Right now?\I'm at the station. response:	Yeah, not yet.
context: Chihaya.\Hmm?\Say...\Excuse me for a second.\Yeah, it's me.\Right now?\I'm at the station.\Yeah, not yet. response:	Huh? You're waiting at Bubaigawara?
context: Hmm?\Say...\Excuse me for a second.\Yeah, it's me.\Right now?\I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara? response:	Fine, fine.
context: Say...\Excuse me for a second.\Yeah, it's me.\Right now?\I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine. response:	I'm hanging up.
context: Excuse me for a second.\Yeah, it's me.\Right now?\I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up. response:	Your girlfriend?!
context: Yeah, it's me.\Right now?\I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up.\Your girlfriend?! response:	You have a girlfriend?!
context: Right now?\I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up.\Your girlfriend?!\You have a girlfriend?! response:	Am I not allowed to have one?
context: I'm at the station.\Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up.\Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one? response:	Oh.
context: Yeah, not yet.\Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up.\Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one?\Oh. response:	Oh...
context: Huh? You're waiting at Bubaigawara?\Fine, fine.\I'm hanging up.\Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one?\Oh.\Oh... response:	Wh-What's wrong?
context: Fine, fine.\I'm hanging up.\Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one?\Oh.\Oh...\Wh-What's wrong? response:	Was it that big of a shock?
context: I'm hanging up.\Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one?\Oh.\Oh...\Wh-What's wrong?\Was it that big of a shock? response:	Uh-huh.
context: Your girlfriend?!\You have a girlfriend?!\Am I not allowed to have one?\Oh.\Oh...\Wh-What's wrong?\Was it that big of a shock?\Uh-huh. response:	W-Well, I'm only with her because she asked me out.
context: You have a girlfriend?!\Am I not allowed to have one?\Oh.\Oh...\Wh-What's wrong?\Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out. response:	I'm not really attached to her or anything...
context: Am I not allowed to have one?\Oh.\Oh...\Wh-What's wrong?\Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything... response:	Maybe Arata's found something more important to him than karuta.
context: Oh.\Oh...\Wh-What's wrong?\Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta. response:	Huh?
context: Oh...\Wh-What's wrong?\Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh? response:	What's that supposed to mean?
context: Wh-What's wrong?\Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean? response:	Taichi?
context: Was it that big of a shock?\Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean?\Taichi? response:	Have you been in touch with Arata?
context: Uh-huh.\W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean?\Taichi?\Have you been in touch with Arata? response:	No, I didn't get a New Year's card from him.
context: W-Well, I'm only with her because she asked me out.\I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean?\Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him. response:	Arata wasn't in last year's national tournament.
context: I'm not really attached to her or anything...\Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean?\Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament. response:	I was on the track team in middle school,
context: Maybe Arata's found something more important to him than karuta.\Huh?\What's that supposed to mean?\Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school, response:	so I've never been to the Omi Jingu tournament.
context: Huh?\What's that supposed to mean?\Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament. response:	Nothing wrong with track.
context: What's that supposed to mean?\Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track. response:	Huh?
context: Taichi?\Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh? response:	I'm planning on doing something else in high school.
context: Have you been in touch with Arata?\No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh?\I'm planning on doing something else in high school. response:	Karuta was just a hobby.
context: No, I didn't get a New Year's card from him.\Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby. response:	What? You're not gonna play karuta?!
context: Arata wasn't in last year's national tournament.\I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?! response:	We're even in the same high school!
context: I was on the track team in middle school,\so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school! response:	I spent most of my time in middle school playing soccer.
context: so I've never been to the Omi Jingu tournament.\Nothing wrong with track.\Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer. response:	We're not gonna play karuta forever.
context: Nothing wrong with track.\Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever. response:	None are left who know me.
context: Huh?\I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me. response:	This poem was about losing old friends.
context: I'm planning on doing something else in high school.\Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends. response:	As long as we keep playing, we'll see each other again!
context: Karuta was just a hobby.\What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again! response:	I just know it!
context: What? You're not gonna play karuta?!\We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it! response:	Chi-chan! Hurry up!
context: We're even in the same high school!\I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it!\Chi-chan! Hurry up! response:	Wait for me!
context: I spent most of my time in middle school playing soccer.\We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it!\Chi-chan! Hurry up!\Wait for me! response:	Three years ago, in Tokyo,
context: We're not gonna play karuta forever.\None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it!\Chi-chan! Hurry up!\Wait for me!\Three years ago, in Tokyo, response:	before I found my passion...
context: None are left who know me.\This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it!\Chi-chan! Hurry up!\Wait for me!\Three years ago, in Tokyo,\before I found my passion... response:	Hey, hey.
context: This poem was about losing old friends.\As long as we keep playing, we'll see each other again!\I just know it!\Chi-chan! Hurry up!\Wait for me!\Three years ago, in Tokyo,\before I found my passion...\Hey, hey. response:	How did your sister do in the beauty pageant?
