context: Kagome, this way?! response:	It's near! Beyond this forest!
context: Inuyasha, remember.\We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing! response:	While we're at it, we'll slaughter you all, too.
context: We must distract Kagura and her demons as much as possible.\I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too. response:	Inuyasha... your head is mine!
context: I know that!\Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine! response:	Dance of Blades!
context: Kagura! You need a whole army just to capture one kid?!\Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades! response:	Kohaku?
context: Fine with me!\They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades!\Kohaku? response:	What's going on?
context: They're falling for Naraku's plan.\Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades!\Kohaku?\What's going on? response:	All of a sudden, he's changed!
context: Do your work, Kohaku.\What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades!\Kohaku?\What's going on?\All of a sudden, he's changed! response:	Kohaku, kill Kagome.
context: What perfect timing!\While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades!\Kohaku?\What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome. response:	Kill her!
context: While we're at it, we'll slaughter you all, too.\Inuyasha... your head is mine!\Dance of Blades!\Kohaku?\What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her! response:	Kill!
context: Inuyasha... your head is mine!\Dance of Blades!\Kohaku?\What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her!\Kill! response:	Kohaku...
context: Dance of Blades!\Kohaku?\What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her!\Kill!\Kohaku... response:	Kill! Kill!
context: Kohaku?\What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her!\Kill!\Kohaku...\Kill! Kill! response:	Kill!
context: What's going on?\All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her!\Kill!\Kohaku...\Kill! Kill!\Kill! response:	Kohaku...
context: All of a sudden, he's changed!\Kohaku, kill Kagome.\Kill her!\Kill!\Kohaku...\Kill! Kill!\Kill!\Kohaku... response:	Kagome! Kohaku!
context: Kohaku, kill Kagome.\Kill her!\Kill!\Kohaku...\Kill! Kill!\Kill!\Kohaku...\Kagome! Kohaku! response:	Sango!
context: Kill her!\Kill!\Kohaku...\Kill! Kill!\Kill!\Kohaku...\Kagome! Kohaku!\Sango! response:	Kohaku?
context: Kill!\Kohaku...\Kill! Kill!\Kill!\Kohaku...\Kagome! Kohaku!\Sango!\Kohaku? response:	So you are still...
context: Kohaku...\Kill! Kill!\Kill!\Kohaku...\Kagome! Kohaku!\Sango!\Kohaku?\So you are still... response:	Kagome!
context: Kill! Kill!\Kill!\Kohaku...\Kagome! Kohaku!\Sango!\Kohaku?\So you are still...\Kagome! response:	I'm all right. It's not serious.
context: Kill!\Kohaku...\Kagome! Kohaku!\Sango!\Kohaku?\So you are still...\Kagome!\I'm all right. It's not serious. response:	Kohaku...
context: Kohaku...\Kagome! Kohaku!\Sango!\Kohaku?\So you are still...\Kagome!\I'm all right. It's not serious.\Kohaku... response:	Kirara, stay with Kagome.
context: Kagome! Kohaku!\Sango!\Kohaku?\So you are still...\Kagome!\I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome. response:	Kagome, it must hurt.
context: Sango!\Kohaku?\So you are still...\Kagome!\I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt. response:	Sango...
context: Kohaku?\So you are still...\Kagome!\I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt.\Sango... response:	I'm sorry.
context: So you are still...\Kagome!\I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt.\Sango...\I'm sorry. response:	Sango?
context: Kagome!\I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt.\Sango...\I'm sorry.\Sango? response:	Sango's not planning to...?
context: I'm all right. It's not serious.\Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt.\Sango...\I'm sorry.\Sango?\Sango's not planning to...? response:	There's no end to this!
context: Kohaku...\Kirara, stay with Kagome.\Kagome, it must hurt.\Sango...\I'm sorry.\Sango?\Sango's not planning to...?\There's no end to this! response:	Dance of Blades!
context: Kirara, stay with Kagome.\Kagome, it must hurt.\Sango...\I'm sorry.\Sango?\Sango's not planning to...?\There's no end to this!\Dance of Blades! response:	What's the matter?
context: Kagome, it must hurt.\Sango...\I'm sorry.\Sango?\Sango's not planning to...?\There's no end to this!\Dance of Blades!\What's the matter? response:	Why don't you draw your sword, Inuyasha?
context: Sango...\I'm sorry.\Sango?\Sango's not planning to...?\There's no end to this!\Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha? response:	Using the Tetsusaiga to kill the likes of you is wasteful!
context: I'm sorry.\Sango?\Sango's not planning to...?\There's no end to this!\Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful! response:	Iron-Reaver, Soul-Stealer!
context: Sango?\Sango's not planning to...?\There's no end to this!\Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer! response:	Are you using your claws because you still can't control your sword?
context: Sango's not planning to...?\There's no end to this!\Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword? response:	You're so smart!
context: There's no end to this!\Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart! response:	Stupid!
context: Dance of Blades!\What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart!\Stupid! response:	Sorry, Inuyasha!
context: What's the matter?\Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart!\Stupid!\Sorry, Inuyasha! response:	So that's it?
context: Why don't you draw your sword, Inuyasha?\Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart!\Stupid!\Sorry, Inuyasha!\So that's it? response:	Shut up! I'll kill you!
context: Using the Tetsusaiga to kill the likes of you is wasteful!\Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart!\Stupid!\Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you! response:	The Tetsusaiga!
context: Iron-Reaver, Soul-Stealer!\Are you using your claws because you still can't control your sword?\You're so smart!\Stupid!\Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you!\The Tetsusaiga! response:	What's the matter, Inuyasha?
context: Are you using your claws because you still can't control your sword?\You're so smart!\Stupid!\Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha? response:	You're having an awkward time of it with your sword.
context: You're so smart!\Stupid!\Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword. response:	Damn! It's still too heavy to wield easily.
context: Stupid!\Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily. response:	We must keep those demons believing that...
context: Sorry, Inuyasha!\So that's it?\Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that... response:	Kohaku is hiding inside the hut.
context: So that's it?\Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut. response:	Miroku!
context: Shut up! I'll kill you!\The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku! response:	Pay attention!
context: The Tetsusaiga!\What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku!\Pay attention! response:	So the hut was empty?
context: What's the matter, Inuyasha?\You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku!\Pay attention!\So the hut was empty? response:	You had us fooled all this time?
context: You're having an awkward time of it with your sword.\Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku!\Pay attention!\So the hut was empty?\You had us fooled all this time? response:	You're not going, Kagura!
context: Damn! It's still too heavy to wield easily.\We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku!\Pay attention!\So the hut was empty?\You had us fooled all this time?\You're not going, Kagura! response:	We still haven't finished this fight!
context: We must keep those demons believing that...\Kohaku is hiding inside the hut.\Miroku!\Pay attention!\So the hut was empty?\You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight! response:	Could it be...?
context: Kohaku is hiding inside the hut.\Miroku!\Pay attention!\So the hut was empty?\You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight!\Could it be...? response:	Don't be tricked, Inuyasha!
context: Miroku!\Pay attention!\So the hut was empty?\You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha! response:	Why, Miroku?
context: Pay attention!\So the hut was empty?\You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku? response:	We thought Kohaku was Kagura and the demons' aim!
context: So the hut was empty?\You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim! response:	Yet, none of them are trying to go after him.
context: You had us fooled all this time?\You're not going, Kagura!\We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him. response:	Maybe... they faked all this...
context: You're not going, Kagura!\We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this... response:	and we were the ones who were tricked!
context: We still haven't finished this fight!\Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked! response:	If Naraku's true aim was not Kohaku...
context: Could it be...?\Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku... response:	Kagome!
context: Don't be tricked, Inuyasha!\Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome! response:	She's taken Kohaku into the forest!
context: Why, Miroku?\We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest! response:	So Naraku is still in control of Kohaku!
context: We thought Kohaku was Kagura and the demons' aim!\Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku! response:	You only realized it now?
context: Yet, none of them are trying to go after him.\Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now? response:	It's probably too late.
context: Maybe... they faked all this...\and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late. response:	Damn you! Using Kohaku to get to Kagome!
context: and we were the ones who were tricked!\If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome! response:	Yeah...
context: If Naraku's true aim was not Kohaku...\Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah... response:	Kagome, the one who uses the bow and arrow...
context: Kagome!\She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow... response:	She's a nuisance.
context: She's taken Kohaku into the forest!\So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance. response:	Miroku! What're you doing? There are poison insects!
context: So Naraku is still in control of Kohaku!\You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects! response:	Wind Tunnel!
context: You only realized it now?\It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel! response:	Miroku! Don't be so rash!
context: It's probably too late.\Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash! response:	Miroku!
context: Damn you! Using Kohaku to get to Kagome!\Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash!\Miroku! response:	You're sucking in the poison insects, too!
context: Yeah...\Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too! response:	Inuyasha, go after Sango and Kagome.
context: Kagome, the one who uses the bow and arrow...\She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome. response:	Gotcha! Sorry, Miroku!
context: She's a nuisance.\Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku! response:	Don't you dare die!
context: Miroku! What're you doing? There are poison insects!\Wind Tunnel!\Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die! response:	- As if I'd let you get away! - Don't move, Kagura!
context: Wind Tunnel!\Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura! response:	If I turn, I'll suck you in, too!
context: Miroku! Don't be so rash!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too! response:	Damn!
context: Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn! response:	No thanks!
context: You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn!\No thanks! response:	She escaped!
context: Inuyasha, go after Sango and Kagome.\Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn!\No thanks!\She escaped! response:	Miroku! Are you all right?
context: Gotcha! Sorry, Miroku!\Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn!\No thanks!\She escaped!\Miroku! Are you all right? response:	We... must... hurry after Inuyasha...
context: Don't you dare die!\- As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn!\No thanks!\She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha... response:	Yes.
