context: I got it. response:	The reprogramming of the surveillance satellite,
context: A discovery! A discovery!\The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight response:	There's no more hesitation anymore
context: The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore response:	Tying our bond
context: What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond response:	To the sky waiting for the dawn
context: If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn response:	Holding you, my love, tightly
context: No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly response:	I present an unbreakable prayer
context: She... doesn't look like the King of Terror.\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer response:	We all are still in the darkness
context: Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness response:	Right now I just
context: I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just response:	Want to touch you deep in your heart
context: There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart response:	And give you all of my overflowing passion
context: Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion response:	I spread out my wings
context: To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings response:	Toward the future of our dreams
context: Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams response:	On them are engraved
context: I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved response:	The feeling you gave me that day
context: We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day response:	The words of our oath
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Feather 7: The Black Sekirei
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei response:	Get away from there!
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there! response:	Only the real wife can share his bed!
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed! response:	I'm his wife, too!
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed!\I'm his wife, too! response:	I-I had a feeling this would happen...
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen... response:	Well, Ku-chan, it's time to go to sleep.
context: My pounding heart, take off now!\My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep. response:	Art thou retreating, Minato?!
context: My wish can fly high, high up\Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?! response:	I'm just taking Ku-chan to the landlady's room...
context: Feather 7: The Black Sekirei\Get away from there!\Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room... response:	Little brat, art thou challenging me?
context: Get away from there!\Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me? response:	This is such a typical scene of carnage.
context: Only the real wife can share his bed!\I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage. response:	Matsu-san, you too. You'll get in trouble with landlady again.
context: I'm his wife, too!\I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again. response:	I'm simply observing these unruly and wild women fight.
context: I-I had a feeling this would happen...\Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight. response:	And in the end, I let them have their way...
context: Well, Ku-chan, it's time to go to sleep.\Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way... response:	Sahashi-san...
context: Art thou retreating, Minato?!\I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san... response:	I told you illicit sexual relations are not permitted.
context: I'm just taking Ku-chan to the landlady's room...\Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted. response:	U-Um... it's not like that...
context: Little brat, art thou challenging me?\This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that... response:	Even Ku-chan...
context: This is such a typical scene of carnage.\Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan... response:	And so I have decided to formally allocate the rooms.
context: Matsu-san, you too. You'll get in trouble with landlady again.\I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms. response:	Ku-chan will keep sleeping in my room as before.
context: I'm simply observing these unruly and wild women fight.\And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before. response:	Musubi-san and Tsukiumi-san will be in the vacant room 204.
context: And in the end, I let them have their way...\Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204. response:	I can't understand! I'm his wife.
context: Sahashi-san...\I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife. response:	It's unreasonable to be separated from one's husband!
context: I told you illicit sexual relations are not permitted.\U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband! response:	I'm his wife, too!
context: U-Um... it's not like that...\Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too! response:	It is already done.
context: Even Ku-chan...\And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done. response:	Hisss... It is already done.
context: And so I have decided to formally allocate the rooms.\Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done.\Hisss... It is already done. response:	Hisss...
context: Ku-chan will keep sleeping in my room as before.\Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done.\Hisss... It is already done.\Hisss... response:	Understood?
context: Musubi-san and Tsukiumi-san will be in the vacant room 204.\I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done.\Hisss... It is already done.\Hisss...\Understood? response:	Yes...
context: I can't understand! I'm his wife.\It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done.\Hisss... It is already done.\Hisss...\Understood?\Yes... response:	Well... as the landlady has decided so...
context: It's unreasonable to be separated from one's husband!\I'm his wife, too!\It is already done.\Hisss... It is already done.\Hisss...\Understood?\Yes...\Well... as the landlady has decided so... response:	Now the obstacles to my experiment are eliminated...
context: I'm his wife, too!\It is already done.\Hisss... It is already done.\Hisss...\Understood?\Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated... response:	The private army's deployment has changed.
context: It is already done.\Hisss... It is already done.\Hisss...\Understood?\Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed. response:	Why so suddenly?
context: Hisss... It is already done.\Hisss...\Understood?\Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly? response:	That wench! Why must I, the real wife, be kicked out from Minato's room?
context: Hisss...\Understood?\Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room? response:	Honestly, I cannot accept this at all!
context: Understood?\Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all! response:	I'll be out shopping,
context: Yes...\Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping, response:	so please water the garden.
context: Well... as the landlady has decided so...\Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden. response:	Yes, have a safe trip, landlady.
context: Now the obstacles to my experiment are eliminated...\The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady. response:	See you!
context: The private army's deployment has changed.\Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady.\See you! response:	Huh? Where is Tsukiumi-san?
context: Why so suddenly?\That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san? response:	If she'd join us watering the garden, I'm sure it'd be a lot of fun...
context: That wench! Why must I, the real wife, be kicked out from Minato's room?\Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun... response:	Why must I help with these chores?
context: Honestly, I cannot accept this at all!\I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores? response:	They had better not think of me as a water sprinkler or something!
context: I'll be out shopping,\so please water the garden.\Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something! response:	H-Hi.
context: so please water the garden.\Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi. response:	You really look alike...
context: Yes, have a safe trip, landlady.\See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike... response:	What are you talking about?
context: See you!\Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike...\What are you talking about? response:	See you later.
context: Huh? Where is Tsukiumi-san?\If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike...\What are you talking about?\See you later. response:	I'll be back soon.
context: If she'd join us watering the garden, I'm sure it'd be a lot of fun...\Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike...\What are you talking about?\See you later.\I'll be back soon. response:	I just came to see her today.
context: Why must I help with these chores?\They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike...\What are you talking about?\See you later.\I'll be back soon.\I just came to see her today. response:	I wonder if Mu-chan's doing well.
context: They had better not think of me as a water sprinkler or something!\H-Hi.\You really look alike...\What are you talking about?\See you later.\I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well. response:	No, Ku-chan. You'll get wet.
context: H-Hi.\You really look alike...\What are you talking about?\See you later.\I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet. response:	I-I'm sorry!
context: You really look alike...\What are you talking about?\See you later.\I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry! response:	You're still a scatterbrain as always...
context: What are you talking about?\See you later.\I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always... response:	Karasuba-sama!
context: See you later.\I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama! response:	Why are you here?
context: I'll be back soon.\I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama!\Why are you here? response:	I heard a rumor about you.
context: I just came to see her today.\I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama!\Why are you here?\I heard a rumor about you. response:	Am I causing trouble?
context: I wonder if Mu-chan's doing well.\No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama!\Why are you here?\I heard a rumor about you.\Am I causing trouble? response:	No, not at all. I'm very glad you're here!
context: No, Ku-chan. You'll get wet.\I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama!\Why are you here?\I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here! response:	Musubi-chan, is someone here?
context: I-I'm sorry!\You're still a scatterbrain as always...\Karasuba-sama!\Why are you here?\I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here? response:	Please wear my clothes until yours get dry.
context: You're still a scatterbrain as always...\Karasuba-sama!\Why are you here?\I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry. response:	I'm really sorry about that.
context: Karasuba-sama!\Why are you here?\I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that. response:	Don't worry.
context: Why are you here?\I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry. response:	By the way, that guy is your Ashikabi?
context: I heard a rumor about you.\Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi? response:	Yes, he's Minato-san.
context: Am I causing trouble?\No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san. response:	A Sekirei symbol!
context: No, not at all. I'm very glad you're here!\Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol! response:	Right. I've emerged, too.
context: Musubi-chan, is someone here?\Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too. response:	Congratulations!
context: Please wear my clothes until yours get dry.\I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too.\Congratulations! response:	I heard you crushed number 43.
