context: Lucy! You can hear me, can't you?! response:	Hold on! I swear I'll get you outta here!
context: Lucy! Get a hold of yourself!\Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever... response:	For eternity...
context: Struggle how you might, it's pointless.\In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever...\For eternity... response:	Recently on Fairy Tail...
context: In mere moments, Lucy Heartfilia will merge with the Infinity Clock.\And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever...\For eternity...\Recently on Fairy Tail... response:	While we were fighting with Legion over the memento from Lucy's dad,
context: And when that happens, it'll become possible for us to take control of Real Nightmare.\What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever...\For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad, response:	the new Oracion Seis appeared before us.
context: What?!\I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever...\For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us. response:	They stole the Infinity Clock and abducted Lucy.
context: I won't let anyone lay a hand on Nee-san.\She's going to stay with me forever.\Forever...\For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy. response:	We handpicked members headed for Infinity Castle to try to stop Real Nightmare.
context: She's going to stay with me forever.\Forever...\For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare. response:	If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.
context: Forever...\For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare. response:	Right now, there are three left!
context: For eternity...\Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left! response:	Happy birthday, Lucy.
context: Recently on Fairy Tail...\While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy. response:	Thank you, Mama, Papa, everyone!
context: While we were fighting with Legion over the memento from Lucy's dad,\the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone! response:	Everyone...?
context: the new Oracion Seis appeared before us.\They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...? response:	Michelle's not here...
context: They stole the Infinity Clock and abducted Lucy.\We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here... response:	Oh, that's right. She said that was all a lie...
context: We handpicked members headed for Infinity Castle to try to stop Real Nightmare.\If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie... response:	Natsu! What's going on over there?!
context: If we can defeat all Six Generals barring our way, we'll be able to stop Real Nightmare.\Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?! response:	How's Lucy?!
context: Right now, there are three left!\Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?! response:	If we don't hurry,
context: Happy birthday, Lucy.\Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry, response:	Lucy's gonna be swallowed up by the Infinity Clock!
context: Thank you, Mama, Papa, everyone!\Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock! response:	Say what?!
context: Everyone...?\Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?! response:	I Can Hear the Voices of My Friends!
context: Michelle's not here...\Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends! response:	Lucy is merging with the Infinity Clock?!
context: Oh, that's right. She said that was all a lie...\Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?! response:	That must be why we can't reach her by telepathy!
context: Natsu! What's going on over there?!\How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy! response:	Is there anything we can do?
context: How's Lucy?!\If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do? response:	You need to rest a little!
context: If we don't hurry,\Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little! response:	Listen, everyone!
context: Lucy's gonna be swallowed up by the Infinity Clock!\Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little!\Listen, everyone! response:	Hurry up and beat Oracion Seis!
context: Say what?!\I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis! response:	If Lucy becomes one with the Infinity Clock, it'll be too late!
context: I Can Hear the Voices of My Friends!\Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late! response:	I can hear it...
context: Lucy is merging with the Infinity Clock?!\That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it... response:	You need to take me down without a moment to spare,
context: That must be why we can't reach her by telepathy!\Is there anything we can do?\You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare, response:	so my engraved seal on the Infinity Clock will be erased...
context: Is there anything we can do?\You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased... response:	Give it up, Titania!
context: You need to rest a little!\Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania! response:	Give up. I don't know what those words mean!
context: Listen, everyone!\Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean! response:	Even if you're defeated, you still have friends, eh?
context: Hurry up and beat Oracion Seis!\If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh? response:	You can rely on them, but you won't beat me!
context: If Lucy becomes one with the Infinity Clock, it'll be too late!\I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me! response:	Requip!
context: I can hear it...\You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip! response:	In order to receive our new powers, we each lost something irreplaceable!
context: You need to take me down without a moment to spare,\so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable! response:	For Erigor, it was his memories.
context: so my engraved seal on the Infinity Clock will be erased...\Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories. response:	For Racer, it was his heart!
context: Give it up, Titania!\Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart! response:	And Angel, her lifespan!
context: Give up. I don't know what those words mean!\Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan! response:	What you scum lack is the resolve to lose something important!
context: Even if you're defeated, you still have friends, eh?\You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important! response:	No one can surpass the weight upon our hearts!
context: You can rely on them, but you won't beat me!\Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts! response:	Who is this?
context: Requip!\In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this? response:	Romeo! What are you doing over there?!
context: In order to receive our new powers, we each lost something irreplaceable!\For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?! response:	I stowed away on Christina.
context: For Erigor, it was his memories.\For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina. response:	At a time like this, there was no way I was gonna stay home!
context: For Racer, it was his heart!\And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home! response:	Idiot! I know how you feel, but this time...
context: And Angel, her lifespan!\What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time... response:	Romeo-san, can you hear me?!
context: What you scum lack is the resolve to lose something important!\No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?! response:	Yeah!
context: No one can surpass the weight upon our hearts!\Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah! response:	Anyway, meet up with somebody.
context: Who is this?\Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody. response:	Either way, there's no time!
context: Romeo! What are you doing over there?!\I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody.\Either way, there's no time! response:	They have to beat the remaining Oracion Seis members and save Lucy!
context: I stowed away on Christina.\At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy! response:	Which way should I go?
context: At a time like this, there was no way I was gonna stay home!\Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go? response:	I'll tell you the route Natsu and the others took, so head that way!
context: Idiot! I know how you feel, but this time...\Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way! response:	Got it!
context: Romeo-san, can you hear me?!\Yeah!\Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it! response:	Happy! Lily!
context: Yeah!\Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily! response:	Yes?! I can hear you!
context: Anyway, meet up with somebody.\Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily!\Yes?! I can hear you! response:	We're headin' that way, too!
context: Either way, there's no time!\They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too! response:	I'm counting on you!
context: They have to beat the remaining Oracion Seis members and save Lucy!\Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you! response:	Anyway, stop Samuel!
context: Which way should I go?\I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel! response:	Roger!
context: I'll tell you the route Natsu and the others took, so head that way!\Got it!\Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel!\Roger! response:	Aye, sir!
context: Got it!\Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel!\Roger!\Aye, sir! response:	What is the archbishop's condition?
context: Happy! Lily!\Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel!\Roger!\Aye, sir!\What is the archbishop's condition? response:	Byro!
context: Yes?! I can hear you!\We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel!\Roger!\Aye, sir!\What is the archbishop's condition?\Byro! response:	Hey! Where's Gildarts?!
context: We're headin' that way, too!\I'm counting on you!\Anyway, stop Samuel!\Roger!\Aye, sir!\What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?! response:	He descended into the depths with his comrades.
context: I'm counting on you!\Anyway, stop Samuel!\Roger!\Aye, sir!\What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades. response:	I expect he's okay...
context: Anyway, stop Samuel!\Roger!\Aye, sir!\What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay... response:	More importantly, do you know what happened to Samuel and the others?
context: Roger!\Aye, sir!\What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others? response:	You have no more reason to go after Lucy!
context: Aye, sir!\What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy! response:	If we defeat all Six Generals, their seals will disappear.
context: What is the archbishop's condition?\Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear. response:	And if that happens...
context: Byro!\Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens... response:	But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.
context: Hey! Where's Gildarts?!\He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock. response:	Am I wrong?
context: He descended into the depths with his comrades.\I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong? response:	We don't...
context: I expect he's okay...\More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't... response:	There is still a way.
context: More importantly, do you know what happened to Samuel and the others?\You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't...\There is still a way. response:	Your Grace!
context: You have no more reason to go after Lucy!\If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't...\There is still a way.\Your Grace! response:	I had a... trying nightmare for the longest time...
context: If we defeat all Six Generals, their seals will disappear.\And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't...\There is still a way.\Your Grace!\I had a... trying nightmare for the longest time... response:	It had nothing to do with my own will. I was controlled like a puppet,
context: And if that happens...\But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't...\There is still a way.\Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet, response:	which brought this situation on.
context: But you're too late to stop Lucy Heartfilia from merging with the Infinity Clock.\Am I wrong?\We don't...\There is still a way.\Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on. response:	However, taking no heed of the danger, these people rescued me.
context: Am I wrong?\We don't...\There is still a way.\Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me. response:	But even though I was manipulated, I saw from the enemy's viewpoint,
context: We don't...\There is still a way.\Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint, response:	and amid this chaos...
context: There is still a way.\Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos... response:	Um...
context: Your Grace!\I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um... response:	There's something we'd like you to tell us!
context: I had a... trying nightmare for the longest time...\It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um...\There's something we'd like you to tell us! response:	Archbishop, you know a lot about the Infinity Clock, right?
context: It had nothing to do with my own will. I was controlled like a puppet,\which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right? response:	You want to know about the captured Celestial Spirit Wizard, don't you?
context: which brought this situation on.\However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you? response:	You say you wanna be with Lucy forever?
context: However, taking no heed of the danger, these people rescued me.\But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever? response:	What about Lucy's feelings?!
context: But even though I was manipulated, I saw from the enemy's viewpoint,\and amid this chaos...\Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?! response:	She trusted you, and even after she realized you betrayed her,
context: and amid this chaos...\Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her, response:	she wants to believe in you again.
context: Um...\There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again. response:	Can't you hear that voice?!
context: There's something we'd like you to tell us!\Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?! response:	There's nothing to hesitate over.
context: Archbishop, you know a lot about the Infinity Clock, right?\You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over. response:	You're just trying to take back what you lost... Imitatia.
context: You want to know about the captured Celestial Spirit Wizard, don't you?\You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia. response:	Michelle!
context: You say you wanna be with Lucy forever?\What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle! response:	I'm sure Nee-san will be happier this way!
context: What about Lucy's feelings?!\She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way! response:	After all, we were always together!
