context: Manaka-san... response:	There you go, making that depressing face again.
context: Yeah.\What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today. response:	Those who finish cleaning first can go home.
context: What the hell is with English being first period?\That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home. response:	I know it's a lot of homework, but don't forget it.
context: That she'd be the same as Hikari or Kaname-san.\That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it. response:	All right!
context: That she'd wake up soon.\But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right! response:	What?
context: But...\Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right!\What? response:	Let's get the bathroom cleaning over with!
context: Manaka-san still showed no signs of waking up.\Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right!\What?\Let's get the bathroom cleaning over with! response:	Seriously?
context: Episode Twenty: Sleeping Beauty\That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right!\What?\Let's get the bathroom cleaning over with!\Seriously? response:	Today's the day I'm gonna catch that Uroko!
context: That ends our lesson for today.\Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right!\What?\Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko! response:	Uroko-sama may know a way to wake Manaka up.
context: Those who finish cleaning first can go home.\I know it's a lot of homework, but don't forget it.\All right!\What?\Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up. response:	Yeah, considering he's the one who made everyone hibernate.
context: I know it's a lot of homework, but don't forget it.\All right!\What?\Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate. response:	Kaname, hurry up!
context: All right!\What?\Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up! response:	Oh, sorry about that.
context: What?\Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that. response:	What're you doing?
context: Let's get the bathroom cleaning over with!\Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that.\What're you doing? response:	I'm gonna leave you behind.
context: Seriously?\Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that.\What're you doing?\I'm gonna leave you behind. response:	I thought that Hikari would be more panicked about Manaka-san,
context: Today's the day I'm gonna catch that Uroko!\Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that.\What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san, response:	but he seems pretty positive.
context: Uroko-sama may know a way to wake Manaka up.\Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that.\What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive. response:	Is Manaka-san at your house by herself during the day?
context: Yeah, considering he's the one who made everyone hibernate.\Kaname, hurry up!\Oh, sorry about that.\What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day? response:	My mom's been getting days off from Saya Mart to take care of her.
context: Kaname, hurry up!\Oh, sorry about that.\What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her. response:	I see.
context: Oh, sorry about that.\What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see. response:	Damn it.
context: What're you doing?\I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it. response:	Where the hell is he hiding?
context: I'm gonna leave you behind.\I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it.\Where the hell is he hiding? response:	The water temperature's getting lower.
context: I thought that Hikari would be more panicked about Manaka-san,\but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it.\Where the hell is he hiding?\The water temperature's getting lower. response:	You think so?
context: but he seems pretty positive.\Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it.\Where the hell is he hiding?\The water temperature's getting lower.\You think so? response:	I think it's a lot lower since the day we found Manaka in Shishio.
context: Is Manaka-san at your house by herself during the day?\My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it.\Where the hell is he hiding?\The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio. response:	Could it be that the Sea God is angry?
context: My mom's been getting days off from Saya Mart to take care of her.\I see.\Damn it.\Where the hell is he hiding?\The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry? response:	About us taking Manaka back?
context: I see.\Damn it.\Where the hell is he hiding?\The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back? response:	It's not a big deal.
context: Damn it.\Where the hell is he hiding?\The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal. response:	All we have to do is come up to the surface
context: Where the hell is he hiding?\The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface response:	once in a while and warm up.
context: The water temperature's getting lower.\You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up. response:	Hey, Hikari!
context: You think so?\I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari! response:	You haven't rested since you came back up...
context: I think it's a lot lower since the day we found Manaka in Shishio.\Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up... response:	See? It's no problem at all.
context: Could it be that the Sea God is angry?\About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all. response:	Yeah, but...
context: About us taking Manaka back?\It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but... response:	Yep. No problem.
context: It's not a big deal.\All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but...\Yep. No problem. response:	Huh?
context: All we have to do is come up to the surface\once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but...\Yep. No problem.\Huh? response:	Apparently Chisaki's here.
context: once in a while and warm up.\Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but...\Yep. No problem.\Huh?\Apparently Chisaki's here. response:	She said she'd be late because of her internship...
context: Hey, Hikari!\You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but...\Yep. No problem.\Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship... response:	Maybe we just missed her.
context: You haven't rested since you came back up...\See? It's no problem at all.\Yeah, but...\Yep. No problem.\Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her. response:	Sorry I'm late.
context: See? It's no problem at all.\Yeah, but...\Yep. No problem.\Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late. response:	Um...
context: Yeah, but...\Yep. No problem.\Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late.\Um... response:	Is something the matter?
context: Yep. No problem.\Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late.\Um...\Is something the matter? response:	I'm gonna go take a look again.
context: Huh?\Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late.\Um...\Is something the matter?\I'm gonna go take a look again. response:	Then I'll go, too.
context: Apparently Chisaki's here.\She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late.\Um...\Is something the matter?\I'm gonna go take a look again.\Then I'll go, too. response:	You don't need to go to Shishio with the others, Miuna?
context: She said she'd be late because of her internship...\Maybe we just missed her.\Sorry I'm late.\Um...\Is something the matter?\I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna? response:	I've decided to leave Shishio
context: Maybe we just missed her.\Sorry I'm late.\Um...\Is something the matter?\I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio response:	to Hikari and the others.
context: Sorry I'm late.\Um...\Is something the matter?\I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others. response:	Is something wrong?
context: Um...\Is something the matter?\I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others.\Is something wrong? response:	I was just thinking that since we're all the same age now,
context: Is something the matter?\I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now, response:	it'd be nice if we could do more things together.
context: I'm gonna go take a look again.\Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together. response:	And it'd be even nicer if we could get closer to their circle.
context: Then I'll go, too.\You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle. response:	Yeah, you're right.
context: You don't need to go to Shishio with the others, Miuna?\I've decided to leave Shishio\to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right. response:	Hey, about Manaka-san...
context: I've decided to leave Shishio\to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san... response:	How about stimulating her five senses?
context: to Hikari and the others.\Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses? response:	Like stimulating her ears by playing her a song?
context: Is something wrong?\I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song? response:	Yeah, that sounds good.
context: I was just thinking that since we're all the same age now,\it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good. response:	Uroko-sama's nowhere to be found.
context: it'd be nice if we could do more things together.\And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found. response:	Miuna-chan said she met him in the village.
context: And it'd be even nicer if we could get closer to their circle.\Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village. response:	Let's take a look at the outskirts of the village, too.
context: Yeah, you're right.\Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too. response:	Right, Hikari?
context: Hey, about Manaka-san...\How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari? response:	Yeah.
context: How about stimulating her five senses?\Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah. response:	The song's changed.
context: Like stimulating her ears by playing her a song?\Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah.\The song's changed. response:	It reminds me of the day of the Ofunehiki.
context: Yeah, that sounds good.\Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki. response:	Yeah...
context: Uroko-sama's nowhere to be found.\Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah... response:	Every day at this time,
context: Miuna-chan said she met him in the village.\Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time, response:	I remember that day.
context: Let's take a look at the outskirts of the village, too.\Right, Hikari?\Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time,\I remember that day. response:	That's it!
context: Right, Hikari?\Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time,\I remember that day.\That's it! response:	Manaka heard this song, too, right?
context: Yeah.\The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time,\I remember that day.\That's it!\Manaka heard this song, too, right? response:	I think I might have come up with a good idea.
context: The song's changed.\It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time,\I remember that day.\That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea. response:	Oshiooshi Fishery Cooperative
context: It reminds me of the day of the Ofunehiki.\Yeah...\Every day at this time,\I remember that day.\That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative response:	Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru
context: Yeah...\Every day at this time,\I remember that day.\That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru response:	That's a great idea.
context: Every day at this time,\I remember that day.\That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea. response:	Right?
context: I remember that day.\That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right? response:	If we let her listen to things from the festival,
context: That's it!\Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right?\If we let her listen to things from the festival, response:	something will like...
context: Manaka heard this song, too, right?\I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right?\If we let her listen to things from the festival,\something will like... response:	Scenes from that day will come up in her head.
context: I think I might have come up with a good idea.\Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right?\If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head. response:	We think that might just wake Manaka up.
context: Oshiooshi Fishery Cooperative\Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right?\If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up. response:	But people have been coming and going quite a bit since then...
context: Local Mascot Character Name Ideas: Oshiosshii Sea Slug-kun Narunamimaru\That's a great idea.\Right?\If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then... response:	Gather whomever you can!
context: That's a great idea.\Right?\If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can! response:	So Itaru-san...
context: Right?\If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san... response:	Please!
context: If we let her listen to things from the festival,\something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san...\Please! response:	We beg of you.
context: something will like...\Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san...\Please!\We beg of you. response:	Everyone...
context: Scenes from that day will come up in her head.\We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san...\Please!\We beg of you.\Everyone... response:	All right.
context: We think that might just wake Manaka up.\But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san...\Please!\We beg of you.\Everyone...\All right. response:	I'll go contact some people, so could you wait a little while?
context: But people have been coming and going quite a bit since then...\Gather whomever you can!\So Itaru-san...\Please!\We beg of you.\Everyone...\All right.\I'll go contact some people, so could you wait a little while? response:	I'm back.
context: Gather whomever you can!\So Itaru-san...\Please!\We beg of you.\Everyone...\All right.\I'll go contact some people, so could you wait a little while?\I'm back. response:	I'm back.
context: So Itaru-san...\Please!\We beg of you.\Everyone...\All right.\I'll go contact some people, so could you wait a little while?\I'm back.\I'm back. response:	Thanks for your hard work, you two.
context: Please!\We beg of you.\Everyone...\All right.\I'll go contact some people, so could you wait a little while?\I'm back.\I'm back.\Thanks for your hard work, you two. response:	I'm back, Tsumugu.
context: We beg of you.\Everyone...\All right.\I'll go contact some people, so could you wait a little while?\I'm back.\I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu. response:	The bath's ready for you.
context: Everyone...\All right.\I'll go contact some people, so could you wait a little while?\I'm back.\I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you. response:	Okay, thanks.
context: All right.\I'll go contact some people, so could you wait a little while?\I'm back.\I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks. response:	Be careful.
context: I'll go contact some people, so could you wait a little while?\I'm back.\I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks.\Be careful. response:	Sorry to keep you waiting. Let's go.
context: I'm back.\I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go. response:	You guys really are complicated.
context: I'm back.\Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated. response:	Hikari's pretty late.
context: Thanks for your hard work, you two.\I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late. response:	Chisaki-chan and Kaname are with him, too, right?
context: I'm back, Tsumugu.\The bath's ready for you.\Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right? response:	Yeah.
context: The bath's ready for you.\Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah. response:	I was a little worried about those three at first, but...
context: Okay, thanks.\Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but... response:	Chisaki-chan's been coming by a lot more often lately.
context: Be careful.\Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately. response:	Now if only Manaka-chan would wake up...
context: Sorry to keep you waiting. Let's go.\You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up... response:	Manaka Wake Up
context: You guys really are complicated.\Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up response:	Yeah...
context: Hikari's pretty late.\Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah... response:	By the way, apparently Hikari and the others
context: Chisaki-chan and Kaname are with him, too, right?\Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others response:	asked the fishery cooperative to record the song for them.
context: Yeah.\I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others\asked the fishery cooperative to record the song for them. response:	-Sounds to stimulate her ears...? -... from the sea. -Nostalgic music: like from the Ofunehiki
context: I was a little worried about those three at first, but...\Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others\asked the fishery cooperative to record the song for them.\-Sounds to stimulate her ears...? -... from the sea. -Nostalgic music: like from the Ofunehiki response:	What?
context: Chisaki-chan's been coming by a lot more often lately.\Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others\asked the fishery cooperative to record the song for them.\-Sounds to stimulate her ears...? -... from the sea. -Nostalgic music: like from the Ofunehiki\What? response:	He's gathering people from the Ofunehiki five years ago
context: Now if only Manaka-chan would wake up...\Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others\asked the fishery cooperative to record the song for them.\-Sounds to stimulate her ears...? -... from the sea. -Nostalgic music: like from the Ofunehiki\What?\He's gathering people from the Ofunehiki five years ago response:	in the hope that it might wake Manaka-chan up.
context: Manaka Wake Up\Yeah...\By the way, apparently Hikari and the others\asked the fishery cooperative to record the song for them.\-Sounds to stimulate her ears...? -... from the sea. -Nostalgic music: like from the Ofunehiki\What?\He's gathering people from the Ofunehiki five years ago\in the hope that it might wake Manaka-chan up. response:	I think Itaru-san was pretty happy because he called me about it.
