context: This is LAN Xi. response:	The big city where I grew up.
context: Do you think the school is your house? Impolite.\How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row? response:	Do you want me to put you up closer ahead?
context: How did your father teach you?\Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead? response:	Being close to you? I'm afraid you wouldn't get used to that.
context: Oh, it you, Jin Xuan.\Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that. response:	You two, why are you still standing there?
context: Now try not to be late anymore.\It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there? response:	Go back to your seats.
context: It doesn't matter.\This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats. response:	So he's Qi Jin Xuan.
context: This year you're trying to get into a university.\If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan. response:	Do you know him?
context: If you have a problem, you can come and tell me.\Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan.\Do you know him? response:	Who doesn't? He's the son of the director of education.
context: Do you feel good being in the last row?\Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education. response:	Master Chen?
context: Do you want me to put you up closer ahead?\Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen? response:	My mother wants me to focus on the exams.
context: Being close to you? I'm afraid you wouldn't get used to that.\You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams. response:	She doesn't want me to make more blackboard reports.
context: You two, why are you still standing there?\Go back to your seats.\So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports. response:	Look if...
context: Go back to your seats.\So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if... response:	No.
context: So he's Qi Jin Xuan.\Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if...\No. response:	The exams are important.
context: Do you know him?\Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if...\No.\The exams are important. response:	But so is the honor of the course.
context: Who doesn't? He's the son of the director of education.\Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if...\No.\The exams are important.\But so is the honor of the course. response:	Tu Xiao Yi.
context: Master Chen?\My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if...\No.\The exams are important.\But so is the honor of the course.\Tu Xiao Yi. response:	Will you be able to go to the university if you draw all the time?
context: My mother wants me to focus on the exams.\She doesn't want me to make more blackboard reports.\Look if...\No.\The exams are important.\But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time? response:	Yao Zhe Tian still has to do her dance training.
context: She doesn't want me to make more blackboard reports.\Look if...\No.\The exams are important.\But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training. response:	All right.
context: Look if...\No.\The exams are important.\But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right. response:	This semester you will help her with the blackboard reports.
context: No.\The exams are important.\But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports. response:	At least you will be useful.
context: The exams are important.\But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports.\At least you will be useful. response:	Ah, g... good.
context: But so is the honor of the course.\Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good. response:	Wait!
context: Tu Xiao Yi.\Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good.\Wait! response:	Your pencil.
context: Will you be able to go to the university if you draw all the time?\Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good.\Wait!\Your pencil. response:	Thank you.
context: Yao Zhe Tian still has to do her dance training.\All right.\This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good.\Wait!\Your pencil.\Thank you. response:	Making blackboard reports with Yao Zhe Tian...
context: All right.\This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good.\Wait!\Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian... response:	A blessing after the disaster, eh?
context: This semester you will help her with the blackboard reports.\At least you will be useful.\Ah, g... good.\Wait!\Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh? response:	Shut up!
context: At least you will be useful.\Ah, g... good.\Wait!\Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up! response:	If you strive now, in the future you will shine.
context: Ah, g... good.\Wait!\Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine. response:	Everyone remembers that.
context: Wait!\Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine.\Everyone remembers that. response:	This year...
context: Your pencil.\Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine.\Everyone remembers that.\This year... response:	The final exams
context: Thank you.\Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine.\Everyone remembers that.\This year...\The final exams response:	And that all the other things are not important.
context: Making blackboard reports with Yao Zhe Tian...\A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine.\Everyone remembers that.\This year...\The final exams\And that all the other things are not important. response:	Silence silence.
context: A blessing after the disaster, eh?\Shut up!\If you strive now, in the future you will shine.\Everyone remembers that.\This year...\The final exams\And that all the other things are not important.\Silence silence. response:	We started the class.
context: Shut up!\If you strive now, in the future you will shine.\Everyone remembers that.\This year...\The final exams\And that all the other things are not important.\Silence silence.\We started the class. response:	Anyone causing a disturbance will come to my office after school.
context: If you strive now, in the future you will shine.\Everyone remembers that.\This year...\The final exams\And that all the other things are not important.\Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school. response:	Did you hear?
context: Everyone remembers that.\This year...\The final exams\And that all the other things are not important.\Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear? response:	He has...
context: This year...\The final exams\And that all the other things are not important.\Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear?\He has... response:	However,
context: The final exams\And that all the other things are not important.\Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear?\He has...\However, response:	our teacher Chen said
context: And that all the other things are not important.\Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear?\He has...\However,\our teacher Chen said response:	that this year
context: Silence silence.\We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear?\He has...\However,\our teacher Chen said\that this year response:	we only have 2 things to remember.
context: We started the class.\Anyone causing a disturbance will come to my office after school.\Did you hear?\He has...\However,\our teacher Chen said\that this year\we only have 2 things to remember. response:	But
context: Anyone causing a disturbance will come to my office after school.\Did you hear?\He has...\However,\our teacher Chen said\that this year\we only have 2 things to remember.\But response:	things and people that he says are not important
context: Did you hear?\He has...\However,\our teacher Chen said\that this year\we only have 2 things to remember.\But\things and people that he says are not important response:	are more real and clear than exams
context: He has...\However,\our teacher Chen said\that this year\we only have 2 things to remember.\But\things and people that he says are not important\are more real and clear than exams response:	and they exists in my life.
context: However,\our teacher Chen said\that this year\we only have 2 things to remember.\But\things and people that he says are not important\are more real and clear than exams\and they exists in my life. response:	Yao Zhe Tian, wait.
context: our teacher Chen said\that this year\we only have 2 things to remember.\But\things and people that he says are not important\are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait. response:	Yes?
context: that this year\we only have 2 things to remember.\But\things and people that he says are not important\are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait.\Yes? response:	I want to talk about the blackboard report.
context: we only have 2 things to remember.\But\things and people that he says are not important\are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report. response:	Don't be so cocky!
context: But\things and people that he says are not important\are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report.\Don't be so cocky! response:	2vs1. I was afraid you would say that we are bothering you!
context: things and people that he says are not important\are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report.\Don't be so cocky!\2vs1. I was afraid you would say that we are bothering you! response:	And we even let you have some time with the ball.
context: are more real and clear than exams\and they exists in my life.\Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report.\Don't be so cocky!\2vs1. I was afraid you would say that we are bothering you!\And we even let you have some time with the ball. response:	All right.
context: and they exists in my life.\Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report.\Don't be so cocky!\2vs1. I was afraid you would say that we are bothering you!\And we even let you have some time with the ball.\All right. response:	Wait for me here.
context: Yao Zhe Tian, wait.\Yes?\I want to talk about the blackboard report.\Don't be so cocky!\2vs1. I was afraid you would say that we are bothering you!\And we even let you have some time with the ball.\All right.\Wait for me here. response:	I'll go drop my dance shoes.
context: Yes?\I want to talk about the blackboard report.\Don't be so cocky!\2vs1. I was afraid you would say that we are bothering you!\And we even let you have some time with the ball.\All right.\Wait for me here.\I'll go drop my dance shoes. response:	Ok
