context: Gray! response:	If you've really betrayed Fairy Tail, then you must have some reason!
context: And now all my research has come to fruition, and I have completed my Dragonoid!\Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead. response:	Until I've sucked out all that magic power,
context: Shouldn't you people be singing my praises or something?\Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power, response:	I ain't givin' Natsu Dragneel back!
context: Is that the voice of this Daphne person?\Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back! response:	To a wizard, one's magic power is their very life!
context: Give us Natsu back this instant!\Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life! response:	Give back Natsu now!
context: Sorry, but no can do.\I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now! response:	So, what are we going to do?
context: I'm sure you realize that my Dragonoid here moves by sucking out Natsu Dragneel's magic power.\Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do? response:	At this rate...
context: Sucking out my magic power?\Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do?\At this rate... response:	Screw this!
context: Friendship will overcome the dead.\Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do?\At this rate...\Screw this! response:	Yes-yes-yes...
context: Until I've sucked out all that magic power,\I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do?\At this rate...\Screw this!\Yes-yes-yes... response:	As long as you keep up the good work,
context: I ain't givin' Natsu Dragneel back!\To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do?\At this rate...\Screw this!\Yes-yes-yes...\As long as you keep up the good work, response:	we'll be fully charged in no time.
context: To a wizard, one's magic power is their very life!\Give back Natsu now!\So, what are we going to do?\At this rate...\Screw this!\Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time. response:	Then, my Dragonoid will be operational for half an eternity!
context: Give back Natsu now!\So, what are we going to do?\At this rate...\Screw this!\Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity! response:	You want to get in her way? Just try it.
context: So, what are we going to do?\At this rate...\Screw this!\Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it. response:	Although even with your powers combined,
context: At this rate...\Screw this!\Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined, response:	I highly doubt you can hold out long enough to see it fully charged.
context: Screw this!\Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged. response:	Gray...
context: Yes-yes-yes...\As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray... response:	I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...
context: As long as you keep up the good work,\we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon... response:	Is that you?
context: we'll be fully charged in no time.\Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you? response:	Such slanderous rumors... So far from the truth.
context: Then, my Dragonoid will be operational for half an eternity!\You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth. response:	They should say the genius scientist Daphne succeeded in creating an artificial dragon.
context: You want to get in her way? Just try it.\Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon. response:	Artificial dragon?
context: Although even with your powers combined,\I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon? response:	Could it be...
context: I highly doubt you can hold out long enough to see it fully charged.\Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be... response:	The egg remains I found back then...
context: Gray...\I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be...\The egg remains I found back then... response:	It was truly a long struggle for me to perfect it.
context: I've heard of a dangerous, dragon-crazed wizard who was trying to create an artificial dragon...\Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it. response:	It all started with the first step: Successfully hatching an artificial dragon from an egg.
context: Is that you?\Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg. response:	The city I lived in was the perfect place to gather data, or so I thought.
context: Such slanderous rumors... So far from the truth.\They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought. response:	But the people who come from my city can all use Hidden, see.
context: They should say the genius scientist Daphne succeeded in creating an artificial dragon.\Artificial dragon?\Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see. response:	Unable to experiment on the city, I had no more use for it.
context: Artificial dragon?\Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it. response:	Yes-yes-yes! If you like playing hide-and-go-seek so much...
context: Could it be...\The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much... response:	As punishment, I made it so they could not dispel their Hidden.
context: The egg remains I found back then...\It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden. response:	I also punished the incomplete dragons who were unable
context: It was truly a long struggle for me to perfect it.\It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable response:	to sense the people who had vanished with their Hidden.
context: It all started with the first step: Successfully hatching an artificial dragon from an egg.\The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden. response:	Back then? When I went to that city...
context: The city I lived in was the perfect place to gather data, or so I thought.\But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city... response:	That voice...
context: But the people who come from my city can all use Hidden, see.\Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice... response:	Is that Igneel?
context: Unable to experiment on the city, I had no more use for it.\Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice...\Is that Igneel? response:	Wait! Answer me!
context: Yes-yes-yes! If you like playing hide-and-go-seek so much...\As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice...\Is that Igneel?\Wait! Answer me! response:	Igneel!
context: As punishment, I made it so they could not dispel their Hidden.\I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice...\Is that Igneel?\Wait! Answer me!\Igneel! response:	After that, I left the city.
context: I also punished the incomplete dragons who were unable\to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice...\Is that Igneel?\Wait! Answer me!\Igneel!\After that, I left the city. response:	Igneel, where are you?
context: to sense the people who had vanished with their Hidden.\Back then? When I went to that city...\That voice...\Is that Igneel?\Wait! Answer me!\Igneel!\After that, I left the city.\Igneel, where are you? response:	Igneel!
context: Back then? When I went to that city...\That voice...\Is that Igneel?\Wait! Answer me!\Igneel!\After that, I left the city.\Igneel, where are you?\Igneel! response:	Ever since then, it became known as the City without Sound.
context: That voice...\Is that Igneel?\Wait! Answer me!\Igneel!\After that, I left the city.\Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound. response:	I continued my research, and finally it dawned on me.
context: Is that Igneel?\Wait! Answer me!\Igneel!\After that, I left the city.\Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me. response:	I needed the power of a Dragon Slayer to activate the Dragonoid.
context: Wait! Answer me!\Igneel!\After that, I left the city.\Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid. response:	Yes-yes-yes, Natsu Dragneel!
context: Igneel!\After that, I left the city.\Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel! response:	Salamander!
context: After that, I left the city.\Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander! response:	Keep working until you drop dead!
context: Igneel, where are you?\Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead! response:	For me, and my evil ambitions!
context: Igneel!\Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead!\For me, and my evil ambitions! response:	Get fired up!
context: Ever since then, it became known as the City without Sound.\I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up! response:	What are you doing? That's dangerous!
context: I continued my research, and finally it dawned on me.\I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous! response:	Looks like it's not just big, it's also gonna be seriously tough!
context: I needed the power of a Dragon Slayer to activate the Dragonoid.\Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough! response:	Aye...
context: Yes-yes-yes, Natsu Dragneel!\Salamander!\Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye... response:	You fiend!
context: Salamander!\Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend! response:	What are you planning to do by creating such a thing?
context: Keep working until you drop dead!\For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend!\What are you planning to do by creating such a thing? response:	Yes-yes-yes.
context: For me, and my evil ambitions!\Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes. response:	My great ambition is to complete the perfect Dragonoid!
context: Get fired up!\What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid! response:	Even this is nothing more than a prototype.
context: What are you doing? That's dangerous!\Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype. response:	First up, we have to test its current ability! Test!!
context: Looks like it's not just big, it's also gonna be seriously tough!\Aye...\You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!! response:	Lower half's mobility is sub-par, I see. Yes-yes.
context: Aye...\You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes. response:	Walking is impossible, say?
context: You fiend!\What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say? response:	She's trouble! She's really big trouble!
context: What are you planning to do by creating such a thing?\Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble! response:	Ooh, I know! She's what they call a Mad Scientist!
context: Yes-yes-yes.\My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist! response:	We must stop it somehow.
context: My great ambition is to complete the perfect Dragonoid!\Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow. response:	But...
context: Even this is nothing more than a prototype.\First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But... response:	With Natsu-san inside, we can't just attack carelessly!
context: First up, we have to test its current ability! Test!!\Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly! response:	Oh, does it really matter?
context: Lower half's mobility is sub-par, I see. Yes-yes.\Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter? response:	Carla!
context: Walking is impossible, say?\She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla! response:	Gray...
context: She's trouble! She's really big trouble!\Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla!\Gray... response:	Is this what you wished for?
context: Ooh, I know! She's what they call a Mad Scientist!\We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla!\Gray...\Is this what you wished for? response:	Gray, you bastard!
context: We must stop it somehow.\But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla!\Gray...\Is this what you wished for?\Gray, you bastard! response:	You've gone and done it this time!
context: But...\With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla!\Gray...\Is this what you wished for?\Gray, you bastard!\You've gone and done it this time! response:	As I am a Man, I will bring you back to the guild!
context: With Natsu-san inside, we can't just attack carelessly!\Oh, does it really matter?\Carla!\Gray...\Is this what you wished for?\Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild! response:	Don't think ill of me.
context: Oh, does it really matter?\Carla!\Gray...\Is this what you wished for?\Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me. response:	This is Master's orders.
context: Carla!\Gray...\Is this what you wished for?\Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders. response:	That master?
context: Gray...\Is this what you wished for?\Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders.\That master? response:	Yeah. Looks like he got word of Daphne.
context: Is this what you wished for?\Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne. response:	He's decided to ask Gray how to get rid of that giant thing.
context: Gray, you bastard!\You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing. response:	Erza!
context: You've gone and done it this time!\As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza! response:	Wait... Don't tell me... It's...
context: As I am a Man, I will bring you back to the guild!\Don't think ill of me.\This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's... response:	It's flying!
context: Don't think ill of me.\This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's...\It's flying! response:	Flying? That's so unfair!
context: This is Master's orders.\That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair! response:	Like you can complain.
context: That master?\Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair!\Like you can complain. response:	Oh, no... It's heading straight for Magnolia!
context: Yeah. Looks like he got word of Daphne.\He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia! response:	How dare she...
context: He's decided to ask Gray how to get rid of that giant thing.\Erza!\Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she... response:	It's already too late for anyone to stop my Dragonoid.
context: Erza!\Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid. response:	Lucy and the rest of you return to the guild and get everyone mobilized.
context: Wait... Don't tell me... It's...\It's flying!\Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized. response:	We'll protect Magnolia, everyone.
context: It's flying!\Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone. response:	But, what would happen to...
context: Flying? That's so unfair!\Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to... response:	I will stop that Dragonoid!
context: Like you can complain.\Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid! response:	Understood.
context: Oh, no... It's heading straight for Magnolia!\How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid!\Understood. response:	Let's go, Happy!
context: How dare she...\It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid!\Understood.\Let's go, Happy! response:	Aye, sir!
context: It's already too late for anyone to stop my Dragonoid.\Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid!\Understood.\Let's go, Happy!\Aye, sir! response:	Gray... What could it be?
context: Lucy and the rest of you return to the guild and get everyone mobilized.\We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid!\Understood.\Let's go, Happy!\Aye, sir!\Gray... What could it be? response:	I will do all that I can.
context: We'll protect Magnolia, everyone.\But, what would happen to...\I will stop that Dragonoid!\Understood.\Let's go, Happy!\Aye, sir!\Gray... What could it be?\I will do all that I can. response:	You deal with Gray, okay?
context: But, what would happen to...\I will stop that Dragonoid!\Understood.\Let's go, Happy!\Aye, sir!\Gray... What could it be?\I will do all that I can.\You deal with Gray, okay? response:	Aye, sir!
context: I will stop that Dragonoid!\Understood.\Let's go, Happy!\Aye, sir!\Gray... What could it be?\I will do all that I can.\You deal with Gray, okay?\Aye, sir! response:	And you take care of Natsu,'kay?
context: Understood.\Let's go, Happy!\Aye, sir!\Gray... What could it be?\I will do all that I can.\You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay? response:	Your word as a Man!
context: Let's go, Happy!\Aye, sir!\Gray... What could it be?\I will do all that I can.\You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man! response:	Leave him to me.
context: Aye, sir!\Gray... What could it be?\I will do all that I can.\You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me. response:	Stop!
