context: 7 hours ago response:	7 hours ago
context: The end of the week is nigh!\I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed. response:	What if the Psycho-Pass check at the entrance doesn't work?
context: I'm so scared that I can't go out!\I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work? response:	But surely the Psycho-Pass check should work, right?
context: I think you mean the end of the world,\Helmet, pleaaase!!\I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right? response:	Does this mean that it's dangerous no matter where you are?
context: Helmet, pleaaase!!\I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are? response:	Don't even poke your head outside. If they notice you're there, you might end up dead.
context: I got a call from my employer.\What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead. response:	If you've got that kind of time on your hands, make a weapon.
context: What did they say?\They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon. response:	Hand over your portable terminals and credit cards.
context: They said that the area's temporarily closed off, so I shouldn't try to go out.\If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards. response:	Give me the passwords too.
context: If we go out, we'll be killed.\What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too. response:	If you see someone wearing a helmet, watch out!
context: What if the Psycho-Pass check at the entrance doesn't work?\But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out! response:	Run! Run! Run! Run! Run! Ruuun!
context: But surely the Psycho-Pass check should work, right?\Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun! response:	What do I do?
context: Does this mean that it's dangerous no matter where you are?\Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do? response:	If their Crime Coefficients can't be measured, there's no point calling the police, right?
context: Don't even poke your head outside. If they notice you're there, you might end up dead.\If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right? response:	Is that friend of yours okay? Isn't he in danger?
context: If you've got that kind of time on your hands, make a weapon.\Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger? response:	I don't know. I can't get through to him.
context: Hand over your portable terminals and credit cards.\Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him. response:	Someone pls recommend some everyday items that can be used as weapons
context: Give me the passwords too.\If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons response:	You could try swinging a potted houseplant around.
context: If you see someone wearing a helmet, watch out!\Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around. response:	Huh? What's a houseplant?
context: Run! Run! Run! Run! Run! Ruuun!\What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant? response:	Put something heavy in a sock.
context: What do I do?\If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock. response:	Stop! Stop it!
context: If their Crime Coefficients can't be measured, there's no point calling the police, right?\Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it! response:	Please stop! I'm begging
context: Is that friend of yours okay? Isn't he in danger?\I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging response:	Old-timers like you still stash money under their mattresses, right?
context: I don't know. I can't get through to him.\Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right? response:	I saw it on the news.
context: Someone pls recommend some everyday items that can be used as weapons\You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news. response:	Sounds handy. You can just digitize cash and nobody asks where it's from.
context: You could try swinging a potted houseplant around.\Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from. response:	We don't have anything like that in this house.
context: Huh? What's a houseplant?\Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house. response:	I would like to show
context: Put something heavy in a sock.\Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show response:	Cut open my skull
context: Stop! Stop it!\Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show\Cut open my skull response:	Look into my head
context: Please stop! I'm begging\Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: Old-timers like you still stash money under their mattresses, right?\I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: I saw it on the news.\Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: Sounds handy. You can just digitize cash and nobody asks where it's from.\We don't have anything like that in this house.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: We don't have anything like that in this house.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	15: The Town Where Sulfur Falls
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\15: The Town Where Sulfur Falls response:	And thus, today we've brought together all you top honor students from the same school.
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school. response:	Greetings, ladies and gentlemen.
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen. response:	Don't you guys think it's totally unfair?
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair? response:	I mean, you all have promising futures.
context: Voices inside, one link to join it all\So it goes\Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures. response:	But we know before we even try that we'll never amount to anything.
context: So it goes\Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything. response:	Why are you doing this?
context: Again\15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this? response:	Stop it! This is terrible!
context: 15: The Town Where Sulfur Falls\And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible! response:	This is nothing compared to the Sibyl System's cruelty.
context: And thus, today we've brought together all you top honor students from the same school.\Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty. response:	Sibyl's Judgment has robbed us of any chance we had for a good career.
context: Greetings, ladies and gentlemen.\Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career. response:	We live with no hope for the future.
context: Don't you guys think it's totally unfair?\I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future. response:	But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?
context: I mean, you all have promising futures.\But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you? response:	What the hell's your problem?!
context: But we know before we even try that we'll never amount to anything.\Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?! response:	We saw you take one of those helmets off earlier.
context: Why are you doing this?\Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier. response:	Huh?
context: Stop it! This is terrible!\This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh? response:	So after causing all that mayhem, you thought you could just take the helmet off and play dumb.
context: This is nothing compared to the Sibyl System's cruelty.\Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb. response:	That's screwed up, man.
context: Sibyl's Judgment has robbed us of any chance we had for a good career.\We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man. response:	You've got the wrong guy!
context: We live with no hope for the future.\But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy! response:	If you really think I did all that, why don't you check my Hu
context: But since you've all enjoyed Sibyl's blessing, you wouldn't understand, would you?\What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu response:	You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.
context: What the hell's your problem?!\We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood. response:	Whatever you do, just leave us the hell out of it!
context: We saw you take one of those helmets off earlier.\Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it! response:	This won't raise our Crime Coefficients, will it?
context: Huh?\So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it? response:	I read on the'net before that if you fight in self-defense or attack criminals,
context: So after causing all that mayhem, you thought you could just take the helmet off and play dumb.\That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals, response:	it actually reduces your Crime Coefficient instead.
context: That's screwed up, man.\You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead. response:	It's chaos outside.
context: You've got the wrong guy!\If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside. response:	Call the Public Safety Bureau.
context: If you really think I did all that, why don't you check my Hu\You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau. response:	What is the Bureau doing?!
context: You helmet-wearing bastards are raising the Area Stress level of the whole neighborhood.\Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?! response:	Stay inside and hide.
context: Whatever you do, just leave us the hell out of it!\This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide. response:	I didn't manage to escape...
context: This won't raise our Crime Coefficients, will it?\I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape... response:	So what happens when totally unrelated people get dragged into this?
context: I read on the'net before that if you fight in self-defense or attack criminals,\it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this? response:	Eh. They're trash who won't contribute anything to society anyway.
context: it actually reduces your Crime Coefficient instead.\It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway. response:	Aren't there latent criminals in there as well?
context: It's chaos outside.\Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well? response:	I bet all of your Hues have gotten clouded already.
context: Call the Public Safety Bureau.\What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already. response:	The guys in helmets aren't the only criminals.
context: What is the Bureau doing?!\Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already.\The guys in helmets aren't the only criminals. response:	It's too late.
context: Stay inside and hide.\I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already.\The guys in helmets aren't the only criminals.\It's too late. response:	If those helmet people are killed, things'll be peaceful again, right?
context: I didn't manage to escape...\So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already.\The guys in helmets aren't the only criminals.\It's too late.\If those helmet people are killed, things'll be peaceful again, right? response:	Self defense. Self-defense. Self-defense...
context: So what happens when totally unrelated people get dragged into this?\Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already.\The guys in helmets aren't the only criminals.\It's too late.\If those helmet people are killed, things'll be peaceful again, right?\Self defense. Self-defense. Self-defense... response:	No, no, no, no, no...
context: Eh. They're trash who won't contribute anything to society anyway.\Aren't there latent criminals in there as well?\I bet all of your Hues have gotten clouded already.\The guys in helmets aren't the only criminals.\It's too late.\If those helmet people are killed, things'll be peaceful again, right?\Self defense. Self-defense. Self-defense...\No, no, no, no, no... response:	Come on, listen to yourselves!
