context: Is it that easy to adjust the Uka-no-Mitama virus? response:	The process itself should be pretty much automated,
context: So it goes\Again\21: Blood-Stained Reward\The security is still active...\Where can I find another way in...?\Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area. response:	It's amazing that such a large-scale facility can continue to operate in a fully automated manner.
context: Again\21: Blood-Stained Reward\The security is still active...\Where can I find another way in...?\Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner. response:	The bigger the prey, the easier it is to target.
context: 21: Blood-Stained Reward\The security is still active...\Where can I find another way in...?\Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target. response:	Especially when you're wielding a poisoned needle strong enough to kill a whale.
context: The security is still active...\Where can I find another way in...?\Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale. response:	This sort of tactic is just like Makishima.
context: Where can I find another way in...?\Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima. response:	It's probably from Kougami.
context: Oh?\Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami. response:	He must have seen us land.
context: Dammit! What a huge place...\Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land. response:	In which case, he's nearby.
context: Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.\It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land.\In which case, he's nearby. response:	Tsunemori speaking.
context: It's amazing that such a large-scale facility can continue to operate in a fully automated manner.\The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land.\In which case, he's nearby.\Tsunemori speaking. response:	I didn't expect you to get here so soon.
context: The bigger the prey, the easier it is to target.\Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land.\In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon. response:	Don't underestimate the Bureau's resources.
context: Especially when you're wielding a poisoned needle strong enough to kill a whale.\This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land.\In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources. response:	You're not the only one here capable of driving Makishima into a corner.
context: This sort of tactic is just like Makishima.\It's probably from Kougami.\He must have seen us land.\In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner. response:	He's already inside the facility.
context: It's probably from Kougami.\He must have seen us land.\In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility. response:	In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.
context: He must have seen us land.\In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab. response:	Or he might even have finished already.
context: In which case, he's nearby.\Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already. response:	We're not going to let him have his way.
context: Tsunemori speaking.\I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way. response:	Then we don't have a moment to lose.
context: I didn't expect you to get here so soon.\Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose. response:	We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.
context: Don't underestimate the Bureau's resources.\You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with. response:	The Bureau has the authority to cut off the power to this facility, right?
context: You're not the only one here capable of driving Makishima into a corner.\He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right? response:	That would halt not only its operation but its security system as well.
context: He's already inside the facility.\In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well. response:	That's what you want, isn't it?
context: In fact, he's probably adjusting the Uka-no-Mitama virus right now using the equipment Kudama left in the lab.\Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it? response:	You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?
context: Or he might even have finished already.\We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you? response:	We can't let you do that.
context: We're not going to let him have his way.\Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that. response:	Makishima is trying to destroy this country.
context: Then we don't have a moment to lose.\We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country. response:	The Bureau has only one choice right now.
context: We have to shut down the entire facility before he's able to distribute the Uka-no-Mitama that he tampered with.\The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now. response:	Cut the power.
context: The Bureau has the authority to cut off the power to this facility, right?\That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power. response:	Then this country will be saved.
context: That would halt not only its operation but its security system as well.\That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power.\Then this country will be saved. response:	I will save you too.
context: That's what you want, isn't it?\You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power.\Then this country will be saved.\I will save you too. response:	I will not let Kougami Shinya become a murderer.
context: You're trying to use us to lift the security so that you can beat us to Makishima and kill him, aren't you?\We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power.\Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer. response:	Then let the fastest one win.
context: We can't let you do that.\Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power.\Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win. response:	Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?
context: Makishima is trying to destroy this country.\The Bureau has only one choice right now.\Cut the power.\Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry? response:	The process will take time.
context: The Bureau has only one choice right now.\Cut the power.\Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time. response:	If Makishima finishes before us, it's checkmate.
context: Cut the power.\Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate. response:	We have no choice but to stop the facility itself, like Kougami said.
context: Then this country will be saved.\I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said. response:	Kunizuka?
context: I will save you too.\I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka? response:	I've already disabled the secondary power supply.
context: I will not let Kougami Shinya become a murderer.\Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply. response:	All we have to do now is cut off the primary power source.
context: Then let the fastest one win.\Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source. response:	There's something I'd like to ask of you.
context: Can't we have control of the security system transferred to us from the Ministry of Agriculture and Forestry?\The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you. response:	When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,
context: The process will take time.\If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300, response:	please don't shoot him. Call me.
context: If Makishima finishes before us, it's checkmate.\We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me. response:	What's the point of that?
context: We have no choice but to stop the facility itself, like Kougami said.\Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that? response:	I've got a trump card up my sleeve for Kougami.
context: Kunizuka?\I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami. response:	Don't worry. Just leave it to me.
context: I've already disabled the secondary power supply.\All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me. response:	Now we'll go after Makishima.
context: All we have to do now is cut off the primary power source.\There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima. response:	You'll help us, right?
context: There's something I'd like to ask of you.\When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right? response:	Of course.
context: When you encounter Kougami, if the Eliminator ends up activating because his Crime Coefficient is over 300,\please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right?\Of course. response:	Then I need you to lock this gun in Paralyzer mode with the safety off.
context: please don't shoot him. Call me.\What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off. response:	You can do that, right?
context: What's the point of that?\I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right? response:	The Dominator decides its enforcement mode based on the measured Crime Coefficients.
context: I've got a trump card up my sleeve for Kougami.\Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients. response:	This is the foundation of the system that maintains public safety. It cannot be changed.
context: Don't worry. Just leave it to me.\Now we'll go after Makishima.\You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed. response:	If we are to fight Makishima, we need weapons that can do the job.
context: Now we'll go after Makishima.\You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job. response:	We have to protect ourselves too, after all.
context: You'll help us, right?\Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all. response:	If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.
context: Of course.\Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons. response:	If worst comes to worst, we may end up killing Makishima with those weapons.
context: Then I need you to lock this gun in Paralyzer mode with the safety off.\You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons. response:	Your lack of resourcefulness would be at fault in that scenario, not us.
context: You can do that, right?\The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us. response:	Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.
context: The Dominator decides its enforcement mode based on the measured Crime Coefficients.\This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100. response:	If you're able to grant an exception here,
context: This is the foundation of the system that maintains public safety. It cannot be changed.\If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here, response:	we may be able to improve that chance a little.
context: If we are to fight Makishima, we need weapons that can do the job.\We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little. response:	Think about which course of action offers the most benefit.
context: We have to protect ourselves too, after all.\If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit. response:	You're good at calculating risk and reward, right?
context: If we can't use the Dominators, we'll have no choice but to depend on more primitive weapons.\If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right? response:	From now until Makishima Shougo is captured,
context: If worst comes to worst, we may end up killing Makishima with those weapons.\Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured, response:	we will grant an exception on the applicable terminal device.
context: Your lack of resourcefulness would be at fault in that scenario, not us.\Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device. response:	The safety will remain off.
context: Our abilities are limited and the probability that we will capture Makishima alive without problems is hardly 100.\If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off. response:	Mode is Non-Lethal Paralyzer.
