context: Why? Why did you... response:	This isn't like three years ago. I've created a path.
context: I've seen them in videos, but they're quieter than I expected!\These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding, response:	and we don't have to obey the Healthcare Charter.
context: These use the Rave Engine?\Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter. response:	And we can experiment on all the human test subjects we want!
context: Haruto, are you sure about this? Your father, I mean.\Senpai...\I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want! response:	What?
context: Senpai...\I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What? response:	I'm sorry, I'll let you out later, I promise!
context: I'm sure. We're done.\Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise! response:	Hold it right there!
context: Walking away from such an ideal environment...\As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise!\Hold it right there! response:	What did you do just now?
context: As researchers, they have a screw loose.\We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now? response:	You're Saki Rukino, the Valvrave pilot, aren't you?
context: We're swimming in research funding,\and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you? response:	I have more questions for you than I can possibly ask.
context: and we don't have to obey the Healthcare Charter.\And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask. response:	It's over.
context: And we can experiment on all the human test subjects we want!\What?\I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over. response:	You're quite formidable, aren't you?
context: What?\I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you? response:	No, I am weak.
context: I'm sorry, I'll let you out later, I promise!\Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you?\No, I am weak. response:	It took me 10 years to come this far.
context: Hold it right there!\What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far. response:	If only I were stronger, I could have
context: What did you do just now?\You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have response:	L-elf!
context: You're Saki Rukino, the Valvrave pilot, aren't you?\I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have\L-elf! response:	Captain Cain said it would be more fun over here.
context: I have more questions for you than I can possibly ask.\It's over.\You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here. response:	Doing as he said was totally the right call!
context: It's over.\You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call! response:	Let's have a knife fight. I haven't done that in a while.
context: You're quite formidable, aren't you?\No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while. response:	Death to traitors.
context: No, I am weak.\It took me 10 years to come this far.\If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors. response:	What was that?!
context: It took me 10 years to come this far.\If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?! response:	We're being shelled?!
context: If only I were stronger, I could have\L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?!\We're being shelled?! response:	They've found us out?
context: L-elf!\Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?!\We're being shelled?!\They've found us out? response:	No way!
context: Captain Cain said it would be more fun over here.\Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?!\We're being shelled?!\They've found us out?\No way! response:	We're surrounded by Dorssian forces!
context: Doing as he said was totally the right call!\Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?!\We're being shelled?!\They've found us out?\No way!\We're surrounded by Dorssian forces! response:	How did they know what we were up to?
context: Let's have a knife fight. I haven't done that in a while.\Death to traitors.\What was that?!\We're being shelled?!\They've found us out?\No way!\We're surrounded by Dorssian forces!\How did they know what we were up to? response:	This is bad!
context: Death to traitors.\What was that?!\We're being shelled?!\They've found us out?\No way!\We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad! response:	They've destroyed the runway!
context: What was that?!\We're being shelled?!\They've found us out?\No way!\We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad!\They've destroyed the runway! response:	You're kidding!
context: We're being shelled?!\They've found us out?\No way!\We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad!\They've destroyed the runway!\You're kidding! response:	This shuttle can't take off without a runway!
context: They've found us out?\No way!\We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad!\They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway! response:	They saw through our entire plan...
context: No way!\We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad!\They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan... response:	I had factored in the idea of using the shuttle at the museum.
context: We're surrounded by Dorssian forces!\How did they know what we were up to?\This is bad!\They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum. response:	I would rather not destroy such a beautiful building, though.
context: How did they know what we were up to?\This is bad!\They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though. response:	Takahi and the guys have been spotted!
context: This is bad!\They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted! response:	We're not supposed to yet, but let's go!
context: They've destroyed the runway!\You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go! response:	What about this?
context: You're kidding!\This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this? response:	The fighting has started! The time for hacking is over!
context: This shuttle can't take off without a runway!\They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over! response:	Oh, you're good!
context: They saw through our entire plan...\I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over!\Oh, you're good! response:	I knew it!
context: I had factored in the idea of using the shuttle at the museum.\I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it! response:	You're amazing, L-elf! This is the best!
context: I would rather not destroy such a beautiful building, though.\Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best! response:	If Q-vier is here, that Cain is, too.
context: Takahi and the guys have been spotted!\We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too. response:	In which case, he must already know about the shuttle.
context: We're not supposed to yet, but let's go!\What about this?\The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle. response:	This is no time to be distracted!
context: What about this?\The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted! response:	H-neun turned traitor! Just like you, L-elf!
context: The fighting has started! The time for hacking is over!\Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf! response:	You didn't put him up to it, did you?
context: Oh, you're good!\I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you? response:	L-elf! Get in!
context: I knew it!\You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in! response:	Haruto Tokishima!
context: You're amazing, L-elf! This is the best!\If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima! response:	Hurry!
context: If Q-vier is here, that Cain is, too.\In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima!\Hurry! response:	Never mind me! Take her!
context: In which case, he must already know about the shuttle.\This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima!\Hurry!\Never mind me! Take her! response:	What about you?
context: This is no time to be distracted!\H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima!\Hurry!\Never mind me! Take her!\What about you? response:	This is about to become a battle against Cain.
context: H-neun turned traitor! Just like you, L-elf!\You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima!\Hurry!\Never mind me! Take her!\What about you?\This is about to become a battle against Cain. response:	This time, I can't lose.
context: You didn't put him up to it, did you?\L-elf! Get in!\Haruto Tokishima!\Hurry!\Never mind me! Take her!\What about you?\This is about to become a battle against Cain.\This time, I can't lose. response:	Lieutenant? Where are you going?
context: L-elf! Get in!\Haruto Tokishima!\Hurry!\Never mind me! Take her!\What about you?\This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going? response:	I can't fight that with a knife, can I?
context: Haruto Tokishima!\Hurry!\Never mind me! Take her!\What about you?\This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I? response:	L-elf!
context: Hurry!\Never mind me! Take her!\What about you?\This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf! response:	The bridge...
context: Never mind me! Take her!\What about you?\This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf!\The bridge... response:	Haruto Tokishima, go to the museum! Take good care of her!
context: What about you?\This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her! response:	Michael!
context: This is about to become a battle against Cain.\This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael! response:	Let's go. It looks like L-elf has a plan.
context: This time, I can't lose.\Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan. response:	Very well.
context: Lieutenant? Where are you going?\I can't fight that with a knife, can I?\L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan.\Very well. response:	Thank you, Haruto Tokishima.
context: I can't fight that with a knife, can I?\L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima. response:	The boy who is fighting the whole world.
context: L-elf!\The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world. response:	Who's that?
context: The bridge...\Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that? response:	Who is that organism?
context: Haruto Tokishima, go to the museum! Take good care of her!\Michael!\Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that?\Who is that organism? response:	Organism?
context: Michael!\Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that?\Who is that organism?\Organism? response:	Come on, this isn't the first time you've seen a human being.
context: Let's go. It looks like L-elf has a plan.\Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that?\Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being. response:	Human? No, that organism is the same as me.
context: Very well.\Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that?\Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me. response:	The same as you?
context: Thank you, Haruto Tokishima.\The boy who is fighting the whole world.\Who's that?\Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you? response:	She is correct.
context: The boy who is fighting the whole world.\Who's that?\Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you?\She is correct. response:	I am a Magius.
context: Who's that?\Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you?\She is correct.\I am a Magius. response:	A lifeform that has taken over a human body.
context: Who is that organism?\Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you?\She is correct.\I am a Magius.\A lifeform that has taken over a human body. response:	Lieselotte, I'm going to save you for sure this time.
context: Organism?\Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you?\She is correct.\I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time. response:	All combat-capable squads, pursue L-elf.
context: Come on, this isn't the first time you've seen a human being.\Human? No, that organism is the same as me.\The same as you?\She is correct.\I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf. response:	Without him, the enemy is nothing but a giant that has lost its brain.
context: Human? No, that organism is the same as me.\The same as you?\She is correct.\I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain. response:	Please explain, what in the world is a Magius?
context: The same as you?\She is correct.\I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius? response:	We Magiuses came to Earth several hundred years ago.
context: She is correct.\I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago. response:	It was a freak accident.
context: I am a Magius.\A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident. response:	We could not establish contact with our homeworld,
context: A lifeform that has taken over a human body.\Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld, response:	and had no means of getting back.
context: Lieselotte, I'm going to save you for sure this time.\All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back. response:	We had simply been waiting for death on this unknown planet,
context: All combat-capable squads, pursue L-elf.\Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet, response:	but then we transferred ourselves into Earth's creatures.
context: Without him, the enemy is nothing but a giant that has lost its brain.\Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures. response:	Body-jacking...!
context: Please explain, what in the world is a Magius?\We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...! response:	We have no physical form,
context: We Magiuses came to Earth several hundred years ago.\It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form, response:	so we needed vessels, bodies, to survive here on this world.
context: It was a freak accident.\We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world. response:	The same! The same!
context: We could not establish contact with our homeworld,\and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same! response:	You were marooned here, too!
context: and had no means of getting back.\We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too! response:	Yes.
context: We had simply been waiting for death on this unknown planet,\but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too!\Yes. response:	You are just like us, aren't you?
context: but then we transferred ourselves into Earth's creatures.\Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too!\Yes.\You are just like us, aren't you? response:	What am I, then?
context: Body-jacking...!\We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too!\Yes.\You are just like us, aren't you?\What am I, then? response:	Your kind seems to resemble us.
context: We have no physical form,\so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too!\Yes.\You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us. response:	Artificially, I suspect.
context: so we needed vessels, bodies, to survive here on this world.\The same! The same!\You were marooned here, too!\Yes.\You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us.\Artificially, I suspect. response:	The real goal of the Valvraves is to create a new form of life!
context: The same! The same!\You were marooned here, too!\Yes.\You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life! response:	Yes! You have surpassed humanity!
context: You were marooned here, too!\Yes.\You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity! response:	We have survived all this time by passing from one
context: Yes.\You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one response:	human body to another.
context: You are just like us, aren't you?\What am I, then?\Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another. response:	Then you're a super-old lady?
context: What am I, then?\Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another.\Then you're a super-old lady? response:	Otamaya, this thing is ready to go at any time, right?
context: Your kind seems to resemble us.\Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right? response:	Assuming we can get out the front door in one piece, yeah!
context: Artificially, I suspect.\The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah! response:	We're going to be destroyed if we try to leave like this!
context: The real goal of the Valvraves is to create a new form of life!\Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this! response:	It's no use! Let's just surrender!
