context: The Third Plate response:	Four
context: Kuga Restaurant\Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on? response:	What about the taro stew booth?
context: Wow, the rumors weren't wrong.\The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth? response:	We're taking turns going on break.
context: The Chinese Cuisine RS packs quite a punch.\How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth?\We're taking turns going on break. response:	More importantly, are you guys turning a profit?!
context: How about some black pepper buns?\Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?! response:	Um, our sales improved thanks to our new sorta-danzi noodles on the item,
context: Totsuki Culinary Teahouse Academy Famous Taiwanese Black Pepper Buns\We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item, response:	but we still have a lot to make up for from the first day.
context: We also have sorta-danzi noodles!\Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day. response:	Day 4
context: Yuki-chan, Ryoko-chan!\What's going on?\What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4 response:	Final Day
context: What's going on?\What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4\Final Day response:	Day 1
context: What about the taro stew booth?\We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4\Final Day\Day 1 response:	Day 2
context: We're taking turns going on break.\More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4\Final Day\Day 1\Day 2 response:	Day 3
context: More importantly, are you guys turning a profit?!\Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4\Final Day\Day 1\Day 2\Day 3 response:	Seriously?
context: Um, our sales improved thanks to our new sorta-danzi noodles on the item,\but we still have a lot to make up for from the first day.\Day 4\Final Day\Day 1\Day 2\Day 3\Seriously? response:	Yukihira-chin...
context: but we still have a lot to make up for from the first day.\Day 4\Final Day\Day 1\Day 2\Day 3\Seriously?\Yukihira-chin... response:	Oh, Kuga-senpai.
context: Day 4\Final Day\Day 1\Day 2\Day 3\Seriously?\Yukihira-chin...\Oh, Kuga-senpai. response:	Would you like a black pepper bun?
context: Final Day\Day 1\Day 2\Day 3\Seriously?\Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun? response:	Nope!
context: Day 1\Day 2\Day 3\Seriously?\Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope! response:	I hear you've been scurrying around at night.
context: Day 2\Day 3\Seriously?\Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night. response:	You've broadened your offerings, too,
context: Day 3\Seriously?\Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too, response:	but this is day three, you know?
context: Seriously?\Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know? response:	It's not exactly pleasant to have you in front of my establishment
context: Yukihira-chin...\Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment response:	with your poor sales performance.
context: Oh, Kuga-senpai.\Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance. response:	Why won't you close up shop for us, say, right now?
context: Would you like a black pepper bun?\Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now? response:	Close up, close up, close up!
context: Nope!\I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up! response:	I'll never forget that you were here, so!
context: I hear you've been scurrying around at night.\You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so! response:	Let's close up, stat, yeah?
context: You've broadened your offerings, too,\but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah? response:	Just do it, okay?
context: but this is day three, you know?\It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay? response:	Just go. Leave now!
context: It's not exactly pleasant to have you in front of my establishment\with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now! response:	Go, go, go, go, go!
context: with your poor sales performance.\Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now!\Go, go, go, go, go! response:	Close up, close up!
context: Why won't you close up shop for us, say, right now?\Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now!\Go, go, go, go, go!\Close up, close up! response:	What the hell? What an asshole.
context: Close up, close up, close up!\I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now!\Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole. response:	Wow, what's this line for? Whose booth is it?
context: I'll never forget that you were here, so!\Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now!\Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it? response:	It's Sichuan cuisine!
context: Let's close up, stat, yeah?\Just do it, okay?\Just go. Leave now!\Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine! response:	Want to try it?
context: Just do it, okay?\Just go. Leave now!\Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it? response:	Oh?
context: Just go. Leave now!\Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it?\Oh? response:	Here, here!
context: Go, go, go, go, go!\Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it?\Oh?\Here, here! response:	Sorry, please go to the end of the line!
context: Close up, close up!\What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it?\Oh?\Here, here!\Sorry, please go to the end of the line! response:	Kuga Restaurant is eager to serve you!
context: What the hell? What an asshole.\Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it?\Oh?\Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you! response:	Why'd Yukihira pick such a hopeless battle?
context: Wow, what's this line for? Whose booth is it?\It's Sichuan cuisine!\Want to try it?\Oh?\Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle? response:	He's too reckless.
context: It's Sichuan cuisine!\Want to try it?\Oh?\Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless. response:	It's nothing new, but...
context: Want to try it?\Oh?\Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but... response:	You know, Soma-kun was saying something yesterday.
context: Oh?\Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday. response:	About Chinese Cuisine RS...
context: Here, here!\Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS... response:	Do you think their booth's getting everything right from A to Z as a restaurant?
context: Sorry, please go to the end of the line!\Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant? response:	So, yeah.
context: Kuga Restaurant is eager to serve you!\Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah. response:	Huh? But...
context: Why'd Yukihira pick such a hopeless battle?\He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But... response:	They're doing so well, though.
context: He's too reckless.\It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But...\They're doing so well, though. response:	Yes, but...
context: It's nothing new, but...\You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But...\They're doing so well, though.\Yes, but... response:	Soma-kun hasn't given up yet.
context: You know, Soma-kun was saying something yesterday.\About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But...\They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet. response:	Food Wars
context: About Chinese Cuisine RS...\Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But...\They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet.\Food Wars response:	The Third Plate
context: Do you think their booth's getting everything right from A to Z as a restaurant?\So, yeah.\Huh? But...\They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet.\Food Wars\The Third Plate response:	Main Tournament Finalist (Winner)
context: So, yeah.\Huh? But...\They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet.\Food Wars\The Third Plate\Main Tournament Finalist (Winner) response:	Main Tournament Finalist
context: Huh? But...\They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet.\Food Wars\The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist response:	Prelims Top 8
context: They're doing so well, though.\Yes, but...\Soma-kun hasn't given up yet.\Food Wars\The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8 response:	Prelims Top 8
context: Yes, but...\Soma-kun hasn't given up yet.\Food Wars\The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8\Prelims Top 8 response:	Main Tournament Finalist
context: Soma-kun hasn't given up yet.\Food Wars\The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8\Prelims Top 8\Main Tournament Finalist response:	Lost Money
context: Food Wars\The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8\Prelims Top 8\Main Tournament Finalist\Lost Money response:	Lost Money
context: The Third Plate\Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8\Prelims Top 8\Main Tournament Finalist\Lost Money\Lost Money response:	Lost Money
context: Main Tournament Finalist (Winner)\Main Tournament Finalist\Prelims Top 8\Prelims Top 8\Main Tournament Finalist\Lost Money\Lost Money\Lost Money response:	Lost Money
context: Main Tournament Finalist\Prelims Top 8\Prelims Top 8\Main Tournament Finalist\Lost Money\Lost Money\Lost Money\Lost Money response:	Lost Money
context: Prelims Top 8\Prelims Top 8\Main Tournament Finalist\Lost Money\Lost Money\Lost Money\Lost Money\Lost Money response:	Hup! Hup! Hup!
context: Prelims Top 8\Main Tournament Finalist\Lost Money\Lost Money\Lost Money\Lost Money\Lost Money\Hup! Hup! Hup! response:	Pride of Young Lions
context: Main Tournament Finalist\Lost Money\Lost Money\Lost Money\Lost Money\Lost Money\Hup! Hup! Hup!\Pride of Young Lions response:	Seriously?
context: Lost Money\Lost Money\Lost Money\Lost Money\Lost Money\Hup! Hup! Hup!\Pride of Young Lions\Seriously? response:	Wow, that's super helpful.
context: Lost Money\Lost Money\Lost Money\Lost Money\Hup! Hup! Hup!\Pride of Young Lions\Seriously?\Wow, that's super helpful. response:	Yeah. Thanks, Tomita-san!
context: Lost Money\Lost Money\Lost Money\Hup! Hup! Hup!\Pride of Young Lions\Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san! response:	Okay, he's going to get it for us.
context: Lost Money\Lost Money\Hup! Hup! Hup!\Pride of Young Lions\Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us. response:	I also really want lots of what we talked about around our booth,
context: Lost Money\Hup! Hup! Hup!\Pride of Young Lions\Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth, response:	but I'm not sure I have anyone I can hit up for that.
context: Hup! Hup! Hup!\Pride of Young Lions\Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that. response:	I might be able to help with that.
context: Pride of Young Lions\Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that. response:	Just focus on recipe testing, Soma-kun.
context: Seriously?\Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun. response:	Okay.
context: Wow, that's super helpful.\Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay. response:	Oh, captain, hello?
context: Yeah. Thanks, Tomita-san!\Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello? response:	Um, I have a favor to ask...
context: Okay, he's going to get it for us.\I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello?\Um, I have a favor to ask... response:	It's done...
context: I also really want lots of what we talked about around our booth,\but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello?\Um, I have a favor to ask...\It's done... response:	Soma-kun, this is amazing!
context: but I'm not sure I have anyone I can hit up for that.\I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello?\Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing! response:	With this on the menu...
context: I might be able to help with that.\Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello?\Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing!\With this on the menu... response:	Yup, let's roll.
context: Just focus on recipe testing, Soma-kun.\Okay.\Oh, captain, hello?\Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll. response:	Tomorrow's Saturday, so there will be even more visitors than before.
context: Okay.\Oh, captain, hello?\Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before. response:	It'll be a bull's-eye.
context: Oh, captain, hello?\Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye. response:	Moon Festival Day 4
context: Um, I have a favor to ask...\It's done...\Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4 response:	Kuga Restaurant
context: It's done...\Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant response:	Good morning, all!
context: Soma-kun, this is amazing!\With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant\Good morning, all! response:	Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!
context: With this on the menu...\Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area! response:	I only have high praise for you all!
context: Yup, let's roll.\Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all! response:	Let's keep up the same pace today!
context: Tomorrow's Saturday, so there will be even more visitors than before.\It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today! response:	Yes, sir!
context: It'll be a bull's-eye.\Moon Festival Day 4\Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir! response:	Only two more days left, Tsukasa-san.
context: Moon Festival Day 4\Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san. response:	I am the monster Xiao Long Bao Man!
context: Kuga Restaurant\Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man! response:	Fresh Fish
context: Good morning, all!\Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish response:	I am the monster Ground Chicken Skewer Man!
context: Our Chinese Cuisine RS scored yet another victory in top sales in the Central Area!\I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man! response:	I am the monster Fresh Assorted Sashimi Platter Man!
context: I only have high praise for you all!\Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man! response:	We're the Totsuki Squad, Gastron!
context: Let's keep up the same pace today!\Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron! response:	You evil food monsters shall perish!
context: Yes, sir!\Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish! response:	Gastron! Good luck!
context: Only two more days left, Tsukasa-san.\I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck! response:	Wow!
context: I am the monster Xiao Long Bao Man!\Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck!\Wow! response:	It's the legendary cooking manga, Knife-kun Ajiro!
context: Fresh Fish\I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro! response:	It's a complete first printing set!
context: I am the monster Ground Chicken Skewer Man!\I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set! response:	That's super rare!
context: I am the monster Fresh Assorted Sashimi Platter Man!\We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare! response:	It smells so good!
context: We're the Totsuki Squad, Gastron!\You evil food monsters shall perish!\Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare!\It smells so good! response:	I can't stand it!
context: You evil food monsters shall perish!\Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare!\It smells so good!\I can't stand it! response:	So good.
context: Gastron! Good luck!\Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare!\It smells so good!\I can't stand it!\So good. response:	Wow!
context: Wow!\It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare!\It smells so good!\I can't stand it!\So good.\Wow! response:	One, please.
context: It's the legendary cooking manga, Knife-kun Ajiro!\It's a complete first printing set!\That's super rare!\It smells so good!\I can't stand it!\So good.\Wow!\One, please. response:	Me, too!
context: It's a complete first printing set!\That's super rare!\It smells so good!\I can't stand it!\So good.\Wow!\One, please.\Me, too! response:	Piping hot!
context: That's super rare!\It smells so good!\I can't stand it!\So good.\Wow!\One, please.\Me, too!\Piping hot! response:	It's so fragrant.
context: It smells so good!\I can't stand it!\So good.\Wow!\One, please.\Me, too!\Piping hot!\It's so fragrant. response:	So good!
context: I can't stand it!\So good.\Wow!\One, please.\Me, too!\Piping hot!\It's so fragrant.\So good! response:	So spicy!
context: So good.\Wow!\One, please.\Me, too!\Piping hot!\It's so fragrant.\So good!\So spicy! response:	Spicy!
context: Wow!\One, please.\Me, too!\Piping hot!\It's so fragrant.\So good!\So spicy!\Spicy! response:	But so good!
context: One, please.\Me, too!\Piping hot!\It's so fragrant.\So good!\So spicy!\Spicy!\But so good! response:	Hup! Hup! Hup!
context: Me, too!\Piping hot!\It's so fragrant.\So good!\So spicy!\Spicy!\But so good!\Hup! Hup! Hup! response:	Um, Captain Kuga!
context: Piping hot!\It's so fragrant.\So good!\So spicy!\Spicy!\But so good!\Hup! Hup! Hup!\Um, Captain Kuga! response:	Look...
context: It's so fragrant.\So good!\So spicy!\Spicy!\But so good!\Hup! Hup! Hup!\Um, Captain Kuga!\Look... response:	Huh?
context: So good!\So spicy!\Spicy!\But so good!\Hup! Hup! Hup!\Um, Captain Kuga!\Look...\Huh? response:	Wow...
context: So spicy!\Spicy!\But so good!\Hup! Hup! Hup!\Um, Captain Kuga!\Look...\Huh?\Wow... response:	Yeah!
context: Spicy!\But so good!\Hup! Hup! Hup!\Um, Captain Kuga!\Look...\Huh?\Wow...\Yeah! response:	Hey, thanks for this, Tomita-san!
context: But so good!\Hup! Hup! Hup!\Um, Captain Kuga!\Look...\Huh?\Wow...\Yeah!\Hey, thanks for this, Tomita-san! response:	I can't say no to you, Soma-chan.
context: Hup! Hup! Hup!\Um, Captain Kuga!\Look...\Huh?\Wow...\Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan. response:	Besides, they were just gathering dust in the shopping district's warehouse.
context: Um, Captain Kuga!\Look...\Huh?\Wow...\Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse. response:	Still...
context: Look...\Huh?\Wow...\Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still... response:	That other place is so out of this world.
