context: Morning. response:	Chiaki!
context: and smacking you like we're that close.\I'm so low.\Then let's hook up properly.\What, is this another bit?\No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you. response:	Let's date for real!
context: I'm so low.\Then let's hook up properly.\What, is this another bit?\No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real! response:	Really?
context: Then let's hook up properly.\What, is this another bit?\No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real!\Really? response:	Really.
context: What, is this another bit?\No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real!\Really?\Really. response:	I'll text you like crazy.
context: No!\I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real!\Really?\Really.\I'll text you like crazy. response:	Yeah, text me.
context: I've thought about being your boyfriend, too.\But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real!\Really?\Really.\I'll text you like crazy.\Yeah, text me. response:	Can I smack you again?
context: But I couldn't tell how you felt, so I kept quiet.\I like you.\Let's date for real!\Really?\Really.\I'll text you like crazy.\Yeah, text me.\Can I smack you again? response:	Sure, smack me.
context: I like you.\Let's date for real!\Really?\Really.\I'll text you like crazy.\Yeah, text me.\Can I smack you again?\Sure, smack me. response:	Okay.
context: Let's date for real!\Really?\Really.\I'll text you like crazy.\Yeah, text me.\Can I smack you again?\Sure, smack me.\Okay. response:	So let's keep doing comedy bits, okay?
context: Really?\Really.\I'll text you like crazy.\Yeah, text me.\Can I smack you again?\Sure, smack me.\Okay.\So let's keep doing comedy bits, okay? response:	Hell no!
context: Really.\I'll text you like crazy.\Yeah, text me.\Can I smack you again?\Sure, smack me.\Okay.\So let's keep doing comedy bits, okay?\Hell no! response:	I confessed to my crush.
context: I'll text you like crazy.\Yeah, text me.\Can I smack you again?\Sure, smack me.\Okay.\So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush. response:	I'll Kill Senpai
context: Yeah, text me.\Can I smack you again?\Sure, smack me.\Okay.\So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush.\I'll Kill Senpai response:	And got rejected.
context: Can I smack you again?\Sure, smack me.\Okay.\So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush.\I'll Kill Senpai\And got rejected. response:	This sucks.
context: Sure, smack me.\Okay.\So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush.\I'll Kill Senpai\And got rejected.\This sucks. response:	I'm going home to sleep.
context: Okay.\So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush.\I'll Kill Senpai\And got rejected.\This sucks.\I'm going home to sleep. response:	Huh? Going home, Matsuura?
context: So let's keep doing comedy bits, okay?\Hell no!\I confessed to my crush.\I'll Kill Senpai\And got rejected.\This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura? response:	What about club?
context: Hell no!\I confessed to my crush.\I'll Kill Senpai\And got rejected.\This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura?\What about club? response:	Are you skipping? Hiuh?
context: I confessed to my crush.\I'll Kill Senpai\And got rejected.\This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh? response:	Sabotage? Huh?
context: I'll Kill Senpai\And got rejected.\This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh?\Sabotage? Huh? response:	Skipping? Huh?
context: And got rejected.\This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh? response:	Katori-senpai, I'm not feeling well today.
context: This sucks.\I'm going home to sleep.\Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today. response:	Oh, really?
context: I'm going home to sleep.\Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really? response:	You had a sad look on your face. I was sure you were heartbroken.
context: Huh? Going home, Matsuura?\What about club?\Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken. response:	Huh?
context: What about club?\Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh? response:	I nailed it?
context: Are you skipping? Hiuh?\Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it? response:	Huh?
context: Sabotage? Huh?\Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it?\Huh? response:	Sorry, should I not have asked?
context: Skipping? Huh?\Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it?\Huh?\Sorry, should I not have asked? response:	No, I don't care.
context: Katori-senpai, I'm not feeling well today.\Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it?\Huh?\Sorry, should I not have asked?\No, I don't care. response:	But you worked up the courage, right?
context: Oh, really?\You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it?\Huh?\Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right? response:	That's awesome, don't you think?
context: You had a sad look on your face. I was sure you were heartbroken.\Huh?\I nailed it?\Huh?\Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think? response:	Senpai...
context: Huh?\I nailed it?\Huh?\Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think?\Senpai... response:	You have an absolutely dazzling look on your face right now.
context: I nailed it?\Huh?\Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now. response:	Are you messing with me?
context: Huh?\Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me? response:	You are, aren't you?
context: Sorry, should I not have asked?\No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you? response:	Not at all.
context: No, I don't care.\But you worked up the courage, right?\That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you?\Not at all. response:	I'm trying to cheer you up.
context: But you worked up the courage, right?\That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you?\Not at all.\I'm trying to cheer you up. response:	Are you angry?
context: That's awesome, don't you think?\Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you?\Not at all.\I'm trying to cheer you up.\Are you angry? response:	I don't need you to cheer me up.
context: Senpai...\You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you?\Not at all.\I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up. response:	You're crying in here, though.
context: You have an absolutely dazzling look on your face right now.\Are you messing with me?\You are, aren't you?\Not at all.\I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up.\You're crying in here, though. response:	Sorry, my hand slipped.
context: Are you messing with me?\You are, aren't you?\Not at all.\I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped. response:	Hit me all you want.
context: You are, aren't you?\Not at all.\I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want. response:	Huh?
context: Not at all.\I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want.\Huh? response:	But, it's really yourself you want to hit, is it not?
context: I'm trying to cheer you up.\Are you angry?\I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not? response:	You are messing with me.
context: Are you angry?\I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me. response:	Not at all.
context: I don't need you to cheer me up.\You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all. response:	Besides, you feel better after hitting me, don't you?
context: You're crying in here, though.\Sorry, my hand slipped.\Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you? response:	Senpai was doing that on purpose?
context: Sorry, my hand slipped.\Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose? response:	Not that I feel grateful at all.
context: Hit me all you want.\Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all. response:	Let me know if you need anything.
context: Huh?\But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything. response:	No, I'm good.
context: But, it's really yourself you want to hit, is it not?\You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good. response:	Why do you even care so much?
context: You are messing with me.\Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good.\Why do you even care so much? response:	I'm your senpai. You're my kouhai.
context: Not at all.\Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai. response:	Understand?
context: Besides, you feel better after hitting me, don't you?\Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand? response:	Good, now you can make it to club.
context: Senpai was doing that on purpose?\Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club. response:	Oh. Yeah...
context: Not that I feel grateful at all.\Let me know if you need anything.\No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club.\Oh. Yeah... response:	Senpai's annoying, but he's a nice guy at heart.
context: Let me know if you need anything.\No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart. response:	But he's annoying.
context: No, I'm good.\Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying. response:	Excellent.
context: Why do you even care so much?\I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent. response:	It gets lonely without our local idol.
context: I'm your senpai. You're my kouhai.\Understand?\Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent.\It gets lonely without our local idol. response:	So annoying.
context: Understand?\Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent.\It gets lonely without our local idol.\So annoying. response:	Huh? What's up?
context: Good, now you can make it to club.\Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent.\It gets lonely without our local idol.\So annoying.\Huh? What's up? response:	Let's go.
context: Oh. Yeah...\Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent.\It gets lonely without our local idol.\So annoying.\Huh? What's up?\Let's go. response:	Nothing's up.
context: Senpai's annoying, but he's a nice guy at heart.\But he's annoying.\Excellent.\It gets lonely without our local idol.\So annoying.\Huh? What's up?\Let's go.\Nothing's up. response:	Don't look at me.
context: But he's annoying.\Excellent.\It gets lonely without our local idol.\So annoying.\Huh? What's up?\Let's go.\Nothing's up.\Don't look at me. response:	Sorry.
context: Excellent.\It gets lonely without our local idol.\So annoying.\Huh? What's up?\Let's go.\Nothing's up.\Don't look at me.\Sorry. response:	You haven't fallen for me, have you?
context: It gets lonely without our local idol.\So annoying.\Huh? What's up?\Let's go.\Nothing's up.\Don't look at me.\Sorry.\You haven't fallen for me, have you? response:	Sorry I'm such a hottie.
context: So annoying.\Huh? What's up?\Let's go.\Nothing's up.\Don't look at me.\Sorry.\You haven't fallen for me, have you?\Sorry I'm such a hottie. response:	Huh?
