context: Louise... response:	Louise, come here.
context: What are you doing here?\Guarding him.\I'm Saito's knight.\Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth. response:	Though mine are indeed a mountain range.
context: Guarding him.\I'm Saito's knight.\Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range. response:	You were awake, weren't you?!
context: I'm Saito's knight.\Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?! response:	What's important to remember here is that both
context: Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both response:	the plains and the mountains are equally wonderful!
context: This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful! response:	Saito, are you really sure about that?
context: dared to touch my breasts and compare them to a flat plain!\I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that? response:	Well, maybe the mountains are just a tiny bit more wonderful...
context: I would be happy about that.\Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful... response:	Saito, are you all right?
context: Anyway, it's the truth.\Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right? response:	Professor Colbert!
context: Though mine are indeed a mountain range.\You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert! response:	What are you doing up so early?
context: You were awake, weren't you?!\What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert!\What are you doing up so early? response:	I actually came to tell you something important.
context: What's important to remember here is that both\the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert!\What are you doing up so early?\I actually came to tell you something important. response:	All of you.
context: the plains and the mountains are equally wonderful!\Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert!\What are you doing up so early?\I actually came to tell you something important.\All of you. response:	It appears that
context: Saito, are you really sure about that?\Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert!\What are you doing up so early?\I actually came to tell you something important.\All of you.\It appears that response:	we're all off again on another trip aboard the Ostland.
context: Well, maybe the mountains are just a tiny bit more wonderful...\Saito, are you all right?\Professor Colbert!\What are you doing up so early?\I actually came to tell you something important.\All of you.\It appears that\we're all off again on another trip aboard the Ostland. response:	Queen Henrietta has ordered us all to Romalia.
context: Saito, are you all right?\Professor Colbert!\What are you doing up so early?\I actually came to tell you something important.\All of you.\It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia. response:	Romalia?
context: Professor Colbert!\What are you doing up so early?\I actually came to tell you something important.\All of you.\It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia? response:	Louise of the Holy Land
context: What are you doing up so early?\I actually came to tell you something important.\All of you.\It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land response:	Miss Valliere, you must be so happy that we're going to Romalia.
context: I actually came to tell you something important.\All of you.\It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia. response:	Of course! Romalia is the center of the Brimir faith.
context: All of you.\It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith. response:	A pious follower of Brimir like myself is happy just to go there.
context: It appears that\we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there. response:	Then if you're happy enough as it is,
context: we're all off again on another trip aboard the Ostland.\Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is, response:	may Saito and I go on a date?
context: Queen Henrietta has ordered us all to Romalia.\Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date? response:	That's a no.
context: Romalia?\Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no. response:	You scrooge.
context: Louise of the Holy Land\Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no.\You scrooge. response:	The Fire Dragon Mountains are so beautiful.
context: Miss Valliere, you must be so happy that we're going to Romalia.\Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful. response:	Strong and indomitable, just like you.
context: Of course! Romalia is the center of the Brimir faith.\A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you. response:	I-Is that so, Miss Zerbst?
context: A pious follower of Brimir like myself is happy just to go there.\Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst? response:	This truly is Halkeginia's most renowned mountain range.
context: Then if you're happy enough as it is,\may Saito and I go on a date?\That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range. response:	It sure is beautiful.
context: may Saito and I go on a date?\That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful. response:	Tiffa.
context: That's a no.\You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa. response:	You're sighing a lot.
context: You scrooge.\The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa.\You're sighing a lot. response:	Is something wrong?
context: The Fire Dragon Mountains are so beautiful.\Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa.\You're sighing a lot.\Is something wrong? response:	No. I was just wondering why the princess
context: Strong and indomitable, just like you.\I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa.\You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess response:	would possibly summon me to Romalia.
context: I-Is that so, Miss Zerbst?\This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa.\You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia. response:	What do you mean?
context: This truly is Halkeginia's most renowned mountain range.\It sure is beautiful.\Tiffa.\You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean? response:	She's called for Louise, too.
context: It sure is beautiful.\Tiffa.\You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too. response:	They're letting us use this ship
context: Tiffa.\You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too.\They're letting us use this ship response:	and calling it an educational school trip.
context: You're sighing a lot.\Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip. response:	We're all here.
context: Is something wrong?\No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip.\We're all here. response:	The Brimir worshipers never thought highly of the elves.
context: No. I was just wondering why the princess\would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves. response:	It's natural for a half-elf like you to be a little nervous.
context: would possibly summon me to Romalia.\What do you mean?\She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous. response:	I suppose.
context: What do you mean?\She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose. response:	Don't worry.
context: She's called for Louise, too.\They're letting us use this ship\and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry. response:	Nothing will happen.
context: They're letting us use this ship\and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry.\Nothing will happen. response:	If push comes to shove, I'll protect you.
context: and calling it an educational school trip.\We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you. response:	Thank you, Saito!
context: We're all here.\The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito! response:	Ladies and gentlemen!
context: The Brimir worshipers never thought highly of the elves.\It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen! response:	Look!
context: It's natural for a half-elf like you to be a little nervous.\I suppose.\Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen!\Look! response:	It's Romalia!
context: I suppose.\Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen!\Look!\It's Romalia! response:	Ladies and gentlemen of the Order of the Undine Knights!
context: Don't worry.\Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen!\Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights! response:	This journey is a secret mission for Her Highness the Queen!
context: Nothing will happen.\If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen!\Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen! response:	No matter what dangers we may face,
context: If push comes to shove, I'll protect you.\Thank you, Saito!\Ladies and gentlemen!\Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face, response:	so long as I remain your captain, you have nothing to fear!
context: Thank you, Saito!\Ladies and gentlemen!\Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear! response:	Was this really something that big?
context: Ladies and gentlemen!\Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big? response:	Who knows?
context: Look!\It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows? response:	Dear students of magic,
context: It's Romalia!\Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows?\Dear students of magic, response:	I'd like to greet you
context: Ladies and gentlemen of the Order of the Undine Knights!\This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows?\Dear students of magic,\I'd like to greet you response:	It's been a while, Saito.
context: This journey is a secret mission for Her Highness the Queen!\No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows?\Dear students of magic,\I'd like to greet you\It's been a while, Saito. response:	Julio!
context: No matter what dangers we may face,\so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows?\Dear students of magic,\I'd like to greet you\It's been a while, Saito.\Julio! response:	I forgot you're a Romalian priest.
context: so long as I remain your captain, you have nothing to fear!\Was this really something that big?\Who knows?\Dear students of magic,\I'd like to greet you\It's been a while, Saito.\Julio!\I forgot you're a Romalian priest. response:	That's right.
context: Was this really something that big?\Who knows?\Dear students of magic,\I'd like to greet you\It's been a while, Saito.\Julio!\I forgot you're a Romalian priest.\That's right. response:	All right, I'll leave them with you.
context: Who knows?\Dear students of magic,\I'd like to greet you\It's been a while, Saito.\Julio!\I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you. response:	I'll show you to the guest house.
context: Dear students of magic,\I'd like to greet you\It's been a while, Saito.\Julio!\I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you.\I'll show you to the guest house. response:	Please follow me.
context: I'd like to greet you\It's been a while, Saito.\Julio!\I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me. response:	Saito, I'd like you to come with me.
context: It's been a while, Saito.\Julio!\I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me. response:	Along with Miss Valliere and Miss Westwood.
context: Julio!\I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood. response:	Look, it's Romalia's biggest cathedral.
context: I forgot you're a Romalian priest.\That's right.\All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral. response:	May I ask why only us three have been called?
context: That's right.\All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called? response:	It is the express wish of our queen.
context: All right, I'll leave them with you.\I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen. response:	Hers, and another's.
context: I'll show you to the guest house.\Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's. response:	Another?
context: Please follow me.\Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's.\Another? response:	Louise, Saito,
context: Saito, I'd like you to come with me.\Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's.\Another?\Louise, Saito, response:	Tiffania,
context: Along with Miss Valliere and Miss Westwood.\Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's.\Another?\Louise, Saito,\Tiffania, response:	thank you for coming.
context: Look, it's Romalia's biggest cathedral.\May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's.\Another?\Louise, Saito,\Tiffania,\thank you for coming. response:	Your Majesty!
context: May I ask why only us three have been called?\It is the express wish of our queen.\Hers, and another's.\Another?\Louise, Saito,\Tiffania,\thank you for coming.\Your Majesty! response:	Was it really okay for us to come here?
context: It is the express wish of our queen.\Hers, and another's.\Another?\Louise, Saito,\Tiffania,\thank you for coming.\Your Majesty!\Was it really okay for us to come here? response:	Aren't the Tristain coffers pretty empty?
context: Hers, and another's.\Another?\Louise, Saito,\Tiffania,\thank you for coming.\Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty? response:	Saito!
context: Another?\Louise, Saito,\Tiffania,\thank you for coming.\Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito! response:	Don't worry about money. Romalia's covering the expenses.
context: Louise, Saito,\Tiffania,\thank you for coming.\Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses. response:	I wish I could be so naIve!
context: Tiffania,\thank you for coming.\Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve! response:	What do you mean?
context: thank you for coming.\Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean? response:	Julio.
context: Your Majesty!\Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean?\Julio. response:	You're being very rude to our guests.
context: Was it really okay for us to come here?\Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean?\Julio.\You're being very rude to our guests. response:	My apologies, Your Eminence.
context: Aren't the Tristain coffers pretty empty?\Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean?\Julio.\You're being very rude to our guests.\My apologies, Your Eminence. response:	Seeing them made me feel like I was back at the academy again.
context: Saito!\Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean?\Julio.\You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again. response:	Your Eminence?
context: Don't worry about money. Romalia's covering the expenses.\I wish I could be so naIve!\What do you mean?\Julio.\You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence? response:	Saito! Put your head down, now!
context: I wish I could be so naIve!\What do you mean?\Julio.\You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now! response:	You are in the presence of His Holy Eminence!
context: What do you mean?\Julio.\You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence! response:	And who is that?!
context: Julio.\You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?! response:	So you're Saito Chevalier de Hiraga.
context: You're being very rude to our guests.\My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga. response:	Every bit as unconventional as the rumors say you are.
context: My apologies, Your Eminence.\Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are. response:	It certainly is true that you've come from another world.
context: Seeing them made me feel like I was back at the academy again.\Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world. response:	Please, raise your heads.
context: Your Eminence?\Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads. response:	I'd like to see your faces better.
context: Saito! Put your head down, now!\You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better. response:	I am Vittorio Serevare, also known as
context: You are in the presence of His Holy Eminence!\And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as response:	Pope of Romalia, Saint Aegis the 32nd.
context: And who is that?!\So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd. response:	I'm very pleased to meet you.
context: So you're Saito Chevalier de Hiraga.\Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you. response:	Both the Void Mage and her familiar.
context: Every bit as unconventional as the rumors say you are.\It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar. response:	Your Eminence!
context: It certainly is true that you've come from another world.\Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence! response:	How did you...?
context: Please, raise your heads.\I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence!\How did you...? response:	The tales of your bravery have reached even Romalia, Miss Valliere.
context: I'd like to see your faces better.\I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere. response:	I've always known that you are the bearer of the legendary power.
context: I am Vittorio Serevare, also known as\Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power. response:	This is such an honor, Your Eminence.
context: Pope of Romalia, Saint Aegis the 32nd.\I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence. response:	And then you, Miss Westwood.
