context: Two months passed since we started our second year of high school. response:	Now that we had become
context: Ssh, they'll hear us.\It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan. response:	These are equipped with the power to see isolated worlds.
context: It appears the dark followers have not spotted us.\But be careful.\Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds. response:	And they look cool.
context: But be careful.\Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool. response:	Just get packed.
context: Any loud noises will annoy the neighbors.\Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed. response:	So cool!
context: Like you can talk!\What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed.\So cool! response:	Just get packed and take your bath!
context: What are you doing with these on, anyway?\I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed.\So cool!\Just get packed and take your bath! response:	Travelling to the Island of Tsukushi... of Hesitation
context: I have just returned from my mission to summon the Dark Flame Dragon.\Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed.\So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation response:	I can see you are fully prepared for a journey to the dark world.
context: Wearing these fortifies the Wicked Lord Shingan.\These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed.\So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world. response:	That's a lot of luggage.
context: These are equipped with the power to see isolated worlds.\And they look cool.\Just get packed.\So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage. response:	This is actually less than before. At first...
context: And they look cool.\Just get packed.\So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first... response:	So, that's why this little bag smells so bad.
context: Just get packed.\So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad. response:	What? What do you mean by that?
context: So cool!\Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that? response:	Because it's carrion luggage.
context: Just get packed and take your bath!\Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage. response:	That's funny.
context: Travelling to the Island of Tsukushi... of Hesitation\I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage.\That's funny. response:	How long are you going to keep doing that?
context: I can see you are fully prepared for a journey to the dark world.\That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage.\That's funny.\How long are you going to keep doing that? response:	No go?
context: That's a lot of luggage.\This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage.\That's funny.\How long are you going to keep doing that?\No go? response:	Gather round, everyone!
context: This is actually less than before. At first...\So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage.\That's funny.\How long are you going to keep doing that?\No go?\Gather round, everyone! response:	Let's get going.
context: So, that's why this little bag smells so bad.\What? What do you mean by that?\Because it's carrion luggage.\That's funny.\How long are you going to keep doing that?\No go?\Gather round, everyone!\Let's get going. response:	Master, while you set out for the battleground...
context: What? What do you mean by that?\Because it's carrion luggage.\That's funny.\How long are you going to keep doing that?\No go?\Gather round, everyone!\Let's get going.\Master, while you set out for the battleground... response:	I trust you.
context: Because it's carrion luggage.\That's funny.\How long are you going to keep doing that?\No go?\Gather round, everyone!\Let's get going.\Master, while you set out for the battleground...\I trust you. response:	Time to go!
context: That's funny.\How long are you going to keep doing that?\No go?\Gather round, everyone!\Let's get going.\Master, while you set out for the battleground...\I trust you.\Time to go! response:	Dekomori!
context: How long are you going to keep doing that?\No go?\Gather round, everyone!\Let's get going.\Master, while you set out for the battleground...\I trust you.\Time to go!\Dekomori! response:	Master!
context: No go?\Gather round, everyone!\Let's get going.\Master, while you set out for the battleground...\I trust you.\Time to go!\Dekomori!\Master! response:	See you later!
context: Gather round, everyone!\Let's get going.\Master, while you set out for the battleground...\I trust you.\Time to go!\Dekomori!\Master!\See you later! response:	You're dressed sharp.
context: Let's get going.\Master, while you set out for the battleground...\I trust you.\Time to go!\Dekomori!\Master!\See you later!\You're dressed sharp. response:	Of course I am. This is the school field trip.
context: Master, while you set out for the battleground...\I trust you.\Time to go!\Dekomori!\Master!\See you later!\You're dressed sharp.\Of course I am. This is the school field trip. response:	Destiny could be waiting anywhere.
context: I trust you.\Time to go!\Dekomori!\Master!\See you later!\You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere. response:	I will now announce the recreation programs for each group.
context: Time to go!\Dekomori!\Master!\See you later!\You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group. response:	You are prohibited from going to the other cars,
context: Dekomori!\Master!\See you later!\You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars, response:	except to use the restroom.
context: Master!\See you later!\You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom. response:	You are also prohibited from using your cell phones.
context: See you later!\You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones. response:	The speed of sound is impressive!
context: You're dressed sharp.\Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive! response:	We're not going quite that fast.
context: Of course I am. This is the school field trip.\Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast. response:	However, Wicked Lord Shingan sees all. This is not a problem.
context: Destiny could be waiting anywhere.\I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem. response:	She's not the girl who went to her family home last year.
context: I will now announce the recreation programs for each group.\You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year. response:	You guys sure do get along well.
context: You are prohibited from going to the other cars,\except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well. response:	Don't take our photo!
context: except to use the restroom.\You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo! response:	Why not? You're going out, aren't you?
context: You are also prohibited from using your cell phones.\The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you? response:	It's not like we're...
context: The speed of sound is impressive!\We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're... response:	I won't go showing it to the other guys.
context: We're not going quite that fast.\However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys. response:	I'll print it out for you later.
context: However, Wicked Lord Shingan sees all. This is not a problem.\She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later. response:	Okay, I am giving you one hour of free time.
context: She's not the girl who went to her family home last year.\You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time. response:	Meet back here at 2 o'clock!
context: You guys sure do get along well.\Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock! response:	This place is amazing.
context: Don't take our photo!\Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing. response:	The palace where the imprisoned dragon's soul sleeps...
context: Why not? You're going out, aren't you?\It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps... response:	banished by the patron saint of darkness.
context: It's not like we're...\I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness. response:	Known as the Dark Dragonius Saint Palace!
context: I won't go showing it to the other guys.\I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace! response:	Don't name it!
context: I'll print it out for you later.\Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it! response:	I will now infiltrate under the dark followers' noses.
context: Okay, I am giving you one hour of free time.\Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses. response:	You too!
context: Meet back here at 2 o'clock!\This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses.\You too! response:	We must always anticipate the dark followers' attack.
context: This place is amazing.\The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack. response:	You brought that all this way just for that?
context: The palace where the imprisoned dragon's soul sleeps...\banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that? response:	Full preparation at all times is key.
context: banished by the patron saint of darkness.\Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key. response:	You must really like those.
context: Known as the Dark Dragonius Saint Palace!\Don't name it!\I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key.\You must really like those. response:	I'm blinded!
context: Don't name it!\I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key.\You must really like those.\I'm blinded! response:	No duh!
context: I will now infiltrate under the dark followers' noses.\You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key.\You must really like those.\I'm blinded!\No duh! response:	Takanashi!
context: You too!\We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key.\You must really like those.\I'm blinded!\No duh!\Takanashi! response:	What is that?
context: We must always anticipate the dark followers' attack.\You brought that all this way just for that?\Full preparation at all times is key.\You must really like those.\I'm blinded!\No duh!\Takanashi!\What is that? response:	Combat equipment.
context: You brought that all this way just for that?\Full preparation at all times is key.\You must really like those.\I'm blinded!\No duh!\Takanashi!\What is that?\Combat equipment. response:	As usual.
context: Full preparation at all times is key.\You must really like those.\I'm blinded!\No duh!\Takanashi!\What is that?\Combat equipment.\As usual. response:	Okay, I'll take a commemorative photo of you and Togashi.
context: You must really like those.\I'm blinded!\No duh!\Takanashi!\What is that?\Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi. response:	Huh?
context: I'm blinded!\No duh!\Takanashi!\What is that?\Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh? response:	Don't be shy. This is a school field trip.
context: No duh!\Takanashi!\What is that?\Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip. response:	Move closer together.
context: Takanashi!\What is that?\Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip.\Move closer together. response:	Don't you want to make some memories with your boyfriend?
context: What is that?\Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend? response:	Boyfriend?
context: Combat equipment.\As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend? response:	There you are, Togashi.
context: As usual.\Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi. response:	You have a copy of the group schedule, right?
context: Okay, I'll take a commemorative photo of you and Togashi.\Huh?\Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right? response:	S-sure!
context: Huh?\Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right?\S-sure! response:	Right here.
context: Don't be shy. This is a school field trip.\Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right?\S-sure!\Right here. response:	Thanks.
context: Move closer together.\Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right?\S-sure!\Right here.\Thanks. response:	I'm bored.
context: Don't you want to make some memories with your boyfriend?\Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right?\S-sure!\Right here.\Thanks.\I'm bored. response:	This is tedious.
context: Boyfriend?\There you are, Togashi.\You have a copy of the group schedule, right?\S-sure!\Right here.\Thanks.\I'm bored.\This is tedious. response:	I must do something before I lose mental capacity and die.
context: There you are, Togashi.\You have a copy of the group schedule, right?\S-sure!\Right here.\Thanks.\I'm bored.\This is tedious.\I must do something before I lose mental capacity and die. response:	Can that be a messenger sent by my master?
context: You have a copy of the group schedule, right?\S-sure!\Right here.\Thanks.\I'm bored.\This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master? response:	I'm over here! Dekomori is over here!
context: S-sure!\Right here.\Thanks.\I'm bored.\This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here! response:	Over here!
context: Right here.\Thanks.\I'm bored.\This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here! response:	I thought I was gonna die.
context: Thanks.\I'm bored.\This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die. response:	But Mr. Mushroom is such a fungi.
context: I'm bored.\This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi. response:	You seem especially enthused about
context: This is tedious.\I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about response:	napping ever since the napping club competition.
context: I must do something before I lose mental capacity and die.\Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition. response:	Wake up. Wake up now.
context: Can that be a messenger sent by my master?\I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now. response:	Deko?
context: I'm over here! Dekomori is over here!\Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now.\Deko? response:	You have returned from the dream world!
context: Over here!\I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now.\Deko?\You have returned from the dream world! response:	What is it?
context: I thought I was gonna die.\But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now.\Deko?\You have returned from the dream world!\What is it? response:	This region is stagnant territory!
context: But Mr. Mushroom is such a fungi.\You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now.\Deko?\You have returned from the dream world!\What is it?\This region is stagnant territory! response:	We need to escape and advance to another area!
context: You seem especially enthused about\napping ever since the napping club competition.\Wake up. Wake up now.\Deko?\You have returned from the dream world!\What is it?\This region is stagnant territory!\We need to escape and advance to another area! response:	Advance to where?
context: napping ever since the napping club competition.\Wake up. Wake up now.\Deko?\You have returned from the dream world!\What is it?\This region is stagnant territory!\We need to escape and advance to another area!\Advance to where? response:	Actually...
context: Wake up. Wake up now.\Deko?\You have returned from the dream world!\What is it?\This region is stagnant territory!\We need to escape and advance to another area!\Advance to where?\Actually... response:	Oh, I know where to go.
context: Deko?\You have returned from the dream world!\What is it?\This region is stagnant territory!\We need to escape and advance to another area!\Advance to where?\Actually...\Oh, I know where to go. response:	Yayoi Settlement Museum
context: You have returned from the dream world!\What is it?\This region is stagnant territory!\We need to escape and advance to another area!\Advance to where?\Actually...\Oh, I know where to go.\Yayoi Settlement Museum response:	TODAY'S ACTIVITIES Magatama making Clay flute making
context: What is it?\This region is stagnant territory!\We need to escape and advance to another area!\Advance to where?\Actually...\Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making response:	Historic ruins containing the powers of darkness!
context: This region is stagnant territory!\We need to escape and advance to another area!\Advance to where?\Actually...\Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness! response:	Isn't it amazing?
context: We need to escape and advance to another area!\Advance to where?\Actually...\Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing? response:	People lived in this area from the Jomon period onward,
context: Advance to where?\Actually...\Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward, response:	and there used to be a sea nearby.
context: Actually...\Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby. response:	I am fulfilled.
context: Oh, I know where to go.\Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled. response:	Takanashi, what are you doing?
context: Yayoi Settlement Museum\TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing? response:	Conversing with the souls who once lived here so long ago.
context: TODAY'S ACTIVITIES Magatama making Clay flute making\Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago. response:	Wow, that's amazing. Nibu?
context: Historic ruins containing the powers of darkness!\Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu? response:	I can hear them...
context: Isn't it amazing?\People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them... response:	What is your name?
context: People lived in this area from the Jomon period onward,\and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them...\What is your name? response:	What?
context: and there used to be a sea nearby.\I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them...\What is your name?\What? response:	Himiko?
context: I am fulfilled.\Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them...\What is your name?\What?\Himiko? response:	Nibu?
context: Takanashi, what are you doing?\Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them...\What is your name?\What?\Himiko?\Nibu? response:	Uh, it's nothing! Nothing at all!
context: Conversing with the souls who once lived here so long ago.\Wow, that's amazing. Nibu?\I can hear them...\What is your name?\What?\Himiko?\Nibu?\Uh, it's nothing! Nothing at all! response:	Togashi!
context: Wow, that's amazing. Nibu?\I can hear them...\What is your name?\What?\Himiko?\Nibu?\Uh, it's nothing! Nothing at all!\Togashi! response:	Takanashi is here with us!
context: I can hear them...\What is your name?\What?\Himiko?\Nibu?\Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us! response:	Uh, right.
context: What is your name?\What?\Himiko?\Nibu?\Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us!\Uh, right. response:	Come on over, don't be shy. Sorry about before!
context: What?\Himiko?\Nibu?\Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before! response:	I won't pester you anymore.
context: Himiko?\Nibu?\Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore. response:	Right, Takanashi?
context: Nibu?\Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi? response:	Huh? Takanashi?
