context: I asked you to go get the corruption for me, didn't I? response:	You have that much trouble with a simple errand?
context: And this is an enchanted potion for warding off nightmares.\Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic. response:	What has an effect on what, what needs to be helped along, and what needs to be avoided...
context: Just as I taught you.\You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided... response:	Strange traditions from long ago.
context: You used too much magic. It's turned into a sleeping potion.\Work a little harder on the proportions.\Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago. response:	Things that can be both medicinal and poisonous.
context: Work a little harder on the proportions.\Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous. response:	Wooly bugs, aethonic...
context: Okay.\This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic... response:	Chise, we're going out for a while.
context: This is hard.\Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while. response:	Okay.
context: Since I learned of his goal, Elias seems to have decided\to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay. response:	A black dog?
context: to begin seriously teaching me magic.\What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay.\A black dog? response:	Yeah.
context: What has an effect on what, what needs to be helped along, and what needs to be avoided...\Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay.\A black dog?\Yeah. response:	Also known as a church grim.
context: Strange traditions from long ago.\Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay.\A black dog?\Yeah.\Also known as a church grim. response:	An excellent watchdog who protects the church and the graveyard.
context: Things that can be both medicinal and poisonous.\Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay.\A black dog?\Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard. response:	One seems to have made himself at home at a nearby church.
context: Wooly bugs, aethonic...\Chise, we're going out for a while.\Okay.\A black dog?\Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church. response:	Our task is to see if he's hostile or not.
context: Chise, we're going out for a while.\Okay.\A black dog?\Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not. response:	There are hostile ones?
context: Okay.\A black dog?\Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones? response:	They're fine so long as you don't do anything.
context: A black dog?\Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything. response:	Usually.
context: Yeah.\Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything.\Usually. response:	Usually?
context: Also known as a church grim.\An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything.\Usually.\Usually? response:	This is the third one.
context: An excellent watchdog who protects the church and the graveyard.\One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything.\Usually.\Usually?\This is the third one. response:	Their last request.
context: One seems to have made himself at home at a nearby church.\Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything.\Usually.\Usually?\This is the third one.\Their last request. response:	Why does the church, um...
context: Our task is to see if he's hostile or not.\There are hostile ones?\They're fine so long as you don't do anything.\Usually.\Usually?\This is the third one.\Their last request.\Why does the church, um... response:	Why do they ask you to do things?
context: There are hostile ones?\They're fine so long as you don't do anything.\Usually.\Usually?\This is the third one.\Their last request.\Why does the church, um...\Why do they ask you to do things? response:	I made a mistake a while ago.
context: They're fine so long as you don't do anything.\Usually.\Usually?\This is the third one.\Their last request.\Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago. response:	They've had an eye on me ever since.
context: Usually.\Usually?\This is the third one.\Their last request.\Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since. response:	I don't like dealing with them,
context: Usually?\This is the third one.\Their last request.\Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them, response:	so I take care of some of their business in exchange for their leaving me alone.
context: This is the third one.\Their last request.\Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone. response:	Come to think of it, that man called Elias by a different name.
context: Their last request.\Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name. response:	Pilum Murialis.
context: Why does the church, um...\Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis. response:	There's so much I don't know about him.
context: Why do they ask you to do things?\I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him. response:	Right, I forgot.
context: I made a mistake a while ago.\They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him.\Right, I forgot. response:	Chise.
context: They've had an eye on me ever since.\I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him.\Right, I forgot.\Chise. response:	I'd asked Angelica to make this for you.
context: I don't like dealing with them,\so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him.\Right, I forgot.\Chise.\I'd asked Angelica to make this for you. response:	A ring?
context: so I take care of some of their business in exchange for their leaving me alone.\Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him.\Right, I forgot.\Chise.\I'd asked Angelica to make this for you.\A ring? response:	You know why Sleigh Beggies are short-lived, don't you?
context: Come to think of it, that man called Elias by a different name.\Pilum Murialis.\There's so much I don't know about him.\Right, I forgot.\Chise.\I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you? response:	We're frail despite our strong ability to create and soak up magic, right?
context: Pilum Murialis.\There's so much I don't know about him.\Right, I forgot.\Chise.\I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right? response:	Right.
context: There's so much I don't know about him.\Right, I forgot.\Chise.\I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right. response:	So what you need is a ring to slow down your production of magic.
context: Right, I forgot.\Chise.\I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic. response:	However, the ring can only do so much.
context: Chise.\I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much. response:	Become excited, and it'll function more actively, just as your body does.
context: I'd asked Angelica to make this for you.\A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does. response:	So, stay as calm as you can.
context: A ring?\You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can. response:	Okay.
context: You know why Sleigh Beggies are short-lived, don't you?\We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay. response:	It's all right.
context: We're frail despite our strong ability to create and soak up magic, right?\Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay.\It's all right. response:	As your buyer, I'm responsible for you.
context: Right.\So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay.\It's all right.\As your buyer, I'm responsible for you. response:	I'll look for better solutions.
context: So what you need is a ring to slow down your production of magic.\However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay.\It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions. response:	Thank you.
context: However, the ring can only do so much.\Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay.\It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you. response:	The right index finger is the guiding finger.
context: Become excited, and it'll function more actively, just as your body does.\So, stay as calm as you can.\Okay.\It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you.\The right index finger is the guiding finger. response:	Elias hasn't really said anything about what happened since then.
context: So, stay as calm as you can.\Okay.\It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then. response:	Chise.
context: Okay.\It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise. response:	Coming.
context: It's all right.\As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise.\Coming. response:	I'd like to assign a familiar to you soon.
context: As your buyer, I'm responsible for you.\I'll look for better solutions.\Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise.\Coming.\I'd like to assign a familiar to you soon. response:	A familiar?
context: I'll look for better solutions.\Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise.\Coming.\I'd like to assign a familiar to you soon.\A familiar? response:	A creature that consumes its master's magic, and serves them.
context: Thank you.\The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise.\Coming.\I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them. response:	They're useful and loyal,
context: The right index finger is the guiding finger.\Elias hasn't really said anything about what happened since then.\Chise.\Coming.\I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal, response:	and would make great servants.
context: Elias hasn't really said anything about what happened since then.\Chise.\Coming.\I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants. response:	Like the one at Angie-san's place?
context: Chise.\Coming.\I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place? response:	They get to be more familiar with their masters than the masters themselves.
context: Coming.\I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves. response:	They'd be perfect for supporting someone as quiet as you are.
context: I'd like to assign a familiar to you soon.\A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are. response:	S-Sorry.
context: A familiar?\A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry. response:	Look, we're here.
context: A creature that consumes its master's magic, and serves them.\They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here. response:	That's the church.
context: They're useful and loyal,\and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here.\That's the church. response:	Has something happened?
context: and would make great servants.\Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here.\That's the church.\Has something happened? response:	Elias?
context: Like the one at Angie-san's place?\They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here.\That's the church.\Has something happened?\Elias? response:	This could be a bit complicated.
context: They get to be more familiar with their masters than the masters themselves.\They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here.\That's the church.\Has something happened?\Elias?\This could be a bit complicated. response:	We may need to hurry.
context: They'd be perfect for supporting someone as quiet as you are.\S-Sorry.\Look, we're here.\That's the church.\Has something happened?\Elias?\This could be a bit complicated.\We may need to hurry. response:	I'll go talk to the ones in charge here.
context: S-Sorry.\Look, we're here.\That's the church.\Has something happened?\Elias?\This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here. response:	Go take a look around.
context: Look, we're here.\That's the church.\Has something happened?\Elias?\This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around. response:	Let me know if you find anything.
context: That's the church.\Has something happened?\Elias?\This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything. response:	Don't put yourself in danger.
context: Has something happened?\Elias?\This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything.\Don't put yourself in danger. response:	Okay.
context: Elias?\This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything.\Don't put yourself in danger.\Okay. response:	All right, get lost.
context: This could be a bit complicated.\We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything.\Don't put yourself in danger.\Okay.\All right, get lost. response:	This is awful.
context: We may need to hurry.\I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything.\Don't put yourself in danger.\Okay.\All right, get lost.\This is awful. response:	They're bitten and scratched all over.
context: I'll go talk to the ones in charge here.\Go take a look around.\Let me know if you find anything.\Don't put yourself in danger.\Okay.\All right, get lost.\This is awful.\They're bitten and scratched all over. response:	Were there ever any wild dogs around here?
context: Go take a look around.\Let me know if you find anything.\Don't put yourself in danger.\Okay.\All right, get lost.\This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here? response:	Don't look.
context: Let me know if you find anything.\Don't put yourself in danger.\Okay.\All right, get lost.\This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look. response:	Don't look.
context: Don't put yourself in danger.\Okay.\All right, get lost.\This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look.\Don't look. response:	Don't look.
context: Okay.\All right, get lost.\This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look.\Don't look.\Don't look. response:	There's something bad growing here.
context: All right, get lost.\This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look.\Don't look.\Don't look.\There's something bad growing here. response:	Where are you from?
context: This is awful.\They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look.\Don't look.\Don't look.\There's something bad growing here.\Where are you from? response:	Where are you from?
context: They're bitten and scratched all over.\Were there ever any wild dogs around here?\Don't look.\Don't look.\Don't look.\There's something bad growing here.\Where are you from?\Where are you from? response:	Where?
context: Were there ever any wild dogs around here?\Don't look.\Don't look.\Don't look.\There's something bad growing here.\Where are you from?\Where are you from?\Where? response:	This is one of the bad ones.
context: Don't look.\Don't look.\Don't look.\There's something bad growing here.\Where are you from?\Where are you from?\Where?\This is one of the bad ones. response:	Where are you going?
context: Don't look.\Don't look.\There's something bad growing here.\Where are you from?\Where are you from?\Where?\This is one of the bad ones.\Where are you going? response:	Where?
context: Don't look.\There's something bad growing here.\Where are you from?\Where are you from?\Where?\This is one of the bad ones.\Where are you going?\Where? response:	I can't answer its question.
context: There's something bad growing here.\Where are you from?\Where are you from?\Where?\This is one of the bad ones.\Where are you going?\Where?\I can't answer its question. response:	Where?
context: Where are you from?\Where are you from?\Where?\This is one of the bad ones.\Where are you going?\Where?\I can't answer its question.\Where? response:	Who does the seamless shirt go to?
context: Where are you from?\Where?\This is one of the bad ones.\Where are you going?\Where?\I can't answer its question.\Where?\Who does the seamless shirt go to? response:	Answer even one thing, and it'll take me.
context: Where?\This is one of the bad ones.\Where are you going?\Where?\I can't answer its question.\Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me. response:	I have to escape.
context: This is one of the bad ones.\Where are you going?\Where?\I can't answer its question.\Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape. response:	I'd let my guard down because Elias was with me these days.
context: Where are you going?\Where?\I can't answer its question.\Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days. response:	Where are you going?
context: Where?\I can't answer its question.\Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going? response:	Where to?
context: I can't answer its question.\Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going?\Where to? response:	Where from?
context: Where?\Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going?\Where to?\Where from? response:	Where to?
context: Who does the seamless shirt go to?\Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going?\Where to?\Where from?\Where to? response:	Where to?
context: Answer even one thing, and it'll take me.\I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going?\Where to?\Where from?\Where to?\Where to? response:	Where to?
context: I have to escape.\I'd let my guard down because Elias was with me these days.\Where are you going?\Where to?\Where from?\Where to?\Where to?\Where to? response:	Where from?
context: I'd let my guard down because Elias was with me these days.\Where are you going?\Where to?\Where from?\Where to?\Where to?\Where to?\Where from? response:	Where to? Where from?
context: Where are you going?\Where to?\Where from?\Where to?\Where to?\Where to?\Where from?\Where to? Where from? response:	Isabelle.
context: Where to?\Where from?\Where to?\Where to?\Where to?\Where from?\Where to? Where from?\Isabelle. response:	Where to?!
context: Where from?\Where to?\Where to?\Where to?\Where from?\Where to? Where from?\Isabelle.\Where to?! response:	Get lost, scum.
context: Where to?\Where to?\Where to?\Where from?\Where to? Where from?\Isabelle.\Where to?!\Get lost, scum. response:	This person... isn't human.
context: Where to?\Where to?\Where from?\Where to? Where from?\Isabelle.\Where to?!\Get lost, scum.\This person... isn't human. response:	It's not safe here right now for someone as sensitive as you.
context: Where to?\Where from?\Where to? Where from?\Isabelle.\Where to?!\Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you. response:	Go home.
context: Where from?\Where to? Where from?\Isabelle.\Where to?!\Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home. response:	U-Uh...
context: Where to? Where from?\Isabelle.\Where to?!\Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh... response:	Thank you
context: Isabelle.\Where to?!\Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh...\Thank you response:	What's wrong?!
context: Where to?!\Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh...\Thank you\What's wrong?! response:	These cuts...
context: Get lost, scum.\This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh...\Thank you\What's wrong?!\These cuts... response:	Elias.
context: This person... isn't human.\It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh...\Thank you\What's wrong?!\These cuts...\Elias. response:	I need to get Elias.
