context: We can't do this. response:	Sorry. Imanity's finished.
context: Yes?\Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me! response:	Don't make misleading stuff like that!
context: Let me confirm something.\This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that! response:	Why are you so upset?
context: This is a fictional place. It doesn't really exist.\In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset? response:	Damn you, old man!
context: In other words, it's a virtual world you imagined for your game?\That's right. Why?\Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man! response:	Do you have a problem with the level?
context: That's right. Why?\Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man!\Do you have a problem with the level? response:	Of course I do!
context: Don't scare me like that!\Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man!\Do you have a problem with the level?\Of course I do! response:	Why the hell would you use this for a level?
context: Damn it!\That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man!\Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level? response:	Is this psychological warfare?
context: That brought all kinds of trauma back to me!\Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man!\Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare? response:	Are you trying to screw with me?
context: Don't make misleading stuff like that!\Why are you so upset?\Damn you, old man!\Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me? response:	This is a science fiction level very popular
context: Why are you so upset?\Damn you, old man!\Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular response:	with the youth of the Eastern Federation.
context: Damn you, old man!\Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation. response:	That is the only reason it was chosen,
context: Do you have a problem with the level?\Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen, response:	but don't worry.
context: Of course I do!\Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry. response:	It's a game, so to an extent, you will be safe.
context: Why the hell would you use this for a level?\Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe. response:	That explains why I can be out in the sun.
context: Is this psychological warfare?\Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun. response:	Shiro! Calm down! This isn't Tokyo!
context: Are you trying to screw with me?\This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo! response:	It only looks like it! They just imagined it up!
context: This is a science fiction level very popular\with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up! response:	That's right. This is a game,
context: with the youth of the Eastern Federation.\That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game, response:	just like Pers*na, or Stein's G*te, or Akiba Str*p!
context: That is the only reason it was chosen,\but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p! response:	If we're in a game, we're fine!
context: but don't worry.\It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine! response:	Inside a game?
context: It's a game, so to an extent, you will be safe.\That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game? response:	Okay, got it...
context: That explains why I can be out in the sun.\Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game?\Okay, got it... response:	All right, we're okay now.
context: Shiro! Calm down! This isn't Tokyo!\It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game?\Okay, got it...\All right, we're okay now. response:	Get started.
context: It only looks like it! They just imagined it up!\That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game?\Okay, got it...\All right, we're okay now.\Get started. response:	Then, everyone, I shall explain the rules.
context: That's right. This is a game,\just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game?\Okay, got it...\All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules. response:	First, look at the box at your feet.
context: just like Pers*na, or Stein's G*te, or Akiba Str*p!\If we're in a game, we're fine!\Inside a game?\Okay, got it...\All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet. response:	You'll use those guns to shoot the NPCs who chase you.
context: If we're in a game, we're fine!\Inside a game?\Okay, got it...\All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you. response:	We're shooting them?
context: Inside a game?\Okay, got it...\All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them? response:	By shooting them at times,
context: Okay, got it...\All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times, response:	and exploding them at times,
context: All right, we're okay now.\Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times,\and exploding them at times, response:	you will make them fall in love with you.
context: Get started.\Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times,\and exploding them at times,\you will make them fall in love with you. response:	Isn't that G*l Gun?
context: Then, everyone, I shall explain the rules.\First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times,\and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun? response:	The girls who fall in love with you
context: First, look at the box at your feet.\You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times,\and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you response:	will give you their love power and disappear.
context: You'll use those guns to shoot the NPCs who chase you.\We're shooting them?\By shooting them at times,\and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear. response:	The ammo fired from the love-love gun is your own love power!
context: We're shooting them?\By shooting them at times,\and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power! response:	This is called the love-love gun?
context: By shooting them at times,\and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun? response:	Lame.
context: and exploding them at times,\you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame. response:	However, if Izuna shoots one of you, you'll turn into her love slave!
context: you will make them fall in love with you.\Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave! response:	Izuna-tan Love!
context: Isn't that G*l Gun?\The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love! response:	Izuna-tan Love <3
context: The girls who fall in love with you\will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3 response:	Can't you say, you'll join her side?
context: will give you their love power and disappear.\The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side? response:	As girls all over the world turn to look your way,
context: The ammo fired from the love-love gun is your own love power!\This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way, response:	the one person you love will not!
context: This is called the love-love gun?\Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not! response:	Conveying your love power to make her fall in love with you
context: Lame.\However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you response:	is the goal of this game!
context: However, if Izuna shoots one of you, you'll turn into her love slave!\Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game! response:	That ends the explanation!
context: Izuna-tan Love!\Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation! response:	So basically, I just have to reject every girl I see?
context: Izuna-tan Love <3\Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see? response:	Who do I think I am?
context: Can't you say, you'll join her side?\As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am? response:	In other words, Izuna wants the harem ending where
context: As girls all over the world turn to look your way,\the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where response:	all four of us fall for her,
context: the one person you love will not!\Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her, response:	but we're after her only.
context: Conveying your love power to make her fall in love with you\is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only. response:	That's correct.
context: is the goal of this game!\That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only.\That's correct. response:	One last note: magic cannot be used in the virtual world, so be careful.
context: That ends the explanation!\So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful. response:	Well?
context: So basically, I just have to reject every girl I see?\Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well? response:	Do you need a further detailed explanation of the rules?
context: Who do I think I am?\In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules? response:	No, I'll figure them out as I play.
context: In other words, Izuna wants the harem ending where\all four of us fall for her,\but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play. response:	Let's try this.
context: all four of us fall for her,\but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this. response:	Firing the love-love gun depletes your love power.
context: but we're after her only.\That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power. response:	Defeating NPCs restores your love power.
context: That's correct.\One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power. response:	What is going on? This is too creepy!
context: One last note: magic cannot be used in the virtual world, so be careful.\Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy! response:	If an NPC touches you, your love power depletes,
context: Well?\Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes, response:	and if it runs out, the NPCs will stop approaching you...
context: Do you need a further detailed explanation of the rules?\No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you... response:	Huh? What's wrong?
context: No, I'll figure them out as I play.\Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong? response:	But you'll run out of energy to fire your love-love gun
context: Let's try this.\Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun response:	and become unable to continue combat.
context: Firing the love-love gun depletes your love power.\Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat. response:	So what happens if you shoot an ally, old man?
context: Defeating NPCs restores your love power.\What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man? response:	You can restore love power to an ally who has run out.
context: What is going on? This is too creepy!\If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out. response:	You can also save companions who have been turned into Izuna's love slaves,
context: If an NPC touches you, your love power depletes,\and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves, response:	but the one shot temporarily becomes a love slave of the one who shot
context: and if it runs out, the NPCs will stop approaching you...\Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot response:	Master!
context: Huh? What's wrong?\But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master! response:	Oh, my sister!
context: But you'll run out of energy to fire your love-love gun\and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister! response:	I had no idea such a cute, beautiful girl
context: and become unable to continue combat.\So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister!\I had no idea such a cute, beautiful girl response:	was so close to me this whole time.
context: So what happens if you shoot an ally, old man?\You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time. response:	My blindness makes me want to gouge out my eyes.
context: You can restore love power to an ally who has run out.\You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes. response:	No, Brother, we're sibli
context: You can also save companions who have been turned into Izuna's love slaves,\but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli response:	Jibril!
context: but the one shot temporarily becomes a love slave of the one who shot\Master!\Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril! response:	I love you!
context: Master!\Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril!\I love you! response:	Shiro?
context: Oh, my sister!\I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril!\I love you!\Shiro? response:	Are you rejecting your brother's love?
context: I had no idea such a cute, beautiful girl\was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril!\I love you!\Shiro?\Are you rejecting your brother's love? response:	So this is the love triangle and NTR I saw in my master's books!
context: was so close to me this whole time.\My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril!\I love you!\Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books! response:	Shiro! My beloved Shiro!
context: My blindness makes me want to gouge out my eyes.\No, Brother, we're sibli\Jibril!\I love you!\Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro! response:	I don't even possess the emotion of love, but somehow it excites me!
context: No, Brother, we're sibli\Jibril!\I love you!\Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me! response:	Jibril, you'll be punished later.
context: Jibril!\I love you!\Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me!\Jibril, you'll be punished later. response:	Oh, forgive me, Shiro-sama!
context: I love you!\Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me!\Jibril, you'll be punished later.\Oh, forgive me, Shiro-sama! response:	I see.
context: Shiro?\Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me!\Jibril, you'll be punished later.\Oh, forgive me, Shiro-sama!\I see. response:	When you're a love slave,
context: Are you rejecting your brother's love?\So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me!\Jibril, you'll be punished later.\Oh, forgive me, Shiro-sama!\I see.\When you're a love slave, response:	I couldn't hold back my curiosity!
context: So this is the love triangle and NTR I saw in my master's books!\Shiro! My beloved Shiro!\I don't even possess the emotion of love, but somehow it excites me!\Jibril, you'll be punished later.\Oh, forgive me, Shiro-sama!\I see.\When you're a love slave,\I couldn't hold back my curiosity! response:	you lose all functions and can't control yourself.
