context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: But for girls, life is more complicated than just love.\And that's why...\I focus on friends instead.\Futaba!\- Good morning! - Good morning!\Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky! response:	Isn't she cute?
context: And that's why...\I focus on friends instead.\Futaba!\- Good morning! - Good morning!\Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute? response:	- She's cute! - Right?
context: I focus on friends instead.\Futaba!\- Good morning! - Good morning!\Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right? response:	Who is it?
context: Futaba!\- Good morning! - Good morning!\Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right?\Who is it? response:	What was her name?
context: - Good morning! - Good morning!\Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right?\Who is it?\What was her name? response:	H-Hold on... Yoshioka. It's Yoshioka.
context: Long time no see!\Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right?\Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka. response:	- Yoshioka? - Yoshioka.
context: Your seat is here.\- Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right?\Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka. response:	Our eyes met!
context: - Here? - Right behind me! Lucky!\Isn't she cute?\- She's cute! - Right?\Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met! response:	Hey!
context: Isn't she cute?\- She's cute! - Right?\Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met!\Hey! response:	- Oh, there it is. - What are you doing?
context: - She's cute! - Right?\Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met!\Hey!\- Oh, there it is. - What are you doing? response:	Thaaat's not going to work.
context: Who is it?\What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met!\Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work. response:	- Isn't that Makita Yuuri? The girl you mentioned?
context: What was her name?\H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met!\Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned? response:	- Good morning. - Good morning.
context: H-Hold on... Yoshioka. It's Yoshioka.\- Yoshioka? - Yoshioka.\Our eyes met!\Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning. response:	- Good morning. - Good morning.
context: - Yoshioka? - Yoshioka.\Our eyes met!\Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning. response:	Hey, Makita. You were in class 1-5, right?
context: Our eyes met!\Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right? response:	You were Mikami's friend, too.
context: Hey!\- Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too. response:	He said there was a really cute girl named Makita in class 1-5.
context: - Oh, there it is. - What are you doing?\Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5. response:	I'm not that cute!
context: Thaaat's not going to work.\- Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute! response:	That was so cute just now!
context: - Isn't that Makita Yuuri? The girl you mentioned?\- Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now! response:	He even said she's-
context: - Good morning. - Good morning.\- Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now!\He even said she's- response:	Did you see those puppy dog eyes?
context: - Good morning. - Good morning.\Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now!\He even said she's-\Did you see those puppy dog eyes? response:	Why do guys like girls like Makita Yuuri?
context: Hey, Makita. You were in class 1-5, right?\You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now!\He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri? response:	It's like... she's stupid, or simple...
context: You were Mikami's friend, too.\He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now!\He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple... response:	It's not like she's cute enough to say it, right?
context: He said there was a really cute girl named Makita in class 1-5.\I'm not that cute!\That was so cute just now!\He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right? response:	Futaba, if you put a little work into being girly, you'd be popular.
context: I'm not that cute!\That was so cute just now!\He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular. response:	Actually, you're just not feminine enough.
context: That was so cute just now!\He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough. response:	It's fine, it's fine!
context: He even said she's-\Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine! response:	I'm bad with boys, anyway.
context: Did you see those puppy dog eyes?\Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway. response:	- What's with that way of putting it? - Right?
context: Why do guys like girls like Makita Yuuri?\It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right? response:	Futaba, have you been in love with someone before?
context: It's like... she's stupid, or simple...\It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before? response:	No! Never!
context: It's not like she's cute enough to say it, right?\Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never! response:	Hey, don't laugh! Don't laugh!
context: Futaba, if you put a little work into being girly, you'd be popular.\Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh! response:	I just lied to them.
context: Actually, you're just not feminine enough.\It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them. response:	I think friends come first.
context: It's fine, it's fine!\I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first. response:	But this is the second year of high school!
context: I'm bad with boys, anyway.\- What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first.\But this is the second year of high school! response:	In truth...
context: - What's with that way of putting it? - Right?\Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first.\But this is the second year of high school!\In truth... response:	You've got no manners.
context: Futaba, have you been in love with someone before?\No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first.\But this is the second year of high school!\In truth...\You've got no manners. response:	Tanaka-kun?
context: No! Never!\Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first.\But this is the second year of high school!\In truth...\You've got no manners.\Tanaka-kun? response:	Huh? He's the transfer student in our class, right?
context: Hey, don't laugh! Don't laugh!\I just lied to them.\I think friends come first.\But this is the second year of high school!\In truth...\You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right? response:	What is it, Futaba?
context: I just lied to them.\I think friends come first.\But this is the second year of high school!\In truth...\You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba? response:	Sorry, go on ahead!
context: I think friends come first.\But this is the second year of high school!\In truth...\You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead! response:	Hey!
context: But this is the second year of high school!\In truth...\You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead!\Hey! response:	- Tanaka-kun! - Mabuchi!
context: In truth...\You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi! response:	- Hey. - Mabuchi?
context: You've got no manners.\Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi? response:	- School supplies? - Yeah.
context: Tanaka-kun?\Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah. response:	Then I guess I'll go with you.
context: Huh? He's the transfer student in our class, right?\What is it, Futaba?\Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you. response:	That was close!
context: What is it, Futaba?\Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you.\That was close! response:	Somehow... I thought he looked like
context: Sorry, go on ahead!\Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like response:	the Tanaka-kun I knew when I was 13.
context: Hey!\- Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13. response:	The rain started pretty suddenly, didn't it?
context: - Tanaka-kun! - Mabuchi!\- Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it? response:	Tanaka-kun?
context: - Hey. - Mabuchi?\- School supplies? - Yeah.\Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun? response:	My name is Mabuchi.
context: - School supplies? - Yeah.\Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi. response:	I'm sorry! I made a mistake.
context: Then I guess I'll go with you.\That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake. response:	The rain started pretty suddenly, didn't it?
context: That was close!\Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it? response:	I knew it!
context: Somehow... I thought he looked like\the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it! response:	You're Tanaka-kun! Tanaka Kou-k-
context: the Tanaka-kun I knew when I was 13.\The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k- response:	I'm telling you, my name is Mabuchi.
context: The rain started pretty suddenly, didn't it?\Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi. response:	I'm Mabuchi Kou now.
context: Tanaka-kun?\My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now. response:	My parents got divorced.
context: My name is Mabuchi.\I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced. response:	I've been in Nagasaki ever since.
context: I'm sorry! I made a mistake.\The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since. response:	You're as dull as ever, aren't you?
context: The rain started pretty suddenly, didn't it?\I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you? response:	I wondered when you'd figure it out.
context: I knew it!\You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out. response:	Yeah, but... Tanaka-kun...
context: You're Tanaka-kun! Tanaka Kou-k-\I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun... response:	- you're completely different from bef-
context: I'm telling you, my name is Mabuchi.\I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef- response:	- Again, I'm Mabuchi.
context: I'm Mabuchi Kou now.\My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi. response:	Well, how about a reunion hug?
context: My parents got divorced.\I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug? response:	I won't! I will not do that!
context: I've been in Nagasaki ever since.\You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that! response:	Tanaka-kun wouldn't sa-
context: You're as dull as ever, aren't you?\I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa- response:	He's gone.
context: I wondered when you'd figure it out.\Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone. response:	Huh?
context: Yeah, but... Tanaka-kun...\- you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone.\Huh? response:	Tanaka Kou isn't here anymore.
context: - you're completely different from bef-\- Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone.\Huh?\Tanaka Kou isn't here anymore. response:	Why has he changed that much?
context: - Again, I'm Mabuchi.\Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone.\Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much? response:	Tanaka-kun wasn't the type to come on so strong...
context: Well, how about a reunion hug?\I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone.\Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong... response:	He smiled a lot, and was very kind.
context: I won't! I will not do that!\Tanaka-kun wouldn't sa-\He's gone.\Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind. response:	The rain started pretty suddenly, didn't it?
context: Tanaka-kun wouldn't sa-\He's gone.\Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it? response:	Ever since then,
context: He's gone.\Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then, response:	whenever our eyes met, we'd look away.
context: Huh?\Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away. response:	What's going on?
context: Tanaka Kou isn't here anymore.\Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away.\What's going on? response:	Cops and robbers. Want to join?
context: Why has he changed that much?\Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join? response:	Girls are playing, too?
context: Tanaka-kun wasn't the type to come on so strong...\He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join?\Girls are playing, too? response:	And in the first summer vacation of middle school...
context: He smiled a lot, and was very kind.\The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school... response:	Summer Festival
context: The rain started pretty suddenly, didn't it?\Ever since then,\whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival response:	7 o'clock.
context: Ever since then,\whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival\7 o'clock. response:	At the clock in Sankaku Park.
context: whenever our eyes met, we'd look away.\What's going on?\Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival\7 o'clock.\At the clock in Sankaku Park. response:	7 o'clock.
context: What's going on?\Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival\7 o'clock.\At the clock in Sankaku Park.\7 o'clock. response:	At the clock...
context: Cops and robbers. Want to join?\Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival\7 o'clock.\At the clock in Sankaku Park.\7 o'clock.\At the clock... response:	in Sankaku Park.
context: Girls are playing, too?\And in the first summer vacation of middle school...\Summer Festival\7 o'clock.\At the clock in Sankaku Park.\7 o'clock.\At the clock...\in Sankaku Park. response:	I'm pretty sure that's what I heard.
context: And in the first summer vacation of middle school...\Summer Festival\7 o'clock.\At the clock in Sankaku Park.\7 o'clock.\At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard. response:	But...
context: Summer Festival\7 o'clock.\At the clock in Sankaku Park.\7 o'clock.\At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard.\But... response:	Tanaka-kun never came.
context: 7 o'clock.\At the clock in Sankaku Park.\7 o'clock.\At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard.\But...\Tanaka-kun never came. response:	He never came to Sankaku Park, or to the festival.
context: At the clock in Sankaku Park.\7 o'clock.\At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard.\But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival. response:	Just like that, he never came.
context: 7 o'clock.\At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard.\But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came. response:	Not even to school when the new semester started.
context: At the clock...\in Sankaku Park.\I'm pretty sure that's what I heard.\But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started. response:	It'd be better if you had a bag, right?
context: in Sankaku Park.\I'm pretty sure that's what I heard.\But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right? response:	It looks like I'm all out right now, hold on. Sorry!
context: I'm pretty sure that's what I heard.\But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry! response:	It's okay!
context: But...\Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay! response:	Hey, you!
context: Tanaka-kun never came.\He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you! response:	Hold on! Money!
context: He never came to Sankaku Park, or to the festival.\Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you!\Hold on! Money! response:	Money!
context: Just like that, he never came.\Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you!\Hold on! Money!\Money! response:	I paid, though.
context: Not even to school when the new semester started.\It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you!\Hold on! Money!\Money!\I paid, though. response:	Don't try to fool me.
context: It'd be better if you had a bag, right?\It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you!\Hold on! Money!\Money!\I paid, though.\Don't try to fool me. response:	You were just trying to run off.
context: It looks like I'm all out right now, hold on. Sorry!\It's okay!\Hey, you!\Hold on! Money!\Money!\I paid, though.\Don't try to fool me.\You were just trying to run off. response:	No!
context: It's okay!\Hey, you!\Hold on! Money!\Money!\I paid, though.\Don't try to fool me.\You were just trying to run off.\No! response:	Seriously, what a slimy person.
context: Hey, you!\Hold on! Money!\Money!\I paid, though.\Don't try to fool me.\You were just trying to run off.\No!\Seriously, what a slimy person. response:	Hey, someone call the discipline officer!
context: Hold on! Money!\Money!\I paid, though.\Don't try to fool me.\You were just trying to run off.\No!\Seriously, what a slimy person.\Hey, someone call the discipline officer! response:	No... I did, right?
context: Money!\I paid, though.\Don't try to fool me.\You were just trying to run off.\No!\Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right? response:	Give it up, Futaba.
context: I paid, though.\Don't try to fool me.\You were just trying to run off.\No!\Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba. response:	Just apologize and pay her.
context: Don't try to fool me.\You were just trying to run off.\No!\Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba.\Just apologize and pay her. response:	Uh...
context: You were just trying to run off.\No!\Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba.\Just apologize and pay her.\Uh... response:	- Um... - She paid.
context: No!\Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba.\Just apologize and pay her.\Uh...\- Um... - She paid. response:	Huh?
context: Seriously, what a slimy person.\Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba.\Just apologize and pay her.\Uh...\- Um... - She paid.\Huh? response:	I saw it, too.
context: Hey, someone call the discipline officer!\No... I did, right?\Give it up, Futaba.\Just apologize and pay her.\Uh...\- Um... - She paid.\Huh?\I saw it, too. response:	Get out of my way.
context: No... I did, right?\Give it up, Futaba.\Just apologize and pay her.\Uh...\- Um... - She paid.\Huh?\I saw it, too.\Get out of my way. response:	Mabuchi is right. I saw it, too!
