context: In the beginning, I picked you up from here. response:	When I found you, you were barely moving.
context: I could have fully recovered in three days.\Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird. response:	Are you injured?
context: Who knew you'd take me home and apply yellowseed herbs on me?\Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird.\Are you injured? response:	You are so much like the one that flew away.
context: Even now, my wounds aren't healed yet.\But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird.\Are you injured?\You are so much like the one that flew away. response:	If you don't mind, then come home with me.
context: But you can't understand even if I tell you this.\You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird.\Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me. response:	This bird is so pitiful. I'm taking it home with me.
context: You can leave if you want.\But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird.\Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me. response:	To you, am I any different from this bird?
context: But if you really go, I won't have anyone to talk to anymore.\A kingfisher bird?\Little bird.\Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird? response:	You are an unmarried woman.
context: A kingfisher bird?\Little bird.\Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman. response:	Yet, you've shared the same bed
context: Little bird.\Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed response:	with the Celestial Tribe's Crown Prince for three months.
context: Are you injured?\You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months. response:	If I don't marry you
context: You are so much like the one that flew away.\If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you response:	I'm afraid nobody else would dare touch you.
context: If you don't mind, then come home with me.\This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you. response:	Golden Lion?
context: This bird is so pitiful. I'm taking it home with me.\To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion? response:	Your Highness.
context: To you, am I any different from this bird?\You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness. response:	You are still alive.
context: You are an unmarried woman.\Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness.\You are still alive. response:	Where have you been over the past 70,000 years?
context: Yet, you've shared the same bed\with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness.\You are still alive.\Where have you been over the past 70,000 years? response:	Your Highness, I left after Second Prince took the throne.
context: with the Celestial Tribe's Crown Prince for three months.\If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness.\You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne. response:	Why did you leave?
context: If I don't marry you\I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness.\You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave? response:	Have you seen Li Yuan?
context: I'm afraid nobody else would dare touch you.\Golden Lion?\Your Highness.\You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan? response:	Have you been searching for Eldest Prince the entire time?
context: Golden Lion?\Your Highness.\You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time? response:	Yes.
context: Your Highness.\You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes. response:	I have been searching for Li Yuan's whereabouts all these years.
context: You are still alive.\Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years. response:	Do you know where he is?
context: Where have you been over the past 70,000 years?\Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is? response:	Has Second Prince never told Your Highness?
context: Your Highness, I left after Second Prince took the throne.\Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness? response:	Told me what?
context: Why did you leave?\Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness?\Told me what? response:	I'm afraid he's the only one in this world who knows most clearly
context: Have you seen Li Yuan?\Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly response:	where Eldest Prince is.
context: Have you been searching for Eldest Prince the entire time?\Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is. response:	What do you mean by that?
context: Yes.\I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that? response:	The Ghost Lord personally led a rebellion 70,000 years ago
context: I have been searching for Li Yuan's whereabouts all these years.\Do you know where he is?\Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago response:	and had Eldest Prince imprisoned in the Arctic Lands.
context: Do you know where he is?\Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands. response:	Impossible.
context: Has Second Prince never told Your Highness?\Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible. response:	How is it impossible?
context: Told me what?\I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible? response:	Li Jing would never do that.
context: I'm afraid he's the only one in this world who knows most clearly\where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible?\Li Jing would never do that. response:	And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?
context: where Eldest Prince is.\What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands? response:	What did you say?
context: What do you mean by that?\The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say? response:	Li Yuan killed Li Jing's mother?
context: The Ghost Lord personally led a rebellion 70,000 years ago\and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother? response:	Do not say a word, Your Highness.
context: and had Eldest Prince imprisoned in the Arctic Lands.\Impossible.\How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness. response:	I can sense the scent of the Celestial Tribe.
context: Impossible.\How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe. response:	Celestial Tribe?
context: How is it impossible?\Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe? response:	You've brought a black snake into the city?
context: Li Jing would never do that.\And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city? response:	That is most taboo in Zhong Rong State.
context: And if it was Eldest Prince who killed Ghost Lord's mother with his own hands?\What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State. response:	You again?
context: What did you say?\Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again? response:	Miss, do you still remember me?
context: Li Yuan killed Li Jing's mother?\Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me? response:	You tried to steal my fan last time. Of course I remember you.
context: Do not say a word, Your Highness.\I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you. response:	You thoroughly humiliated me last time.
context: I can sense the scent of the Celestial Tribe.\Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time. response:	Even when I'm dreaming, I wake up with hatred.
context: Celestial Tribe?\You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred. response:	Luckily, I have come across you again today.
context: You've brought a black snake into the city?\That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today. response:	What do you want?
context: That is most taboo in Zhong Rong State.\You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want? response:	What is it?
context: You again?\Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want?\What is it? response:	What are you doing?
context: Miss, do you still remember me?\You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want?\What is it?\What are you doing? response:	- I'll show everyone what you have here! - Let go!
context: You tried to steal my fan last time. Of course I remember you.\You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want?\What is it?\What are you doing?\- I'll show everyone what you have here! - Let go! response:	He pushed that lady to the ground.
context: You thoroughly humiliated me last time.\Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want?\What is it?\What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground. response:	Everybody, come look! The witch is here again.
context: Even when I'm dreaming, I wake up with hatred.\Luckily, I have come across you again today.\What do you want?\What is it?\What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again. response:	Witch?
context: Luckily, I have come across you again today.\What do you want?\What is it?\What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch? response:	The other day, she and another witch stole my ancestor's heirloom.
context: What do you want?\What is it?\What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom. response:	For the sake of the city's people, I have not left
context: What is it?\What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left response:	just so I could one day reveal this witch's true colors
context: What are you doing?\- I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors response:	and show you all the truth!
context: - I'll show everyone what you have here! - Let go!\He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth! response:	This lady sure is unlucky for you to be so fixated on her.
context: He pushed that lady to the ground.\Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her. response:	Leaving aside stealing her fan a few days ago
context: Everybody, come look! The witch is here again.\Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago response:	you were even taught a lesson by a beautiful lady passing by.
context: Witch?\The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by. response:	What's the matter? Gone crazy? Come to cause a ruckus again?
context: The other day, she and another witch stole my ancestor's heirloom.\For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again? response:	Exactly.
context: For the sake of the city's people, I have not left\just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly. response:	Don't say I didn't tell you what is inside this basket.
context: just so I could one day reveal this witch's true colors\and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket. response:	Inside this is an evil... black snake!
context: and show you all the truth!\This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake! response:	- Black snake? - Black snake?
context: This lady sure is unlucky for you to be so fixated on her.\Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake? response:	A monster.
context: Leaving aside stealing her fan a few days ago\you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster. response:	What's the matter? Scared now?
context: you were even taught a lesson by a beautiful lady passing by.\What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster.\What's the matter? Scared now? response:	You lied to us last time.
context: What's the matter? Gone crazy? Come to cause a ruckus again?\Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster.\What's the matter? Scared now?\You lied to us last time. response:	Do you think we'll believe you because you say there's a black snake?
context: Exactly.\Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster.\What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake? response:	If you don't believe me, I'll lift this cloth and let you see.
context: Don't say I didn't tell you what is inside this basket.\Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster.\What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see. response:	No, no.
context: Inside this is an evil... black snake!\- Black snake? - Black snake?\A monster.\What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no. response:	It is only a small snake. It won't harm anyone.
context: - Black snake? - Black snake?\A monster.\What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone. response:	Miss, do you mean there really is a black snake in this basket?
context: A monster.\What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket? response:	Yes, but it is not some evil thing.
context: What's the matter? Scared now?\You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing. response:	There really is something evil in there!
context: You lied to us last time.\Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there! response:	- Burn it! - Burn it!
context: Do you think we'll believe you because you say there's a black snake?\If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it! response:	- No! - Burn it!
context: If you don't believe me, I'll lift this cloth and let you see.\No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it! response:	- Burn it! - Burn it!
context: No, no.\It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it! response:	- Burn it! - No!
context: It is only a small snake. It won't harm anyone.\Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No! response:	Burn it!
context: Miss, do you mean there really is a black snake in this basket?\Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No!\Burn it! response:	My ancestor's Monster Binding Rope has finally come to use today.
context: Yes, but it is not some evil thing.\There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today. response:	- Burn the black snake! - Burn it to death!
context: There really is something evil in there!\- Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death! response:	Burn it to death!
context: - Burn it! - Burn it!\- No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death! response:	- There really is a black snake! - Snake!
context: - No! - Burn it!\- Burn it! - Burn it!\- Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake! response:	- Burn it! - Kill it!
context: - Burn it! - Burn it!\- Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it! response:	Kill it!
context: - Burn it! - No!\Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it! response:	Kill it!
context: Burn it!\My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it!\Kill it! response:	- Kill the black snake! - Kill the witch!
context: My ancestor's Monster Binding Rope has finally come to use today.\- Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it!\Kill it!\- Kill the black snake! - Kill the witch! response:	How outrageous.
context: - Burn the black snake! - Burn it to death!\Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it!\Kill it!\- Kill the black snake! - Kill the witch!\How outrageous. response:	Calm down, Your Highness.
context: Burn it to death!\- There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it!\Kill it!\- Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness. response:	Look at what is inside the basket.
context: - There really is a black snake! - Snake!\- Burn it! - Kill it!\Kill it!\Kill it!\- Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness.\Look at what is inside the basket. response:	- Do not let her live! - Kill them!
context: - Burn it! - Kill it!\Kill it!\Kill it!\- Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them! response:	It's a dragon?
context: Kill it!\Kill it!\- Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon? response:	It's a dragon god!
context: Kill it!\- Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon?\It's a dragon god! response:	Dragon god!
context: - Kill the black snake! - Kill the witch!\How outrageous.\Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon?\It's a dragon god!\Dragon god! response:	- It's a dragon god! - It's really a dragon god!
context: How outrageous.\Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon?\It's a dragon god!\Dragon god!\- It's a dragon god! - It's really a dragon god! response:	- Dragon god! - Bless us!
context: Calm down, Your Highness.\Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon?\It's a dragon god!\Dragon god!\- It's a dragon god! - It's really a dragon god!\- Dragon god! - Bless us! response:	Bless us, dragon god!
context: Look at what is inside the basket.\- Do not let her live! - Kill them!\It's a dragon?\It's a dragon god!\Dragon god!\- It's a dragon god! - It's really a dragon god!\- Dragon god! - Bless us!\Bless us, dragon god! response:	You... You aren't a black snake?
context: - Do not let her live! - Kill them!\It's a dragon?\It's a dragon god!\Dragon god!\- It's a dragon god! - It's really a dragon god!\- Dragon god! - Bless us!\Bless us, dragon god!\You... You aren't a black snake? response:	In this world, only you would take me for a snake.
context: It's a dragon?\It's a dragon god!\Dragon god!\- It's a dragon god! - It's really a dragon god!\- Dragon god! - Bless us!\Bless us, dragon god!\You... You aren't a black snake?\In this world, only you would take me for a snake. response:	You've become so big. How will I take care of you from now on?
