context: How can this be? response:	My granddaughter Asseylum, assassinated,
context: To think that he should be taken from us in this manner...\We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there! response:	The Argyre... Its head!
context: We shall pray for the soul of our brave warrior.\On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there!\The Argyre... Its head! response:	Thank goodness you are unharmed, Sir Vlad!
context: On that note, did anyone witness his end?\What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad! response:	You call this unharmed?!
context: What should I do?\They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?! response:	My honor has been tarnished!
context: They knew Princess Asseylum was alive, and yet...\If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished! response:	Was your opponent that powerful?
context: If I do nothing, she really will be assassinated sooner or later.\I want it repaired immediately!\Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful? response:	No. I was made a fool of by some orange, impudent cur!
context: I want it repaired immediately!\Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur! response:	What are you doing here?
context: Don't just stand there!\The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here? response:	Should you not be at the Count's side?
context: The Argyre... Its head!\Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side? response:	I was disciplined. For speaking out of turn.
context: Thank goodness you are unharmed, Sir Vlad!\You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn. response:	Speaking out of turn?
context: You call this unharmed?!\My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn? response:	I said that I wished him to send me into battle, too.
context: My honor has been tarnished!\Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too. response:	You're just like them, I see.
context: Was your opponent that powerful?\No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see. response:	You're a Terran. Impudent.
context: No. I was made a fool of by some orange, impudent cur!\What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent. response:	You are that eager to distinguish yourself in battle and win favor?
context: What are you doing here?\Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor? response:	Pathetic.
context: Should you not be at the Count's side?\I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic. response:	It's not like that! I just...
context: I was disciplined. For speaking out of turn.\Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just... response:	Her Highness, I want to...
context: Speaking out of turn?\I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just...\Her Highness, I want to... response:	Pathetic.
context: I said that I wished him to send me into battle, too.\You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just...\Her Highness, I want to...\Pathetic. response:	Oh, I get it. This puts it on autopilot.
context: You're just like them, I see.\You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just...\Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot. response:	What are your names?
context: You're a Terran. Impudent.\You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just...\Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names? response:	Nina Klein.
context: You are that eager to distinguish yourself in battle and win favor?\Pathetic.\It's not like that! I just...\Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein. response:	I'm Yutaro Tsumugi.
context: Pathetic.\It's not like that! I just...\Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein.\I'm Yutaro Tsumugi. response:	Kisaki Matsuribi.
context: It's not like that! I just...\Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi. response:	Wait, are we going to be sent into battle?
context: Her Highness, I want to...\Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle? response:	No way. These are just supplementary lessons.
context: Pathetic.\Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons. response:	Just to cover our bases.
context: Oh, I get it. This puts it on autopilot.\What are your names?\Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases. response:	Gotcha.
context: What are your names?\Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha. response:	They're covering their bases...
context: Nina Klein.\I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha.\They're covering their bases... response:	You're the one who drove off the enemy Kataphrakt, Amifumi?
context: I'm Yutaro Tsumugi.\Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi? response:	Yes, Capt. Magbaredge!
context: Kisaki Matsuribi.\Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge! response:	Actually, it was this boy who planned the operation.
context: Wait, are we going to be sent into battle?\No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation. response:	Operation?
context: No way. These are just supplementary lessons.\Just to cover our bases.\Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation? response:	Go on!
context: Just to cover our bases.\Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation?\Go on! response:	I don't think it was elaborate enough to call an operation.
context: Gotcha.\They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation?\Go on!\I don't think it was elaborate enough to call an operation. response:	You were the pilot of that trainer?
context: They're covering their bases...\You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation?\Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer? response:	Yes, ma'am. I'm Inaho Kaizuka.
context: You're the one who drove off the enemy Kataphrakt, Amifumi?\Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation?\Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka. response:	Kaizuka?
context: Yes, Capt. Magbaredge!\Actually, it was this boy who planned the operation.\Operation?\Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka? response:	Yes, ma'am. Warrant Officer Kaizuka is my sister,
context: Actually, it was this boy who planned the operation.\Operation?\Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister, response:	That was fine work, Inaho.
context: Operation?\Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho. response:	Your efforts saved the lives of many of my crew, as well as the civilians.
context: Go on!\I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians. response:	Your sister must be proud.
context: I don't think it was elaborate enough to call an operation.\You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud. response:	If you were enlisted, I'd be tempted to put you in for commendations.
context: You were the pilot of that trainer?\Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations. response:	Commendations?
context: Yes, ma'am. I'm Inaho Kaizuka.\Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations? response:	Medals.
context: Kaizuka?\Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals. response:	That's amazing! We could get medals!
context: Yes, ma'am. Warrant Officer Kaizuka is my sister,\That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals.\That's amazing! We could get medals! response:	Amazing? Is it?
context: That was fine work, Inaho.\Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals.\That's amazing! We could get medals!\Amazing? Is it? response:	Of course it is! I've never seen anyone with a medal!
context: Your efforts saved the lives of many of my crew, as well as the civilians.\Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals.\That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal! response:	That's only because nobody's seen any real fighting for so long.
context: Your sister must be proud.\If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals.\That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long. response:	Instructor Marito!
context: If you were enlisted, I'd be tempted to put you in for commendations.\Commendations?\Medals.\That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito! response:	Instructor? Does this look like a school to you?
context: Commendations?\Medals.\That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you? response:	My apologies, Lt. Marito.
context: Medals.\That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito. response:	Medals are gonna be a whole lot more common soon.
context: That's amazing! We could get medals!\Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon. response:	We're in a war. Honor is about the only reward they can hand out.
context: Amazing? Is it?\Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out. response:	Well, dying for honor isn't such a bad thing.
context: Of course it is! I've never seen anyone with a medal!\That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing. response:	Because it's hard to survive and live in misery.
context: That's only because nobody's seen any real fighting for so long.\Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery. response:	Lt. Marito.
context: Instructor Marito!\Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito. response:	Do you have a moment?
context: Instructor? Does this look like a school to you?\My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito.\Do you have a moment? response:	Hanging out your shingle on a military boat, Doc?
context: My apologies, Lt. Marito.\Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito.\Do you have a moment?\Hanging out your shingle on a military boat, Doc? response:	Those who do not work do not eat.
context: Medals are gonna be a whole lot more common soon.\We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito.\Do you have a moment?\Hanging out your shingle on a military boat, Doc?\Those who do not work do not eat. response:	I can't say that I appreciate you shattering those kids' illusions, Lieutenant.
context: We're in a war. Honor is about the only reward they can hand out.\Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito.\Do you have a moment?\Hanging out your shingle on a military boat, Doc?\Those who do not work do not eat.\I can't say that I appreciate you shattering those kids' illusions, Lieutenant. response:	You aren't hitting the bottle, I see.
context: Well, dying for honor isn't such a bad thing.\Because it's hard to survive and live in misery.\Lt. Marito.\Do you have a moment?\Hanging out your shingle on a military boat, Doc?\Those who do not work do not eat.\I can't say that I appreciate you shattering those kids' illusions, Lieutenant.\You aren't hitting the bottle, I see. response:	I'm so touched that you trust me.
