context: My name is Shinka Nibutani. response:	I am a Year Two student at Icho Private High School.
context: Oh, Nibu. Morning!\Morning.\Morning. Morning.\Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure? response:	MATH Shinka Nibutani
context: Morning.\Morning. Morning.\Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani response:	Here.
context: Morning. Morning.\Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani\Here. response:	Thanks, Nibu!
context: Morning, everyone.\What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani\Here.\Thanks, Nibu! response:	I have no boyfriend. It's so lonely.
context: What? We had math homework?\Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani\Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely. response:	No straight-out copying, okay?
context: Haven't you done it either, Becky? I was counting on you.\Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani\Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay? response:	But to be honest, I'm not all that interested in romance right now.
context: Fukachi? Becky? Would you like to see my notes?\Are you sure?\MATH Shinka Nibutani\Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now. response:	Yeah, I know.
context: Are you sure?\MATH Shinka Nibutani\Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know. response:	Aren't these answers above your grade, Fukachi?
context: MATH Shinka Nibutani\Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi? response:	After all, I have a grand dream.
context: Here.\Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream. response:	What do you mean by that?
context: Thanks, Nibu!\I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that? response:	Yes, my grand dream.
context: I have no boyfriend. It's so lonely.\No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream. response:	A dream I want to become reality during my time in high school.
context: No straight-out copying, okay?\But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school. response:	STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY
context: But to be honest, I'm not all that interested in romance right now.\Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY response:	I'll tell you what it is.
context: Yeah, I know.\Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is. response:	Working for the student council work is very rewarding.
context: Aren't these answers above your grade, Fukachi?\After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding. response:	You devote yourself for benefit of everyone in the school.
context: After all, I have a grand dream.\What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school. response:	Would anyone like to be a candidate?
context: What do you mean by that?\Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate? response:	PRESIDENT OF THE STUDENT COUNCIL
context: Yes, my grand dream.\A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL response:	You can do it, Shinka!
context: A dream I want to become reality during my time in high school.\STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka! response:	Dreams can come true!
context: STUDENT COUNCIL ELECTION, PRESIDENT OF STUDENT COUNCIL, VICE-PRESIDENT, TREASURER, SECRETARY\I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true! response:	85TH ANNUAL STUDENT COUNCIL ELECTION
context: I'll tell you what it is.\Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION response:	I was going to stop there on the way home. What do you say?
context: Working for the student council work is very rewarding.\You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say? response:	Shinka Nibutani
context: You devote yourself for benefit of everyone in the school.\Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani response:	Backers?
context: Would anyone like to be a candidate?\PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers? response:	That's right.
context: PRESIDENT OF THE STUDENT COUNCIL\You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers?\That's right. response:	Would you write your name on this register?
context: You can do it, Shinka!\Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers?\That's right.\Would you write your name on this register? response:	I guess I could do that.
context: Dreams can come true!\85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers?\That's right.\Would you write your name on this register?\I guess I could do that. response:	The Election For President Of The Student Council (Queen Maker)... Of Purity
context: 85TH ANNUAL STUDENT COUNCIL ELECTION\I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers?\That's right.\Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity response:	Okay, thanks.
context: I was going to stop there on the way home. What do you say?\Shinka Nibutani\Backers?\That's right.\Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks. response:	School: Wicked Lord Shingan, S Class Name: Rikka Takanashi
context: Shinka Nibutani\Backers?\That's right.\Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi response:	What is that girl writing?
context: Backers?\That's right.\Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing? response:	Also, now that I'm a candidate...
context: That's right.\Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate... response:	You could at least remember the name of the club you belong to.
context: Would you write your name on this register?\I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to. response:	Image is important in an election.
context: I guess I could do that.\The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election. response:	If people knew I belonged to that club, it would harm my reputation.
context: The Election For President Of The Student Council (Queen Maker)... Of Purity\Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation. response:	Why the student council of all things?
context: Okay, thanks.\School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things? response:	Weren't you working hard in the theatre club?
context: School: Wicked Lord Shingan, S Class Name: Rikka Takanashi\What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club? response:	That place is lacking somehow.
context: What is that girl writing?\Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow. response:	Not again.
context: Also, now that I'm a candidate...\You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again. response:	I don't know what it is. The magnetic field?
context: You could at least remember the name of the club you belong to.\Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field? response:	The spiritual wavelength? It just doesn't feel right.
context: Image is important in an election.\If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right. response:	Maybe the guardian spirits are taking a different position on it.
context: If people knew I belonged to that club, it would harm my reputation.\Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it. response:	Can you hear yourself?
context: Why the student council of all things?\Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself? response:	Naturally, that has nothing to do with chunibyo!
context: Weren't you working hard in the theatre club?\That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo! response:	I was only speaking in general, that's all!
context: That place is lacking somehow.\Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all! response:	Well, I won't try to stop you.
context: Not again.\I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you. response:	But you keep going on about your reputation.
context: I don't know what it is. The magnetic field?\The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation. response:	People are already talking about you.
context: The spiritual wavelength? It just doesn't feel right.\Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you. response:	Like how you chased after a freshman, dressed as a witch.
context: Maybe the guardian spirits are taking a different position on it.\Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch. response:	And how you threatened a freshman with physical harm, dressed as a martian...
context: Can you hear yourself?\Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian... response:	They could think you're a complete weirdo.
context: Naturally, that has nothing to do with chunibyo!\I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo. response:	Those freshmen are all the one and the same!
context: I was only speaking in general, that's all!\Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same! response:	In other words, she is my only problem.
context: Well, I won't try to stop you.\But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem. response:	Sanae Dekomori, servant to Wicked Lord Shingan, is here!
context: But you keep going on about your reputation.\People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here! response:	I will defeat you today, once and for all!
context: People are already talking about you.\Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all! response:	Ow. Speak of the devil.
context: Like how you chased after a freshman, dressed as a witch.\And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil. response:	What were you secretly discussing?
context: And how you threatened a freshman with physical harm, dressed as a martian...\They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing? response:	I can only assume that you were plotting petty wickedness!
context: They could think you're a complete weirdo.\Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness! response:	Why would I do that?!
context: Those freshmen are all the one and the same!\In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?! response:	On this day, my attack power is doubled! Prepare yourself!
context: In other words, she is my only problem.\Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself! response:	Take this! The Mjolnir Megaton Hammer!
context: Sanae Dekomori, servant to Wicked Lord Shingan, is here!\I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer! response:	I already calculated your range.
context: I will defeat you today, once and for all!\Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range. response:	Nice try!
context: Ow. Speak of the devil.\What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try! response:	What?
context: What were you secretly discussing?\I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try!\What? response:	Did you see that? Now you are mine!
context: I can only assume that you were plotting petty wickedness!\Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try!\What?\Did you see that? Now you are mine! response:	What're you doing?
context: Why would I do that?!\On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try!\What?\Did you see that? Now you are mine!\What're you doing? response:	NURSE'S OFFICE
context: On this day, my attack power is doubled! Prepare yourself!\Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try!\What?\Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE response:	Do something!
context: Take this! The Mjolnir Megaton Hammer!\I already calculated your range.\Nice try!\What?\Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE\Do something! response:	Who, me?
context: I already calculated your range.\Nice try!\What?\Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE\Do something!\Who, me? response:	I'll be going from class to class...
context: Nice try!\What?\Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE\Do something!\Who, me?\I'll be going from class to class... response:	She'll be sure to interfere if she's around.
context: What?\Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE\Do something!\Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around. response:	So you say.
context: Did you see that? Now you are mine!\What're you doing?\NURSE'S OFFICE\Do something!\Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say. response:	You can do this.
context: What're you doing?\NURSE'S OFFICE\Do something!\Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say.\You can do this. response:	Just get Takanashi to tell that idiot to knock it off.
context: NURSE'S OFFICE\Do something!\Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off. response:	So you're telling me to ask Rikka?
context: Do something!\Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka? response:	You're her boyfriend, right? You're going out, right?
context: Who, me?\I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right? response:	Rikka, if you love me...
context: I'll be going from class to class...\She'll be sure to interfere if she's around.\So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me... response:	One little whisper, and she'll do it.
context: She'll be sure to interfere if she's around.\So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it. response:	I can't say that! And why the heck do I have to do that for you?!
context: So you say.\You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?! response:	Help me!
context: You can do this.\Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me! response:	I helped you lots when you told her how you felt about her.
context: Just get Takanashi to tell that idiot to knock it off.\So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her. response:	Sure, but nobody asked you to.
context: So you're telling me to ask Rikka?\You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to. response:	I went all the way to Rikka's parent's house to help you, didn't I?
context: You're her boyfriend, right? You're going out, right?\Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I? response:	Sure, but nobody asked you to.
context: Rikka, if you love me...\One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to. response:	And what about that last date?
context: One little whisper, and she'll do it.\I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date? response:	Nobody ever asked you to!
context: I can't say that! And why the heck do I have to do that for you?!\Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to! response:	Ghelzonianses.
context: Help me!\I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to!\Ghelzonianses. response:	Where did you hear that?
context: I helped you lots when you told her how you felt about her.\Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to!\Ghelzonianses.\Where did you hear that? response:	Takanashi said she found it among your notes the other day.
context: Sure, but nobody asked you to.\I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to!\Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day. response:	It's the Dark Flame Master's secondary form, right? Ghelzon...
context: I went all the way to Rikka's parent's house to help you, didn't I?\Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to!\Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon... response:	Stop it! In all of my dark history, that is uniquely embarrassing!
context: Sure, but nobody asked you to.\And what about that last date?\Nobody ever asked you to!\Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon...\Stop it! In all of my dark history, that is uniquely embarrassing! response:	Is it? Okay then...
context: And what about that last date?\Nobody ever asked you to!\Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon...\Stop it! In all of my dark history, that is uniquely embarrassing!\Is it? Okay then... response:	Far-East Magical Napping Society - Summer Thereof
context: Nobody ever asked you to!\Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon...\Stop it! In all of my dark history, that is uniquely embarrassing!\Is it? Okay then...\Far-East Magical Napping Society - Summer Thereof response:	Why am I doing this?
context: Ghelzonianses.\Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon...\Stop it! In all of my dark history, that is uniquely embarrassing!\Is it? Okay then...\Far-East Magical Napping Society - Summer Thereof\Why am I doing this? response:	Ooh, the Dark Flame Master has descended.
context: Where did you hear that?\Takanashi said she found it among your notes the other day.\It's the Dark Flame Master's secondary form, right? Ghelzon...\Stop it! In all of my dark history, that is uniquely embarrassing!\Is it? Okay then...\Far-East Magical Napping Society - Summer Thereof\Why am I doing this?\Ooh, the Dark Flame Master has descended. response:	It would appear, that due to the urging of the Wicked Lord Shingan...
