context: What? response:	Mesto Meadrich lost his Crest and his territories, you say?
context: The Lords of Clovis will be sure to give you an earful.\Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory. response:	All I wanted was a court rank high enough to govern my hometown.
context: Once I seize that Crest and land, it won't matter!\I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown. response:	In terms of court rank, you've likely met that goal.
context: I can take one wandering Lord in my sleep!\You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal. response:	Though I have no idea how big your village is.
context: You're telling me that all this territory is mine now?\The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is. response:	It's a small, impoverished town.
context: The three villages in this territory have recognized you as their Lord.\It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town. response:	We struggle just to survive there. And still, too many end up dying.
context: It seems they were being taxed too heavily.\There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying. response:	I couldn't take it anymore, so I left the island.
context: There's no need to collect taxes!\But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island. response:	And you see that as having fled your hometown?
context: But that's not how it works. You'll need funds to run your territory.\All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown? response:	Sometimes I feel that way.
context: All I wanted was a court rank high enough to govern my hometown.\In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way. response:	And you suspect that becoming stronger to save your village is just an excuse?
context: In terms of court rank, you've likely met that goal.\Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse? response:	You really are relentless.
context: Though I have no idea how big your village is.\It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless. response:	Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.
context: It's a small, impoverished town.\We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals. response:	And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.
context: We struggle just to survive there. And still, too many end up dying.\I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you. response:	What are the neighboring Lords up to?
context: I couldn't take it anymore, so I left the island.\And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to? response:	Most likely, they're all vying to be the first to seize this land.
context: And you see that as having fled your hometown?\Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land. response:	Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.
context: Sometimes I feel that way.\And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces. response:	So tell me...
context: And you suspect that becoming stronger to save your village is just an excuse?\You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me... response:	Who do you think will make the first move?
context: You really are relentless.\Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move? response:	The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.
context: Well, that sets my mind at ease a little. I'll stoop to any means to achieve my goals.\And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think. response:	Although he's of modest means, he's extremely ambitious.
context: And if you were the overly scrupulous type, Lord Theo, that might not sit well with you.\What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious. response:	He's already bolstered his troops for battle, and even hired some mercenaries.
context: What are the neighboring Lords up to?\Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries. response:	Should we bring in some mercenaries of our own?
context: Most likely, they're all vying to be the first to seize this land.\Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own? response:	No.
context: Well, I'd be worried otherwise. We wouldn't stand a chance if they joined forces.\So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No. response:	Under these circumstances, I doubt anyone decent would show up.
context: So tell me...\Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up. response:	I'm not crazy about the idea, but I'm considering calling a friend.
context: Who do you think will make the first move?\The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend. response:	Lady Siluca, you have friends?
context: The Lord whose territory lies to the east. The ruler of Savis, Lassic David, I would think.\Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends? response:	Of course I do! Don't look so surprised.
context: Although he's of modest means, he's extremely ambitious.\He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised. response:	I want you to continue monitoring our territory and what's brewing nearby.
context: He's already bolstered his troops for battle, and even hired some mercenaries.\Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby. response:	You may not have time to rest, but I'm counting on you.
context: Should we bring in some mercenaries of our own?\No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you. response:	I accepted that the moment I decided to serve you, Lady Siluca.
context: No.\Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca. response:	Because I knew you'd run me into the ground.
context: Under these circumstances, I doubt anyone decent would show up.\I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground. response:	Thanks.
context: I'm not crazy about the idea, but I'm considering calling a friend.\Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks. response:	Now then...
context: Lady Siluca, you have friends?\Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks.\Now then... response:	Our worlds exist infinitely, and shall never intersect.
context: Of course I do! Don't look so surprised.\I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect. response:	Still, dimensions will distort, casting a shadow onto a parallel world.
context: I want you to continue monitoring our territory and what's brewing nearby.\You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world. response:	Converge!
context: You may not have time to rest, but I'm counting on you.\I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge! response:	Cait Sith of TIr Na nOg!
context: I accepted that the moment I decided to serve you, Lady Siluca.\Because I knew you'd run me into the ground.\Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg! response:	Long time no see.
context: Because I knew you'd run me into the ground.\Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg!\Long time no see. response:	It's been a long time, Sir Balgary.
context: Thanks.\Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary. response:	I grant you permission to pick me up.
context: Now then...\Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up. response:	And to rub me behind my ears.
context: Our worlds exist infinitely, and shall never intersect.\Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears. response:	I am honored.
context: Still, dimensions will distort, casting a shadow onto a parallel world.\Converge!\Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears.\I am honored. response:	So why did you summon me?
context: Converge!\Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears.\I am honored.\So why did you summon me? response:	I want you to deliver a message to Aishela for her to come here.
context: Cait Sith of TIr Na nOg!\Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears.\I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here. response:	Aishela?
context: Long time no see.\It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears.\I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela? response:	That woman makes me uncomfortable.
context: It's been a long time, Sir Balgary.\I grant you permission to pick me up.\And to rub me behind my ears.\I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable. response:	I am aware of that.
context: I grant you permission to pick me up.\And to rub me behind my ears.\I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable.\I am aware of that. response:	But I will thank you with all your favorite foods on your return.
context: And to rub me behind my ears.\I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return. response:	That so?
context: I am honored.\So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return.\That so? response:	In that case, I shall carry out your wish.
context: So why did you summon me?\I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish. response:	I see things look pretty hectic here.
context: I want you to deliver a message to Aishela for her to come here.\Aishela?\That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here. response:	Well, since there's no telling when a neighboring Lord will attack us, so...
context: Aishela?\That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so... response:	What's your intention in all this, exactly?
context: That woman makes me uncomfortable.\I am aware of that.\But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly? response:	I sort of get that you didn't want to enter a contract with the Lord of Artuk.
context: I am aware of that.\But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk. response:	Truth is, I didn't want a contract with anybody.
context: But I will thank you with all your favorite foods on your return.\That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody. response:	Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.
context: That so?\In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war. response:	I believe that whoever completes the Emperor's Holy Seal,
context: In that case, I shall carry out your wish.\I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal, response:	and restores order to this world...
context: I see things look pretty hectic here.\Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world... response:	You mean the legendary hero?
context: Well, since there's no telling when a neighboring Lord will attack us, so...\What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero? response:	Yes. A Lord like Leon, who will never lose sight of his ideals.
context: What's your intention in all this, exactly?\I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals. response:	That's who I wish to serve.
context: I sort of get that you didn't want to enter a contract with the Lord of Artuk.\Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve. response:	Well, but my ideals are pretty trivial.
context: Truth is, I didn't want a contract with anybody.\Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial. response:	Trivial?
context: Those Lords always lust for Crests and power, so it's a vicious cycle of conspiracy and war.\I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial? response:	Wanting to bring bliss to an entire village is not trivial at all.
context: I believe that whoever completes the Emperor's Holy Seal,\and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all. response:	And my goal is to make sure that happens.
context: and restores order to this world...\You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens. response:	And what's in it for you?
context: You mean the legendary hero?\Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you? response:	The chance to revel in my own talent!
context: Yes. A Lord like Leon, who will never lose sight of his ideals.\That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent! response:	Even after I've gained power, and I never forget my ideals, you'll be fine with that?
context: That's who I wish to serve.\Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that? response:	That will do!
context: Well, but my ideals are pretty trivial.\Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do! response:	I'll take care of the rest.
context: Trivial?\Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest. response:	What is it?
context: Wanting to bring bliss to an entire village is not trivial at all.\And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest.\What is it? response:	Nothing. I'll leave everything to you.
context: And my goal is to make sure that happens.\And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you. response:	I'll do whatever you say.
context: And what's in it for you?\The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say. response:	Thank you very much.
context: The chance to revel in my own talent!\Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much. response:	At last, the first step toward my ambition!
context: Even after I've gained power, and I never forget my ideals, you'll be fine with that?\That will do!\I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition! response:	The enemy seized Meadrich's castle with scant numbers.
context: That will do!\I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers. response:	I'm sure they've got some skilled ones on their side.
context: I'll take care of the rest.\What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side. response:	If we're talking sword skills, I'm no slouch either!
context: What is it?\Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either! response:	Behold the might of these fifty expert troops I've trained.
