context: Modern Shogi Famous Matches Chosen by Shogi Players response:	So bright...
context: Today's game is in the sixth block of the Lion King tournament.\My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country response:	participate in a number of small tournaments like this.
context: My opponent is Harunobu Nikaidou.\It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this. response:	Harunobu and I were regulars at events like that,
context: It's almost summer vacation.\This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that, response:	so we'd already met many times.
context: This is my first game after becoming a professional player.\Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times. response:	Children's Shogi Tournament
context: Harunobu\When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament response:	What grade was I in at that time?
context: When summer vacation hits, shogi tournaments for children\are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time? response:	It was terribly hot at that event, and I was facing Harunobu in the semifinals.
context: are held on the roof of a department store.\Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals. response:	It really was hellishly hot that day.
context: Before joining the federation, strong kids from around the country\participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day. response:	He couldn't handle the heat well, and was so flushed he looked like a red ogre,
context: participate in a number of small tournaments like this.\Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre, response:	and looked like he was in pain.
context: Harunobu and I were regulars at events like that,\so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain. response:	Looking at him made me feel terrible as well.
context: so we'd already met many times.\Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well. response:	In the afternoon, the wind died down,
context: Children's Shogi Tournament\What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down, response:	while the temperature kept climbing.
context: What grade was I in at that time?\It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing. response:	I think he was anemic.
context: It was terribly hot at that event, and I was facing Harunobu in the semifinals.\It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic. response:	His face was getting paler by the minute.
context: It really was hellishly hot that day.\He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute. response:	Maybe it was an arrogant thought...
context: He couldn't handle the heat well, and was so flushed he looked like a red ogre,\and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought... response:	I thought I should get the boy sitting in front of me
context: and looked like he was in pain.\Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me response:	into a cool, air-conditioned room as soon as possible.
context: Looking at him made me feel terrible as well.\In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible. response:	However...
context: In the afternoon, the wind died down,\while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However... response:	he put every piece he had into his army, and began a desperate act of resistance.
context: while the temperature kept climbing.\I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance. response:	A silent scream escaped out of his sweaty, pale face.
context: I think he was anemic.\His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face. response:	I don't want to lose.
context: His face was getting paler by the minute.\Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose. response:	I don't want to lose.
context: Maybe it was an arrogant thought...\I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose. response:	I don't want to lose.
context: I thought I should get the boy sitting in front of me\into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose.\I don't want to lose. response:	I don't want to lose.
context: into a cool, air-conditioned room as soon as possible.\However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose. response:	I don't want to lose.
context: However...\he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose. response:	In that moment, I was ashamed of my arrogance.
context: he put every piece he had into his army, and began a desperate act of resistance.\A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance. response:	I don't want to lose.
context: A silent scream escaped out of his sweaty, pale face.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose. response:	The human sitting in front of me, drenched in sweat and reeling from the sun,
context: I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun, response:	was here because he wanted to win.
context: I don't want to lose.\I don't want to lose.\I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win. response:	I don't want to lose!
context: I don't want to lose.\I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose! response:	But it was something that couldn't be helped.
context: I don't want to lose.\I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped. response:	Just like me...
context: I don't want to lose.\In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped.\Just like me... response:	The victory was already mine.
context: In that moment, I was ashamed of my arrogance.\I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped.\Just like me...\The victory was already mine. response:	But he struggled on, one move at a time, searching for a path that couldn't be found.
context: I don't want to lose.\The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped.\Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found. response:	However, he finally ran out of moves.
context: The human sitting in front of me, drenched in sweat and reeling from the sun,\was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped.\Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves. response:	No matter how closely he looked,
context: was here because he wanted to win.\I don't want to lose!\But it was something that couldn't be helped.\Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked, response:	there was no path for his king to survive.
context: I don't want to lose!\But it was something that couldn't be helped.\Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive. response:	I lost.
context: But it was something that couldn't be helped.\Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive.\I lost. response:	After muttering that, he began to shed great big tears, just like in a manga.
context: Just like me...\The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga. response:	Amid the crying of the cicadas and the department store's background music,
context: The victory was already mine.\But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music, response:	I silently gazed at him.
context: But he struggled on, one move at a time, searching for a path that couldn't be found.\However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him. response:	It would be the face I'd probably be sitting across for decades to come.
context: However, he finally ran out of moves.\No matter how closely he looked,\there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come. response:	Becoming a pro...
context: No matter how closely he looked,\there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro... response:	You can never get off of it.
context: there was no path for his king to survive.\I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it. response:	Not until you lose and fall off.
context: I lost.\After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it.\Not until you lose and fall off. response:	In this small universe,
context: After muttering that, he began to shed great big tears, just like in a manga.\Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it.\Not until you lose and fall off.\In this small universe, response:	it's an endless cycle of winning and losing until you start losing your mind.
context: Amid the crying of the cicadas and the department store's background music,\I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it.\Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind. response:	As you gasp, I don't want to lose.
context: I silently gazed at him.\It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it.\Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose. response:	Hey, Kiriyama.
context: It would be the face I'd probably be sitting across for decades to come.\Becoming a pro...\You can never get off of it.\Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama. response:	Go take a peek.
context: Becoming a pro...\You can never get off of it.\Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek. response:	Your rival is waiting for you with incredible spirit!
context: You can never get off of it.\Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit! response:	The calm mind is the way.
context: Not until you lose and fall off.\In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way. response:	CHUBBY
context: In this small universe,\it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY response:	BOOM
context: it's an endless cycle of winning and losing until you start losing your mind.\As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY\BOOM response:	Right?
context: As you gasp, I don't want to lose.\Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY\BOOM\Right? response:	He's giving off so much fighting spirit that it's like an entirely different manga.
context: Hey, Kiriyama.\Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY\BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga. response:	It's like, Next chapter, it's either checkmate or be checkmated!
context: Go take a peek.\Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY\BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated! response:	I envy you, Kiriyama!
context: Your rival is waiting for you with incredible spirit!\The calm mind is the way.\CHUBBY\BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama! response:	Excite Excite
context: The calm mind is the way.\CHUBBY\BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite response:	Look at that fighting spirit. That's all for you.
context: CHUBBY\BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you. response:	He said he was your lifelong rival!
context: BOOM\Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival! response:	Calm down.
context: Right?\He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down. response:	First, breathe in slowly.
context: He's giving off so much fighting spirit that it's like an entirely different manga.\It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down.\First, breathe in slowly. response:	Shallow breaths will narrow my field of vision.
context: It's like, Next chapter, it's either checkmate or be checkmated!\I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision. response:	CHUBBY (Actually, GRIN)
context: I envy you, Kiriyama!\Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN) response:	You're late, Kiriyama! I got tired of waiting for you.
context: Excite Excite\Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you. response:	I came at the appointed time.
context: Look at that fighting spirit. That's all for you.\He said he was your lifelong rival!\Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time. response:	You're the one who arrived early, Nikaidou. Geez.
context: He said he was your lifelong rival!\Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez. response:	Right.
context: Calm down.\First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right. response:	I guess my enthusiasm got the better of me.
context: First, breathe in slowly.\Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me. response:	Okay.
context: Shallow breaths will narrow my field of vision.\CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me.\Okay. response:	Shall we begin?
context: CHUBBY (Actually, GRIN)\You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me.\Okay.\Shall we begin? response:	KNIGHT
context: You're late, Kiriyama! I got tired of waiting for you.\I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me.\Okay.\Shall we begin?\KNIGHT response:	2 - e - Knight. There it is.
context: I came at the appointed time.\You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me.\Okay.\Shall we begin?\KNIGHT\2 - e - Knight. There it is. response:	2 - d - Silver General.
context: You're the one who arrived early, Nikaidou. Geez.\Right.\I guess my enthusiasm got the better of me.\Okay.\Shall we begin?\KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General. response:	Same, Silver General.
context: Right.\I guess my enthusiasm got the better of me.\Okay.\Shall we begin?\KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General. response:	He's gotten stronger.
context: I guess my enthusiasm got the better of me.\Okay.\Shall we begin?\KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General.\He's gotten stronger. response:	He's slowly but steadily attacking me.
context: Okay.\Shall we begin?\KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me. response:	No good. I won't get anywhere by just being on the defense.
context: Shall we begin?\KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense. response:	I have to change the flow.
context: KNIGHT\2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow. response:	PAWN
context: 2 - e - Knight. There it is.\2 - d - Silver General.\Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN response:	Sweat...
context: 2 - d - Silver General.\Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN\Sweat... response:	It's the same as that time.
context: Same, Silver General.\He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN\Sweat...\It's the same as that time. response:	He looks pale.
context: He's gotten stronger.\He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN\Sweat...\It's the same as that time.\He looks pale. response:	Something's wrong with Nikaidou.
context: He's slowly but steadily attacking me.\No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN\Sweat...\It's the same as that time.\He looks pale.\Something's wrong with Nikaidou. response:	Excuse me, is the air conditioning working?
context: No good. I won't get anywhere by just being on the defense.\I have to change the flow.\PAWN\Sweat...\It's the same as that time.\He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working? response:	I'm sorry. Something seems to be wrong with it lately.
context: I have to change the flow.\PAWN\Sweat...\It's the same as that time.\He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately. response:	It's okay, Kiriyama!
context: PAWN\Sweat...\It's the same as that time.\He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama! response:	It's heaven compared to the roof of that department store.
context: Sweat...\It's the same as that time.\He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store. response:	Let's continue!
context: It's the same as that time.\He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue! response:	LANCE
context: He looks pale.\Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue!\LANCE response:	He's coming in where I don't have pawns.
context: Something's wrong with Nikaidou.\Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue!\LANCE\He's coming in where I don't have pawns. response:	Then I'll do this.
context: Excuse me, is the air conditioning working?\I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue!\LANCE\He's coming in where I don't have pawns.\Then I'll do this. response:	Silver General
context: I'm sorry. Something seems to be wrong with it lately.\It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue!\LANCE\He's coming in where I don't have pawns.\Then I'll do this.\Silver General response:	What?!
context: It's okay, Kiriyama!\It's heaven compared to the roof of that department store.\Let's continue!\LANCE\He's coming in where I don't have pawns.\Then I'll do this.\Silver General\What?! response:	6 - h - Silver General?
context: It's heaven compared to the roof of that department store.\Let's continue!\LANCE\He's coming in where I don't have pawns.\Then I'll do this.\Silver General\What?!\6 - h - Silver General? response:	Silver General
context: Let's continue!\LANCE\He's coming in where I don't have pawns.\Then I'll do this.\Silver General\What?!\6 - h - Silver General?\Silver General response:	Instead of taking gold, he moved silver?
context: LANCE\He's coming in where I don't have pawns.\Then I'll do this.\Silver General\What?!\6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver? response:	What?
context: He's coming in where I don't have pawns.\Then I'll do this.\Silver General\What?!\6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver?\What? response:	What is this?
context: Then I'll do this.\Silver General\What?!\6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver?\What?\What is this? response:	Okay.
context: Silver General\What?!\6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver?\What?\What is this?\Okay. response:	I don't want to lose.
context: What?!\6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver?\What?\What is this?\Okay.\I don't want to lose. response:	I don't want to lose either.
context: 6 - h - Silver General?\Silver General\Instead of taking gold, he moved silver?\What?\What is this?\Okay.\I don't want to lose.\I don't want to lose either. response:	Calm down. Take deep breaths.
context: Silver General\Instead of taking gold, he moved silver?\What?\What is this?\Okay.\I don't want to lose.\I don't want to lose either.\Calm down. Take deep breaths. response:	Expand your field of vision.
context: Instead of taking gold, he moved silver?\What?\What is this?\Okay.\I don't want to lose.\I don't want to lose either.\Calm down. Take deep breaths.\Expand your field of vision. response:	As long as I keep my composure, this board should be in my favor.
context: What?\What is this?\Okay.\I don't want to lose.\I don't want to lose either.\Calm down. Take deep breaths.\Expand your field of vision.\As long as I keep my composure, this board should be in my favor. response:	Calm down and keep playing.
context: What is this?\Okay.\I don't want to lose.\I don't want to lose either.\Calm down. Take deep breaths.\Expand your field of vision.\As long as I keep my composure, this board should be in my favor.\Calm down and keep playing. response:	SHOGI HALL
