context: Black Mist response:	After our class came back from the trip,
context: Timeline? Is it that scroll you always use?\The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring. response:	Scroll, scroll...
context: The green one.\Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll... response:	Where could that long thing have gone?
context: Yes.\That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone? response:	It would stand out if it had fallen on the floor.
context: That's right. What should I do? It'll be troublesome if I don't have it.\What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor. response:	I've got it!
context: What's been going on recently?\These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it! response:	PING
context: These incidents keep happening...\Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it!\PING response:	Teacher, I might know where it is!
context: Is it just my imagination? She looks like she's lost a lot of weight.\I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it!\PING\Teacher, I might know where it is! response:	- Huh? Ms. Kawamoto! - I'll be right back!
context: I'll just have to do without it. Oh, the bell's about to ring.\Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it!\PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back! response:	WHIZ
context: Scroll, scroll...\Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it!\PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ response:	That's right. Now, even the black mood
context: Where could that long thing have gone?\It would stand out if it had fallen on the floor.\I've got it!\PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood response:	that was taking hold of the class had tried to engulf the teacher.
context: It would stand out if it had fallen on the floor.\I've got it!\PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher. response:	Teacher!
context: I've got it!\PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher! response:	Oh, thank goodness. Where was it?
context: PING\Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it? response:	It was mixed in with the historical timelines in the social studies room.
context: Teacher, I might know where it is!\- Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room. response:	You found it for me. Thank you, Ms. Kawamoto.
context: - Huh? Ms. Kawamoto! - I'll be right back!\WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto. response:	I'm impressed you figured it out.
context: WHIZ\That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out. response:	Oh, I thought they all had the same shape, so...
context: That's right. Now, even the black mood\that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so... response:	Brown-noser.
context: that was taking hold of the class had tried to engulf the teacher.\Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser. response:	That's what she says, but Kawamoto is probably the one who hid it.
context: Teacher!\Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it. response:	That was Ms. Takagi's voice.
context: Oh, thank goodness. Where was it?\It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice. response:	Would you stop muttering insults about me that are just loud enough for me to hear?
context: It was mixed in with the historical timelines in the social studies room.\You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear? response:	Ms. Takagi.
context: You found it for me. Thank you, Ms. Kawamoto.\I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi. response:	Huh?
context: I'm impressed you figured it out.\Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh? response:	Excuse me?
context: Oh, I thought they all had the same shape, so...\Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh?\Excuse me? response:	Did I say something?
context: Brown-noser.\That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh?\Excuse me?\Did I say something? response:	Don't, Ms. Kawamoto!
context: That's what she says, but Kawamoto is probably the one who hid it.\That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh?\Excuse me?\Did I say something?\Don't, Ms. Kawamoto! response:	Did you think I was going to hit you?
context: That was Ms. Takagi's voice.\Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh?\Excuse me?\Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you? response:	Of course I wouldn't do that.
context: Would you stop muttering insults about me that are just loud enough for me to hear?\Ms. Takagi.\Huh?\Excuse me?\Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that. response:	Because that would be playing right into your hands.
context: Ms. Takagi.\Huh?\Excuse me?\Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands. response:	Answer me.
context: Huh?\Excuse me?\Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me. response:	What do you mean, I hid it?
context: Excuse me?\Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it? response:	Please, Ms. Kawamoto...
context: Did I say something?\Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto... response:	Why did you say that?
context: Don't, Ms. Kawamoto!\Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that? response:	Ms. Kawamoto, stop it!
context: Did you think I was going to hit you?\Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it! response:	Teacher, you heard what she said, didn't you?
context: Of course I wouldn't do that.\Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you? response:	Why are you stopping me?
context: Because that would be playing right into your hands.\Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me? response:	Do you think I'm the one who hid it?
context: Answer me.\What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it? response:	Stop it, already!
context: What do you mean, I hid it?\Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already! response:	Do not raise your voice!
context: Please, Ms. Kawamoto...\Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice! response:	What should I do?
context: Why did you say that?\Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice!\What should I do? response:	Even I can imagine what happened.
context: Ms. Kawamoto, stop it!\Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice!\What should I do?\Even I can imagine what happened. response:	I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?
context: Teacher, you heard what she said, didn't you?\Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice!\What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right? response:	But so what?!
context: Why are you stopping me?\Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice!\What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?! response:	There's no proof.
context: Do you think I'm the one who hid it?\Stop it, already!\Do not raise your voice!\What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof. response:	So how am I supposed to prove it?!
context: Stop it, already!\Do not raise your voice!\What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof.\So how am I supposed to prove it?! response:	I've had enough. I can't take it anymore.
context: Do not raise your voice!\What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore. response:	Don't get me involved.
context: What should I do?\Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved. response:	Every year, every single year...
context: Even I can imagine what happened.\I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year... response:	The students change, but every time, there's someone who gets left out and bullied.
context: I'm sure Ms. Takagi and her friends hid it and then blamed Ms. Kawamoto, right?\But so what?!\There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied. response:	And I'm just sick of it.
context: But so what?!\There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it. response:	How can you have so much free time to be harassing your classmates?
context: There's no proof.\So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates? response:	Are you stupid?
context: So how am I supposed to prove it?!\I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid? response:	Tell me, Ms. Takagi, how is it that you have that much free time?
context: I've had enough. I can't take it anymore.\Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time? response:	Stop torturing your classmates and study more!
context: Don't get me involved.\Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more! response:	In the first place, who do you think you are?
context: Every year, every single year...\The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are? response:	Involving everyone else in your nonsense...
context: The students change, but every time, there's someone who gets left out and bullied.\And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense... response:	Think about how you're disrupting the class. Everyone's studying for entrance exams!
context: And I'm just sick of it.\How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams! response:	Do you understand?
context: How can you have so much free time to be harassing your classmates?\Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand? response:	As if a dam had burst, Teacher kept talking. But her words became less articulate.
context: Are you stupid?\Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate. response:	After falling silent for a while...
context: Tell me, Ms. Takagi, how is it that you have that much free time?\Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while... response:	Her face darkened...
context: Stop torturing your classmates and study more!\In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened... response:	and she collapsed.
context: In the first place, who do you think you are?\Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened...\and she collapsed. response:	She never returned to school after that.
context: Involving everyone else in your nonsense...\Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened...\and she collapsed.\She never returned to school after that. response:	It was announced that she had been hospitalized due to anxiety.
context: Think about how you're disrupting the class. Everyone's studying for entrance exams!\Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened...\and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety. response:	What? So Teacher's become a shut-in?
context: Do you understand?\As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened...\and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in? response:	Unbelievable. What's going to happen to our class?
context: As if a dam had burst, Teacher kept talking. But her words became less articulate.\After falling silent for a while...\Her face darkened...\and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class? response:	And we've got entrance exams.
context: After falling silent for a while...\Her face darkened...\and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams. response:	This is a royal pain.
context: Her face darkened...\and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain. response:	And like, whose fault is it?
context: and she collapsed.\She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain.\And like, whose fault is it? response:	And so, until your new homeroom teacher is decided, I'll be teaching this class from today.
context: She never returned to school after that.\It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today. response:	I'm Mr. Kokubu, the head teacher.
context: It was announced that she had been hospitalized due to anxiety.\What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher. response:	July 10th (Thursday) On Duty
context: What? So Teacher's become a shut-in?\Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty response:	It's almost summer vacation.
context: Unbelievable. What's going to happen to our class?\And we've got entrance exams.\This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation. response:	For you third-years taking high school entrance exams soon,
context: And we've got entrance exams.\This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon, response:	you understand that how you spend this summer break
context: This is a royal pain.\And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break response:	will result in a turning point, right?
context: And like, whose fault is it?\And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right? response:	It's unfortunate for you to have a change in homeroom teachers during this period.
context: And so, until your new homeroom teacher is decided, I'll be teaching this class from today.\I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period. response:	Plus, I heard some of you complaining.
context: I'm Mr. Kokubu, the head teacher.\July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining. response:	But there was bullying so bad in here that a student transferred to another school,
context: July 10th (Thursday) On Duty\It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school, response:	and yet, out of 38 kids, no one raised their voice except certain people.
context: It's almost summer vacation.\For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people. response:	So this is the price you're paying for ignoring it.
context: For you third-years taking high school entrance exams soon,\you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it. response:	That being said, before summer vacation, I'd like to resolve this to some extent,
context: you understand that how you spend this summer break\will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent, response:	so I'll be talking to you individually.
context: will result in a turning point, right?\It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually. response:	First Takagi, and then Kawamoto.
context: It's unfortunate for you to have a change in homeroom teachers during this period.\Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto. response:	The new homeroom teacher's clear, reasonable manner of speaking
