context: Who? Who is calling me? response:	Ah
context: Even so the stomping was noisy.\I was just walking normally.\Just from you walking\it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school. response:	He's always picking on me.
context: I was just walking normally.\Just from you walking\it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me. response:	Just because he is a little taller.
context: Just from you walking\it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller. response:	I can't stand it.
context: it sounds like a monster is stomping.\I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller.\I can't stand it. response:	Someday
context: I'm not a monster!\This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller.\I can't stand it.\Someday response:	I'll be as big as a utility pole'
context: This bully is my big brother Touya.\He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller.\I can't stand it.\Someday\I'll be as big as a utility pole' response:	I'll stomp on him.
context: He is a junior in high school.\He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller.\I can't stand it.\Someday\I'll be as big as a utility pole'\I'll stomp on him. response:	Getting along well as always in the morning.
context: He goes to Seijou High which is right next to my school.\He's always picking on me.\Just because he is a little taller.\I can't stand it.\Someday\I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning. response:	This is my father Fujitaka.
context: He's always picking on me.\Just because he is a little taller.\I can't stand it.\Someday\I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka. response:	He is a college archaeology professor.
context: Just because he is a little taller.\I can't stand it.\Someday\I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor. response:	He is good at cooking and sewing.
context: I can't stand it.\Someday\I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing. response:	I love him.
context: Someday\I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing.\I love him. response:	Here you go.
context: I'll be as big as a utility pole'\I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing.\I love him.\Here you go. response:	It looks delicious.
context: I'll stomp on him.\Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing.\I love him.\Here you go.\It looks delicious. response:	Thanks for the food.
context: Getting along well as always in the morning.\This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing.\I love him.\Here you go.\It looks delicious.\Thanks for the food. response:	This is my family.
context: This is my father Fujitaka.\He is a college archaeology professor.\He is good at cooking and sewing.\I love him.\Here you go.\It looks delicious.\Thanks for the food.\This is my family. response:	What? My mother?
context: He is a college archaeology professor.\He is good at cooking and sewing.\I love him.\Here you go.\It looks delicious.\Thanks for the food.\This is my family.\What? My mother? response:	My mother passed away when I was three years old.
context: He is good at cooking and sewing.\I love him.\Here you go.\It looks delicious.\Thanks for the food.\This is my family.\What? My mother?\My mother passed away when I was three years old. response:	But I'm not lonely.
context: I love him.\Here you go.\It looks delicious.\Thanks for the food.\This is my family.\What? My mother?\My mother passed away when I was three years old.\But I'm not lonely. response:	I have my father,
context: Here you go.\It looks delicious.\Thanks for the food.\This is my family.\What? My mother?\My mother passed away when I was three years old.\But I'm not lonely.\I have my father, response:	and even though he is a bully
context: It looks delicious.\Thanks for the food.\This is my family.\What? My mother?\My mother passed away when I was three years old.\But I'm not lonely.\I have my father,\and even though he is a bully response:	I have my brother.
context: Thanks for the food.\This is my family.\What? My mother?\My mother passed away when I was three years old.\But I'm not lonely.\I have my father,\and even though he is a bully\I have my brother. response:	Is it good?
context: This is my family.\What? My mother?\My mother passed away when I was three years old.\But I'm not lonely.\I have my father,\and even though he is a bully\I have my brother.\Is it good? response:	Yeah.
context: What? My mother?\My mother passed away when I was three years old.\But I'm not lonely.\I have my father,\and even though he is a bully\I have my brother.\Is it good?\Yeah. response:	Thanks.
context: My mother passed away when I was three years old.\But I'm not lonely.\I have my father,\and even though he is a bully\I have my brother.\Is it good?\Yeah.\Thanks. response:	You're leaving already?
context: But I'm not lonely.\I have my father,\and even though he is a bully\I have my brother.\Is it good?\Yeah.\Thanks.\You're leaving already? response:	Morning practice for the soccer team.
context: I have my father,\and even though he is a bully\I have my brother.\Is it good?\Yeah.\Thanks.\You're leaving already?\Morning practice for the soccer team. response:	See you later.
context: and even though he is a bully\I have my brother.\Is it good?\Yeah.\Thanks.\You're leaving already?\Morning practice for the soccer team.\See you later. response:	I'm off.
context: I have my brother.\Is it good?\Yeah.\Thanks.\You're leaving already?\Morning practice for the soccer team.\See you later.\I'm off. response:	Wait a moment.
context: Is it good?\Yeah.\Thanks.\You're leaving already?\Morning practice for the soccer team.\See you later.\I'm off.\Wait a moment. response:	Thanks for breakfast.
context: Yeah.\Thanks.\You're leaving already?\Morning practice for the soccer team.\See you later.\I'm off.\Wait a moment.\Thanks for breakfast. response:	Are you done already?
context: Thanks.\You're leaving already?\Morning practice for the soccer team.\See you later.\I'm off.\Wait a moment.\Thanks for breakfast.\Are you done already? response:	Here is your lunch.
context: You're leaving already?\Morning practice for the soccer team.\See you later.\I'm off.\Wait a moment.\Thanks for breakfast.\Are you done already?\Here is your lunch. response:	Where is my brother?
context: Morning practice for the soccer team.\See you later.\I'm off.\Wait a moment.\Thanks for breakfast.\Are you done already?\Here is your lunch.\Where is my brother? response:	He left earlier.
context: See you later.\I'm off.\Wait a moment.\Thanks for breakfast.\Are you done already?\Here is your lunch.\Where is my brother?\He left earlier. response:	Geeze.
context: I'm off.\Wait a moment.\Thanks for breakfast.\Are you done already?\Here is your lunch.\Where is my brother?\He left earlier.\Geeze. response:	Do you have club today?
context: Wait a moment.\Thanks for breakfast.\Are you done already?\Here is your lunch.\Where is my brother?\He left earlier.\Geeze.\Do you have club today? response:	Yes!
context: Thanks for breakfast.\Are you done already?\Here is your lunch.\Where is my brother?\He left earlier.\Geeze.\Do you have club today?\Yes! response:	see you later.
context: Are you done already?\Here is your lunch.\Where is my brother?\He left earlier.\Geeze.\Do you have club today?\Yes!\see you later. response:	Take care.
context: Here is your lunch.\Where is my brother?\He left earlier.\Geeze.\Do you have club today?\Yes!\see you later.\Take care. response:	I wonder how far he went.
context: Where is my brother?\He left earlier.\Geeze.\Do you have club today?\Yes!\see you later.\Take care.\I wonder how far he went. response:	Ah, there he is.
context: He left earlier.\Geeze.\Do you have club today?\Yes!\see you later.\Take care.\I wonder how far he went.\Ah, there he is. response:	Wait a second!
context: Geeze.\Do you have club today?\Yes!\see you later.\Take care.\I wonder how far he went.\Ah, there he is.\Wait a second! response:	I thought you could leave a little later?
context: Do you have club today?\Yes!\see you later.\Take care.\I wonder how far he went.\Ah, there he is.\Wait a second!\I thought you could leave a little later? response:	But'
context: Yes!\see you later.\Take care.\I wonder how far he went.\Ah, there he is.\Wait a second!\I thought you could leave a little later?\But' response:	But my brother always
context: see you later.\Take care.\I wonder how far he went.\Ah, there he is.\Wait a second!\I thought you could leave a little later?\But'\But my brother always response:	goes to school with him.
context: Take care.\I wonder how far he went.\Ah, there he is.\Wait a second!\I thought you could leave a little later?\But'\But my brother always\goes to school with him. response:	Ah, Yuki.
context: I wonder how far he went.\Ah, there he is.\Wait a second!\I thought you could leave a little later?\But'\But my brother always\goes to school with him.\Ah, Yuki. response:	Good morning.
context: Ah, there he is.\Wait a second!\I thought you could leave a little later?\But'\But my brother always\goes to school with him.\Ah, Yuki.\Good morning. response:	Hey.
context: Wait a second!\I thought you could leave a little later?\But'\But my brother always\goes to school with him.\Ah, Yuki.\Good morning.\Hey. response:	Good morning, Touya.
context: I thought you could leave a little later?\But'\But my brother always\goes to school with him.\Ah, Yuki.\Good morning.\Hey.\Good morning, Touya. response:	Good morning, Sakura.
context: But'\But my brother always\goes to school with him.\Ah, Yuki.\Good morning.\Hey.\Good morning, Touya.\Good morning, Sakura. response:	You're up early.
context: But my brother always\goes to school with him.\Ah, Yuki.\Good morning.\Hey.\Good morning, Touya.\Good morning, Sakura.\You're up early. response:	Yes.
context: goes to school with him.\Ah, Yuki.\Good morning.\Hey.\Good morning, Touya.\Good morning, Sakura.\You're up early.\Yes. response:	It's because she ate breakfast in five minutes.
context: Ah, Yuki.\Good morning.\Hey.\Good morning, Touya.\Good morning, Sakura.\You're up early.\Yes.\It's because she ate breakfast in five minutes. response:	You're cheerful as always today, Sakura-chan.
context: Good morning.\Hey.\Good morning, Touya.\Good morning, Sakura.\You're up early.\Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan. response:	This is Yukito Tsukishiro.
context: Hey.\Good morning, Touya.\Good morning, Sakura.\You're up early.\Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro. response:	He is a junior in high school, in the same class as my brother.
context: Good morning, Touya.\Good morning, Sakura.\You're up early.\Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother. response:	He is such a kind, wonderful person
context: Good morning, Sakura.\You're up early.\Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person response:	I can't believe he is friends
context: You're up early.\Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends response:	with this barbaric brother of mine.
context: Yes.\It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine. response:	See you later, Sakura-chan.
context: It's because she ate breakfast in five minutes.\You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan. response:	Here already?
context: You're cheerful as always today, Sakura-chan.\This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan.\Here already? response:	See you later.
context: This is Yukito Tsukishiro.\He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan.\Here already?\See you later. response:	Yukito-san.
context: He is a junior in high school, in the same class as my brother.\He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan.\Here already?\See you later.\Yukito-san. response:	He's good.
context: He is such a kind, wonderful person\I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan.\Here already?\See you later.\Yukito-san.\He's good. response:	Tomoyo-chan.
context: I can't believe he is friends\with this barbaric brother of mine.\See you later, Sakura-chan.\Here already?\See you later.\Yukito-san.\He's good.\Tomoyo-chan. response:	To give you a present in a parting wave. He's smooth.
context: with this barbaric brother of mine.\See you later, Sakura-chan.\Here already?\See you later.\Yukito-san.\He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth. response:	Good morning, Tomoyo-chan.
context: See you later, Sakura-chan.\Here already?\See you later.\Yukito-san.\He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan. response:	Good morning,
context: Here already?\See you later.\Yukito-san.\He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning, response:	Sakura-chan.
context: See you later.\Yukito-san.\He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning,\Sakura-chan. response:	This is Tomoyo Daidouji,
context: Yukito-san.\He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning,\Sakura-chan.\This is Tomoyo Daidouji, response:	my best friend.
context: He's good.\Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning,\Sakura-chan.\This is Tomoyo Daidouji,\my best friend. response:	She is intelligent, beautiful,
context: Tomoyo-chan.\To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning,\Sakura-chan.\This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful, response:	and the daughter of the president of a big company.
context: To give you a present in a parting wave. He's smooth.\Good morning, Tomoyo-chan.\Good morning,\Sakura-chan.\This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company. response:	You were so cute just now.
context: Good morning, Tomoyo-chan.\Good morning,\Sakura-chan.\This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now. response:	What?
context: Good morning,\Sakura-chan.\This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now.\What? response:	You were clutching the candy looking enthralled.
context: Sakura-chan.\This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now.\What?\You were clutching the candy looking enthralled. response:	Umm, Tomoyo-chan.
context: This is Tomoyo Daidouji,\my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now.\What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan. response:	I wish
context: my best friend.\She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now.\What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish response:	I could have taken a video or picture of it.
context: She is intelligent, beautiful,\and the daughter of the president of a big company.\You were so cute just now.\What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it. response:	Are you listening?
context: and the daughter of the president of a big company.\You were so cute just now.\What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it.\Are you listening? response:	Tomoyo-chan's hobby is taking pictures or videos,
context: You were so cute just now.\What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos, response:	and she takes a lot of me.
context: What?\You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me. response:	Oh yeah!
context: You were clutching the candy looking enthralled.\Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah! response:	I just bought a new video camera.
context: Umm, Tomoyo-chan.\I wish\I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah!\I just bought a new video camera. response:	Please let me film you again.
context: I wish\I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah!\I just bought a new video camera.\Please let me film you again. response:	OK,
context: I could have taken a video or picture of it.\Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah!\I just bought a new video camera.\Please let me film you again.\OK, response:	but
context: Are you listening?\Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah!\I just bought a new video camera.\Please let me film you again.\OK,\but response:	shouldn't you film something more interesting than me?
context: Tomoyo-chan's hobby is taking pictures or videos,\and she takes a lot of me.\Oh yeah!\I just bought a new video camera.\Please let me film you again.\OK,\but\shouldn't you film something more interesting than me? response:	There isn't anything cuter
context: and she takes a lot of me.\Oh yeah!\I just bought a new video camera.\Please let me film you again.\OK,\but\shouldn't you film something more interesting than me?\There isn't anything cuter response:	Or more interesting than Sakura-chan.
context: Oh yeah!\I just bought a new video camera.\Please let me film you again.\OK,\but\shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan. response:	I'll bring the camera tomorrow.
context: I just bought a new video camera.\Please let me film you again.\OK,\but\shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow. response:	I suppose Tomoyo-chan may be a bit strange after all.
context: Please let me film you again.\OK,\but\shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all. response:	Opening the mouth into an O shape
context: OK,\but\shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape response:	a boy's face became visible.
context: but\shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible. response:	Surprised aren't you?
context: shouldn't you film something more interesting than me?\There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you? response:	I wonder if it is a magical tangerine?
context: There isn't anything cuter\Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine? response:	I wonder if that was me.
context: Or more interesting than Sakura-chan.\I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me. response:	What a cute picture, what is it?
context: I'll bring the camera tomorrow.\I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it? response:	Well then, Kinomoto.
context: I suppose Tomoyo-chan may be a bit strange after all.\Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto. response:	Yes?
context: Opening the mouth into an O shape\a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto.\Yes? response:	Please read on.
context: a boy's face became visible.\Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto.\Yes?\Please read on. response:	I'll tell you later.
context: Surprised aren't you?\I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto.\Yes?\Please read on.\I'll tell you later. response:	From line twenty.
context: I wonder if it is a magical tangerine?\I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto.\Yes?\Please read on.\I'll tell you later.\From line twenty. response:	I wonder if it is a magical tangerine?
context: I wonder if that was me.\What a cute picture, what is it?\Well then, Kinomoto.\Yes?\Please read on.\I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine? response:	After all a butterfly came from it.
context: What a cute picture, what is it?\Well then, Kinomoto.\Yes?\Please read on.\I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it. response:	Incredible.
context: Well then, Kinomoto.\Yes?\Please read on.\I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible. response:	That's amazing Sakura-chan.
context: Yes?\Please read on.\I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan. response:	How cool!
context: Please read on.\I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan.\How cool! response:	Thank you Miss Kinomoto.
context: I'll tell you later.\From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto. response:	Next we will do toss practice.
context: From line twenty.\I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto.\Next we will do toss practice. response:	Everybody get your baton ready.
context: I wonder if it is a magical tangerine?\After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready. response:	That dream worries me after all.
context: After all a butterfly came from it.\Incredible.\That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all. response:	I'll talk to Tomoyo-chan about it later.
context: Incredible.\That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later. response:	Yeah.
context: That's amazing Sakura-chan.\How cool!\Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah. response:	Sakura-chan is really athletic
context: How cool!\Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic response:	and good with the baton'
context: Thank you Miss Kinomoto.\Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic\and good with the baton' response:	But she gets like that sometimes too.
context: Next we will do toss practice.\Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too. response:	Yeah.
context: Everybody get your baton ready.\That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too.\Yeah. response:	I'm home.
context: That dream worries me after all.\I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too.\Yeah.\I'm home. response:	Ar?
context: I'll talk to Tomoyo-chan about it later.\Yeah.\Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too.\Yeah.\I'm home.\Ar? response:	I'll be home at nine.
context: Yeah.\Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too.\Yeah.\I'm home.\Ar?\I'll be home at nine. response:	Dad is going to be late.
context: Sakura-chan is really athletic\and good with the baton'\But she gets like that sometimes too.\Yeah.\I'm home.\Ar?\I'll be home at nine.\Dad is going to be late. response:	Ah'
context: and good with the baton'\But she gets like that sometimes too.\Yeah.\I'm home.\Ar?\I'll be home at nine.\Dad is going to be late.\Ah' response:	Is somebody there?
context: But she gets like that sometimes too.\Yeah.\I'm home.\Ar?\I'll be home at nine.\Dad is going to be late.\Ah'\Is somebody there? response:	Dad and my brother aren't home now'
context: Yeah.\I'm home.\Ar?\I'll be home at nine.\Dad is going to be late.\Ah'\Is somebody there?\Dad and my brother aren't home now' response:	It's coming from dad's office.
context: I'm home.\Ar?\I'll be home at nine.\Dad is going to be late.\Ah'\Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office. response:	What should I do? What if it is a thief?
context: Ar?\I'll be home at nine.\Dad is going to be late.\Ah'\Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief? response:	I'll peek in from the door.
context: I'll be home at nine.\Dad is going to be late.\Ah'\Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door. response:	If somebody is there I will call the police.
context: Dad is going to be late.\Ah'\Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police. response:	Oh'
