context: It seems Romalia has already response:	dispatched a fleet to counter ours.
context: Those runes...\When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these\fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border. response:	Keep that distance and set up a defensive perimeter.
context: When I use this mirror,\I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these\fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter. response:	Yes, sir.
context: I can transfer a Void Mage's power to another.\I needed your destruction spell, Explosion,\so that I may use these\fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir. response:	What are you plotting now, Joseph?
context: I needed your destruction spell, Explosion,\so that I may use these\fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph? response:	What does this mean?
context: so that I may use these\fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph?\What does this mean? response:	It's no small thing, that's for sure.
context: fire stones at will.\The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure. response:	So I guess you're over there, Louise.
context: The Incompetent King Gone Mad\The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise. response:	What is happening, Your Holiness?
context: The Gallian fleet has stopped 1200 meters from our border.\Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness? response:	This is most likely one of Joseph's feints.
context: Keep that distance and set up a defensive perimeter.\Yes, sir.\What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints. response:	He's trying to make sure the Void Mages,
context: Yes, sir.\What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages, response:	besides him, do not get any closer.
context: What are you plotting now, Joseph?\What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer. response:	I don't think he will make an actual attack.
context: What does this mean?\It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack. response:	Do you really think so?
context: It's no small thing, that's for sure.\So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so? response:	But then, why did he take Louise?
context: So I guess you're over there, Louise.\What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise? response:	Aeor suhn fil jarnsaks,
context: What is happening, Your Holiness?\This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks, response:	os suhn uriu rad...
context: This is most likely one of Joseph's feints.\He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad... response:	What are you using my spells for?
context: He's trying to make sure the Void Mages,\besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for? response:	Stick around and you'll see.
context: besides him, do not get any closer.\I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see. response:	Beozus yul sviel kan oshel,
context: I don't think he will make an actual attack.\Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel, response:	jer isa undun hagal,
context: Do you really think so?\But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal, response:	beocun ir...
context: But then, why did he take Louise?\Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir... response:	Explosion!
context: Aeor suhn fil jarnsaks,\os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir...\Explosion! response:	My lord!
context: os suhn uriu rad...\What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir...\Explosion!\My lord! response:	Unexpectedly, I feel nothing.
context: What are you using my spells for?\Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir...\Explosion!\My lord!\Unexpectedly, I feel nothing. response:	Ready the next fire stone.
context: Stick around and you'll see.\Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir...\Explosion!\My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone. response:	Yes, sir.
context: Beozus yul sviel kan oshel,\jer isa undun hagal,\beocun ir...\Explosion!\My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir. response:	He's destroying his own men, too!
context: jer isa undun hagal,\beocun ir...\Explosion!\My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir.\He's destroying his own men, too! response:	What is he thinking?
context: beocun ir...\Explosion!\My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir.\He's destroying his own men, too!\What is he thinking? response:	Tabitha! Please, let me ride Sylphid.
context: Explosion!\My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir.\He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid. response:	Saito!
context: My lord!\Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir.\He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito! response:	Julio?
context: Unexpectedly, I feel nothing.\Ready the next fire stone.\Yes, sir.\He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito!\Julio? response:	Don't even try to stop me.
context: Ready the next fire stone.\Yes, sir.\He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito!\Julio?\Don't even try to stop me. response:	I have no intention of stopping you.
context: Yes, sir.\He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito!\Julio?\Don't even try to stop me.\I have no intention of stopping you. response:	There's something I wanted to give you.
context: He's destroying his own men, too!\What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito!\Julio?\Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you. response:	R-Retreat!
context: What is he thinking?\Tabitha! Please, let me ride Sylphid.\Saito!\Julio?\Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat! response:	Retreat at full speed!
context: Tabitha! Please, let me ride Sylphid.\Saito!\Julio?\Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat!\Retreat at full speed! response:	Come about 180 degrees!
context: Saito!\Julio?\Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat!\Retreat at full speed!\Come about 180 degrees! response:	H-Hey. What was that?
context: Julio?\Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat!\Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that? response:	It's a bomb!
context: Don't even try to stop me.\I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat!\Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that?\It's a bomb! response:	Run for it!
context: I have no intention of stopping you.\There's something I wanted to give you.\R-Retreat!\Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that?\It's a bomb!\Run for it! response:	Where are we going?
context: There's something I wanted to give you.\R-Retreat!\Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that?\It's a bomb!\Run for it!\Where are we going? response:	I'm not certain.
context: R-Retreat!\Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that?\It's a bomb!\Run for it!\Where are we going?\I'm not certain. response:	But it's over there!
context: Retreat at full speed!\Come about 180 degrees!\H-Hey. What was that?\It's a bomb!\Run for it!\Where are we going?\I'm not certain.\But it's over there! response:	Tiffa!
context: Come about 180 degrees!\H-Hey. What was that?\It's a bomb!\Run for it!\Where are we going?\I'm not certain.\But it's over there!\Tiffa! response:	You're all here!
context: H-Hey. What was that?\It's a bomb!\Run for it!\Where are we going?\I'm not certain.\But it's over there!\Tiffa!\You're all here! response:	Where are Saito and Louise?
context: It's a bomb!\Run for it!\Where are we going?\I'm not certain.\But it's over there!\Tiffa!\You're all here!\Where are Saito and Louise? response:	Tabitha's gone, too.
context: Run for it!\Where are we going?\I'm not certain.\But it's over there!\Tiffa!\You're all here!\Where are Saito and Louise?\Tabitha's gone, too. response:	That's...
context: Where are we going?\I'm not certain.\But it's over there!\Tiffa!\You're all here!\Where are Saito and Louise?\Tabitha's gone, too.\That's... response:	Hey...
context: I'm not certain.\But it's over there!\Tiffa!\You're all here!\Where are Saito and Louise?\Tabitha's gone, too.\That's...\Hey... response:	What's that over there?
context: But it's over there!\Tiffa!\You're all here!\Where are Saito and Louise?\Tabitha's gone, too.\That's...\Hey...\What's that over there? response:	A gargoyle?
context: Tiffa!\You're all here!\Where are Saito and Louise?\Tabitha's gone, too.\That's...\Hey...\What's that over there?\A gargoyle? response:	This is terrible!
context: You're all here!\Where are Saito and Louise?\Tabitha's gone, too.\That's...\Hey...\What's that over there?\A gargoyle?\This is terrible! response:	We've got to get the townspeople to safety!
context: Where are Saito and Louise?\Tabitha's gone, too.\That's...\Hey...\What's that over there?\A gargoyle?\This is terrible!\We've got to get the townspeople to safety! response:	Why? Why are you doing this?!
context: Tabitha's gone, too.\That's...\Hey...\What's that over there?\A gargoyle?\This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?! response:	What is your objective?!
context: That's...\Hey...\What's that over there?\A gargoyle?\This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?! response:	Objective?
context: Hey...\What's that over there?\A gargoyle?\This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?!\Objective? response:	My objective is death and destruction.
context: What's that over there?\A gargoyle?\This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?!\Objective?\My objective is death and destruction. response:	That is all.
context: A gargoyle?\This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?!\Objective?\My objective is death and destruction.\That is all. response:	I want to find out what level
context: This is terrible!\We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?!\Objective?\My objective is death and destruction.\That is all.\I want to find out what level response:	of cruelty will actually make me feel remorse,
context: We've got to get the townspeople to safety!\Why? Why are you doing this?!\What is your objective?!\Objective?\My objective is death and destruction.\That is all.\I want to find out what level\of cruelty will actually make me feel remorse, response:	and if I am capable of shedding tears, like you.
context: Why? Why are you doing this?!\What is your objective?!\Objective?\My objective is death and destruction.\That is all.\I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you. response:	Just for that, you'd...
context: What is your objective?!\Objective?\My objective is death and destruction.\That is all.\I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd... response:	It's quite a problem...
context: Objective?\My objective is death and destruction.\That is all.\I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem... response:	his emotions as he grew up in the
context: My objective is death and destruction.\That is all.\I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the response:	shadow of a superior younger brother...
context: That is all.\I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother... response:	My little brother, Charles...
context: I want to find out what level\of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles... response:	It was fun when we were young.
context: of cruelty will actually make me feel remorse,\and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young. response:	I've got to do something.
context: and if I am capable of shedding tears, like you.\Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young.\I've got to do something. response:	But when your gift for magic was awakened,
context: Just for that, you'd...\It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened, response:	everything changed.
context: It's quite a problem...\his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened,\everything changed. response:	Since then, my soul has only thirsted for more.
context: his emotions as he grew up in the\shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more. response:	No matter what riches I amassed,
context: shadow of a superior younger brother...\My little brother, Charles...\It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed, response:	no matter how many people I killed,
context: My little brother, Charles...\It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed, response:	I could find no peace.
context: It was fun when we were young.\I've got to do something.\But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed,\I could find no peace. response:	What do you think, Charles?
context: I've got to do something.\But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed,\I could find no peace.\What do you think, Charles? response:	Do you think destroying a city
context: But when your gift for magic was awakened,\everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed,\I could find no peace.\What do you think, Charles?\Do you think destroying a city response:	can make my heart start beating again?
context: everything changed.\Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed,\I could find no peace.\What do you think, Charles?\Do you think destroying a city\can make my heart start beating again? response:	Sheffield.
context: Since then, my soul has only thirsted for more.\No matter what riches I amassed,\no matter how many people I killed,\I could find no peace.\What do you think, Charles?\Do you think destroying a city\can make my heart start beating again?\Sheffield. response:	Right away, my lord.
context: No matter what riches I amassed,\no matter how many people I killed,\I could find no peace.\What do you think, Charles?\Do you think destroying a city\can make my heart start beating again?\Sheffield.\Right away, my lord. response:	What?!
context: no matter how many people I killed,\I could find no peace.\What do you think, Charles?\Do you think destroying a city\can make my heart start beating again?\Sheffield.\Right away, my lord.\What?! response:	Impossible!
context: I could find no peace.\What do you think, Charles?\Do you think destroying a city\can make my heart start beating again?\Sheffield.\Right away, my lord.\What?!\Impossible! response:	Bring it back at once!
context: What do you think, Charles?\Do you think destroying a city\can make my heart start beating again?\Sheffield.\Right away, my lord.\What?!\Impossible!\Bring it back at once! response:	Saito, Saito, Saito, Saito!
context: Do you think destroying a city\can make my heart start beating again?\Sheffield.\Right away, my lord.\What?!\Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito! response:	No!
context: can make my heart start beating again?\Sheffield.\Right away, my lord.\What?!\Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito!\No! response:	Saito, Saito, Saito!
context: Sheffield.\Right away, my lord.\What?!\Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito! response:	Louise!
context: Right away, my lord.\What?!\Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito!\Louise! response:	Saito, Saito, Saito!
context: What?!\Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito!\Louise!\Saito, Saito, Saito! response:	Louise...
context: Impossible!\Bring it back at once!\Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito!\Louise!\Saito, Saito, Saito!\Louise... response:	Thank God.
context: Bring it back at once!\Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito!\Louise!\Saito, Saito, Saito!\Louise...\Thank God. response:	We've got to stop the explosion!
context: Saito, Saito, Saito, Saito!\No!\Saito, Saito, Saito!\Louise!\Saito, Saito, Saito!\Louise...\Thank God.\We've got to stop the explosion! response:	I've retrieved the fire stone safe and sound,
context: No!\Saito, Saito, Saito!\Louise!\Saito, Saito, Saito!\Louise...\Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound, response:	but it appears the girl's life is forfeit.
context: Saito, Saito, Saito!\Louise!\Saito, Saito, Saito!\Louise...\Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit. response:	I doubt it will be that easy.
context: Louise!\Saito, Saito, Saito!\Louise...\Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy. response:	Full speed ahead.
context: Saito, Saito, Saito!\Louise...\Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead. response:	Saito, please!
context: Louise...\Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead.\Saito, please! response:	So that's Joseph, King of Gallia!
context: Thank God.\We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia! response:	I guess all I have to do is keep him from casting.
context: We've got to stop the explosion!\I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting. response:	It's been too long, Gandalfr.
context: I've retrieved the fire stone safe and sound,\but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr. response:	I won't let you get in my master's way!
context: but it appears the girl's life is forfeit.\I doubt it will be that easy.\Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way! response:	Shut up!
context: I doubt it will be that easy.\Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up! response:	I will stop that explosion!
context: Full speed ahead.\Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up!\I will stop that explosion! response:	Everyone, please remain calm!
context: Saito, please!\So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up!\I will stop that explosion!\Everyone, please remain calm! response:	Please take shelter in the cathedral.
context: So that's Joseph, King of Gallia!\I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up!\I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral. response:	Is it really all right for us to use
context: I guess all I have to do is keep him from casting.\It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up!\I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use response:	the cathedral as an evacuation shelter?
context: It's been too long, Gandalfr.\I won't let you get in my master's way!\Shut up!\I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter? response:	I don't care!
context: I won't let you get in my master's way!\Shut up!\I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care! response:	I will personally take responsibility
context: Shut up!\I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility response:	for those useless priests.
context: I will stop that explosion!\Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility\for those useless priests. response:	I nailed that one.
context: Everyone, please remain calm!\Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility\for those useless priests.\I nailed that one. response:	Guiche... Behind you!
context: Please take shelter in the cathedral.\Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility\for those useless priests.\I nailed that one.\Guiche... Behind you! response:	I thank you for your swift decision.
context: Is it really all right for us to use\the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility\for those useless priests.\I nailed that one.\Guiche... Behind you!\I thank you for your swift decision. response:	Please help us lead everyone into the cathedral.
context: the cathedral as an evacuation shelter?\I don't care!\I will personally take responsibility\for those useless priests.\I nailed that one.\Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral. response:	Look!
context: I don't care!\I will personally take responsibility\for those useless priests.\I nailed that one.\Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look! response:	It's Tabitha and Louise!
context: I will personally take responsibility\for those useless priests.\I nailed that one.\Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise! response:	Air Cutter!
context: for those useless priests.\I nailed that one.\Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise!\Air Cutter! response:	It's fast!
context: I nailed that one.\Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise!\Air Cutter!\It's fast! response:	It looks like they're chasing the gargoyle.
context: Guiche... Behind you!\I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise!\Air Cutter!\It's fast!\It looks like they're chasing the gargoyle. response:	The gargoyles caused that explosion a while ago.
context: I thank you for your swift decision.\Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise!\Air Cutter!\It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago. response:	I'm afraid that one will do the same.
