context: You've put on quite the amusing farce, but enough. response:	For the false Spear Hero
context: What power!\The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing.\Wh-What?\I-Is that...\The Rising of the Shield Hero response:	The Four Cardinal Heroes
context: The impact's making my arms go numb!\For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing.\Wh-What?\I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes response:	H-Hey! That sword turned into a spear!
context: For a devil, you are pretty tough.\That'll be enough trial shots.\Now face the real thing.\Wh-What?\I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear! response:	There's no mistaking it.
context: That'll be enough trial shots.\Now face the real thing.\Wh-What?\I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it. response:	That's a replica of the Cardinal Weapons!
context: Now face the real thing.\Wh-What?\I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons! response:	In the past,
context: Wh-What?\I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past, response:	an attempt was made to duplicate the four weapons of the legendary heroes.
context: I-Is that...\The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes. response:	To make the ultimate weapon,
context: The Rising of the Shield Hero\The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon, response:	which could change forms and use each weapon's skills.
context: The Four Cardinal Heroes\H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills. response:	I was taught that it was lost many centuries ago.
context: H-Hey! That sword turned into a spear!\There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago. response:	That's not fair!
context: There's no mistaking it.\That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair! response:	Say, Myne. Is it true?
context: That's a replica of the Cardinal Weapons!\In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true? response:	H-How would I know?
context: In the past,\an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true?\H-How would I know? response:	It's so famous, anyone dabbling in Melromarc's
context: an attempt was made to duplicate the four weapons of the legendary heroes.\To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's response:	and the Church's history would know of it.
context: To make the ultimate weapon,\which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it. response:	Finding it should've been huge news.
context: which could change forms and use each weapon's skills.\I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news. response:	But the Three Heroes Church kept it hidden.
context: I was taught that it was lost many centuries ago.\That's not fair!\Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden. response:	Maybe its loss was a lie made up by the Church, too.
context: That's not fair!\Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too. response:	Why'd you summon the heroes if you had a weapon like that?
context: Say, Myne. Is it true?\H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that? response:	That weapon is mighty, but it consumes a massive amount of mana.
context: H-How would I know?\It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana. response:	Just that one swing earlier must've drained dozens of magicians of their mana.
context: It's so famous, anyone dabbling in Melromarc's\and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana. response:	No wonder you're first in line for the throne, Melty-sama.
context: and the Church's history would know of it.\Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama. response:	You have educated yourself well.
context: Finding it should've been huge news.\But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well. response:	Completely unlike your sister, who was too busy conspiring to study.
context: But the Three Heroes Church kept it hidden.\Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study. response:	The mana this legendary weapon requires
context: Maybe its loss was a lie made up by the Church, too.\Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires response:	will be provided by all the believers here.
context: Why'd you summon the heroes if you had a weapon like that?\That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here. response:	My brethren, this is a battle between our lord and the Devil of the Shield.
context: That weapon is mighty, but it consumes a massive amount of mana.\Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield. response:	It is a holy crusade in the name of God.
context: Just that one swing earlier must've drained dozens of magicians of their mana.\No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God. response:	Offer your prayers to the legendary weapon imbued with divine power.
context: No wonder you're first in line for the throne, Melty-sama.\You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power. response:	And we shall purge this world of the fake Spear Hero and the Devil of the Shield.
context: You have educated yourself well.\Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield. response:	That'll be a pain to fight.
context: Completely unlike your sister, who was too busy conspiring to study.\The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight. response:	Melty! Can't you take those believers out of the equation?
context: The mana this legendary weapon requires\will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation? response:	Put them to sleep or something!
context: will be provided by all the believers here.\My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something! response:	I haven't learned any magics that affect the mind.
context: My brethren, this is a battle between our lord and the Devil of the Shield.\It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind. response:	And also...
context: It is a holy crusade in the name of God.\Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also... response:	Such a large mana pool will also give them high resistance.
context: Offer your prayers to the legendary weapon imbued with divine power.\And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance. response:	Putting them all to sleep will be impossible.
context: And we shall purge this world of the fake Spear Hero and the Devil of the Shield.\That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible. response:	There has to be something we can do.
context: That'll be a pain to fight.\Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do. response:	I shan't stand for this!
context: Melty! Can't you take those believers out of the equation?\Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this! response:	You manipulate us for your own selfish goals,
context: Put them to sleep or something!\I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals, response:	and want to get rid of us as soon as you're done?
context: I haven't learned any magics that affect the mind.\And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done? response:	That's evil, through and through!
context: And also...\Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through! response:	As a hero, I cannot overlook it!
context: Such a large mana pool will also give them high resistance.\Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it! response:	Everything he says is hollow.
context: Putting them all to sleep will be impossible.\There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow. response:	Spear guy's annoying.
context: There has to be something we can do.\I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying. response:	Pope, I will defeat you
context: I shan't stand for this!\You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you response:	and avenge Itsuki and Ren!
context: You manipulate us for your own selfish goals,\and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren! response:	Lightning Spear!
context: and want to get rid of us as soon as you're done?\That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear! response:	What? A barrier?
context: That's evil, through and through!\As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier? response:	No fair!
context: As a hero, I cannot overlook it!\Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier?\No fair! response:	We can't even scratch the pope unless we break through that force field.
context: Everything he says is hollow.\Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field. response:	Melty's right.
context: Spear guy's annoying.\Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right. response:	We need to cut off the mana supply first.
context: Pope, I will defeat you\and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first. response:	If I can't do it alone...
context: and avenge Itsuki and Ren!\Lightning Spear!\What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first.\If I can't do it alone... response:	Naofumi!
context: Lightning Spear!\What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first.\If I can't do it alone...\Naofumi! response:	Huh?
context: What? A barrier?\No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first.\If I can't do it alone...\Naofumi!\Huh? response:	Now is the time for us to work together.
context: No fair!\We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first.\If I can't do it alone...\Naofumi!\Huh?\Now is the time for us to work together. response:	Let's go!
context: We can't even scratch the pope unless we break through that force field.\Melty's right.\We need to cut off the mana supply first.\If I can't do it alone...\Naofumi!\Huh?\Now is the time for us to work together.\Let's go! response:	You will pay for the sin of turning against the next queen with your life.
context: Melty's right.\We need to cut off the mana supply first.\If I can't do it alone...\Naofumi!\Huh?\Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life. response:	As source of thy power, I order thee.
context: We need to cut off the mana supply first.\If I can't do it alone...\Naofumi!\Huh?\Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee. response:	As source of thy power and the next queen, I order thee.
context: If I can't do it alone...\Naofumi!\Huh?\Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee. response:	Decipher the laws of nature and burn my target down!
context: Naofumi!\Huh?\Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down! response:	Sister...
context: Huh?\Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister... response:	Both spear guy and his party are annoying.
context: Now is the time for us to work together.\Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying. response:	Zweit Fire!
context: Let's go!\You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying.\Zweit Fire! response:	A combo skill?
context: You will pay for the sin of turning against the next queen with your life.\As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying.\Zweit Fire!\A combo skill? response:	This is the end!
context: As source of thy power, I order thee.\As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying.\Zweit Fire!\A combo skill?\This is the end! response:	Burst...
context: As source of thy power and the next queen, I order thee.\Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying.\Zweit Fire!\A combo skill?\This is the end!\Burst... response:	Flare Lance!
context: Decipher the laws of nature and burn my target down!\Sister...\Both spear guy and his party are annoying.\Zweit Fire!\A combo skill?\This is the end!\Burst...\Flare Lance! response:	Did we get him?
context: Sister...\Both spear guy and his party are annoying.\Zweit Fire!\A combo skill?\This is the end!\Burst...\Flare Lance!\Did we get him? response:	Nah.
context: Both spear guy and his party are annoying.\Zweit Fire!\A combo skill?\This is the end!\Burst...\Flare Lance!\Did we get him?\Nah. response:	How deplorable.
context: Zweit Fire!\A combo skill?\This is the end!\Burst...\Flare Lance!\Did we get him?\Nah.\How deplorable. response:	Instead of gracefully accepting God's mercy,
context: A combo skill?\This is the end!\Burst...\Flare Lance!\Did we get him?\Nah.\How deplorable.\Instead of gracefully accepting God's mercy, response:	you pointlessly continue to resist.
context: This is the end!\Burst...\Flare Lance!\Did we get him?\Nah.\How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist. response:	But, of course, there will be no mercy for a devil.
context: Burst...\Flare Lance!\Did we get him?\Nah.\How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil. response:	We'll see how pointless it is!
context: Flare Lance!\Did we get him?\Nah.\How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is! response:	Meteor Thrust!
context: Did we get him?\Nah.\How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust! response:	Even Meteor Thrust didn't work?
context: Nah.\How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work? response:	This magical barrier is impregnable.
context: How deplorable.\Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable. response:	It is no devil's shield, that is for sure.
context: Instead of gracefully accepting God's mercy,\you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure. response:	Is that the believers' power, too?
context: you pointlessly continue to resist.\But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too? response:	They're using the massive pool of mana to construct a powerful magical barrier.
context: But, of course, there will be no mercy for a devil.\We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier. response:	It is my turn to attack now.
context: We'll see how pointless it is!\Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now. response:	What do you say?
context: Meteor Thrust!\Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say? response:	All this power, with a simple wave of my hand!
context: Even Meteor Thrust didn't work?\This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand! response:	Using that weapon is cheating!
context: This magical barrier is impregnable.\It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating! response:	Fight us fair and square!
context: It is no devil's shield, that is for sure.\Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square! response:	This power can even annihilate a devil.
context: Is that the believers' power, too?\They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil. response:	I don't know if I can block a full-power attack from that thing.
context: They're using the massive pool of mana to construct a powerful magical barrier.\It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing. response:	Not to mention, they have an almost limitless pool of mana.
context: It is my turn to attack now.\What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana. response:	If he unleashes a volley of attacks, we're finished.
context: What do you say?\All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished. response:	What can we do?
context: All this power, with a simple wave of my hand!\Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do? response:	The time has come to bestow God's mercy on our foes!
context: Using that weapon is cheating!\Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes! response:	Hundred Swords!
context: Fight us fair and square!\This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords! response:	Meteor Shot!
context: This power can even annihilate a devil.\I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot! response:	Pope!
context: I don't know if I can block a full-power attack from that thing.\Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot!\Pope! response:	Those skills...
context: Not to mention, they have an almost limitless pool of mana.\If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot!\Pope!\Those skills... response:	Looks like we made it in the nick of time.
context: If he unleashes a volley of attacks, we're finished.\What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot!\Pope!\Those skills...\Looks like we made it in the nick of time. response:	Itsuki-sama!
context: What can we do?\The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot!\Pope!\Those skills...\Looks like we made it in the nick of time.\Itsuki-sama! response:	Ren-sama!
context: The time has come to bestow God's mercy on our foes!\Hundred Swords!\Meteor Shot!\Pope!\Those skills...\Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama! response:	You came back to life?
context: Hundred Swords!\Meteor Shot!\Pope!\Those skills...\Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama!\You came back to life? response:	Don't just assume we're dead.
