context: That's because I was too silly. response:	I thought that I shouldn't be too concerned about his past.
context: Ye Hua, believe me. I didn't push her!\- I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore. response:	Su Su...
context: - I didn't push her! - Su Su...\I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su... response:	Ye Hua... I'm actually Su Su.
context: I couldn't protect you.\I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su. response:	Su Su is me.
context: I'll marry you and be your eyes from now on.\No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me. response:	Auntie, you're having more wine?
context: No... Ye Hua... I didn't do it.\Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine? response:	Auntie, what's wrong?
context: Why do I have to pay the price for it?\Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong? response:	Leave now.
context: Let me go and I'll let you go as well.\We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong?\Leave now. response:	Master must have been bewitched.
context: We don't owe each other anymore.\Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong?\Leave now.\Master must have been bewitched. response:	He kept looking for some celestial land called Qing Qiu.
context: Su Su...\Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong?\Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu. response:	He rejected all the offers of marriage
context: Ye Hua... I'm actually Su Su.\Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong?\Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage response:	and enraged Old Madam so much that she died of illness.
context: Su Su is me.\Auntie, you're having more wine?\Auntie, what's wrong?\Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness. response:	I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!
context: Auntie, you're having more wine?\Auntie, what's wrong?\Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits! response:	Could our master be bewitched by a fox spirit?
context: Auntie, what's wrong?\Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit? response:	You shouldn't gossip behind our master's back.
context: Leave now.\Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back. response:	Miss, all these years
context: Master must have been bewitched.\He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years response:	Old Madam tried to send you into our master's room by force.
context: He kept looking for some celestial land called Qing Qiu.\He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force. response:	You turned her down each time.
context: He rejected all the offers of marriage\and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time. response:	It hasn't been easy for you either.
context: and enraged Old Madam so much that she died of illness.\I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either. response:	Master is a faithful man.
context: I've heard from a traveling Taoist that Qing Qiu is the den of fox spirits!\Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man. response:	The deity of Qing Qiu is the only woman on his mind.
context: Could our master be bewitched by a fox spirit?\You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind. response:	Not me.
context: You shouldn't gossip behind our master's back.\Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me. response:	Auntie, would you care to wash your face?
context: Miss, all these years\Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face? response:	Feng Jiu...
context: Old Madam tried to send you into our master's room by force.\You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face?\Feng Jiu... response:	Back in the Nine Heavens
context: You turned her down each time.\It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens response:	did you visit the Hall of Beautiful Youth as a little fox?
context: It hasn't been easy for you either.\Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox? response:	Yes, indeed.
context: Master is a faithful man.\The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed. response:	When Su Su was pregnant and no one was there to accompany her
context: The deity of Qing Qiu is the only woman on his mind.\Not me.\Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her response:	were you the only one by her side?
context: Not me.\Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side? response:	Su Su...
context: Auntie, would you care to wash your face?\Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su... response:	When she was first captured by Heavenly Lord to the palace
context: Feng Jiu...\Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace response:	you went to scare her?
context: Back in the Nine Heavens\did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her? response:	Is that because you thought that she stole your aunt's fiancee?
context: did you visit the Hall of Beautiful Youth as a little fox?\Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee? response:	How did you know about that?
context: Yes, indeed.\When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that? response:	No one else knew apart from me, Lord Dong Hua, and Star Lord.
context: When Su Su was pregnant and no one was there to accompany her\were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord. response:	That's because I'm Riceball's mortal mother.
context: were you the only one by her side?\Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother. response:	Auntie, are you drunk?
context: Su Su...\When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk? response:	I know that you're mad at the Crown Prince
context: When she was first captured by Heavenly Lord to the palace\you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince response:	for having Su Su on his mind.
context: you went to scare her?\Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind. response:	But you're the Queen of Qing Qiu and Su Su was a mortal.
context: Is that because you thought that she stole your aunt's fiancee?\How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal. response:	How could she be compared to you?
context: How did you know about that?\No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you? response:	Su Su is just Su Su and you are you!
context: No one else knew apart from me, Lord Dong Hua, and Star Lord.\That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you! response:	That was a heavenly trial I endured before I ascended to High God.
context: That's because I'm Riceball's mortal mother.\Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God. response:	Ye Hua and I...
context: Auntie, are you drunk?\I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I... response:	That was my relationship trial.
context: I know that you're mad at the Crown Prince\for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial. response:	Auntie, where are you going?
context: for having Su Su on his mind.\But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial.\Auntie, where are you going? response:	Auntie...
context: But you're the Queen of Qing Qiu and Su Su was a mortal.\How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial.\Auntie, where are you going?\Auntie... response:	Auntie!
context: How could she be compared to you?\Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial.\Auntie, where are you going?\Auntie...\Auntie! response:	Auntie, mind your health.
context: Su Su is just Su Su and you are you!\That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial.\Auntie, where are you going?\Auntie...\Auntie!\Auntie, mind your health. response:	You've been drinking for seven or eight days.
context: That was a heavenly trial I endured before I ascended to High God.\Ye Hua and I...\That was my relationship trial.\Auntie, where are you going?\Auntie...\Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days. response:	There's no wine left in the cellar.
context: Ye Hua and I...\That was my relationship trial.\Auntie, where are you going?\Auntie...\Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar. response:	If you ask for more wine I won't give it to you.
context: That was my relationship trial.\Auntie, where are you going?\Auntie...\Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you. response:	I feel just fine.
context: Auntie, where are you going?\Auntie...\Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine. response:	Was that just talk or were you serious about it?
context: Auntie...\Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it? response:	I'm certainly sure of it.
context: Auntie!\Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it. response:	I just recalled another important matter.
context: Auntie, mind your health.\You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter. response:	Auntie, what can you recall when you're half drunk?
context: You've been drinking for seven or eight days.\There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk? response:	When I was made a mortal for my relationship trial
context: There's no wine left in the cellar.\If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial response:	Su Jin robbed me of my eyes.
context: If you ask for more wine I won't give it to you.\I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes. response:	Now that I'm done with my heavenly trial
context: I feel just fine.\Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial response:	it seems inappropriate to keep my eyes in her sockets.
context: Was that just talk or were you serious about it?\I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial\it seems inappropriate to keep my eyes in her sockets. response:	She must be uneasy keeping those eyes of mine.
context: I'm certainly sure of it.\I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial\it seems inappropriate to keep my eyes in her sockets.\She must be uneasy keeping those eyes of mine. response:	Shouldn't I go and get them back?
context: I just recalled another important matter.\Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial\it seems inappropriate to keep my eyes in her sockets.\She must be uneasy keeping those eyes of mine.\Shouldn't I go and get them back? response:	Auntie, that's drunk talk.
context: Auntie, what can you recall when you're half drunk?\When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial\it seems inappropriate to keep my eyes in her sockets.\She must be uneasy keeping those eyes of mine.\Shouldn't I go and get them back?\Auntie, that's drunk talk. response:	When did Lady Su Jin owe you a pair of eyes?
context: When I was made a mortal for my relationship trial\Su Jin robbed me of my eyes.\Now that I'm done with my heavenly trial\it seems inappropriate to keep my eyes in her sockets.\She must be uneasy keeping those eyes of mine.\Shouldn't I go and get them back?\Auntie, that's drunk talk.\When did Lady Su Jin owe you a pair of eyes? response:	You don't know a thing so I won't explain it to you.
