context: December 16th, X784. Tenroujima. response:	What was that?
context: I wonder what it is...\This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands!\What is that?!\Probably just Lucy's stomach... response:	Huh?! This world's Lucy's stomach makes that kind of noise?!
context: This is a weird wind. And it reeks...\I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands!\What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?! response:	Hey, Gajeel! Try to speak with a little more delicacy!
context: I know! Got just the thing!\Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands!\What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy! response:	Well, in that case, I'd better prepare a heaping helping for her meal.
context: Here Lucy, you can eat this.\Huh?! What'd you pull that out for?!\Hold Hands!\What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal. response:	Hey! I was just kiddin'!
context: Huh?! What'd you pull that out for?!\Hold Hands!\What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'! response:	Be that as it may, it was a strange rumbling sound.
context: Hold Hands!\What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound. response:	What the...? Now I can hear heavy breathing!
context: What is that?!\Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing! response:	Hey, man, what are you sitting on?
context: Probably just Lucy's stomach...\Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on? response:	What am I... A chair, of course...
context: Huh?! This world's Lucy's stomach makes that kind of noise?!\Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course... response:	When'd you get there?!
context: Hey, Gajeel! Try to speak with a little more delicacy!\Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?! response:	Juvia let Zeref get away,
context: Well, in that case, I'd better prepare a heaping helping for her meal.\Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away, response:	so it's fitting she that become a chair for Gray-sama!
context: Hey! I was just kiddin'!\Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama! response:	I told you I'm not into that stuff!
context: Be that as it may, it was a strange rumbling sound.\What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff! response:	Here, Wendy. Thanks for your patience.
context: What the...? Now I can hear heavy breathing!\Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience. response:	Mira-san, you're hurt, too. You shouldn't be serving...
context: Hey, man, what are you sitting on?\What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving... response:	Oh, that's okay. I enjoy doing it.
context: What am I... A chair, of course...\When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it. response:	That's my big sister! What a Man!
context: When'd you get there?!\Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man! response:	Wrong!
context: Juvia let Zeref get away,\so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong! response:	What the hell was that for, wench?!
context: so it's fitting she that become a chair for Gray-sama!\I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?! response:	Man! Man!
context: I told you I'm not into that stuff!\Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?!\Man! Man! response:	Just looking at you makes my blood boil!
context: Here, Wendy. Thanks for your patience.\Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil! response:	What the hell is that?!
context: Mira-san, you're hurt, too. You shouldn't be serving...\Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil!\What the hell is that?! response:	Don't even ask!
context: Oh, that's okay. I enjoy doing it.\That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask! response:	Why, you... After you got all weepy when we were trapped by that tower...
context: That's my big sister! What a Man!\Wrong!\What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower... response:	One more word and I'm turning you to stone!
context: Wrong!\What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone! response:	You two really get along...
context: What the hell was that for, wench?!\Man! Man!\Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along... response:	Wrong!
context: Man! Man!\Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along...\Wrong! response:	What is this?!
context: Just looking at you makes my blood boil!\What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along...\Wrong!\What is this?! response:	A dragon's roar...
context: What the hell is that?!\Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along...\Wrong!\What is this?!\A dragon's roar... response:	Huh?
context: Don't even ask!\Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along...\Wrong!\What is this?!\A dragon's roar...\Huh? response:	A dragon?!
context: Why, you... After you got all weepy when we were trapped by that tower...\One more word and I'm turning you to stone!\You two really get along...\Wrong!\What is this?!\A dragon's roar...\Huh?\A dragon?! response:	It's not thunder?!
context: One more word and I'm turning you to stone!\You two really get along...\Wrong!\What is this?!\A dragon's roar...\Huh?\A dragon?!\It's not thunder?! response:	Everyone! Are you okay?!
context: You two really get along...\Wrong!\What is this?!\A dragon's roar...\Huh?\A dragon?!\It's not thunder?!\Everyone! Are you okay?! response:	That's some loud roar!
context: Wrong!\What is this?!\A dragon's roar...\Huh?\A dragon?!\It's not thunder?!\Everyone! Are you okay?!\That's some loud roar! response:	You guys!
context: What is this?!\A dragon's roar...\Huh?\A dragon?!\It's not thunder?!\Everyone! Are you okay?!\That's some loud roar!\You guys! response:	Hey... Are you alright?
context: A dragon's roar...\Huh?\A dragon?!\It's not thunder?!\Everyone! Are you okay?!\That's some loud roar!\You guys!\Hey... Are you alright? response:	An old wound's acting up on me...
context: Huh?\A dragon?!\It's not thunder?!\Everyone! Are you okay?!\That's some loud roar!\You guys!\Hey... Are you alright?\An old wound's acting up on me... response:	There's no doubt. It's coming!
context: A dragon?!\It's not thunder?!\Everyone! Are you okay?!\That's some loud roar!\You guys!\Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming! response:	Hey! Heads up, everyone! Something's coming!
context: It's not thunder?!\Everyone! Are you okay?!\That's some loud roar!\You guys!\Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming! response:	Natsu, what's wrong... Whoa!
context: Everyone! Are you okay?!\That's some loud roar!\You guys!\Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa! response:	What is that?!
context: That's some loud roar!\You guys!\Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?! response:	It's huge!
context: You guys!\Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?!\It's huge! response:	It's...
context: Hey... Are you alright?\An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?!\It's huge!\It's... response:	Dragon!
context: An old wound's acting up on me...\There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?!\It's huge!\It's...\Dragon! response:	What in the world...?
context: There's no doubt. It's coming!\Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?!\It's huge!\It's...\Dragon!\What in the world...? response:	Seriously?!
context: Hey! Heads up, everyone! Something's coming!\Natsu, what's wrong... Whoa!\What is that?!\It's huge!\It's...\Dragon!\What in the world...?\Seriously?! response:	A real dragon...
context: Natsu, what's wrong... Whoa!\What is that?!\It's huge!\It's...\Dragon!\What in the world...?\Seriously?!\A real dragon... response:	There are still dragons alive after all...
context: What is that?!\It's huge!\It's...\Dragon!\What in the world...?\Seriously?!\A real dragon...\There are still dragons alive after all... response:	The Black Dragon of the Apocalypse...
context: It's huge!\It's...\Dragon!\What in the world...?\Seriously?!\A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse... response:	Is this the one called Acnologia...?
context: It's...\Dragon!\What in the world...?\Seriously?!\A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...? response:	Yeah...
context: Dragon!\What in the world...?\Seriously?!\A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah... response:	That's the one.
context: What in the world...?\Seriously?!\A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah...\That's the one. response:	Real dragons still exist...
context: Seriously?!\A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah...\That's the one.\Real dragons still exist... response:	You! Do you know where Igneel is?!
context: A real dragon...\There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah...\That's the one.\Real dragons still exist...\You! Do you know where Igneel is?! response:	And Grandine and Metalicana, too?!
context: There are still dragons alive after all...\The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah...\That's the one.\Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?! response:	Knock it off, Natsu!
context: The Black Dragon of the Apocalypse...\Is this the one called Acnologia...?\Yeah...\That's the one.\Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu! response:	Don't provoke it! I know I told you how I got this arm...
context: Is this the one called Acnologia...?\Yeah...\That's the one.\Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm... response:	No, how my whole body got like this!
context: Yeah...\That's the one.\Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this! response:	Natsu, take a look at this.
context: That's the one.\Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this. response:	It basically all happened in a flash.
context: Real dragons still exist...\You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash. response:	My left arm and leg, and my internal organs, too...
context: You! Do you know where Igneel is?!\And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too... response:	I don't know what kind of guy this Igneel fellow is,
context: And Grandine and Metalicana, too?!\Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is, response:	but the black one is an enemy of humanity. Of that, there's no doubt.
context: Knock it off, Natsu!\Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt. response:	Plus... A human can't beat it.
context: Don't provoke it! I know I told you how I got this arm...\No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it. response:	It's coming down!
context: No, how my whole body got like this!\Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down! response:	That's not the kind of dragon Natsu and the others love!
context: Natsu, take a look at this.\It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love! response:	This is an evil one...
context: It basically all happened in a flash.\My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one... response:	Yeah, you're right about that.
context: My left arm and leg, and my internal organs, too...\I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that. response:	This bastard is humanity's enemy!
context: I don't know what kind of guy this Igneel fellow is,\but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy! response:	Then are we gonna fight it?
context: but the black one is an enemy of humanity. Of that, there's no doubt.\Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it? response:	No. You're lookin' at this the wrong way, Natsu.
context: Plus... A human can't beat it.\It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu. response:	It's not about winning or losing with this one.
context: It's coming down!\That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one. response:	It's, how are we gonna escape from it?
context: That's not the kind of dragon Natsu and the others love!\This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it? response:	No, more like, which of us are gonna survive?
context: This is an evil one...\Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive? response:	You're sayin' this thing is gonna kill some of us?!
context: Yeah, you're right about that.\This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?! response:	Oh, no! Everyone, run!
context: This bastard is humanity's enemy!\Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run! response:	Master!
context: Then are we gonna fight it?\No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master! response:	H-Hey...
context: No. You're lookin' at this the wrong way, Natsu.\It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master!\H-Hey... response:	What the hell...? The whole forest is just... gone.
context: It's not about winning or losing with this one.\It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master!\H-Hey...\What the hell...? The whole forest is just... gone. response:	I don't believe it!
context: It's, how are we gonna escape from it?\No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master!\H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it! response:	How powerful is that thing?!
context: No, more like, which of us are gonna survive?\You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master!\H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it!\How powerful is that thing?! response:	What is this? It did this with its roar alone?
context: You're sayin' this thing is gonna kill some of us?!\Oh, no! Everyone, run!\Master!\H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it!\How powerful is that thing?!\What is this? It did this with its roar alone? response:	What is that monster?!
context: Oh, no! Everyone, run!\Master!\H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it!\How powerful is that thing?!\What is this? It did this with its roar alone?\What is that monster?! response:	It's...
context: Master!\H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it!\How powerful is that thing?!\What is this? It did this with its roar alone?\What is that monster?!\It's... response:	Tch! What, is it admiring its work?!
context: H-Hey...\What the hell...? The whole forest is just... gone.\I don't believe it!\How powerful is that thing?!\What is this? It did this with its roar alone?\What is that monster?!\It's...\Tch! What, is it admiring its work?! response:	I guess that was its way of introducing itself, for now...
