context: Burnt Field (Part 1) response:	Um...
context: It's like photos of students who were absent on the day of the graduation album class photo.\Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy. response:	Designing is tough after all.
context: Well, they kept taking photo after photo.\But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all. response:	That's strange. I was in the PC Club when I was in college.
context: But then it had this We're always watching you from Heaven vibe.\So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college. response:	His initial enthusiasm had been so dampened that the chairman lost it.
context: So you tried it, then.\It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it. response:	SHOGI HALL
context: It's difficult raising funds for the Kishou Championship.\I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL response:	That's enough! It's fine!
context: I asked Nakamura, the general manager of the Shogi Association, to come up with a design.\but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine! response:	STRICT BUDGET
context: but without spending any money, it's a tall order.\Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine!\STRICT BUDGET response:	NEW IDEAS
context: Yeah, I thought it'd be easy.\Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine!\STRICT BUDGET\NEW IDEAS response:	In fact, why don't we showcase their feebleness?
context: Designing is tough after all.\That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine!\STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness? response:	We can have a stationary camera
context: That's strange. I was in the PC Club when I was in college.\His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine!\STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera response:	Time Remaining Heart Rate
context: His initial enthusiasm had been so dampened that the chairman lost it.\SHOGI HALL\That's enough! It's fine!\STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate response:	that displays their EKG and heart rate along with the time remaining in the match!
context: SHOGI HALL\That's enough! It's fine!\STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match! response:	And we can have a nurse standing by in the next room!
context: That's enough! It's fine!\STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room! response:	Like, If either one of them collapses, there's nothing to worry about!
context: STRICT BUDGET\NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about! response:	Toku! Enough already!
context: NEW IDEAS\In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already! response:	That kind of mockery is too cruel!
context: In fact, why don't we showcase their feebleness?\We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel! response:	PROPOSALS
context: We can have a stationary camera\Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS response:	This might be a relatively small-scale event, but it's one of seven prestigious major titles!
context: Time Remaining Heart Rate\that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles! response:	GAP
context: that displays their EKG and heart rate along with the time remaining in the match!\And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP response:	The Kishou Championship is my life!
context: And we can have a nurse standing by in the next room!\Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life! response:	We have support from five papers, but they're all small local newspapers so the budget was cut.
context: Like, If either one of them collapses, there's nothing to worry about!\Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut. response:	SPONSORS STRICT BUDGET
context: Toku! Enough already!\That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET response:	ANNOUNCEMENTS NEW IDEAS
context: That kind of mockery is too cruel!\PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS response:	This is a tight period! Surely you understand that!
context: PROPOSALS\This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that! response:	GAP
context: This might be a relatively small-scale event, but it's one of seven prestigious major titles!\GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP response:	69th Meijin Championship
context: GAP\The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP\69th Meijin Championship response:	Even at the best of times, it overlaps with the Meijin Championship, so business is slow!
context: The Kishou Championship is my life!\We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow! response:	Surpass the Legend
context: We have support from five papers, but they're all small local newspapers so the budget was cut.\SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend response:	If we lose even more spectators and attention,
context: SPONSORS STRICT BUDGET\ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention, response:	from next year, the Kishou Championship...
context: ANNOUNCEMENTS NEW IDEAS\This is a tight period! Surely you understand that!\GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship... response:	GLARE
context: This is a tight period! Surely you understand that!\GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE response:	SHOGI HALL
context: GAP\69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE\SHOGI HALL response:	A five-minute walk from Tokyo JR Sendagaya Station
context: 69th Meijin Championship\Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station response:	So I appreciate your help.
context: Even at the best of times, it overlaps with the Meijin Championship, so business is slow!\Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help. response:	Whether or not next year's Kishou Championship will be held entirely
context: Surpass the Legend\If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely response:	at the Shogi Hall depends on you guys.
context: If we lose even more spectators and attention,\from next year, the Kishou Championship...\GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys. response:	So don't hold anything back. Give a lively commentary.
context: from next year, the Kishou Championship...\GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary. response:	These two are providing the demo board commentary.
context: GLARE\SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary. response:	GULP
context: SHOGI HALL\A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP response:	HEAVY RESPONSIBILITY
context: A five-minute walk from Tokyo JR Sendagaya Station\So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY response:	VARIOUS RECEPTION PLANNER
context: So I appreciate your help.\Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER response:	But it really helped that you came.
context: Whether or not next year's Kishou Championship will be held entirely\at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came. response:	Really.
context: at the Shogi Hall depends on you guys.\So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really. response:	Of course I'll do my best with the demo board commentary!
context: So don't hold anything back. Give a lively commentary.\These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary! response:	But what's with all the gratitude, Brother?
context: These two are providing the demo board commentary.\GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother? response:	You'll find out soon.
context: GULP\HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon. response:	Hey!
context: HEAVY RESPONSIBILITY\VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon.\Hey! response:	Kan! Long time no see!
context: VARIOUS RECEPTION PLANNER\But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon.\Hey!\Kan! Long time no see! response:	How've you been?
context: But it really helped that you came.\Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon.\Hey!\Kan! Long time no see!\How've you been? response:	Kaku! Yasu! It's been a long time!
context: Really.\Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon.\Hey!\Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time! response:	How are you doing?
context: Of course I'll do my best with the demo board commentary!\But what's with all the gratitude, Brother?\You'll find out soon.\Hey!\Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time!\How are you doing? response:	Hey, Saku!
context: But what's with all the gratitude, Brother?\You'll find out soon.\Hey!\Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku! response:	Kishou Yanagihara! Long time no see.
context: You'll find out soon.\Hey!\Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see. response:	TO THE BRIM
context: Hey!\Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM response:	Well, here's our third pre-toast!
context: Kan! Long time no see!\How've you been?\Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast! response:	Ready?!
context: How've you been?\Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast!\Ready?! response:	Cheers!
context: Kaku! Yasu! It's been a long time!\How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast!\Ready?!\Cheers! response:	BAM
context: How are you doing?\Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast!\Ready?!\Cheers!\BAM response:	I'm thrilled to see all of you again this year.
context: Hey, Saku!\Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast!\Ready?!\Cheers!\BAM\I'm thrilled to see all of you again this year. response:	Thank you, everyone!
context: Kishou Yanagihara! Long time no see.\TO THE BRIM\Well, here's our third pre-toast!\Ready?!\Cheers!\BAM\I'm thrilled to see all of you again this year.\Thank you, everyone! response:	ROWDY ROWDY
context: TO THE BRIM\Well, here's our third pre-toast!\Ready?!\Cheers!\BAM\I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY response:	Hey, Saku!
context: Well, here's our third pre-toast!\Ready?!\Cheers!\BAM\I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY\Hey, Saku! response:	Wh-What is this?
context: Ready?!\Cheers!\BAM\I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY\Hey, Saku!\Wh-What is this? response:	A devious person.
context: Cheers!\BAM\I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY\Hey, Saku!\Wh-What is this?\A devious person. response:	This formidable home game feeling at the Kishou Championship.
context: BAM\I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY\Hey, Saku!\Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship. response:	Most of the reporters and staffers here are like Mr. Yanagihara's pals.
context: I'm thrilled to see all of you again this year.\Thank you, everyone!\ROWDY ROWDY\Hey, Saku!\Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals. response:	The Kishou Championship challenger is stuck with this awful away game feeling.
context: Thank you, everyone!\ROWDY ROWDY\Hey, Saku!\Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling. response:	HUG
context: ROWDY ROWDY\Hey, Saku!\Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG response:	I missed you, Saku!
context: Hey, Saku!\Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku! response:	Hey, don't be such an old goat. I missed you too!
context: Wh-What is this?\A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too! response:	Geez, during this title championship,
context: A devious person.\This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship, response:	whether I take a bath, go to the salon for coffee, or have a meal,
context: This formidable home game feeling at the Kishou Championship.\Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal, response:	it's always this atmosphere.
context: Most of the reporters and staffers here are like Mr. Yanagihara's pals.\The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere. response:	Of course it's the same on the train going both ways.
context: The Kishou Championship challenger is stuck with this awful away game feeling.\HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways. response:	No matter where I go, I hear a chorus of voices.
context: HUG\I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices. response:	The old man is shrewd that way.
context: I missed you, Saku!\Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way. response:	He makes himself the center of attention.
context: Hey, don't be such an old goat. I missed you too!\Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention. response:	He's 66 years old, and an active Class A player.
context: Geez, during this title championship,\whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player. response:	He's won the title 14 times.
context: whether I take a bath, go to the salon for coffee, or have a meal,\it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times. response:	A true monster.
context: it's always this atmosphere.\Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster. response:	Or after getting this far, maybe more on the level of a vengeful ghost.
context: Of course it's the same on the train going both ways.\No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost. response:	An extra-large one.
context: No matter where I go, I hear a chorus of voices.\The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one. response:	But in this fifth Kishou Championship match, I've cornered him, 2-2.
context: The old man is shrewd that way.\He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one.\But in this fifth Kishou Championship match, I've cornered him, 2-2. response:	From the City of Shogi, Tendou, Let's Get a Master!
context: He makes himself the center of attention.\He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one.\But in this fifth Kishou Championship match, I've cornered him, 2-2.\From the City of Shogi, Tendou, Let's Get a Master! response:	I want it. I'll bite into anything I can.
context: He's 66 years old, and an active Class A player.\He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one.\But in this fifth Kishou Championship match, I've cornered him, 2-2.\From the City of Shogi, Tendou, Let's Get a Master!\I want it. I'll bite into anything I can. response:	My first title!
context: He's won the title 14 times.\A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one.\But in this fifth Kishou Championship match, I've cornered him, 2-2.\From the City of Shogi, Tendou, Let's Get a Master!\I want it. I'll bite into anything I can.\My first title! response:	I swear I'll take it.
context: A true monster.\Or after getting this far, maybe more on the level of a vengeful ghost.\An extra-large one.\But in this fifth Kishou Championship match, I've cornered him, 2-2.\From the City of Shogi, Tendou, Let's Get a Master!\I want it. I'll bite into anything I can.\My first title!\I swear I'll take it. response:	And with apologies to the old man, I'm going to end his reunions!
