context: I am disappointed, Werewolf Queen. response:	As am I, Vampire King.
context: As someone who's shed her own blood, I'm sure...\So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon. response:	Just get rid of her while you have the chance!
context: So what if I did?\If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance! response:	That I cannot do.
context: If it means leaving a peaceful world to my children,\I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do. response:	After all, she's my invited guest.
context: I'll gladly relinquish my powers.\Huh?\Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest. response:	Then I'll do it myself!
context: Huh?\Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest.\Then I'll do it myself! response:	That's fine, isn't it?
context: Oh, please! Such lip service!\Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it? response:	What's taking Mother so long?
context: Listen...\That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long? response:	I wonder what they're talking about?
context: That faux-wolf will surely attack soon.\Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about? response:	We came all this way to meet her!
context: Just get rid of her while you have the chance!\That I cannot do.\After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her! response:	A storm's brewing.
context: That I cannot do.\After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing. response:	Are you scared?
context: After all, she's my invited guest.\Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing.\Are you scared? response:	Heck, no! I'm all grown up now!
context: Then I'll do it myself!\That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now! response:	Good evening, sweet puppies.
context: That's fine, isn't it?\What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies. response:	I assign you the rank of guard, Sir Theo, but you don't have to join the troops.
context: What's taking Mother so long?\I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops. response:	Do you have a task for me?
context: I wonder what they're talking about?\We came all this way to meet her!\A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me? response:	A task? Let's see...
context: We came all this way to meet her!\A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see... response:	How about I have you do guard duty whenever I leave the castle.
context: A storm's brewing.\Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle. response:	When I'm here, you can do whatever you want.
context: Are you scared?\Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want. response:	Right...
context: Heck, no! I'm all grown up now!\Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right... response:	My name is Laura Hardry.
context: Good evening, sweet puppies.\I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry. response:	I am somewhat versed in Abjuration Magic.
context: I assign you the rank of guard, Sir Theo, but you don't have to join the troops.\Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic. response:	Helga Piarosa.
context: Do you have a task for me?\A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa. response:	I studied Life Magic at the Mage Academy.
context: A task? Let's see...\How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy. response:	I'm Colleen Messala.
context: How about I have you do guard duty whenever I leave the castle.\When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala. response:	Oh, my specialty is alchemy magic.
context: When I'm here, you can do whatever you want.\Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic. response:	We've heard the rumors about you.
context: Right...\My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you. response:	You belived once you mastered the basics you'd learn how to apply them on your own,
context: My name is Laura Hardry.\I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own, response:	and so you switched from major to major.
context: I am somewhat versed in Abjuration Magic.\Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major. response:	You must be quite talented.
context: Helga Piarosa.\I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented. response:	Not as much as you three.
context: I studied Life Magic at the Mage Academy.\I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented.\Not as much as you three. response:	There's no time for idle chitchat.
context: I'm Colleen Messala.\Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented.\Not as much as you three.\There's no time for idle chitchat. response:	We're having company tonight.
context: Oh, my specialty is alchemy magic.\We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented.\Not as much as you three.\There's no time for idle chitchat.\We're having company tonight. response:	Who will be coming?
context: We've heard the rumors about you.\You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented.\Not as much as you three.\There's no time for idle chitchat.\We're having company tonight.\Who will be coming? response:	The prince of the small continent of Dartagnia, Lord Milza Kuces.
context: You belived once you mastered the basics you'd learn how to apply them on your own,\and so you switched from major to major.\You must be quite talented.\Not as much as you three.\There's no time for idle chitchat.\We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces. response:	He's been traveling in secret for the last five years,
context: and so you switched from major to major.\You must be quite talented.\Not as much as you three.\There's no time for idle chitchat.\We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years, response:	and he's stopping by before heading home.
context: You must be quite talented.\Not as much as you three.\There's no time for idle chitchat.\We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home. response:	Artuk's neighbor across the sea.
context: Not as much as you three.\There's no time for idle chitchat.\We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea. response:	They've been on friendly terms since ancient times, right?
context: There's no time for idle chitchat.\We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right? response:	He's an esteemed guest.
context: We're having company tonight.\Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest. response:	Be on your best behavior.
context: Who will be coming?\The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior. response:	I don't know who assassinated those two archdukes,
context: The prince of the small continent of Dartagnia, Lord Milza Kuces.\He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes, response:	but it goes to show that anybody can still become emperor.
context: He's been traveling in secret for the last five years,\and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor. response:	That's right. Including you, Lord Milza.
context: and he's stopping by before heading home.\Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza. response:	To become emperor, one needs geographical advantages and luck on one's side.
context: Artuk's neighbor across the sea.\They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side. response:	Dartagnia is a small continent, easy to protect but ill-suited for attacking.
context: They've been on friendly terms since ancient times, right?\He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking. response:	Should you become emperor, Lord Villar, I would be pleased to serve you.
context: He's an esteemed guest.\Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you. response:	I value aesthetics over ambition.
context: Be on your best behavior.\I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition. response:	Although, if I became emperor as a result of living a most beautiful life,
context: I don't know who assassinated those two archdukes,\but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life, response:	I would gladly accept it.
context: but it goes to show that anybody can still become emperor.\That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it. response:	That sets my mind at ease.
context: That's right. Including you, Lord Milza.\To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease. response:	If you had no intention of becoming emperor, Lord Villar...
context: To become emperor, one needs geographical advantages and luck on one's side.\Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar... response:	I would've taken your Crest back to Dartagnia with me.
context: Dartagnia is a small continent, easy to protect but ill-suited for attacking.\Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me. response:	If I were to cross swords with you, Lord Milzer,
context: Should you become emperor, Lord Villar, I would be pleased to serve you.\I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer, response:	I'd likely have no chance of winning.
context: I value aesthetics over ambition.\Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning. response:	I hear you've fought a wide array of foes.
context: Although, if I became emperor as a result of living a most beautiful life,\I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes. response:	I believe you've achieved the court rank of viscount?
context: I would gladly accept it.\That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount? response:	But that's amazing!
context: That sets my mind at ease.\If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing! response:	Who's he?
context: If you had no intention of becoming emperor, Lord Villar...\I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he? response:	A Knight Guard who recently began serving me. His name is Theo.
context: I would've taken your Crest back to Dartagnia with me.\If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo. response:	I've heard many rumors about him.
context: If I were to cross swords with you, Lord Milzer,\I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him. response:	To think he'd give up his viscount ranking for a single mage.
context: I'd likely have no chance of winning.\I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage. response:	I have no interest in those who lack ambition.
context: I hear you've fought a wide array of foes.\I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition. response:	That's how much value Theo sees in Siluca.
context: I believe you've achieved the court rank of viscount?\But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca. response:	In that young girl?
context: But that's amazing!\Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl? response:	That reminds me, Viscount Lassic David has begun his conquest of Savis.
context: Who's he?\A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis. response:	I've seen this Lord Lassic's performance on the battlefield.
context: A Knight Guard who recently began serving me. His name is Theo.\I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield. response:	His troops are formidable, and he leads them well.
context: I've heard many rumors about him.\To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well. response:	Lord Villar, you've gained a fine ally, wouldn't you say?
context: To think he'd give up his viscount ranking for a single mage.\I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say? response:	No doubt, he's an ally,
context: I have no interest in those who lack ambition.\That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally, response:	but Lord Lassic is only holding Sir Theo's court rank for now.
context: That's how much value Theo sees in Siluca.\In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now. response:	What?
context: In that young girl?\That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What? response:	Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.
context: That reminds me, Viscount Lassic David has begun his conquest of Savis.\I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo. response:	Unthinkable...
context: I've seen this Lord Lassic's performance on the battlefield.\His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable... response:	Who would entrust their ambition to someone deprived of it?
context: His troops are formidable, and he leads them well.\Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable...\Who would entrust their ambition to someone deprived of it? response:	Eons ago...
context: Lord Villar, you've gained a fine ally, wouldn't you say?\No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable...\Who would entrust their ambition to someone deprived of it?\Eons ago... response:	The Demon Lords that emerged in Artuk
context: No doubt, he's an ally,\but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable...\Who would entrust their ambition to someone deprived of it?\Eons ago...\The Demon Lords that emerged in Artuk response:	wreaked havoc and destruction for almost a decade, until dispersing naturally.
context: but Lord Lassic is only holding Sir Theo's court rank for now.\What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable...\Who would entrust their ambition to someone deprived of it?\Eons ago...\The Demon Lords that emerged in Artuk\wreaked havoc and destruction for almost a decade, until dispersing naturally. response:	In those days, the citizens of Artuk fortified their villages,
context: What?\Lord Lassic is ambitious, but he's even offered up that ambition to Sir Theo.\Unthinkable...\Who would entrust their ambition to someone deprived of it?\Eons ago...\The Demon Lords that emerged in Artuk\wreaked havoc and destruction for almost a decade, until dispersing naturally.\In those days, the citizens of Artuk fortified their villages, response:	confronting the Chaos head on in an effort to thwart it.
