context: Aye, sir! response:	We came to my homeland, Edolas!
context: You bastard! You aren't going to get away with this!\I'm gonna whup you good!\That's Natsu's voice!\He's near here?\I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead!\Right! response:	Can you stand, Lucy?
context: I'm gonna whup you good!\That's Natsu's voice!\He's near here?\I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead!\Right!\Can you stand, Lucy? response:	Yeah.
context: That's Natsu's voice!\He's near here?\I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead!\Right!\Can you stand, Lucy?\Yeah. response:	How did you get here?
context: He's near here?\I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead!\Right!\Can you stand, Lucy?\Yeah.\How did you get here? response:	I'll fill you in later.
context: I bet he's up ahead!\Wendy should be with him!\Gray, go on ahead!\Right!\Can you stand, Lucy?\Yeah.\How did you get here?\I'll fill you in later. response:	Let's go!
context: Wendy should be with him!\Gray, go on ahead!\Right!\Can you stand, Lucy?\Yeah.\How did you get here?\I'll fill you in later.\Let's go! response:	I would have never guessed it would be me who stands in my way.
context: Gray, go on ahead!\Right!\Can you stand, Lucy?\Yeah.\How did you get here?\I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way. response:	This is an odd feeling.
context: Right!\Can you stand, Lucy?\Yeah.\How did you get here?\I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling. response:	I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.
context: Can you stand, Lucy?\Yeah.\How did you get here?\I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker. response:	I am Erza Scarlet.
context: Yeah.\How did you get here?\I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet. response:	A Fairy Tail Wizard.
context: How did you get here?\I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard. response:	Show me just what the Earthland me has got...
context: I'll fill you in later.\Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got... response:	Sylpharion!
context: Let's go!\I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion! response:	She's fast!
context: I would have never guessed it would be me who stands in my way.\This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion!\She's fast! response:	In that case, Soaring Armor!
context: This is an odd feeling.\I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion!\She's fast!\In that case, Soaring Armor! response:	When she changed her armor, her speed increased?
context: I am the Captain of the Second Magic Regiment of the Edolas Royal Army, Erza Knightwalker.\I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion!\She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased? response:	Mel Force!
context: I am Erza Scarlet.\A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion!\She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force! response:	Requip?
context: A Fairy Tail Wizard.\Show me just what the Earthland me has got...\Sylpharion!\She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force!\Requip? response:	No... She's changing the shape of her weapon?
context: Show me just what the Earthland me has got...\Sylpharion!\She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force!\Requip?\No... She's changing the shape of her weapon? response:	Explosion!
context: Sylpharion!\She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force!\Requip?\No... She's changing the shape of her weapon?\Explosion! response:	The form of her armor has changed again...
context: She's fast!\In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force!\Requip?\No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again... response:	Your magic allows you to change the shape of your weapons and armor both?
context: In that case, Soaring Armor!\When she changed her armor, her speed increased?\Mel Force!\Requip?\No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both? response:	It looks like the Edolas me can only change her weapons.
context: When she changed her armor, her speed increased?\Mel Force!\Requip?\No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons. response:	Depending on the form of my lance, my physical battle abilities can be raised.
context: Mel Force!\Requip?\No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised. response:	The fundamentals are different, but the end effect is the same as my The Knight.
context: Requip?\No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight. response:	You'll soon see the true power of my magic lance, Ten Commandments!
context: No... She's changing the shape of her weapon?\Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments! response:	Come!
context: Explosion!\The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come! response:	The lacrima in an open square?
context: The form of her armor has changed again...\Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square? response:	Yeah, that's right.
context: Your magic allows you to change the shape of your weapons and armor both?\It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square?\Yeah, that's right. response:	Seems like that part was basically Erza and I.
context: It looks like the Edolas me can only change her weapons.\Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I. response:	No way!
context: Depending on the form of my lance, my physical battle abilities can be raised.\The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I.\No way! response:	But, how did you turn back to normal?
context: The fundamentals are different, but the end effect is the same as my The Knight.\You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal? response:	Gajeel showed up.
context: You'll soon see the true power of my magic lance, Ten Commandments!\Come!\The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal?\Gajeel showed up. response:	Alright! I can really go crazy now!
context: Come!\The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now! response:	Hey, what are you doing? Stand back!
context: The lacrima in an open square?\Yeah, that's right.\Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back! response:	That Mystogan guy's a shady character,
context: Yeah, that's right.\Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character, response:	but I'll believe'im just for a bit this time!
context: Seems like that part was basically Erza and I.\No way!\But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time! response:	Pole of the Iron Dragon!
context: No way!\But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon! response:	Sword of the Iron Dragon!
context: But, how did you turn back to normal?\Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon! response:	There's more where that came from!
context: Gajeel showed up.\Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from! response:	What's this?
context: Alright! I can really go crazy now!\Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from!\What's this? response:	What the... Only two?
context: Hey, what are you doing? Stand back!\That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from!\What's this?\What the... Only two? response:	Hey, wake up! Pay attention!
context: That Mystogan guy's a shady character,\but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from!\What's this?\What the... Only two?\Hey, wake up! Pay attention! response:	Ah, you're awake.
context: but I'll believe'im just for a bit this time!\Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from!\What's this?\What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake. response:	Gajeel?
context: Pole of the Iron Dragon!\Sword of the Iron Dragon!\There's more where that came from!\What's this?\What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel? response:	What happened?
context: Sword of the Iron Dragon!\There's more where that came from!\What's this?\What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel?\What happened? response:	I'll explain later.
context: There's more where that came from!\What's this?\What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel?\What happened?\I'll explain later. response:	We're beatin' it outta here!
context: What's this?\What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel?\What happened?\I'll explain later.\We're beatin' it outta here! response:	You fiend!
context: What the... Only two?\Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel?\What happened?\I'll explain later.\We're beatin' it outta here!\You fiend! response:	What have you done? You won't get away!
context: Hey, wake up! Pay attention!\Ah, you're awake.\Gajeel?\What happened?\I'll explain later.\We're beatin' it outta here!\You fiend!\What have you done? You won't get away! response:	I can't use magic!
context: Ah, you're awake.\Gajeel?\What happened?\I'll explain later.\We're beatin' it outta here!\You fiend!\What have you done? You won't get away!\I can't use magic! response:	What?
context: Gajeel?\What happened?\I'll explain later.\We're beatin' it outta here!\You fiend!\What have you done? You won't get away!\I can't use magic!\What? response:	I said, I'll explain later.
context: What happened?\I'll explain later.\We're beatin' it outta here!\You fiend!\What have you done? You won't get away!\I can't use magic!\What?\I said, I'll explain later. response:	Roar of the Fire Dragon!
context: I'll explain later.\We're beatin' it outta here!\You fiend!\What have you done? You won't get away!\I can't use magic!\What?\I said, I'll explain later.\Roar of the Fire Dragon! response:	Why is it you can use magic?
context: We're beatin' it outta here!\You fiend!\What have you done? You won't get away!\I can't use magic!\What?\I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic? response:	First, take one of these.
context: You fiend!\What have you done? You won't get away!\I can't use magic!\What?\I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these. response:	What?
context: What have you done? You won't get away!\I can't use magic!\What?\I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these.\What? response:	What happened?
context: I can't use magic!\What?\I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these.\What?\What happened? response:	Tell us the details!
context: What?\I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these.\What?\What happened?\Tell us the details! response:	The two of you were turned into a lacrima.
context: I said, I'll explain later.\Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these.\What?\What happened?\Tell us the details!\The two of you were turned into a lacrima. response:	Oh, you're here.
context: Roar of the Fire Dragon!\Why is it you can use magic?\First, take one of these.\What?\What happened?\Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here. response:	As expected from my Earthland self.
context: Why is it you can use magic?\First, take one of these.\What?\What happened?\Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self. response:	You rescued them splendidly!
context: First, take one of these.\What?\What happened?\Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly! response:	There are two...
context: What?\What happened?\Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly!\There are two... response:	I am the Gajeel from this world.
context: What happened?\Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly!\There are two...\I am the Gajeel from this world. response:	He's a pretty useful guy.
context: Tell us the details!\The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly!\There are two...\I am the Gajeel from this world.\He's a pretty useful guy. response:	Look at his face! That's a face that says I get things done.
context: The two of you were turned into a lacrima.\Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly!\There are two...\I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done. response:	That aside, what do you mean we were turned into lacrima?
context: Oh, you're here.\As expected from my Earthland self.\You rescued them splendidly!\There are two...\I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima? response:	That aside...?
context: As expected from my Earthland self.\You rescued them splendidly!\There are two...\I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...? response:	It means she doesn't give a crap about your face.
context: You rescued them splendidly!\There are two...\I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face. response:	All the wizards of Fairy Tail have been turned into lacrima.
context: There are two...\I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima. response:	They were after your magic power.
context: I am the Gajeel from this world.\He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power. response:	I thought the lacrima in the open square was it, but...
context: He's a pretty useful guy.\Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but... response:	Even though it was so big, it was only you two.
context: Look at his face! That's a face that says I get things done.\That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two. response:	How hella big is the real one?
context: That aside, what do you mean we were turned into lacrima?\That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one? response:	There was a cut face on that lacrima, yes...
context: That aside...?\It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes... response:	Now that I think about it, that means it was a section that was cut off.
context: It means she doesn't give a crap about your face.\All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off. response:	There's still so much I want to ask, but what were those strange pills?
context: All the wizards of Fairy Tail have been turned into lacrima.\They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills? response:	They're called exballs,
context: They were after your magic power.\I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs, response:	and they're said to be a medicine that lets you use magic in this world.
context: I thought the lacrima in the open square was it, but...\Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world. response:	We'll talk about the rest after you take these.
context: Even though it was so big, it was only you two.\How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these. response:	Said to be?
context: How hella big is the real one?\There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be? response:	I got'em from Mystogan.
context: There was a cut face on that lacrima, yes...\Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan. response:	From Mystogan?
context: Now that I think about it, that means it was a section that was cut off.\There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan.\From Mystogan? response:	I see! Gajeel is also a Dragon Slayer,
context: There's still so much I want to ask, but what were those strange pills?\They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer, response:	so Anima didn't work on him either, just like Natsu and Wendy!
context: They're called exballs,\and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy! response:	He wasn't sucked over here, but remained in Earthland?
context: and they're said to be a medicine that lets you use magic in this world.\We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland? response:	Then, Mystogan sent Gajeel here.
context: We'll talk about the rest after you take these.\Said to be?\I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here. response:	Why won't he come here himself?
context: Said to be?\I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself? response:	In this world Dragon Slayer Magic can be used for a bunch of things.
context: I got'em from Mystogan.\From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things. response:	It can turn our friends turned into lacrima back to normal!
context: From Mystogan?\I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal! response:	Really?
context: I see! Gajeel is also a Dragon Slayer,\so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really? response:	We know where that lacrima is!
context: so Anima didn't work on him either, just like Natsu and Wendy!\He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is! response:	Really, Happy?
context: He wasn't sucked over here, but remained in Earthland?\Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is!\Really, Happy? response:	Aye!
context: Then, Mystogan sent Gajeel here.\Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is!\Really, Happy?\Aye! response:	Gajeel's running wild in the city right now searching for that giant lacrima!
context: Why won't he come here himself?\In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is!\Really, Happy?\Aye!\Gajeel's running wild in the city right now searching for that giant lacrima! response:	Can you take Gajeel to where the lacrima is?
context: In this world Dragon Slayer Magic can be used for a bunch of things.\It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is!\Really, Happy?\Aye!\Gajeel's running wild in the city right now searching for that giant lacrima!\Can you take Gajeel to where the lacrima is? response:	Gajeel should be able to turn everyone back to normal, right?
context: It can turn our friends turned into lacrima back to normal!\Really?\We know where that lacrima is!\Really, Happy?\Aye!\Gajeel's running wild in the city right now searching for that giant lacrima!\Can you take Gajeel to where the lacrima is?\Gajeel should be able to turn everyone back to normal, right? response:	To be precise, Natsu and Wendy should also be able to, but they wouldn't know how.
