context: Figure skating is the beautiful winter sport everyone loves! response:	How dare you use it as a weapon to hurt an innocent girl?!
context: Sailor Moon is gonna punish you, okay?!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	They're wonderful!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful! response:	You can tell why Janelyn and Misha are Olympic gold medallists.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists. response:	So beautiful!
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful! response:	Ouch!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch! response:	Oh! Ouch!
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch!\Oh! Ouch! response:	Oh! Usagi!
context: We were born in the same land, miracle romance\I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch!\Oh! Ouch!\Oh! Usagi! response:	Usagi!
context: I believe in it, miracle romance\They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch!\Oh! Ouch!\Oh! Usagi!\Usagi! response:	But if she likes figure skating,
context: They're wonderful!\You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch!\Oh! Ouch!\Oh! Usagi!\Usagi!\But if she likes figure skating, response:	maybe she's becoming more aware of herself as the princess.
context: You can tell why Janelyn and Misha are Olympic gold medallists.\So beautiful!\Ouch!\Oh! Ouch!\Oh! Usagi!\Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess. response:	Yes. After all, figure skating was the most popular sport
context: So beautiful!\Ouch!\Oh! Ouch!\Oh! Usagi!\Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport response:	in the world of the moon.
context: Ouch!\Oh! Ouch!\Oh! Usagi!\Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon. response:	I know! The princess's skating was especially beautiful!
context: Oh! Ouch!\Oh! Usagi!\Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful! response:	What?! Really?!
context: Oh! Usagi!\Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?! response:	I guess I was gifted with a lot of talent!
context: Usagi!\But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent! response:	Stare...
context: But if she likes figure skating,\maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent!\Stare... response:	Paired With a Monster?! Ice Queen Mako
context: maybe she's becoming more aware of herself as the princess.\Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako response:	Figure skating...
context: Yes. After all, figure skating was the most popular sport\in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating... response:	If I use this sport, supposedly the most popular
context: in the world of the moon.\I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular response:	among the girls on the moon...
context: I know! The princess's skating was especially beautiful!\What?! Really?!\I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon... response:	You could lure Sailor Moon out
context: What?! Really?!\I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out response:	and finally take the Silver Crystal away from her.
context: I guess I was gifted with a lot of talent!\Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her. response:	Is that what you are saying?
context: Stare...\Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying? response:	On my honor...
context: Paired With a Monster?! Ice Queen Mako\Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor... response:	You will lure her out
context: Figure skating...\If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor...\You will lure her out response:	and stake your honor on this makeshift trap?
context: If I use this sport, supposedly the most popular\among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor...\You will lure her out\and stake your honor on this makeshift trap? response:	Endymion!
context: among the girls on the moon...\You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor...\You will lure her out\and stake your honor on this makeshift trap?\Endymion! response:	If you are a proud warrior,
context: You could lure Sailor Moon out\and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor...\You will lure her out\and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior, response:	should you not attack your enemy head on?
context: and finally take the Silver Crystal away from her.\Is that what you are saying?\On my honor...\You will lure her out\and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior,\should you not attack your enemy head on? response:	A battle is meaningless without a victory.
context: Is that what you are saying?\On my honor...\You will lure her out\and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory. response:	If you had not interfered unnecessarily,
context: On my honor...\You will lure her out\and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily, response:	we would already have the Silver Crystal in our hands!
context: You will lure her out\and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands! response:	Heh, I wouldn't know about that.
context: and stake your honor on this makeshift trap?\Endymion!\If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that. response:	Well, enough of that.
context: Endymion!\If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that. response:	Kunzite, you may set that plan into motion immediately.
context: If you are a proud warrior,\should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately. response:	Yes, my lady.
context: should you not attack your enemy head on?\A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady. response:	What are you doing, Misha?!
context: A battle is meaningless without a victory.\If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?! response:	What about you?!
context: If you had not interfered unnecessarily,\we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?!\What about you?! response:	What kind of timing was that on that jump?!
context: we would already have the Silver Crystal in our hands!\Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?! response:	That's because you...
context: Heh, I wouldn't know about that.\Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?!\That's because you... response:	Oh, damn it all! That's enough practice for today!
context: Well, enough of that.\Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today! response:	Wait a second!
context: Kunzite, you may set that plan into motion immediately.\Yes, my lady.\What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second! response:	Janelyn, I thought we were Olympic gold medallists!
context: Yes, my lady.\What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists! response:	If these terrible practices continue,
context: What are you doing, Misha?!\What about you?!\What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue, response:	I'm going to go look for a new partner!
context: What about you?!\What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner! response:	That's my line!
context: What kind of timing was that on that jump?!\That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner!\That's my line! response:	I cannot allow you to break up.
context: That's because you...\Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up. response:	You two have been given a mission,
context: Oh, damn it all! That's enough practice for today!\Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up.\You two have been given a mission, response:	and that is to work for the Dark Kingdom.
context: Wait a second!\Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom. response:	Wow! I had no idea we had a skating rink like this.
context: Janelyn, I thought we were Olympic gold medallists!\If these terrible practices continue,\I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this. response:	Yeah, they just built it!
context: If these terrible practices continue,\I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it! response:	And to commemorate its opening, the Olympic gold medallists,
context: I'm going to go look for a new partner!\That's my line!\I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists, response:	Janelyn and Misha are going to coach us!
context: That's my line!\I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us! response:	Isn't that amazing?!
context: I cannot allow you to break up.\You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?! response:	But, so, why did we have to come, too?
context: You two have been given a mission,\and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too? response:	I have an open national mock exam tomorrow,
context: and that is to work for the Dark Kingdom.\Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow, response:	so I need to go home to study.
context: Wow! I had no idea we had a skating rink like this.\Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study. response:	Oh, the thing is... so I need to go home to study.
context: Yeah, they just built it!\And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study. response:	Oh, the thing is...
context: And to commemorate its opening, the Olympic gold medallists,\Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is... response:	Only groups of five girls get in free!
context: Janelyn and Misha are going to coach us!\Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free! response:	Yup, yup!
context: Isn't that amazing?!\But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free!\Yup, yup! response:	Groups of five?
context: But, so, why did we have to come, too?\I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free!\Yup, yup!\Groups of five? response:	Why?
context: I have an open national mock exam tomorrow,\so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free!\Yup, yup!\Groups of five?\Why? response:	See?! Why?
context: so I need to go home to study.\Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free!\Yup, yup!\Groups of five?\Why?\See?! Why? response:	See?! There's something suspicious!
context: Oh, the thing is... so I need to go home to study.\Oh, the thing is...\Only groups of five girls get in free!\Yup, yup!\Groups of five?\Why?\See?! Why?\See?! There's something suspicious! response:	There's something suspicious!
context: Oh, the thing is...\Only groups of five girls get in free!\Yup, yup!\Groups of five?\Why?\See?! Why?\See?! There's something suspicious!\There's something suspicious! response:	It makes you want to check it out, doesn't it?!
context: Only groups of five girls get in free!\Yup, yup!\Groups of five?\Why?\See?! Why?\See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?! response:	It's one of those, Ask, and you shall be answered, things!
context: Yup, yup!\Groups of five?\Why?\See?! Why?\See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things! response:	Shouldn't that be, Ask, and you shall receive?
context: Groups of five?\Why?\See?! Why?\See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive? response:	Oops! Shouldn't that be, Ask, and you shall receive?
context: Why?\See?! Why?\See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive? response:	Oops!
context: See?! Why?\See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops! response:	Oh, really?
context: See?! There's something suspicious!\There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really? response:	It doesn't matter which it is! Come on, let's go ask!
context: There's something suspicious!\It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask! response:	Wow! There are so many people!
context: It makes you want to check it out, doesn't it?!\It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people! response:	They're all just here out of curiosity.
context: It's one of those, Ask, and you shall be answered, things!\Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity. response:	A skating rink... Brings back memories, doesn't it?
context: Shouldn't that be, Ask, and you shall receive?\Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it? response:	I know! Oh? Where's Usagi?
context: Oops! Shouldn't that be, Ask, and you shall receive?\Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi? response:	Oh! Oops! Hey, wait, everyone!
context: Oops!\Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone! response:	It hurts!
context: Oh, really?\It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts! response:	Oh, it's the usual pattern.
context: It doesn't matter which it is! Come on, let's go ask!\Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern. response:	She certainly delivers, doesn't she?
context: Wow! There are so many people!\They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she? response:	Oh, Usagi.
context: They're all just here out of curiosity.\A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi. response:	This is just so embarrassing!
context: A skating rink... Brings back memories, doesn't it?\I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing! response:	Janelyn! Misha!
context: I know! Oh? Where's Usagi?\Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha! response:	Where?! Where?! Janelyn! Misha!
context: Oh! Oops! Hey, wait, everyone!\It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha! response:	Where?! Where?!
context: It hurts!\Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?! response:	It's really them!
context: Oh, it's the usual pattern.\She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them! response:	They're skating!
context: She certainly delivers, doesn't she?\Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them!\They're skating! response:	Oh, Misha!
context: Oh, Usagi.\This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them!\They're skating!\Oh, Misha! response:	He looks just like him...
context: This is just so embarrassing!\Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them!\They're skating!\Oh, Misha!\He looks just like him... response:	Everyone, thank you for coming!
context: Janelyn! Misha!\Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them!\They're skating!\Oh, Misha!\He looks just like him...\Everyone, thank you for coming! response:	Let's all have fun today, skating together!
context: Where?! Where?! Janelyn! Misha!\Where?! Where?!\It's really them!\They're skating!\Oh, Misha!\He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together! response:	Yeah!
context: Where?! Where?!\It's really them!\They're skating!\Oh, Misha!\He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah! response:	Of course, we will!
context: It's really them!\They're skating!\Oh, Misha!\He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah!\Of course, we will! response:	No matter what you're doing, the basics are important.
context: They're skating!\Oh, Misha!\He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah!\Of course, we will!\No matter what you're doing, the basics are important. response:	The first step is getting used to the ice.
context: Oh, Misha!\He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah!\Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice. response:	Okay!
context: He looks just like him...\Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah!\Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay! response:	Okay!
context: Everyone, thank you for coming!\Let's all have fun today, skating together!\Yeah!\Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay!\Okay! response:	Then, since you're an energetic group,
context: Let's all have fun today, skating together!\Yeah!\Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay!\Okay!\Then, since you're an energetic group, response:	come on out into the rink first.
context: Yeah!\Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay!\Okay!\Then, since you're an energetic group,\come on out into the rink first. response:	Oh, yes!
context: Of course, we will!\No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay!\Okay!\Then, since you're an energetic group,\come on out into the rink first.\Oh, yes! response:	Oh, no! I still don't have my skates on!
context: No matter what you're doing, the basics are important.\The first step is getting used to the ice.\Okay!\Okay!\Then, since you're an energetic group,\come on out into the rink first.\Oh, yes!\Oh, no! I still don't have my skates on! response:	What are you doing?! Hurry up!
context: The first step is getting used to the ice.\Okay!\Okay!\Then, since you're an energetic group,\come on out into the rink first.\Oh, yes!\Oh, no! I still don't have my skates on!\What are you doing?! Hurry up! response:	Oh, but... What are you doing?! Hurry up!
