context: Today, we'll be cooking with oil' response:	'so everyone, put on your gear, and let's work hard, alright?
context: If you don't put the croquette in the pot,\it won't cook.\I wonder if I can do it'\Sakura.\You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot'\What do I do? I'm scared! response:	Are you alright?
context: it won't cook.\I wonder if I can do it'\Sakura.\You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot'\What do I do? I'm scared!\Are you alright? response:	Yes'
context: I wonder if I can do it'\Sakura.\You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot'\What do I do? I'm scared!\Are you alright?\Yes' response:	Everyone, when cooking with oil,
context: Sakura.\You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot'\What do I do? I'm scared!\Are you alright?\Yes'\Everyone, when cooking with oil, response:	it's very hot, so please pay attention.
context: You can do it. You're good at cooking.\I'll try it again.\Sakura, the pot'\What do I do? I'm scared!\Are you alright?\Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention. response:	Right!
context: I'll try it again.\Sakura, the pot'\What do I do? I'm scared!\Are you alright?\Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right! response:	You're not hurt, are you?
context: Sakura, the pot'\What do I do? I'm scared!\Are you alright?\Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right!\You're not hurt, are you? response:	No, it's nothing.
context: What do I do? I'm scared!\Are you alright?\Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right!\You're not hurt, are you?\No, it's nothing. response:	Mei Lin,
context: Are you alright?\Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right!\You're not hurt, are you?\No, it's nothing.\Mei Lin, response:	thanks for turning it off for me.
context: Yes'\Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right!\You're not hurt, are you?\No, it's nothing.\Mei Lin,\thanks for turning it off for me. response:	Kinomoto.
context: Everyone, when cooking with oil,\it's very hot, so please pay attention.\Right!\You're not hurt, are you?\No, it's nothing.\Mei Lin,\thanks for turning it off for me.\Kinomoto. response:	Um, next time I'll be careful'
context: it's very hot, so please pay attention.\Right!\You're not hurt, are you?\No, it's nothing.\Mei Lin,\thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful' response:	Where's this Maki's shop?
context: Right!\You're not hurt, are you?\No, it's nothing.\Mei Lin,\thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop? response:	What?
context: You're not hurt, are you?\No, it's nothing.\Mei Lin,\thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop?\What? response:	Thank you very much.
context: No, it's nothing.\Mei Lin,\thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop?\What?\Thank you very much. response:	Huh?
context: Mei Lin,\thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop?\What?\Thank you very much.\Huh? response:	H' hello'
context: thanks for turning it off for me.\Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop?\What?\Thank you very much.\Huh?\H' hello' response:	Um, the Enchanting'
context: Kinomoto.\Um, next time I'll be careful'\Where's this Maki's shop?\What?\Thank you very much.\Huh?\H' hello'\Um, the Enchanting' response:	Enchanting'
context: Um, next time I'll be careful'\Where's this Maki's shop?\What?\Thank you very much.\Huh?\H' hello'\Um, the Enchanting'\Enchanting' response:	Oh, you mean the cards? We've got a lot of them.
context: Where's this Maki's shop?\What?\Thank you very much.\Huh?\H' hello'\Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them. response:	Which one would you like?
context: What?\Thank you very much.\Huh?\H' hello'\Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like? response:	L' L'
context: Thank you very much.\Huh?\H' hello'\Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L' response:	Yes?
context: Huh?\H' hello'\Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L'\Yes? response:	That looks good, right?
context: H' hello'\Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L'\Yes?\That looks good, right? response:	Yep.
context: Um, the Enchanting'\Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L'\Yes?\That looks good, right?\Yep. response:	If you do it now, you should be fine.
context: Enchanting'\Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L'\Yes?\That looks good, right?\Yep.\If you do it now, you should be fine. response:	Okay.
context: Oh, you mean the cards? We've got a lot of them.\Which one would you like?\L' L'\Yes?\That looks good, right?\Yep.\If you do it now, you should be fine.\Okay. response:	Sakura!
context: Which one would you like?\L' L'\Yes?\That looks good, right?\Yep.\If you do it now, you should be fine.\Okay.\Sakura! response:	Are you okay?
context: L' L'\Yes?\That looks good, right?\Yep.\If you do it now, you should be fine.\Okay.\Sakura!\Are you okay? response:	Sorry about that'
context: Yes?\That looks good, right?\Yep.\If you do it now, you should be fine.\Okay.\Sakura!\Are you okay?\Sorry about that' response:	No problem. I'll take care of it today, OK?
context: That looks good, right?\Yep.\If you do it now, you should be fine.\Okay.\Sakura!\Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK? response:	How come you're so good at it?
context: Yep.\If you do it now, you should be fine.\Okay.\Sakura!\Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it? response:	Don't worry, you'll be able to do this.
context: If you do it now, you should be fine.\Okay.\Sakura!\Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this. response:	I wonder'
context: Okay.\Sakura!\Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder' response:	I'm home!
context: Sakura!\Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder'\I'm home! response:	I'll take one!
context: Are you okay?\Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder'\I'm home!\I'll take one! response:	Brother, don't eat that!
context: Sorry about that'\No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder'\I'm home!\I'll take one!\Brother, don't eat that! response:	Did you make this?
context: No problem. I'll take care of it today, OK?\How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder'\I'm home!\I'll take one!\Brother, don't eat that!\Did you make this? response:	Dad did'
context: How come you're so good at it?\Don't worry, you'll be able to do this.\I wonder'\I'm home!\I'll take one!\Brother, don't eat that!\Did you make this?\Dad did' response:	Then this should be fine!
context: Don't worry, you'll be able to do this.\I wonder'\I'm home!\I'll take one!\Brother, don't eat that!\Did you make this?\Dad did'\Then this should be fine! response:	What's that supposed to mean?!
context: I wonder'\I'm home!\I'll take one!\Brother, don't eat that!\Did you make this?\Dad did'\Then this should be fine!\What's that supposed to mean?! response:	Good morning!
context: I'm home!\I'll take one!\Brother, don't eat that!\Did you make this?\Dad did'\Then this should be fine!\What's that supposed to mean?!\Good morning! response:	Good morning!
context: I'll take one!\Brother, don't eat that!\Did you make this?\Dad did'\Then this should be fine!\What's that supposed to mean?!\Good morning!\Good morning! response:	How did the deep-frying practice go?
context: Brother, don't eat that!\Did you make this?\Dad did'\Then this should be fine!\What's that supposed to mean?!\Good morning!\Good morning!\How did the deep-frying practice go? response:	I see. But I'm sure you'll get the hang of it.
context: Did you make this?\Dad did'\Then this should be fine!\What's that supposed to mean?!\Good morning!\Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it. response:	Oh, Naoko, good morning!
context: Dad did'\Then this should be fine!\What's that supposed to mean?!\Good morning!\Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning! response:	Morning.
context: Then this should be fine!\What's that supposed to mean?!\Good morning!\Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning. response:	What's wrong? You look a little down.
context: What's that supposed to mean?!\Good morning!\Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down. response:	Because today's P.E. is jumping practice.
context: Good morning!\Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice. response:	But even though I wasn't able to do it before,
context: Good morning!\How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before, response:	I'll try hard today!
context: How did the deep-frying practice go?\I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today! response:	Go for it!
context: I see. But I'm sure you'll get the hang of it.\Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today!\Go for it! response:	We'll be rooting for you!
context: Oh, Naoko, good morning!\Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today!\Go for it!\We'll be rooting for you! response:	Okay!
context: Morning.\What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today!\Go for it!\We'll be rooting for you!\Okay! response:	Perfect as always.
context: What's wrong? You look a little down.\Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today!\Go for it!\We'll be rooting for you!\Okay!\Perfect as always. response:	Next, Li Mei Lin.
context: Because today's P.E. is jumping practice.\But even though I wasn't able to do it before,\I'll try hard today!\Go for it!\We'll be rooting for you!\Okay!\Perfect as always.\Next, Li Mei Lin. response:	Okay!
context: But even though I wasn't able to do it before,\I'll try hard today!\Go for it!\We'll be rooting for you!\Okay!\Perfect as always.\Next, Li Mei Lin.\Okay! response:	Well, that's to be expected.
context: I'll try hard today!\Go for it!\We'll be rooting for you!\Okay!\Perfect as always.\Next, Li Mei Lin.\Okay!\Well, that's to be expected. response:	Next, Yanagisawa.
context: Go for it!\We'll be rooting for you!\Okay!\Perfect as always.\Next, Li Mei Lin.\Okay!\Well, that's to be expected.\Next, Yanagisawa. response:	Okay'
context: We'll be rooting for you!\Okay!\Perfect as always.\Next, Li Mei Lin.\Okay!\Well, that's to be expected.\Next, Yanagisawa.\Okay' response:	Naoko, go for it!
context: Okay!\Perfect as always.\Next, Li Mei Lin.\Okay!\Well, that's to be expected.\Next, Yanagisawa.\Okay'\Naoko, go for it! response:	You practiced a lot!
context: Perfect as always.\Next, Li Mei Lin.\Okay!\Well, that's to be expected.\Next, Yanagisawa.\Okay'\Naoko, go for it!\You practiced a lot! response:	You have the card and wished for this, so you can do it!
context: Next, Li Mei Lin.\Okay!\Well, that's to be expected.\Next, Yanagisawa.\Okay'\Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it! response:	Card?
context: Okay!\Well, that's to be expected.\Next, Yanagisawa.\Okay'\Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it!\Card? response:	Did it.
context: Well, that's to be expected.\Next, Yanagisawa.\Okay'\Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it!\Card?\Did it. response:	Pretty good.
context: Next, Yanagisawa.\Okay'\Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it!\Card?\Did it.\Pretty good. response:	It's all thanks to the card.
context: Okay'\Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it!\Card?\Did it.\Pretty good.\It's all thanks to the card. response:	Sakura'
context: Naoko, go for it!\You practiced a lot!\You have the card and wished for this, so you can do it!\Card?\Did it.\Pretty good.\It's all thanks to the card.\Sakura' response:	Kinda looks like a Clow Card'
context: You practiced a lot!\You have the card and wished for this, so you can do it!\Card?\Did it.\Pretty good.\It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card' response:	Is this one of the Enchanting Cards?
context: You have the card and wished for this, so you can do it!\Card?\Did it.\Pretty good.\It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards? response:	Yep. I was worried about today's jumping practice,
context: Card?\Did it.\Pretty good.\It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice, response:	so I bought it yesterday.
context: Did it.\Pretty good.\It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday. response:	Chiharu, you have one, too?
context: Pretty good.\It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too? response:	They really do look like Clow Cards.
context: It's all thanks to the card.\Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards. response:	Yeah'
context: Sakura'\Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah' response:	Mei Lin, you want to see, too?
context: Kinda looks like a Clow Card'\Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too? response:	Oh, I have no interest in those cards.
context: Is this one of the Enchanting Cards?\Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards. response:	Oh look, it's almost time to start class.
context: Yep. I was worried about today's jumping practice,\so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class. response:	It's so crowded.
context: so I bought it yesterday.\Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded. response:	You want a Cooking Card, don't you?
context: Chiharu, you have one, too?\They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you? response:	There's also a Love Card, they said.
context: They really do look like Clow Cards.\Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said. response:	Thank you very much!
context: Yeah'\Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much! response:	Mei Lin!
context: Mei Lin, you want to see, too?\Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much!\Mei Lin! response:	Hello!
context: Oh, I have no interest in those cards.\Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much!\Mei Lin!\Hello! response:	Mei Lin, you came to buy a card?
context: Oh look, it's almost time to start class.\It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much!\Mei Lin!\Hello!\Mei Lin, you came to buy a card? response:	I' didn't really'
context: It's so crowded.\You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much!\Mei Lin!\Hello!\Mei Lin, you came to buy a card?\I' didn't really' response:	You two also came to buy a card?
context: You want a Cooking Card, don't you?\There's also a Love Card, they said.\Thank you very much!\Mei Lin!\Hello!\Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card? response:	Yes.
context: There's also a Love Card, they said.\Thank you very much!\Mei Lin!\Hello!\Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card?\Yes. response:	Um, do you have a card that will help me get better at cooking?
context: Thank you very much!\Mei Lin!\Hello!\Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking? response:	The Cooking one is, I think'
context: Mei Lin!\Hello!\Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think' response:	Sorry, I had them earlier, but I already sold out.
context: Hello!\Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out. response:	I should have more tomorrow.
context: Mei Lin, you came to buy a card?\I' didn't really'\You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow. response:	Excuse me'
context: I' didn't really'\You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me' response:	I'm sorry, but you can come back tomorrow.
context: You two also came to buy a card?\Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow. response:	I didn't really'
context: Yes.\Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really' response:	Shao Lan has been mine for a long time, so'
context: Um, do you have a card that will help me get better at cooking?\The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so' response:	It'd be all right if they ran out of these Love Cards, but'
context: The Cooking one is, I think'\Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but' response:	For now, for now'
context: Sorry, I had them earlier, but I already sold out.\I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now' response:	Really, me and Shao Lan are doing fine, but'
context: I should have more tomorrow.\Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but' response:	It looks like a Clow Card'
context: Excuse me'\I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card' response:	You see, it's not like I'm trying to win your heart or anything'
context: I'm sorry, but you can come back tomorrow.\I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything' response:	See you later, Kinomoto!
context: I didn't really'\Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto! response:	What was that? They look like Clow Cards?
context: Shao Lan has been mine for a long time, so'\It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards? response:	The pictures and writing are different, though.
context: It'd be all right if they ran out of these Love Cards, but'\For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though. response:	'Whatever you wish for will come true,' they say.
context: For now, for now'\Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say. response:	Today, thanks to a card,
context: Really, me and Shao Lan are doing fine, but'\It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card, response:	Naoko was able to do the jumping practice for the first time.
context: It looks like a Clow Card'\You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time. response:	So, do you have one of those cards?
context: You see, it's not like I'm trying to win your heart or anything'\See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards? response:	They sold out.
context: See you later, Kinomoto!\What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out. response:	So I'll pick one up tomorrow.
context: What was that? They look like Clow Cards?\The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow. response:	Sakura, I made some pudding.
context: The pictures and writing are different, though.\'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding. response:	Do you want some?
context: 'Whatever you wish for will come true,' they say.\Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some? response:	Sure!
context: Today, thanks to a card,\Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some?\Sure! response:	Something wrong.
context: Naoko was able to do the jumping practice for the first time.\So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some?\Sure!\Something wrong. response:	So serious?
context: So, do you have one of those cards?\They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some?\Sure!\Something wrong.\So serious? response:	A card that looks like a Clow Card, huh?
context: They sold out.\So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some?\Sure!\Something wrong.\So serious?\A card that looks like a Clow Card, huh? response:	Shao Lan!
context: So I'll pick one up tomorrow.\Sakura, I made some pudding.\Do you want some?\Sure!\Something wrong.\So serious?\A card that looks like a Clow Card, huh?\Shao Lan! response:	What?
context: Sakura, I made some pudding.\Do you want some?\Sure!\Something wrong.\So serious?\A card that looks like a Clow Card, huh?\Shao Lan!\What? response:	Lunch! Shall we eat together?
context: Do you want some?\Sure!\Something wrong.\So serious?\A card that looks like a Clow Card, huh?\Shao Lan!\What?\Lunch! Shall we eat together? response:	I was going to eat in the cafeteria today'
