context: It's Inuyasha! response:	That'll teach you!
context: This shrine's... Huh?\Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?! response:	The mummified hand of a water imp is sure to bring happiness.
context: Now heed this, Kagome.\The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness. response:	In fact, the origin of that is...
context: The origin of this shrine's Sacred Jewel...\Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is... response:	Have a snack, Buyo.
context: Huh?\The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo. response:	No, don't give it away!
context: The origin of this Sacred Jewel is...\Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away! response:	Origin. Origin, huh?
context: Hey Gramps! Remember what day tomorrow is?\Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh? response:	My family has been the caretaker of a shrine for generations.
context: Oh, how could I forget my dear granddaughter's birthday?\A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations. response:	Now then, the origin of these pickled vegetables is...
context: A present for me?!\The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is... response:	They're donations from a shrine-visitor, right?
context: The mummified hand of a water imp is sure to bring happiness.\In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right? response:	Huh!?
context: In fact, the origin of that is...\Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!? response:	The thousand-year-old sacred tree.
context: Have a snack, Buyo.\No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree. response:	The legend of the Hidden Well.
context: No, don't give it away!\Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well. response:	Everything has some origin.
context: Origin. Origin, huh?\My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin. response:	I've been told the stories countless times.
context: My family has been the caretaker of a shrine for generations.\Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times. response:	Yet I never paid any attention to them.
context: Now then, the origin of these pickled vegetables is...\They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them. response:	Until today...when I turned fifteen.
context: They're donations from a shrine-visitor, right?\Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen. response:	Kagome! Phone call!
context: Huh!?\The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call! response:	The review notes? Sure, I'll bring them today.
context: The thousand-year-old sacred tree.\The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today. response:	I know!
context: The legend of the Hidden Well.\Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know! response:	I'm off!
context: Everything has some origin.\I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know!\I'm off! response:	Huh? Sota?
context: I've been told the stories countless times.\Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know!\I'm off!\Huh? Sota? response:	Sis...
context: Yet I never paid any attention to them.\Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know!\I'm off!\Huh? Sota?\Sis... response:	You're not supposed to play around here.
context: Until today...when I turned fifteen.\Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know!\I'm off!\Huh? Sota?\Sis...\You're not supposed to play around here. response:	But Buyo...
context: Kagome! Phone call!\The review notes? Sure, I'll bring them today.\I know!\I'm off!\Huh? Sota?\Sis...\You're not supposed to play around here.\But Buyo... response:	Did he go into the Hidden Well?
context: The review notes? Sure, I'll bring them today.\I know!\I'm off!\Huh? Sota?\Sis...\You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well? response:	Buyo!
context: I know!\I'm off!\Huh? Sota?\Sis...\You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well?\Buyo! response:	I think he's at the bottom.
context: I'm off!\Huh? Sota?\Sis...\You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well?\Buyo!\I think he's at the bottom. response:	Why don't you go down?
context: Huh? Sota?\Sis...\You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well?\Buyo!\I think he's at the bottom.\Why don't you go down? response:	This place gives me the creeps.
context: Sis...\You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well?\Buyo!\I think he's at the bottom.\Why don't you go down?\This place gives me the creeps. response:	Such a scaredy cat! Be a man!
context: You're not supposed to play around here.\But Buyo...\Did he go into the Hidden Well?\Buyo!\I think he's at the bottom.\Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man! response:	Something's down there!
context: But Buyo...\Did he go into the Hidden Well?\Buyo!\I think he's at the bottom.\Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there! response:	Yeah, the cat!
context: Did he go into the Hidden Well?\Buyo!\I think he's at the bottom.\Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat! response:	Aw, man...
context: Buyo!\I think he's at the bottom.\Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat!\Aw, man... response:	That sound?
context: I think he's at the bottom.\Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat!\Aw, man...\That sound? response:	From inside the well?
context: Why don't you go down?\This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat!\Aw, man...\That sound?\From inside the well? response:	Buyo!
context: This place gives me the creeps.\Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat!\Aw, man...\That sound?\From inside the well?\Buyo! response:	You scared me!
context: Such a scaredy cat! Be a man!\Something's down there!\Yeah, the cat!\Aw, man...\That sound?\From inside the well?\Buyo!\You scared me! response:	Don't scream so loud, Sis!
context: Something's down there!\Yeah, the cat!\Aw, man...\That sound?\From inside the well?\Buyo!\You scared me!\Don't scream so loud, Sis! response:	Watch it! I'm down here'cause you're scared!
context: Yeah, the cat!\Aw, man...\That sound?\From inside the well?\Buyo!\You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared! response:	Sis!
context: Aw, man...\That sound?\From inside the well?\Buyo!\You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis! response:	Sis!
context: That sound?\From inside the well?\Buyo!\You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis!\Sis! response:	Huh?!
context: From inside the well?\Buyo!\You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis!\Sis!\Huh?! response:	Such joy! I can feel my strength returning!
context: Buyo!\You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis!\Sis!\Huh?!\Such joy! I can feel my strength returning! response:	My body is coming to life again!
context: You scared me!\Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis!\Sis!\Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again! response:	You have it, don't you?
context: Don't scream so loud, Sis!\Watch it! I'm down here'cause you're scared!\Sis!\Sis!\Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you? response:	Don't you?
context: Watch it! I'm down here'cause you're scared!\Sis!\Sis!\Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you?\Don't you? response:	Let me go! You're disgusting!
context: Sis!\Sis!\Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you?\Don't you?\Let me go! You're disgusting! response:	Let me go, I said!
context: Sis!\Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you?\Don't you?\Let me go! You're disgusting!\Let me go, I said! response:	You little!
context: Huh?!\Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you?\Don't you?\Let me go! You're disgusting!\Let me go, I said!\You little! response:	You won't escape from me!
context: Such joy! I can feel my strength returning!\My body is coming to life again!\You have it, don't you?\Don't you?\Let me go! You're disgusting!\Let me go, I said!\You little!\You won't escape from me! response:	The Sacred Jewel!
context: My body is coming to life again!\You have it, don't you?\Don't you?\Let me go! You're disgusting!\Let me go, I said!\You little!\You won't escape from me!\The Sacred Jewel! response:	The Sacred Jewel?
context: You have it, don't you?\Don't you?\Let me go! You're disgusting!\Let me go, I said!\You little!\You won't escape from me!\The Sacred Jewel!\The Sacred Jewel? response:	Huh?
context: Don't you?\Let me go! You're disgusting!\Let me go, I said!\You little!\You won't escape from me!\The Sacred Jewel!\The Sacred Jewel?\Huh? response:	Am I inside the well?
context: Let me go! You're disgusting!\Let me go, I said!\You little!\You won't escape from me!\The Sacred Jewel!\The Sacred Jewel?\Huh?\Am I inside the well? response:	Was that a dream?
context: Let me go, I said!\You little!\You won't escape from me!\The Sacred Jewel!\The Sacred Jewel?\Huh?\Am I inside the well?\Was that a dream? response:	It wasn't a dream!
context: You little!\You won't escape from me!\The Sacred Jewel!\The Sacred Jewel?\Huh?\Am I inside the well?\Was that a dream?\It wasn't a dream! response:	I gotta get out!
context: You won't escape from me!\The Sacred Jewel!\The Sacred Jewel?\Huh?\Am I inside the well?\Was that a dream?\It wasn't a dream!\I gotta get out! response:	Sota! Are you there?
context: The Sacred Jewel!\The Sacred Jewel?\Huh?\Am I inside the well?\Was that a dream?\It wasn't a dream!\I gotta get out!\Sota! Are you there? response:	Get Gramps!
context: The Sacred Jewel?\Huh?\Am I inside the well?\Was that a dream?\It wasn't a dream!\I gotta get out!\Sota! Are you there?\Get Gramps! response:	That kid! He ran away!
context: Huh?\Am I inside the well?\Was that a dream?\It wasn't a dream!\I gotta get out!\Sota! Are you there?\Get Gramps!\That kid! He ran away! response:	Huh?
context: Am I inside the well?\Was that a dream?\It wasn't a dream!\I gotta get out!\Sota! Are you there?\Get Gramps!\That kid! He ran away!\Huh? response:	Where's this?
context: Was that a dream?\It wasn't a dream!\I gotta get out!\Sota! Are you there?\Get Gramps!\That kid! He ran away!\Huh?\Where's this? response:	I know I fell into the well at the shrine, but...
context: It wasn't a dream!\I gotta get out!\Sota! Are you there?\Get Gramps!\That kid! He ran away!\Huh?\Where's this?\I know I fell into the well at the shrine, but... response:	Gramps! Mom?
context: I gotta get out!\Sota! Are you there?\Get Gramps!\That kid! He ran away!\Huh?\Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom? response:	Gramps! Mom!
context: Sota! Are you there?\Get Gramps!\That kid! He ran away!\Huh?\Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom! response:	Sota... Buyo...
context: Get Gramps!\That kid! He ran away!\Huh?\Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom!\Sota... Buyo... response:	The shrine is gone.
context: That kid! He ran away!\Huh?\Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom!\Sota... Buyo...\The shrine is gone. response:	The Sacred Tree!
context: Huh?\Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom!\Sota... Buyo...\The shrine is gone.\The Sacred Tree! response:	What a relief! I'm close to home!
context: Where's this?\I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom!\Sota... Buyo...\The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home! response:	A boy?
context: I know I fell into the well at the shrine, but...\Gramps! Mom?\Gramps! Mom!\Sota... Buyo...\The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home!\A boy? response:	Hey, what're you doing?
context: Gramps! Mom?\Gramps! Mom!\Sota... Buyo...\The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home!\A boy?\Hey, what're you doing? response:	These...
context: Gramps! Mom!\Sota... Buyo...\The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home!\A boy?\Hey, what're you doing?\These... response:	aren't human ears.
context: Sota... Buyo...\The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home!\A boy?\Hey, what're you doing?\These...\aren't human ears. response:	I want to touch them...
context: The shrine is gone.\The Sacred Tree!\What a relief! I'm close to home!\A boy?\Hey, what're you doing?\These...\aren't human ears.\I want to touch them... response:	Though maybe I shouldn't be doing that.
context: The Sacred Tree!\What a relief! I'm close to home!\A boy?\Hey, what're you doing?\These...\aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that. response:	You there! What're you up to?!
context: What a relief! I'm close to home!\A boy?\Hey, what're you doing?\These...\aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?! response:	Hey! Why am I tied up?!
context: A boy?\Hey, what're you doing?\These...\aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?! response:	A young girl in strange clothing.
context: Hey, what're you doing?\These...\aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing. response:	From a foreign land?
context: These...\aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land? response:	Will there be war again?
context: aren't human ears.\I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land?\Will there be war again? response:	Just before rice-planting season?
context: I want to touch them...\Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land?\Will there be war again?\Just before rice-planting season? response:	We're so short-handed as it is!
context: Though maybe I shouldn't be doing that.\You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land?\Will there be war again?\Just before rice-planting season?\We're so short-handed as it is! response:	Perhaps she's a fox in disguise?
context: You there! What're you up to?!\Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land?\Will there be war again?\Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise? response:	Better a shape-changer than another war.
context: Hey! Why am I tied up?!\A young girl in strange clothing.\From a foreign land?\Will there be war again?\Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war. response:	Topknots...topknots...
context: A young girl in strange clothing.\From a foreign land?\Will there be war again?\Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots... response:	All of them have topknots!
context: From a foreign land?\Will there be war again?\Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots! response:	Where is this place?!
context: Will there be war again?\Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots!\Where is this place?! response:	Make way for High Priestess Kaede!
context: Just before rice-planting season?\We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede! response:	Great. Here comes ANOTHER weirdo.
context: We're so short-handed as it is!\Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo. response:	Hey! What're you doing?!
context: Perhaps she's a fox in disguise?\Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?! response:	They told me a demon was found in the Inuyasha Forest.
context: Better a shape-changer than another war.\Topknots...topknots...\All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest. response:	I thought some ritual purification was in order.
context: Topknots...topknots...\All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order. response:	Then could she be a foreign spy?
context: All of them have topknots!\Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy? response:	Yes, but to spy on what?!
context: Where is this place?!\Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?! response:	We can barely feed ourselves in this village.
context: Make way for High Priestess Kaede!\Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village. response:	You there. Let me take a good look at your face.
context: Great. Here comes ANOTHER weirdo.\Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face. response:	Look clever, girl!
context: Hey! What're you doing?!\They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl! response:	You!
context: They told me a demon was found in the Inuyasha Forest.\I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl!\You! response:	Such a likeness... to my sister Kikyo.
context: I thought some ritual purification was in order.\Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl!\You!\Such a likeness... to my sister Kikyo. response:	Looks delicious! Thank you!
context: Then could she be a foreign spy?\Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl!\You!\Such a likeness... to my sister Kikyo.\Looks delicious! Thank you! response:	Forgive us.
context: Yes, but to spy on what?!\We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl!\You!\Such a likeness... to my sister Kikyo.\Looks delicious! Thank you!\Forgive us. response:	With so many wars these days...
context: We can barely feed ourselves in this village.\You there. Let me take a good look at your face.\Look clever, girl!\You!\Such a likeness... to my sister Kikyo.\Looks delicious! Thank you!\Forgive us.\With so many wars these days... response:	our young ones have become rash.
