context: What's wrong? Everything okay, Akari? response:	Yeah. It's nothing.
context: I'm Akari Kido from the Tokyo Metropolitan Police Department.\Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty. response:	New York City Police Department Strategic Response Group Superintendent Victoria Johansson
context: Nice to meet you.\I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson response:	As the NYPD's most respected superior,
context: I'm happy to have you here as the first cooperation exchange intern from the TMPD.\Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior, response:	I know your father would be happy, as well.
context: Judging from your record, nobody would be better suited than you.\New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well. response:	Thank you.
context: New York City Police Department Strategic Response Group\I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you. response:	Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)
context: I'm sorry, everyone's currently out.\We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary) response:	My father would probably be surprised to see me here at his work.
context: We'll have formal introductions tomorrow.\No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work. response:	No doubt.
context: No, I should apologize for arriving the day before beginning my duty.\New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt. response:	During your internship, you'll be working as part of our investigation unit.
context: New York City Police Department Strategic Response Group Superintendent Victoria Johansson\As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit. response:	Try to take in as much as possible, for your future career, as well.
context: As the NYPD's most respected superior,\I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well. response:	I will. My father often used to say, I'm going to protect New York.
context: I know your father would be happy, as well.\Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York. response:	I'm hoping to get a little bit closer to that sentiment.
context: Thank you.\Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment. response:	Good.
context: Tokyo Metropolitan Police Department Mobile Investigation Unit Police Officer Akari Kido (Temporary)\My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good. response:	Emma, did you hear that?
context: My father would probably be surprised to see me here at his work.\No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that? response:	Akari, that's Emma, your partner.
context: No doubt.\During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that?\Akari, that's Emma, your partner. response:	My name's Akari Kido.
context: During your internship, you'll be working as part of our investigation unit.\Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido. response:	Nice to meet you!
context: Try to take in as much as possible, for your future career, as well.\I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you! response:	Hi, I'm Emma Wattstone.
context: I will. My father often used to say, I'm going to protect New York.\I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone. response:	Don't huh me.
context: I'm hoping to get a little bit closer to that sentiment.\Good.\Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me. response:	You just thought, Is she Emma Watson or Emma Stone? Nope!
context: Good.\Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope! response:	She looks nothing like those pretty film stars, anyway, right?
context: Emma, did you hear that?\Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right? response:	N-No, I didn't! I really didn't!
context: Akari, that's Emma, your partner.\My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't! response:	New York City Police Department Strategic Response Group Police Officer Emma Wattstone
context: My name's Akari Kido.\Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone response:	A likely story.
context: Nice to meet you!\Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story. response:	I promise, I really didn't think that!
context: Hi, I'm Emma Wattstone.\Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that! response:	Looks like you two have hit it off already.
context: Don't huh me.\You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already. response:	H-Huh? What?
context: You just thought, Is she Emma Watson or Emma Stone? Nope!\She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What? response:	Y-Yes?
context: She looks nothing like those pretty film stars, anyway, right?\N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What?\Y-Yes? response:	Okay, Akari, good luck starting tomorrow.
context: N-No, I didn't! I really didn't!\New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow. response:	Thank you.
context: New York City Police Department Strategic Response Group Police Officer Emma Wattstone\A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you. response:	Emma, please take Akari to her apartment.
context: A likely story.\I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment. response:	Roger.
context: I promise, I really didn't think that!\Looks like you two have hit it off already.\H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment.\Roger. response:	Eh? Huh?
context: Looks like you two have hit it off already.\H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment.\Roger.\Eh? Huh? response:	Let's go. Hurry up.
context: H-Huh? What?\Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment.\Roger.\Eh? Huh?\Let's go. Hurry up. response:	Right!
context: Y-Yes?\Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment.\Roger.\Eh? Huh?\Let's go. Hurry up.\Right! response:	Excuse me!
context: Okay, Akari, good luck starting tomorrow.\Thank you.\Emma, please take Akari to her apartment.\Roger.\Eh? Huh?\Let's go. Hurry up.\Right!\Excuse me! response:	Not that I care, but your crafted persona is super obvious.
context: Thank you.\Emma, please take Akari to her apartment.\Roger.\Eh? Huh?\Let's go. Hurry up.\Right!\Excuse me!\Not that I care, but your crafted persona is super obvious. response:	Or is that the Japanese style?
context: Emma, please take Akari to her apartment.\Roger.\Eh? Huh?\Let's go. Hurry up.\Right!\Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style? response:	Coming to work with a teddy bear in your arms?
context: Roger.\Eh? Huh?\Let's go. Hurry up.\Right!\Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms? response:	N-No, I just
context: Eh? Huh?\Let's go. Hurry up.\Right!\Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just response:	I had to wait for freaking ever just for some newbie coming from Japan.
context: Let's go. Hurry up.\Right!\Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan. response:	It's this late already? No wonder I'm starving.
context: Right!\Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving. response:	Why do I have to deal with this on Christmas? My life sucks.
context: Excuse me!\Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks. response:	Too fast!
context: Not that I care, but your crafted persona is super obvious.\Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast! response:	From here to here.
context: Or is that the Japanese style?\Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here. response:	How can you like donuts that much?!
context: Coming to work with a teddy bear in your arms?\N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here.\How can you like donuts that much?! response:	It's time to begin!
context: N-No, I just\I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here.\How can you like donuts that much?!\It's time to begin! response:	This'll be a Christmas party for everyone!
context: I had to wait for freaking ever just for some newbie coming from Japan.\It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here.\How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone! response:	My gut's finally stopped growling.
context: It's this late already? No wonder I'm starving.\Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here.\How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling. response:	Seriously, how can you like that teddy bear so much?
context: Why do I have to deal with this on Christmas? My life sucks.\Too fast!\From here to here.\How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much? response:	Why would you bring it to work?
context: Too fast!\From here to here.\How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work? response:	Is there something valuable in it, like jewels? Secret blueprints?
context: From here to here.\How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints? response:	Please don't tell me it was a present from your daddy.
context: How can you like donuts that much?!\It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy. response:	Th-That's it. It's a present he left behind for me the day he died.
context: It's time to begin!\This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died. response:	It's my most important friend. It's basically my life.
context: This'll be a Christmas party for everyone!\My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life. response:	Your dad, he
context: My gut's finally stopped growling.\Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he response:	Yes, he died in the line of duty fifteen years ago, on Christmas.
context: Seriously, how can you like that teddy bear so much?\Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas. response:	This teddy bear's name is Apple. I feel safe when we're together.
context: Why would you bring it to work?\Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together. response:	It feels like I'm with my father.
context: Is there something valuable in it, like jewels? Secret blueprints?\Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father. response:	I still can't help wondering what made my father choose this bear
context: Please don't tell me it was a present from your daddy.\Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear response:	for my present that day.
context: Th-That's it. It's a present he left behind for me the day he died.\It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day. response:	My only regret now is that I didn't get to thank him for it.
context: It's my most important friend. It's basically my life.\Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it. response:	How dare you hit me right in the feels?!
context: Your dad, he\Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?! response:	Just so you know, I cry easily, all right?
context: Yes, he died in the line of duty fifteen years ago, on Christmas.\This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right? response:	Ow! Eye in my sugar! Sugar in my eye!
context: This teddy bear's name is Apple. I feel safe when we're together.\It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye! response:	God damn!
context: It feels like I'm with my father.\I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn! response:	A-Are you all right, Emma-san?
context: I still can't help wondering what made my father choose this bear\for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san? response:	Of course I'm all right.
context: for my present that day.\My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san?\Of course I'm all right. response:	You'd best not be late on your first day tomorrow!
context: My only regret now is that I didn't get to thank him for it.\How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow! response:	You got that?!
context: How dare you hit me right in the feels?!\Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?! response:	Of course.
context: Just so you know, I cry easily, all right?\Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?!\Of course. response:	Thank you for giving me a lift tonight, Ms. Emma.
context: Ow! Eye in my sugar! Sugar in my eye!\God damn!\A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma. response:	Emma's fine.
context: God damn!\A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine. response:	I mean, buddies can't be all formal.
context: A-Are you all right, Emma-san?\Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal. response:	All right!
context: Of course I'm all right.\You'd best not be late on your first day tomorrow!\You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal.\All right! response:	Goodnight, Emma.
context: You'd best not be late on your first day tomorrow!\You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal.\All right!\Goodnight, Emma. response:	Same to you, jeez.
context: You got that?!\Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal.\All right!\Goodnight, Emma.\Same to you, jeez. response:	This feels so good.
context: Of course.\Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal.\All right!\Goodnight, Emma.\Same to you, jeez.\This feels so good. response:	Until I got here, I thought that Christmas in New York would be rough.
context: Thank you for giving me a lift tonight, Ms. Emma.\Emma's fine.\I mean, buddies can't be all formal.\All right!\Goodnight, Emma.\Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough. response:	Emma sounds gruff, but she seems like a good person.
context: Emma's fine.\I mean, buddies can't be all formal.\All right!\Goodnight, Emma.\Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person. response:	What have we here?
