context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: What did you say?!\I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle! response:	Is this Shinso's Quirk?!
context: I win.\I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?! response:	He didn't stand out at all, but could he actually be someone amazing?
context: I went through the trouble of warning him, too!\Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing? response:	Victory or Defeat
context: Hey, hey, what's the matter?\-Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat response:	Hitoshi Shinso from general studies
context: -Deku?! -It's the important first match! Liven things up!\-What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies response:	has gotten the better of Izuku Midoriya from the hero course!
context: -What in the world is going on? -It's the important first match! Liven things up!\Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course! response:	Who would've imagined this?!
context: Midoriya! The match just started...\He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?! response:	Will the bottom really overthrow the top?
context: He's got a blank look on his face and isn't moving a muscle!\Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top? response:	That's why I said the entrance exam wasn't rational.
context: Is this Shinso's Quirk?!\He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational. response:	Huh?
context: He didn't stand out at all, but could he actually be someone amazing?\Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh? response:	What?
context: Victory or Defeat\Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh?\What? response:	Here's some basic data on the two of them.
context: Hitoshi Shinso from general studies\has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh?\What?\Here's some basic data on the two of them. response:	Since it's individual matches from here on out, I had someone compile it for me.
context: has gotten the better of Izuku Midoriya from the hero course!\Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh?\What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me. response:	Hitoshi Shinso General Studies Class 1-C Nabooh Middle School
context: Who would've imagined this?!\Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh?\What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School response:	Shinso failed the practical exam for the hero course.
context: Will the bottom really overthrow the top?\That's why I said the entrance exam wasn't rational.\Huh?\What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course. response:	Since he also applied for general studies, he probably knew that would happen.
context: That's why I said the entrance exam wasn't rational.\Huh?\What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen. response:	His Quirk is very powerful, but the practical exam consisted of fighting faux villains.
context: Huh?\What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains. response:	That gave an advantage to those with physical attack Quirks.
context: What?\Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks. response:	Shinso wouldn't have been able to rack up any points with his Quirk.
context: Here's some basic data on the two of them.\Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk. response:	You're lucky that you've been blessed, Izuku Midoriya.
context: Since it's individual matches from here on out, I had someone compile it for me.\Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya. response:	Turn around and walk out of bounds.
context: Hitoshi Shinso General Studies Class 1-C Nabooh Middle School\Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds. response:	Huh?
context: Shinso failed the practical exam for the hero course.\Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh? response:	What?!
context: Since he also applied for general studies, he probably knew that would happen.\His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh?\What?! response:	Midoriya's being so obedient!
context: His Quirk is very powerful, but the practical exam consisted of fighting faux villains.\That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh?\What?!\Midoriya's being so obedient! response:	Deku, why?
context: That gave an advantage to those with physical attack Quirks.\Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh?\What?!\Midoriya's being so obedient!\Deku, why? response:	If you go out of bounds, then you'll lose the match!
context: Shinso wouldn't have been able to rack up any points with his Quirk.\You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh?\What?!\Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match! response:	That Quirk is...
context: You're lucky that you've been blessed, Izuku Midoriya.\Turn around and walk out of bounds.\Huh?\What?!\Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is... response:	Hitoshi Shinso Quirk: Brainwashing
context: Turn around and walk out of bounds.\Huh?\What?!\Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing response:	Hitoshi Shinso. Quirk: Brainwashing!
context: Huh?\What?!\Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing! response:	Answering his question turns on a brainwashing switch in his opponent's brain,
context: What?!\Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain, response:	forcing them to do what he says.
context: Midoriya's being so obedient!\Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says. response:	If he doesn't want the brainwashing switch to turn on, it won't!
context: Deku, why?\If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't! response:	In the fitness test on the first day of school,
context: If you go out of bounds, then you'll lose the match!\That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school, response:	Midoriya scored pretty low for the hero course,
context: That Quirk is...\Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course, response:	but even in tests where he didn't use his Quirk,
context: Hitoshi Shinso Quirk: Brainwashing\Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk, response:	he did better than Shinso.
context: Hitoshi Shinso. Quirk: Brainwashing!\Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso. response:	So if they fight normally, then Midoriya would win.
context: Answering his question turns on a brainwashing switch in his opponent's brain,\forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win. response:	If he can just overcome Shinso's Brainwashing...
context: forcing them to do what he says.\If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing... response:	Well, either way, this'll end quickly.
context: If he doesn't want the brainwashing switch to turn on, it won't!\In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly. response:	Young Midoriya!
context: In the fitness test on the first day of school,\Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya! response:	Ahhh
context: Midoriya scored pretty low for the hero course,\but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya!\Ahhh response:	You can't come here!
context: but even in tests where he didn't use his Quirk,\he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya!\Ahhh\You can't come here! response:	No! My body's moving on its own...
context: he did better than Shinso.\So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya!\Ahhh\You can't come here!\No! My body's moving on its own... response:	It's like... my head's filled with fog...
context: So if they fight normally, then Midoriya would win.\If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya!\Ahhh\You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog... response:	No!
context: If he can just overcome Shinso's Brainwashing...\Well, either way, this'll end quickly.\Young Midoriya!\Ahhh\You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog...\No! response:	Damn it! Stop!
context: Well, either way, this'll end quickly.\Young Midoriya!\Ahhh\You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog...\No!\Damn it! Stop! response:	Stop!
context: Young Midoriya!\Ahhh\You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog...\No!\Damn it! Stop!\Stop! response:	Even though... Even though Ojiro warned me...
context: Ahhh\You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog...\No!\Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me... response:	Crap!
context: You can't come here!\No! My body's moving on its own...\It's like... my head's filled with fog...\No!\Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me...\Crap! response:	Waiting Room
context: No! My body's moving on its own...\It's like... my head's filled with fog...\No!\Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me...\Crap!\Waiting Room response:	Damn it!
context: It's like... my head's filled with fog...\No!\Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me...\Crap!\Waiting Room\Damn it! response:	A Quirk that can control people, huh?
context: No!\Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me...\Crap!\Waiting Room\Damn it!\A Quirk that can control people, huh? response:	Isn't that too strong to beat?
context: Damn it! Stop!\Stop!\Even though... Even though Ojiro warned me...\Crap!\Waiting Room\Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat? response:	Yeah, but you can probably avoid if you know about it.
context: Stop!\Even though... Even though Ojiro warned me...\Crap!\Waiting Room\Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it. response:	I don't remember much after I answered his question.
context: Even though... Even though Ojiro warned me...\Crap!\Waiting Room\Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question. response:	I think that's how it works.
context: Crap!\Waiting Room\Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works. response:	So if I answer without thinking, then I'll lose right away.
context: Waiting Room\Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away. response:	No, but it's not completely impenetrable.
context: Damn it!\A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable. response:	I said I barely remembered anything until almost the end, right?
context: A Quirk that can control people, huh?\Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right? response:	When we were running away after Shinso stole Tetsutetsu's headband,
context: Isn't that too strong to beat?\Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband, response:	It looks like I ran into one of the horses on Team Tetsutetsu.
context: Yeah, but you can probably avoid if you know about it.\I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu. response:	That's when I snapped out of it.
context: I don't remember much after I answered his question.\I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it. response:	I remember what happened clearly after that.
context: I think that's how it works.\So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that. response:	So receiving a shock can get rid of it?
context: So if I answer without thinking, then I'll lose right away.\No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it? response:	It's very likely.
context: No, but it's not completely impenetrable.\I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely. response:	Even so, I don't know what level of shock you need,
context: I said I barely remembered anything until almost the end, right?\When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need, response:	and in a one-on-one match, you can't count on outside forces like that.
context: When we were running away after Shinso stole Tetsutetsu's headband,\It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that. response:	Anyway, that's about all I can tell you.
context: It looks like I ran into one of the horses on Team Tetsutetsu.\That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you. response:	Thanks!
context: That's when I snapped out of it.\I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks! response:	That was amazing!
context: I remember what happened clearly after that.\So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks!\That was amazing! response:	I'm going to say something selfish...
context: So receiving a shock can get rid of it?\It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks!\That was amazing!\I'm going to say something selfish... response:	Ojiro...
context: It's very likely.\Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks!\That was amazing!\I'm going to say something selfish...\Ojiro... response:	Damn it...
context: Even so, I don't know what level of shock you need,\and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks!\That was amazing!\I'm going to say something selfish...\Ojiro...\Damn it... response:	This...
context: and in a one-on-one match, you can't count on outside forces like that.\Anyway, that's about all I can tell you.\Thanks!\That was amazing!\I'm going to say something selfish...\Ojiro...\Damn it...\This... response:	Even though...
context: Anyway, that's about all I can tell you.\Thanks!\That was amazing!\I'm going to say something selfish...\Ojiro...\Damn it...\This...\Even though... response:	In a place like this...
context: Thanks!\That was amazing!\I'm going to say something selfish...\Ojiro...\Damn it...\This...\Even though...\In a place like this... response:	Like this...!
context: That was amazing!\I'm going to say something selfish...\Ojiro...\Damn it...\This...\Even though...\In a place like this...\Like this...! response:	What... is... this?!
context: I'm going to say something selfish...\Ojiro...\Damn it...\This...\Even though...\In a place like this...\Like this...!\What... is... this?! response:	Mov...
context: Ojiro...\Damn it...\This...\Even though...\In a place like this...\Like this...!\What... is... this?!\Mov... response:	You probably don't understand,
context: Damn it...\This...\Even though...\In a place like this...\Like this...!\What... is... this?!\Mov...\You probably don't understand, response:	but even with a Quirk like this, I have my own dream.
context: This...\Even though...\In a place like this...\Like this...!\What... is... this?!\Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream. response:	Now, lose for me.
context: Even though...\In a place like this...\Like this...!\What... is... this?!\Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me. response:	Th-This is...!
