context: Yeah. response:	Pre! Preparation!
context: Next Episode Preview\The Stars Are Far Away\Thank you both very much!\Aisaka-senpai, we've been blessed with good fortune thanks to you!\Yeah, we have!\Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning! response:	Taiga!
context: The Stars Are Far Away\Thank you both very much!\Aisaka-senpai, we've been blessed with good fortune thanks to you!\Yeah, we have!\Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga! response:	What's with them?
context: Thank you both very much!\Aisaka-senpai, we've been blessed with good fortune thanks to you!\Yeah, we have!\Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga!\What's with them? response:	A-Aisaka-san.
context: Aisaka-senpai, we've been blessed with good fortune thanks to you!\Yeah, we have!\Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga!\What's with them?\A-Aisaka-san. response:	What the hell is wrong with you guys?!
context: Yeah, we have!\Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga!\What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?! response:	Why did you dodge us, Taiga?
context: Do you know them?\I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga!\What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga? response:	I won't ask you to bite me.
context: I have absolutely no connection with them.\How dare they act so indecent this early in the morning!\Taiga!\What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me. response:	You can just step on me with your feet like this,
context: How dare they act so indecent this early in the morning!\Taiga!\What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this, response:	and then rub my head against your armpits.
context: Taiga!\What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits. response:	That's disgusting!
context: What's with them?\A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting! response:	Don't come near me, you guys.
context: A-Aisaka-san.\What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys. response:	What is going on?
context: What the hell is wrong with you guys?!\Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys.\What is going on? response:	With all this jinxing going on something must be wrong.
context: Why did you dodge us, Taiga?\I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong. response:	Look, like this.
context: I won't ask you to bite me.\You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong.\Look, like this. response:	Stupid Chi', what the hell are you doing?
context: You can just step on me with your feet like this,\and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing? response:	Oh, my. Ami-chan's beautiful face is...
context: and then rub my head against your armpits.\That's disgusting!\Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is... response:	It's uncensored.
context: That's disgusting!\Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored. response:	See, I proved that the rumor was false.
context: Don't come near me, you guys.\What is going on?\With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false. response:	I've received bad luck already!
context: What is going on?\With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already! response:	Don't smear it on my skirt!
context: With all this jinxing going on something must be wrong.\Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt! response:	You got some sticky stuff on me.
context: Look, like this.\Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me. response:	How are you going to pay for it?
context: Stupid Chi', what the hell are you doing?\Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it? response:	You probably did it yourself.
context: Oh, my. Ami-chan's beautiful face is...\It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself. response:	What's this rumor?
context: It's uncensored.\See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself.\What's this rumor? response:	You see, things happened to the guests who watched our pro wrestling show during the cultural festival,
context: See, I proved that the rumor was false.\I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival, response:	especially to the ones who were kicked and hit by Taiga.
context: I've received bad luck already!\Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga. response:	Basically, everyone touched by Taiga was blessed with good fortune.
context: Don't smear it on my skirt!\You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune. response:	Good fortune?
context: You got some sticky stuff on me.\How are you going to pay for it?\You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune? response:	Correct.
context: How are you going to pay for it?\You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct. response:	Some have received sudden confessions,
context: You probably did it yourself.\What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct.\Some have received sudden confessions, response:	others suddenly inherited huge fortunes from previously unknown grandfathers.
context: What's this rumor?\You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers. response:	Happiness is being unleashed!
context: You see, things happened to the guests who watched our pro wrestling show during the cultural festival,\especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed! response:	It's like absolutely any wish will be granted.
context: especially to the ones who were kicked and hit by Taiga.\Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted. response:	That's the Legend of the Palmtop Tiger of Happiness which is circulating.
context: Basically, everyone touched by Taiga was blessed with good fortune.\Good fortune?\Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating. response:	I see.
context: Good fortune?\Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see. response:	So that's what's going on.
context: Correct.\Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on. response:	What the hell is this?!
context: Some have received sudden confessions,\others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on.\What the hell is this?! response:	Everyone is just messing around!
context: others suddenly inherited huge fortunes from previously unknown grandfathers.\Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on.\What the hell is this?!\Everyone is just messing around! response:	So Taiga, just a little -
context: Happiness is being unleashed!\It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on.\What the hell is this?!\Everyone is just messing around!\So Taiga, just a little - response:	Don't act like you're close to me!
context: It's like absolutely any wish will be granted.\That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on.\What the hell is this?!\Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me! response:	Regardless of how many people try, I won't let anyone touch me.
context: That's the Legend of the Palmtop Tiger of Happiness which is circulating.\I see.\So that's what's going on.\What the hell is this?!\Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me. response:	Good morning, everyone!
context: I see.\So that's what's going on.\What the hell is this?!\Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone! response:	Why are all of you gathered around here -
context: So that's what's going on.\What the hell is this?!\Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here - response:	Minorin!
context: What the hell is this?!\Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here -\Minorin! response:	The only one who can touch me is Minorin!
context: Everyone is just messing around!\So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin! response:	Minorin!
context: So Taiga, just a little -\Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin!\Minorin! response:	Stop, stop, stop.
context: Don't act like you're close to me!\Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop. response:	You're a good girl...
context: Regardless of how many people try, I won't let anyone touch me.\Good morning, everyone!\Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop.\You're a good girl... response:	So you'll become happy if you touch Taiga, huh?
context: Good morning, everyone!\Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh? response:	On that day, Taiga must've been really far away from happiness.
context: Why are all of you gathered around here -\Minorin!\The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness. response:	If Taiga made anyone happy on that day,
context: Minorin!\The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day, response:	that'd be...
context: The only one who can touch me is Minorin!\Minorin!\Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be... response:	What is it?
context: Minorin!\Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be...\What is it? response:	Hurry up and give me my lunch box.
context: Stop, stop, stop.\You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be...\What is it?\Hurry up and give me my lunch box. response:	Oh, yeah.
context: You're a good girl...\So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be...\What is it?\Hurry up and give me my lunch box.\Oh, yeah. response:	Takasu-kun is so ironic.
context: So you'll become happy if you touch Taiga, huh?\On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be...\What is it?\Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic. response:	I mean, he's like the closest to Aisaka-san.
context: On that day, Taiga must've been really far away from happiness.\If Taiga made anyone happy on that day,\that'd be...\What is it?\Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san. response:	Aisaka-san looked like she had a lot of fun while dancing with Maruo.
context: If Taiga made anyone happy on that day,\that'd be...\What is it?\Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo. response:	They say you'll receive good fortune if you touch her,
context: that'd be...\What is it?\Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her, response:	but it's so ironic that he's always by her side.
context: What is it?\Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her,\but it's so ironic that he's always by her side. response:	She was even stolen from him so easily by Maruo at the cultural festival.
context: Hurry up and give me my lunch box.\Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her,\but it's so ironic that he's always by her side.\She was even stolen from him so easily by Maruo at the cultural festival. response:	W-What?
context: Oh, yeah.\Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her,\but it's so ironic that he's always by her side.\She was even stolen from him so easily by Maruo at the cultural festival.\W-What? response:	These strange rumors -
context: Takasu-kun is so ironic.\I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her,\but it's so ironic that he's always by her side.\She was even stolen from him so easily by Maruo at the cultural festival.\W-What?\These strange rumors - response:	That's so pitiful.
context: I mean, he's like the closest to Aisaka-san.\Aisaka-san looked like she had a lot of fun while dancing with Maruo.\They say you'll receive good fortune if you touch her,\but it's so ironic that he's always by her side.\She was even stolen from him so easily by Maruo at the cultural festival.\W-What?\These strange rumors -\That's so pitiful. response:	Yeah, Kitamura-kun stole me away from you.
