context: Fear Me!! Freeza Does Battle With a Third Transformation response:	What?
context: Y- Yes!\Dende...\I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He... response:	He's just like Freeza! He's also killed so many Namekians!
context: Dende...\I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians! response:	Go heal him for me.
context: I see, so that's it!\Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me. response:	I can beat Vegeta now, but I can't possibly beat Freeza.
context: Unbelievable! Do I have the same ability?\No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza. response:	What now? Freeza is...
context: No. You, like Nail-san, are a warrior-type.\More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is... response:	He's finishing his transformation!
context: More importantly, Dende, I know how you feel, not wanting to heal Vegeta.\For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation! response:	Ah, hell. All this time, we should have masked our Ki and hidden somewhere.
context: For now, without him, there isn't anything we can do!\He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere. response:	If we had done something like that, he would just blow us away, planet Namek and all!
context: He...\He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all! response:	He doesn't have any more use for this planet!
context: He's just like Freeza! He's also killed so many Namekians!\Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet! response:	T- That is one impossibly huge Ki.
context: Go heal him for me.\I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki. response:	T- The incredible beast is about to appear!
context: I can beat Vegeta now, but I can't possibly beat Freeza.\What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear! response:	Dende, please! Heal Vegeta!
context: What now? Freeza is...\He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta! response:	Dende...
context: He's finishing his transformation!\Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende... response:	We can see him now!
context: Ah, hell. All this time, we should have masked our Ki and hidden somewhere.\If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende...\We can see him now! response:	You little turd!
context: If we had done something like that, he would just blow us away, planet Namek and all!\He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende...\We can see him now!\You little turd! response:	You just be grateful that I didn't kill you right here!
context: He doesn't have any more use for this planet!\T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende...\We can see him now!\You little turd!\You just be grateful that I didn't kill you right here! response:	So that's Freeza's battle power?
context: T- That is one impossibly huge Ki.\T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende...\We can see him now!\You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power? response:	Looks like he's revealed his true self.
context: T- The incredible beast is about to appear!\Dende, please! Heal Vegeta!\Dende...\We can see him now!\You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power?\Looks like he's revealed his true self. response:	Freeza, or anyone else, bring it on!
context: Dende, please! Heal Vegeta!\Dende...\We can see him now!\You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power?\Looks like he's revealed his true self.\Freeza, or anyone else, bring it on! response:	I have now become a Super Saiyan!
context: Dende...\We can see him now!\You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power?\Looks like he's revealed his true self.\Freeza, or anyone else, bring it on!\I have now become a Super Saiyan! response:	So this is Freeza? Such an incredible Ki!
context: We can see him now!\You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power?\Looks like he's revealed his true self.\Freeza, or anyone else, bring it on!\I have now become a Super Saiyan!\So this is Freeza? Such an incredible Ki! response:	At last, Freeza completes his third transformation.
context: You little turd!\You just be grateful that I didn't kill you right here!\So that's Freeza's battle power?\Looks like he's revealed his true self.\Freeza, or anyone else, bring it on!\I have now become a Super Saiyan!\So this is Freeza? Such an incredible Ki!\At last, Freeza completes his third transformation. response:	Is there any hope left for Gohan and the others?
