context: -HALF- response:	Insert
context: Don't you get it? We can't change the past!\There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye...\No...\No...\No...\No! response:	There's no house here anymore. Dad's gone too.
context: There's nothing we can do about it!\When will you be satisfied? We have no choice!\Evil Eye...\No...\No...\No...\No!\There's no house here anymore. Dad's gone too. response:	The Ethereal Horizon doesn't even
context: When will you be satisfied? We have no choice!\Evil Eye...\No...\No...\No...\No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even response:	It exists.
context: Evil Eye...\No...\No...\No...\No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists. response:	The Ethereal Horizon exists!
context: No...\No...\No...\No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists! response:	You?
context: No...\No...\No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists!\You? response:	I think you're right, Tooka.
context: No...\No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists!\You?\I think you're right, Tooka. response:	Yuuta...
context: No!\There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists!\You?\I think you're right, Tooka.\Yuuta... response:	I think Rikka's doing this because she knows it too.
context: There's no house here anymore. Dad's gone too.\The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists!\You?\I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too. response:	You can tell her to accept reality,
context: The Ethereal Horizon doesn't even\It exists.\The Ethereal Horizon exists!\You?\I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality, response:	but there are many things that none of us are able to accept.
context: It exists.\The Ethereal Horizon exists!\You?\I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept. response:	She had no time to prepare for what happened,
context: The Ethereal Horizon exists!\You?\I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened, response:	and it was all over before she knew it.
context: You?\I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it. response:	She isn't running away.
context: I think you're right, Tooka.\Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away. response:	She isn't even trying to look the other way.
context: Yuuta...\I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way. response:	She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.
context: I think Rikka's doing this because she knows it too.\You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it. response:	And yet, everyone tells her, that's life. That's reality.
context: You can tell her to accept reality,\but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality. response:	Is that really right?
context: but there are many things that none of us are able to accept.\She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right? response:	That's what reality is.
context: She had no time to prepare for what happened,\and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is. response:	Everyone has to live with it. That's what it means to become an adult.
context: and it was all over before she knew it.\She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult. response:	Maybe so, but for her...
context: She isn't running away.\She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her... response:	Rikka!
context: She isn't even trying to look the other way.\She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka! response:	Rikka!
context: She just wonders if it's okay to sum things up with the usual platitudes as if that was all there was to it.\And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka!\Rikka! response:	Rikka!
context: And yet, everyone tells her, that's life. That's reality.\Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka!\Rikka!\Rikka! response:	Where's Rikka?
context: Is that really right?\That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka!\Rikka!\Rikka!\Where's Rikka? response:	She came back in a taxi not too long ago.
context: That's what reality is.\Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka!\Rikka!\Rikka!\Where's Rikka?\She came back in a taxi not too long ago. response:	I guess she's on the shore.
context: Everyone has to live with it. That's what it means to become an adult.\Maybe so, but for her...\Rikka!\Rikka!\Rikka!\Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore. response:	Everyone else left a while ago to light fireworks.
context: Maybe so, but for her...\Rikka!\Rikka!\Rikka!\Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks. response:	Thank you very much!
context: Rikka!\Rikka!\Rikka!\Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much! response:	The time has come for the Black Dragon to be unleashed on its deathly rampage!
context: Rikka!\Rikka!\Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage! response:	Wait! Wait!
context: Rikka!\Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait! response:	What's wrong with you?
context: Where's Rikka?\She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you? response:	Here you are.
context: She came back in a taxi not too long ago.\I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you?\Here you are. response:	Come on, boy! Fetch!
context: I guess she's on the shore.\Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you?\Here you are.\Come on, boy! Fetch! response:	Go get it!
context: Everyone else left a while ago to light fireworks.\Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you?\Here you are.\Come on, boy! Fetch!\Go get it! response:	Why?!
context: Thank you very much!\The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you?\Here you are.\Come on, boy! Fetch!\Go get it!\Why?! response:	Isn't this fun?
context: The time has come for the Black Dragon to be unleashed on its deathly rampage!\Wait! Wait!\What's wrong with you?\Here you are.\Come on, boy! Fetch!\Go get it!\Why?!\Isn't this fun? response:	Yes, it is!
context: Wait! Wait!\What's wrong with you?\Here you are.\Come on, boy! Fetch!\Go get it!\Why?!\Isn't this fun?\Yes, it is! response:	Togashi and Rikka sure are late, though.
context: What's wrong with you?\Here you are.\Come on, boy! Fetch!\Go get it!\Why?!\Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though. response:	Where could they have gone?
context: Here you are.\Come on, boy! Fetch!\Go get it!\Why?!\Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone? response:	Where do you think they'd go after sneaking out to the beach together during summer vacation?
context: Come on, boy! Fetch!\Go get it!\Why?!\Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation? response:	Don't tell me they encountered a warrior from the Otherworld!
context: Go get it!\Why?!\Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld! response:	Ah, Togashi!
context: Why?!\Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi! response:	Where's Rikka?!
context: Isn't this fun?\Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?! response:	We haven't seen her!
context: Yes, it is!\Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?!\We haven't seen her! response:	Damn...
context: Togashi and Rikka sure are late, though.\Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?!\We haven't seen her!\Damn... response:	Togashi!
context: Where could they have gone?\Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?!\We haven't seen her!\Damn...\Togashi! response:	Youth at its finest!
context: Where do you think they'd go after sneaking out to the beach together during summer vacation?\Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?!\We haven't seen her!\Damn...\Togashi!\Youth at its finest! response:	Could this be the battlefield of love?
context: Don't tell me they encountered a warrior from the Otherworld!\Ah, Togashi!\Where's Rikka?!\We haven't seen her!\Damn...\Togashi!\Youth at its finest!\Could this be the battlefield of love? response:	Battlefield of Love is a powerful barrier spell!
context: Ah, Togashi!\Where's Rikka?!\We haven't seen her!\Damn...\Togashi!\Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell! response:	Yuuta!
context: Where's Rikka?!\We haven't seen her!\Damn...\Togashi!\Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta! response:	Geez, I barely made it!
context: We haven't seen her!\Damn...\Togashi!\Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it! response:	But why?
context: Damn...\Togashi!\Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it!\But why? response:	That's my line!
context: Togashi!\Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it!\But why?\That's my line! response:	Where do you think you're going?
context: Youth at its finest!\Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it!\But why?\That's my line!\Where do you think you're going? response:	The Overseers' power in that location is overwhelming.
context: Could this be the battlefield of love?\Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it!\But why?\That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming. response:	Their barrier is just too strong.
context: Battlefield of Love is a powerful barrier spell!\Yuuta!\Geez, I barely made it!\But why?\That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong. response:	I must retreat.
context: Yuuta!\Geez, I barely made it!\But why?\That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat. response:	So you're going home?
context: Geez, I barely made it!\But why?\That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat.\So you're going home? response:	Yuuta...
context: But why?\That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat.\So you're going home?\Yuuta... response:	Hm?
context: That's my line!\Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat.\So you're going home?\Yuuta...\Hm? response:	Yuuta, how did you first come to realize the power of the Dark Flames?
context: Where do you think you're going?\The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat.\So you're going home?\Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames? response:	I never even had it...
context: The Overseers' power in that location is overwhelming.\Their barrier is just too strong.\I must retreat.\So you're going home?\Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it... response:	Well, I first realized when I was talking with my friends.
context: Their barrier is just too strong.\I must retreat.\So you're going home?\Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends. response:	They were excited about going somewhere to hang out.
context: I must retreat.\So you're going home?\Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out. response:	I felt left out, as if I was something different.
context: So you're going home?\Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different. response:	It felt odd, a weird loneliness like being left behind by the world.
context: Yuuta...\Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world. response:	So your dark self awakened to its memories of another world?
context: Hm?\Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world? response:	Even that seems like a better explanation than the truth.
context: Yuuta, how did you first come to realize the power of the Dark Flames?\I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth. response:	That's why...
context: I never even had it...\Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why... response:	Damn me!
context: Well, I first realized when I was talking with my friends.\They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why...\Damn me! response:	What's wrong? The Overseers' curse?
context: They were excited about going somewhere to hang out.\I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why...\Damn me!\What's wrong? The Overseers' curse? response:	No...
context: I felt left out, as if I was something different.\It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why...\Damn me!\What's wrong? The Overseers' curse?\No... response:	Anyway, do you
context: It felt odd, a weird loneliness like being left behind by the world.\So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why...\Damn me!\What's wrong? The Overseers' curse?\No...\Anyway, do you response:	Our eyes met.
context: So your dark self awakened to its memories of another world?\Even that seems like a better explanation than the truth.\That's why...\Damn me!\What's wrong? The Overseers' curse?\No...\Anyway, do you\Our eyes met. response:	Now we're bound by an even stronger contract, Dark Flame Master.
context: Even that seems like a better explanation than the truth.\That's why...\Damn me!\What's wrong? The Overseers' curse?\No...\Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master. response:	I told you...
context: That's why...\Damn me!\What's wrong? The Overseers' curse?\No...\Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you... response:	Vanish into the embrace of
context: Damn me!\What's wrong? The Overseers' curse?\No...\Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of response:	Stop it!
context: What's wrong? The Overseers' curse?\No...\Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of\Stop it! response:	It's from Togashi.
context: No...\Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of\Stop it!\It's from Togashi. response:	What's it say?
context: Anyway, do you\Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of\Stop it!\It's from Togashi.\What's it say? response:	Takanashi's going back home, so he's going with her.
context: Our eyes met.\Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of\Stop it!\It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her. response:	So they left?
context: Now we're bound by an even stronger contract, Dark Flame Master.\I told you...\Vanish into the embrace of\Stop it!\It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her.\So they left? response:	They're so bold!
context: I told you...\Vanish into the embrace of\Stop it!\It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her.\So they left?\They're so bold! response:	Bold?
context: Vanish into the embrace of\Stop it!\It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her.\So they left?\They're so bold!\Bold? response:	You know, acting cute will only get you so far.
context: Stop it!\It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her.\So they left?\They're so bold!\Bold?\You know, acting cute will only get you so far. response:	Have you ever dated a boy?
context: It's from Togashi.\What's it say?\Takanashi's going back home, so he's going with her.\So they left?\They're so bold!\Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy? response:	Of course!
context: What's it say?\Takanashi's going back home, so he's going with her.\So they left?\They're so bold!\Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course! response:	Takashi, from kindergarten! We were in the same class together.
context: Takanashi's going back home, so he's going with her.\So they left?\They're so bold!\Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together. response:	But then we had to move overseas for my dad's work,
context: So they left?\They're so bold!\Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work, response:	and I was homeschooled until high school.
context: They're so bold!\Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school. response:	It's been a while since I last met a real airhead.
context: Bold?\You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead. response:	Ouch!
context: You know, acting cute will only get you so far.\Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch! response:	Sorry!
context: Have you ever dated a boy?\Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch!\Sorry! response:	It stings!
context: Of course!\Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch!\Sorry!\It stings! response:	My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!
context: Takashi, from kindergarten! We were in the same class together.\But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch!\Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death! response:	Wh-What do you want?
context: But then we had to move overseas for my dad's work,\and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch!\Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want? response:	Well, I thought since we're all here, I might as well wash your back.
context: and I was homeschooled until high school.\It's been a while since I last met a real airhead.\Ouch!\Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back. response:	I found a nice, soft sponge too.
context: It's been a while since I last met a real airhead.\Ouch!\Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too. response:	I-I'll pass...
context: Ouch!\Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass... response:	Please, it's no trouble at all!
context: Sorry!\It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all! response:	Get away from me!
context: It stings!\My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all!\Get away from me! response:	Darn, it's gotten quite late.
context: My body was seared by the Sun, like the wings of mighty Icarus before he fell to his death!\Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all!\Get away from me!\Darn, it's gotten quite late. response:	Yuuta! I've been barred from my room!
context: Wh-What do you want?\Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all!\Get away from me!\Darn, it's gotten quite late.\Yuuta! I've been barred from my room! response:	The passcode was changed!
context: Well, I thought since we're all here, I might as well wash your back.\I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all!\Get away from me!\Darn, it's gotten quite late.\Yuuta! I've been barred from my room!\The passcode was changed! response:	You just forgot your key, didn't you?
context: I found a nice, soft sponge too.\I-I'll pass...\Please, it's no trouble at all!\Get away from me!\Darn, it's gotten quite late.\Yuuta! I've been barred from my room!\The passcode was changed!\You just forgot your key, didn't you? response:	Damn. I guess that leaves one option.
context: I-I'll pass...\Please, it's no trouble at all!\Get away from me!\Darn, it's gotten quite late.\Yuuta! I've been barred from my room!\The passcode was changed!\You just forgot your key, didn't you?\Damn. I guess that leaves one option. response:	Huh? I'm back!
