context: Congratulations on making the final round. response:	I look forward to seeing you do well!
context: Julis and the others have been monopolizing you lately...\And I've missed you greatly...\Uh, well... but...\Whoops, sorry, Claudia!\Um... Ayato-senpai, sorry to bother you all of a sudden.\Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see. response:	A-And when I called Saya-san's portable terminal, she said she was lost!
context: And I've missed you greatly...\Uh, well... but...\Whoops, sorry, Claudia!\Um... Ayato-senpai, sorry to bother you all of a sudden.\Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost! response:	Gotcha. I'll help you look for her, too. You're in the Business District now right?
context: Uh, well... but...\Whoops, sorry, Claudia!\Um... Ayato-senpai, sorry to bother you all of a sudden.\Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right? response:	I'll be right there.
context: Whoops, sorry, Claudia!\Um... Ayato-senpai, sorry to bother you all of a sudden.\Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there. response:	Th-Thank you very much!
context: Um... Ayato-senpai, sorry to bother you all of a sudden.\Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much! response:	Sorry, Claudia. As you just heard...
context: Is something wrong?\S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard... response:	But we're finally getting to spend quality time together...
context: S-Somewhere along the way, I lost sight of Saya-san...\Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together... response:	I-I'm really sorry!
context: Oh, I see.\A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry! response:	I promise I'll make it up to you!
context: A-And when I called Saya-san's portable terminal, she said she was lost!\Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you! response:	Humph!
context: Gotcha. I'll help you look for her, too. You're in the Business District now right?\I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you!\Humph! response:	Claudia...
context: I'll be right there.\Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you!\Humph!\Claudia... response:	Please forgive me. I see I went a little overboard there.
context: Th-Thank you very much!\Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you!\Humph!\Claudia...\Please forgive me. I see I went a little overboard there. response:	Come on, give me a break, Claudia.
context: Sorry, Claudia. As you just heard...\But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you!\Humph!\Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia. response:	I meant it when I said I was looking forward to this, so please allow me at least this much fun.
context: But we're finally getting to spend quality time together...\I-I'm really sorry!\I promise I'll make it up to you!\Humph!\Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun. response:	Uh...
context: I-I'm really sorry!\I promise I'll make it up to you!\Humph!\Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh... response:	That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?
context: I promise I'll make it up to you!\Humph!\Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it? response:	I'll be looking forward to your atonement.
context: Humph!\Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement. response:	Power and Its Price
context: Claudia...\Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price response:	Around here, maybe?
context: Please forgive me. I see I went a little overboard there.\Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe? response:	Come back here!
context: Come on, give me a break, Claudia.\I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe?\Come back here! response:	Be a good girl and let us catch you!
context: I meant it when I said I was looking forward to this, so please allow me at least this much fun.\Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe?\Come back here!\Be a good girl and let us catch you! response:	Whoa!
context: Uh...\That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe?\Come back here!\Be a good girl and let us catch you!\Whoa! response:	I'm sorry!
context: That said, it wouldn't do to leave poor lost Ms. Sasamiya in the lurch, would it?\I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe?\Come back here!\Be a good girl and let us catch you!\Whoa!\I'm sorry! response:	Huh? Wait, you're...
context: I'll be looking forward to your atonement.\Power and Its Price\Around here, maybe?\Come back here!\Be a good girl and let us catch you!\Whoa!\I'm sorry!\Huh? Wait, you're... response:	Come back here, dammit!
context: Power and Its Price\Around here, maybe?\Come back here!\Be a good girl and let us catch you!\Whoa!\I'm sorry!\Huh? Wait, you're...\Come back here, dammit! response:	Who the hell are you?
context: Around here, maybe?\Come back here!\Be a good girl and let us catch you!\Whoa!\I'm sorry!\Huh? Wait, you're...\Come back here, dammit!\Who the hell are you? response:	Hand that girl over!
context: Come back here!\Be a good girl and let us catch you!\Whoa!\I'm sorry!\Huh? Wait, you're...\Come back here, dammit!\Who the hell are you?\Hand that girl over! response:	I know that guy from somewhere...
context: Be a good girl and let us catch you!\Whoa!\I'm sorry!\Huh? Wait, you're...\Come back here, dammit!\Who the hell are you?\Hand that girl over!\I know that guy from somewhere... response:	Guess there's no way out of it!
context: Whoa!\I'm sorry!\Huh? Wait, you're...\Come back here, dammit!\Who the hell are you?\Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it! response:	Come back here, you bastard!
context: I'm sorry!\Huh? Wait, you're...\Come back here, dammit!\Who the hell are you?\Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard! response:	Where'd they go? Dammit!
context: Huh? Wait, you're...\Come back here, dammit!\Who the hell are you?\Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit! response:	Uh... um?
context: Come back here, dammit!\Who the hell are you?\Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit!\Uh... um? response:	Oh, sorry!
context: Who the hell are you?\Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit!\Uh... um?\Oh, sorry! response:	Oh, no, not at all! Thank you so much for rescuing me from such danger!
context: Hand that girl over!\I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit!\Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger! response:	No problem... But what got you into that mess?
context: I know that guy from somewhere...\Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit!\Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess? response:	I believe those people are from the casino.
context: Guess there's no way out of it!\Come back here, you bastard!\Where'd they go? Dammit!\Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino. response:	Y-You see...
context: Come back here, you bastard!\Where'd they go? Dammit!\Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see... response:	U-Uh, but please don't get the wrong idea!
context: Where'd they go? Dammit!\Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea! response:	Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,
context: Uh... um?\Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times, response:	but deep down, she's a really, really kind-hearted person!
context: Oh, sorry!\Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person! response:	When I contacted her just now, she said she'd come save me right away!
context: Oh, no, not at all! Thank you so much for rescuing me from such danger!\No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away! response:	Oh, is that right...? Huh? Come save you?
context: No problem... But what got you into that mess?\I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you? response:	Hey, you!
context: I believe those people are from the casino.\Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you! response:	What the hell are you doing?
context: Y-You see...\U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing? response:	Sister!
context: U-Uh, but please don't get the wrong idea!\Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing?\Sister! response:	I'm warning you... you better not have laid a hand on Priscilla!
context: Sister... no, I mean my elder sister can be a bit violent and short-tempered at times,\but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla! response:	Th-That's not what happened!
context: but deep down, she's a really, really kind-hearted person!\When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened! response:	Amagiri-san saved me, all right?
context: When I contacted her just now, she said she'd come save me right away!\Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right? response:	Keep quiet, Priscilla.
context: Oh, is that right...? Huh? Come save you?\Hey, you!\What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla. response:	First of all, why would Ayato Amagiri save you?
context: Hey, you!\What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you? response:	This guy has no obligation to save his enemies.
context: What the hell are you doing?\Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies. response:	You can't fool me!
context: Sister!\I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me! response:	I'm your enemy? Come on...
context: I'm warning you... you better not have laid a hand on Priscilla!\Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on... response:	Oh, crap.
context: Th-That's not what happened!\Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on...\Oh, crap. response:	Sister!
context: Amagiri-san saved me, all right?\Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on...\Oh, crap.\Sister! response:	Don't tell me you mean that seriously?
context: Keep quiet, Priscilla.\First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on...\Oh, crap.\Sister!\Don't tell me you mean that seriously? response:	A-All right! Don't get riled up!
context: First of all, why would Ayato Amagiri save you?\This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on...\Oh, crap.\Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up! response:	Really? You really won't do anything violent to Amagiri-san?
context: This guy has no obligation to save his enemies.\You can't fool me!\I'm your enemy? Come on...\Oh, crap.\Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san? response:	I-I won't, I won't!
context: You can't fool me!\I'm your enemy? Come on...\Oh, crap.\Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't! response:	Can you promise me on your life?
context: I'm your enemy? Come on...\Oh, crap.\Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life? response:	I can! I promise you!
context: Oh, crap.\Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life?\I can! I promise you! response:	Okay, then fine.
context: Sister!\Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life?\I can! I promise you!\Okay, then fine. response:	Yeah, but then why were you walking through an alleyway like this?
context: Don't tell me you mean that seriously?\A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life?\I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this? response:	Sister?
context: A-All right! Don't get riled up!\Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life?\I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister? response:	I'm just asking! Just asking!
context: Really? You really won't do anything violent to Amagiri-san?\I-I won't, I won't!\Can you promise me on your life?\I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking! response:	Uh...
context: I-I won't, I won't!\Can you promise me on your life?\I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking!\Uh... response:	Saya, where are you right now?
context: Can you promise me on your life?\I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking!\Uh...\Saya, where are you right now? response:	It's all right. My problem was just solved a minute ago.
context: I can! I promise you!\Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking!\Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago. response:	I just met up with Saya-san now.
context: Okay, then fine.\Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking!\Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now. response:	All right, glad to hear it.
context: Yeah, but then why were you walking through an alleyway like this?\Sister?\I'm just asking! Just asking!\Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it. response:	Okay, then, Kirin-chan, how about we meet up in the Business District?
context: Sister?\I'm just asking! Just asking!\Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District? response:	All right!
context: I'm just asking! Just asking!\Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right! response:	Copy that.
context: Uh...\Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that. response:	See you then.
context: Saya, where are you right now?\It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that.\See you then. response:	So as you can see, I was looking for a friend who got lost.
context: It's all right. My problem was just solved a minute ago.\I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that.\See you then.\So as you can see, I was looking for a friend who got lost. response:	Hear that, Sister?
context: I just met up with Saya-san now.\All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that.\See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister? response:	Damn. Okay, then. I owe you one now, huh?
context: All right, glad to hear it.\Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that.\See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh? response:	Hey, I know you'd do the same for me.
context: Okay, then, Kirin-chan, how about we meet up in the Business District?\All right!\Copy that.\See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me. response:	Except that's not gonna fly...
context: All right!\Copy that.\See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly... response:	We need to settle the score right away, or it's gonna be awkward as hell.
context: Copy that.\See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell. response:	These are the matchups for the final.
context: See you then.\So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final. response:	Oh, so they've already been announced...
context: So as you can see, I was looking for a friend who got lost.\Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced... response:	What the hell are you doing?
context: Hear that, Sister?\Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing? response:	Irene Urzaiz?
context: Damn. Okay, then. I owe you one now, huh?\Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz? response:	That's what I'm here to ask you!
context: Hey, I know you'd do the same for me.\Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you! response:	Priscilla got attacked today!
context: Except that's not gonna fly...\We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today! response:	Oh, that?
context: We need to settle the score right away, or it's gonna be awkward as hell.\These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that? response:	One of the conditions of my contract with you was Priscilla's safety!
context: These are the matchups for the final.\Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety! response:	Sure, I remember.
context: Oh, so they've already been announced...\What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember. response:	But there are still people at Le Wolfe who don't take kindly to following my orders.
context: What the hell are you doing?\Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders. response:	When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?
context: Irene Urzaiz?\That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla? response:	She's just a Regenerative.
context: That's what I'm here to ask you!\Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative. response:	Who cares if she sustains a scratch here and there?
context: Priscilla got attacked today!\Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there? response:	Screw you.
context: Oh, that?\One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you. response:	Huh! Who knew it had consumed you to this degree?
context: One of the conditions of my contract with you was Priscilla's safety!\Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree? response:	Dammit, is that a Cat?
