context: Episode 5 Umaru and Summer Vacation response:	Midterms 1: Doma Umaru 2: Tachibana Sylphynford
context: Sylphyn kept it pretty simple today.\Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day response:	Summer vacation: the time when I can stay at the arcade
context: Maybe she's plotting something.\Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade response:	all morning long without being bothered, while the masses are busy working.
context: Well, what's more important is summer vacation, which starts tomorrow.\I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working. response:	I will take full advantage of this right as a student.
context: I'm so psyched for it.\Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student. response:	All I do is sit here dropping tokens.
context: Yeah. Now that our tests are over, I'm totally gonna let loose.\What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens. response:	Currency Exchange
context: What will you do, Umaru-chan?\The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange response:	But that's why it's so great.
context: The same as usual, I guess.\The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great. response:	Shupapapaa
context: The Next Day\Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great.\Shupapapaa response:	Winner
context: Summer vacation: the time when I can stay at the arcade\all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great.\Shupapapaa\Winner response:	Shipaan
context: all morning long without being bothered, while the masses are busy working.\I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great.\Shupapapaa\Winner\Shipaan response:	I'd recognize that back anywhere, UMR-san!
context: I will take full advantage of this right as a student.\All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great.\Shupapapaa\Winner\Shipaan\I'd recognize that back anywhere, UMR-san! response:	I've found you!
context: All I do is sit here dropping tokens.\Currency Exchange\But that's why it's so great.\Shupapapaa\Winner\Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you! response:	Well, hello, TSF-san.
context: Currency Exchange\But that's why it's so great.\Shupapapaa\Winner\Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san. response:	Yes, I am TSF. Tachibana Sylphynford!
context: But that's why it's so great.\Shupapapaa\Winner\Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford! response:	Oh? Do you wear your mask in private, as well?
context: Shupapapaa\Winner\Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well? response:	W-Well, I have my reasons.
context: Winner\Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons. response:	Well, that matters not.
context: Shipaan\I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not. response:	I have some unfinished business with you, UMR-san.
context: I'd recognize that back anywhere, UMR-san!\I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san. response:	You see, I have a classmate named Doma Umaru-san.
context: I've found you!\Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san. response:	Umaru-san and I are rivals.
context: Well, hello, TSF-san.\Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals. response:	Shupaan
context: Yes, I am TSF. Tachibana Sylphynford!\Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan response:	My mission in life is to defeat Umaru-san.
context: Oh? Do you wear your mask in private, as well?\W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san. response:	However...
context: W-Well, I have my reasons.\Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san.\However... response:	Shupaa
context: Well, that matters not.\I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san.\However...\Shupaa response:	Before that, I will win against you, UMR-san,
context: I have some unfinished business with you, UMR-san.\You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san.\However...\Shupaa\Before that, I will win against you, UMR-san, response:	since you defeated me recently.
context: You see, I have a classmate named Doma Umaru-san.\Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san.\However...\Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently. response:	Wha...
context: Umaru-san and I are rivals.\Shupaan\My mission in life is to defeat Umaru-san.\However...\Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha... response:	Come. We shall play some Supe IV.
context: Shupaan\My mission in life is to defeat Umaru-san.\However...\Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha...\Come. We shall play some Supe IV. response:	No, er, uh... I didn't bring my personal controller today.
context: My mission in life is to defeat Umaru-san.\However...\Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today. response:	Oh? Is that so?
context: However...\Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so? response:	Well, then...
context: Shupaa\Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then... response:	I shall defeat you in this game you were just playing.
context: Before that, I will win against you, UMR-san,\since you defeated me recently.\Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing. response:	Why am I playing a coin game with Sylphyn-san?
context: since you defeated me recently.\Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san? response:	Here I go.
context: Wha...\Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go. response:	Chance
context: Come. We shall play some Supe IV.\No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance response:	Wh-What is all this racket?
context: No, er, uh... I didn't bring my personal controller today.\Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance\Wh-What is all this racket? response:	Jackpot!
context: Oh? Is that so?\Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance\Wh-What is all this racket?\Jackpot! response:	Er, it's a chance for you to get more coins.
context: Well, then...\I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance\Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins. response:	Whoa, you got 5,000 coins!
context: I shall defeat you in this game you were just playing.\Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance\Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins! response:	That's amazing, TSF-san! I've never seen that happen before!
context: Why am I playing a coin game with Sylphyn-san?\Here I go.\Chance\Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before! response:	What? Does that mean I win?
context: Here I go.\Chance\Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win? response:	Uh, I wouldn't exactly call it winning...
context: Chance\Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning... response:	I shall give this to you.
context: Wh-What is all this racket?\Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you. response:	Now, let's play another game.
context: Jackpot!\Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game. response:	This is a blessing from God!
context: Er, it's a chance for you to get more coins.\Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game.\This is a blessing from God! response:	Now that I look at this game more carefully, it's all just about luck!
context: Whoa, you got 5,000 coins!\That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck! response:	No, this game is about probability, where there's an expected value...
context: That's amazing, TSF-san! I've never seen that happen before!\What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value... response:	We will settle things with another game!
context: What? Does that mean I win?\Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game! response:	What?
context: Uh, I wouldn't exactly call it winning...\I shall give this to you.\Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game!\What? response:	Here you go.
context: I shall give this to you.\Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game!\What?\Here you go. response:	Authorized Personnel Only
context: Now, let's play another game.\This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game!\What?\Here you go.\Authorized Personnel Only response:	My goodness...
context: This is a blessing from God!\Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game!\What?\Here you go.\Authorized Personnel Only\My goodness... response:	We've played so many games and still haven't settled anything.
context: Now that I look at this game more carefully, it's all just about luck!\No, this game is about probability, where there's an expected value...\We will settle things with another game!\What?\Here you go.\Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything. response:	Well, they're all games that I'm good at. But...
context: No, this game is about probability, where there's an expected value...\We will settle things with another game!\What?\Here you go.\Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But... response:	Um, I'm not sure why you want to win so badly,
context: We will settle things with another game!\What?\Here you go.\Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly, response:	but I think an arcade is a place for enjoying games.
context: What?\Here you go.\Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games. response:	So, in that case, here.
context: Here you go.\Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here. response:	Winner
context: Authorized Personnel Only\My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner response:	You win, TSF-san.
context: My goodness...\We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner\You win, TSF-san. response:	I have won!
context: We've played so many games and still haven't settled anything.\Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner\You win, TSF-san.\I have won! response:	Shubuwaa
context: Well, they're all games that I'm good at. But...\Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner\You win, TSF-san.\I have won!\Shubuwaa response:	Shubuwaa
context: Um, I'm not sure why you want to win so badly,\but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner\You win, TSF-san.\I have won!\Shubuwaa\Shubuwaa response:	She looks so happy...
context: but I think an arcade is a place for enjoying games.\So, in that case, here.\Winner\You win, TSF-san.\I have won!\Shubuwaa\Shubuwaa\She looks so happy... response:	Shubatuurn
context: So, in that case, here.\Winner\You win, TSF-san.\I have won!\Shubuwaa\Shubuwaa\She looks so happy...\Shubatuurn response:	UMR-san.
context: Winner\You win, TSF-san.\I have won!\Shubuwaa\Shubuwaa\She looks so happy...\Shubatuurn\UMR-san. response:	Rivals become friends after a victory.
context: You win, TSF-san.\I have won!\Shubuwaa\Shubuwaa\She looks so happy...\Shubatuurn\UMR-san.\Rivals become friends after a victory. response:	UMR-san. You will join forces with me, and we shall defeat Umaru-san.
context: I have won!\Shubuwaa\Shubuwaa\She looks so happy...\Shubatuurn\UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san. response:	Wh-Why and how am I supposed to help?
context: Shubuwaa\Shubuwaa\She looks so happy...\Shubatuurn\UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help? response:	I haven't the slightest, but you're going to help me!
context: Shubuwaa\She looks so happy...\Shubatuurn\UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me! response:	Tokyo Sunny
context: She looks so happy...\Shubatuurn\UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny response:	38 degrees Celsius...
context: Shubatuurn\UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius... response:	It's hot.
context: UMR-san.\Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius...\It's hot. response:	Man, it's summer, all right.
context: Rivals become friends after a victory.\UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius...\It's hot.\Man, it's summer, all right. response:	Wouldn't you say there's nothing better in summer than sitting
context: UMR-san. You will join forces with me, and we shall defeat Umaru-san.\Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius...\It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting response:	in a well-air-conditioned room and playing My Summer?
context: Wh-Why and how am I supposed to help?\I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius...\It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer? response:	Indeed.
context: I haven't the slightest, but you're going to help me!\Tokyo Sunny\38 degrees Celsius...\It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed. response:	Master, I shall make more Calpis.
context: Tokyo Sunny\38 degrees Celsius...\It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis. response:	Ah, I'd like mine with a ratio of 7:3.
context: 38 degrees Celsius...\It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3. response:	Yes, Master.
context: It's hot.\Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master. response:	Kirie-chan's so good at taking care of me, I'm becoming a worse person.
context: Man, it's summer, all right.\Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person. response:	Here you go, Master.
context: Wouldn't you say there's nothing better in summer than sitting\in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master. response:	Ah, thank you.
context: in a well-air-conditioned room and playing My Summer?\Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you. response:	Heck, I'm fine with becoming worse.
context: Indeed.\Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse. response:	Auto
context: Master, I shall make more Calpis.\Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse.\Auto response:	Air Con.
context: Ah, I'd like mine with a ratio of 7:3.\Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse.\Auto\Air Con. response:	Wind Strength
context: Yes, Master.\Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse.\Auto\Air Con.\Wind Strength response:	Temp
context: Kirie-chan's so good at taking care of me, I'm becoming a worse person.\Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse.\Auto\Air Con.\Wind Strength\Temp response:	All right, Kirie-chan. Let's enjoy summer even more.
context: Here you go, Master.\Ah, thank you.\Heck, I'm fine with becoming worse.\Auto\Air Con.\Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more. response:	Yes.
context: Ah, thank you.\Heck, I'm fine with becoming worse.\Auto\Air Con.\Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes. response:	It is overwhelmingly summer.
context: Heck, I'm fine with becoming worse.\Auto\Air Con.\Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer. response:	I wonder what people living in the outside world are doing right now.
context: Auto\Air Con.\Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now. response:	I heard that it's hotter than 35 degrees Celsius outside.
context: Air Con.\Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside. response:	But I am in my nice, cool room, drinking Calpis.
context: Wind Strength\Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis. response:	Huh? Master?
context: Temp\All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master? response:	She's so comfortable, she fell asleep.
context: All right, Kirie-chan. Let's enjoy summer even more.\Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep. response:	So cute!
context: Yes.\It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep.\So cute! response:	What is this adorable creature?!
context: It is overwhelmingly summer.\I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?! response:	Menacing
context: I wonder what people living in the outside world are doing right now.\I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?!\Menacing response:	I just can't!
context: I heard that it's hotter than 35 degrees Celsius outside.\But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?!\Menacing\I just can't! response:	I-I want to keep the memory of this adorableness in my hands.
context: But I am in my nice, cool room, drinking Calpis.\Huh? Master?\She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?!\Menacing\I just can't!\I-I want to keep the memory of this adorableness in my hands. response:	I know. I'll use my cellphone camera...
context: Huh? Master?\She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?!\Menacing\I just can't!\I-I want to keep the memory of this adorableness in my hands.\I know. I'll use my cellphone camera... response:	I-I'm sorry, Master. I just couldn't help myself...
context: She's so comfortable, she fell asleep.\So cute!\What is this adorable creature?!\Menacing\I just can't!\I-I want to keep the memory of this adorableness in my hands.\I know. I'll use my cellphone camera...\I-I'm sorry, Master. I just couldn't help myself... response:	Huh? Master?
