context: Rule the Court response:	I'm sure you're sick of hearing this,
context: Karasuno, fight!\Oikawa, one more! Nice serve!\All right!\It's up!\Cover!\Yeah!\Tanaka, nice kill!\They somehow managed to stop it. response:	Thanks!
context: Oikawa, one more! Nice serve!\All right!\It's up!\Cover!\Yeah!\Tanaka, nice kill!\They somehow managed to stop it.\Thanks! response:	Ryu, well done!
context: All right!\It's up!\Cover!\Yeah!\Tanaka, nice kill!\They somehow managed to stop it.\Thanks!\Ryu, well done! response:	All right!
context: It's up!\Cover!\Yeah!\Tanaka, nice kill!\They somehow managed to stop it.\Thanks!\Ryu, well done!\All right! response:	Tsukishima! You're serving next!
context: Cover!\Yeah!\Tanaka, nice kill!\They somehow managed to stop it.\Thanks!\Ryu, well done!\All right!\Tsukishima! You're serving next! response:	Oh, right.
context: Yeah!\Tanaka, nice kill!\They somehow managed to stop it.\Thanks!\Ryu, well done!\All right!\Tsukishima! You're serving next!\Oh, right. response:	Aoba Johsai Karasuno
context: Tanaka, nice kill!\They somehow managed to stop it.\Thanks!\Ryu, well done!\All right!\Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno response:	Tsukishima, nice serve!
context: They somehow managed to stop it.\Thanks!\Ryu, well done!\All right!\Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve! response:	Got it!
context: Thanks!\Ryu, well done!\All right!\Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it! response:	Mad Dog-chan!
context: Ryu, well done!\All right!\Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it!\Mad Dog-chan! response:	Yeah!
context: All right!\Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it!\Mad Dog-chan!\Yeah! response:	Great, great, Kentaro! Push it, push it, Kentaro! One more time.
context: Tsukishima! You're serving next!\Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it!\Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time. response:	Nice kill!
context: Oh, right.\Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it!\Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill! response:	Kyotani has a lot more energy when he's on the front line.
context: Aoba Johsai Karasuno\Tsukishima, nice serve!\Got it!\Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line. response:	Hopefully he'll be able to keep it up until the end.
context: Tsukishima, nice serve!\Got it!\Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end. response:	An ace with both power and technique...
context: Got it!\Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique... response:	Not only is his attack powerful,
context: Mad Dog-chan!\Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful, response:	but that 16 is also a troublesome decoy.
context: Yeah!\Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy. response:	And then Oikawa's serves that rack up points...
context: Great, great, Kentaro! Push it, push it, Kentaro! One more time.\Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points... response:	If we can't counter those, it's going to break us.
context: Nice kill!\Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us. response:	Both of us are high in ability.
context: Kyotani has a lot more energy when he's on the front line.\Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability. response:	The more we struggle for dominance,
context: Hopefully he'll be able to keep it up until the end.\An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance, response:	the more fatal the consequences will be
context: An ace with both power and technique...\Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be response:	when one of us loses our balance.
context: Not only is his attack powerful,\but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance. response:	Rule the Court
context: but that 16 is also a troublesome decoy.\And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance.\Rule the Court response:	Hang on and don't let go!
context: And then Oikawa's serves that rack up points...\If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance.\Rule the Court\Hang on and don't let go! response:	All right!
context: If we can't counter those, it's going to break us.\Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance.\Rule the Court\Hang on and don't let go!\All right! response:	Aoba Johsai Karasuno
context: Both of us are high in ability.\The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance.\Rule the Court\Hang on and don't let go!\All right!\Aoba Johsai Karasuno response:	The final set's also really close.
context: The more we struggle for dominance,\the more fatal the consequences will be\when one of us loses our balance.\Rule the Court\Hang on and don't let go!\All right!\Aoba Johsai Karasuno\The final set's also really close. response:	But no one's taken a significant lead yet.
context: the more fatal the consequences will be\when one of us loses our balance.\Rule the Court\Hang on and don't let go!\All right!\Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet. response:	They've got to fight real hard not to get left behind right now.
context: when one of us loses our balance.\Rule the Court\Hang on and don't let go!\All right!\Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now. response:	Asahi! Get this one!
context: Rule the Court\Hang on and don't let go!\All right!\Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one! response:	Yeah!
context: Hang on and don't let go!\All right!\Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah! response:	Nice course!
context: All right!\Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah!\Nice course! response:	There's no way you could have gotten that one.
context: Aoba Johsai Karasuno\The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah!\Nice course!\There's no way you could have gotten that one. response:	We'll get the next one!
context: The final set's also really close.\But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah!\Nice course!\There's no way you could have gotten that one.\We'll get the next one! response:	Aoba Johsai Karasuno
context: But no one's taken a significant lead yet.\They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah!\Nice course!\There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno response:	Asahi, one more! Nice serve!
context: They've got to fight real hard not to get left behind right now.\Asahi! Get this one!\Yeah!\Nice course!\There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve! response:	Yeah.
context: Asahi! Get this one!\Yeah!\Nice course!\There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah. response:	Nice receive!
context: Yeah!\Nice course!\There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah.\Nice receive! response:	Yeah!
context: Nice course!\There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah.\Nice receive!\Yeah! response:	Damn it...
context: There's no way you could have gotten that one.\We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah.\Nice receive!\Yeah!\Damn it... response:	And there he is again.
context: We'll get the next one!\Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah.\Nice receive!\Yeah!\Damn it...\And there he is again. response:	Oikawa, nice serve!
context: Aoba Johsai Karasuno\Asahi, one more! Nice serve!\Yeah.\Nice receive!\Yeah!\Damn it...\And there he is again.\Oikawa, nice serve! response:	Yes! Now score and cut off Oikawa's serves!
context: Asahi, one more! Nice serve!\Yeah.\Nice receive!\Yeah!\Damn it...\And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves! response:	Chance ball! Tanaka!
context: Yeah.\Nice receive!\Yeah!\Damn it...\And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka! response:	Yeah!
context: Nice receive!\Yeah!\Damn it...\And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah! response:	A quick's coming!
context: Yeah!\Damn it...\And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah!\A quick's coming! response:	Nice receive!
context: Damn it...\And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah!\A quick's coming!\Nice receive! response:	Kyotani, get the last!
context: And there he is again.\Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah!\A quick's coming!\Nice receive!\Kyotani, get the last! response:	Right! Right!
context: Oikawa, nice serve!\Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah!\A quick's coming!\Nice receive!\Kyotani, get the last!\Right! Right! response:	Tanaka-san...
context: Yes! Now score and cut off Oikawa's serves!\Chance ball! Tanaka!\Yeah!\A quick's coming!\Nice receive!\Kyotani, get the last!\Right! Right!\Tanaka-san... response:	Blocked out!
context: Chance ball! Tanaka!\Yeah!\A quick's coming!\Nice receive!\Kyotani, get the last!\Right! Right!\Tanaka-san...\Blocked out! response:	All right! They cut it off!
context: Yeah!\A quick's coming!\Nice receive!\Kyotani, get the last!\Right! Right!\Tanaka-san...\Blocked out!\All right! They cut it off! response:	Yes!
context: A quick's coming!\Nice receive!\Kyotani, get the last!\Right! Right!\Tanaka-san...\Blocked out!\All right! They cut it off!\Yes! response:	Nice block!
context: Nice receive!\Kyotani, get the last!\Right! Right!\Tanaka-san...\Blocked out!\All right! They cut it off!\Yes!\Nice block! response:	Tsukki and Tanaka switched up blocks just now.
context: Kyotani, get the last!\Right! Right!\Tanaka-san...\Blocked out!\All right! They cut it off!\Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now. response:	Yeah.
context: Right! Right!\Tanaka-san...\Blocked out!\All right! They cut it off!\Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah. response:	Did they read that a straight was coming?
context: Tanaka-san...\Blocked out!\All right! They cut it off!\Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming? response:	Great job, Tsukishima!
context: Blocked out!\All right! They cut it off!\Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming?\Great job, Tsukishima! response:	I knew it...
context: All right! They cut it off!\Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming?\Great job, Tsukishima!\I knew it... response:	Tanaka was getting into it with that 16, right?
context: Yes!\Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming?\Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right? response:	You mean he was picking a fight?
context: Nice block!\Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming?\Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight? response:	Like in the second set,
context: Tsukki and Tanaka switched up blocks just now.\Yeah.\Did they read that a straight was coming?\Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set, response:	he kept targeting their 16 and wiping.
context: Yeah.\Did they read that a straight was coming?\Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping. response:	There was no block for a cross,
context: Did they read that a straight was coming?\Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross, response:	so he went for the more narrow straight... right by 16.
context: Great job, Tsukishima!\I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16. response:	Seriously? I didn't notice.
context: I knew it...\Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice. response:	It looks like their 16 is fighting back,
context: Tanaka was getting into it with that 16, right?\You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back, response:	and hitting straights on the side where Tanaka is.
context: You mean he was picking a fight?\Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is. response:	I think Tsukishima also figured that out.
context: Like in the second set,\he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out. response:	Great job reading that, Tsukishima!
context: he kept targeting their 16 and wiping.\There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima! response:	How'd you come up with that?
context: There was no block for a cross,\so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that? response:	It was nothing.
context: so he went for the more narrow straight... right by 16.\Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing. response:	This is a chance to gain momentum.
context: Seriously? I didn't notice.\It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing.\This is a chance to gain momentum. response:	Don't let it go to waste!
context: It looks like their 16 is fighting back,\and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing.\This is a chance to gain momentum.\Don't let it go to waste! response:	Got it!
context: and hitting straights on the side where Tanaka is.\I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing.\This is a chance to gain momentum.\Don't let it go to waste!\Got it! response:	Nice receive.
context: I think Tsukishima also figured that out.\Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing.\This is a chance to gain momentum.\Don't let it go to waste!\Got it!\Nice receive. response:	That 16's coming!
context: Great job reading that, Tsukishima!\How'd you come up with that?\It was nothing.\This is a chance to gain momentum.\Don't let it go to waste!\Got it!\Nice receive.\That 16's coming! response:	Get it back yourself.
context: How'd you come up with that?\It was nothing.\This is a chance to gain momentum.\Don't let it go to waste!\Got it!\Nice receive.\That 16's coming!\Get it back yourself. response:	Out!
context: It was nothing.\This is a chance to gain momentum.\Don't let it go to waste!\Got it!\Nice receive.\That 16's coming!\Get it back yourself.\Out! response:	All right!
