context: Intro response:	Things got pretty crazy yesterday, didn't they?
context: What are you talking about?\Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it? response:	Will you go?
context: Huh?\The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go? response:	With pleasure!
context: The manager there asked me to lend them one of my talented employees.\Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go?\With pleasure! response:	I'll help too!
context: Oh. You scared me there.\Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go?\With pleasure!\I'll help too! response:	Nah, it's all right.
context: Apparently, there are some new attractions and even a fair,\so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go?\With pleasure!\I'll help too!\Nah, it's all right. response:	Maou alone is more than enough.
context: so there's gonna be a lot of visitors tomorrow.\Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go?\With pleasure!\I'll help too!\Nah, it's all right.\Maou alone is more than enough. response:	That so...
context: Of course, you'll be compensated for your travel expenses and all that.\How about it?\Will you go?\With pleasure!\I'll help too!\Nah, it's all right.\Maou alone is more than enough.\That so... response:	That's how it is,
context: How about it?\Will you go?\With pleasure!\I'll help too!\Nah, it's all right.\Maou alone is more than enough.\That so...\That's how it is, response:	so give it your best shot, my dear talented employee.
context: Will you go?\With pleasure!\I'll help too!\Nah, it's all right.\Maou alone is more than enough.\That so...\That's how it is,\so give it your best shot, my dear talented employee. response:	Fushima Park, huh?
context: With pleasure!\I'll help too!\Nah, it's all right.\Maou alone is more than enough.\That so...\That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh? response:	Yes, ma'am!
context: I'll help too!\Nah, it's all right.\Maou alone is more than enough.\That so...\That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am! response:	OP
context: Nah, it's all right.\Maou alone is more than enough.\That so...\That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am!\OP response:	Get out of your cage
context: Maou alone is more than enough.\That so...\That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am!\OP\Get out of your cage response:	Fly toward the sky
context: That so...\That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am!\OP\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: That's how it is,\so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: so give it your best shot, my dear talented employee.\Fushima Park, huh?\Yes, ma'am!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: Fushima Park, huh?\Yes, ma'am!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: Yes, ma'am!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
context: OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do response:	Unbelievable things might happen
context: Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen response:	But we can overcome them all
context: Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all response:	But we can overcome them all
context: Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all response:	But we can overcome them all
context: It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams response:	Our dreams are born from nothing
context: Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing response:	Power of dreams
context: Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams response:	And take us to that shining sky
context: But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky response:	fly
context: But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly response:	And take us to that shining sky
context: But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky response:	Light blue wind
context: Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind response:	I want to spread my wings
context: Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings response:	Light blue wind
context: And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind response:	Now here I go, with the greatest smile on my face
context: fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Let's set out to an unknown world
context: Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world response:	Let's set out to an unknown world
context: I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Go to another world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world response:	We'll be the ones to choose and decide the future
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future response:	Let's chase after our dreams
context: Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams response:	There will be times when we cry
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry response:	I have a really important wish
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish response:	Don't fade away
context: Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away response:	I'm sure you'll be able to meet your future self
context: Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	Get out of your cage
context: Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage response:	Overlord at Work!
context: There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work! response:	Overlord at Work!
context: I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Fly toward the sky
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
