context: A dream... Right? response:	Were you holding back today?
context: but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something? response:	I can share my lunch with you if
context: Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if response:	Of course I didn't, you numbskull!
context: It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull! response:	Over there, you'll be sitting in the wind.
context: Oh, right.\Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind. response:	Sorry.
context: Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry. response:	About yesterday, I mean.
context: I'm eating in the student council office.\Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean. response:	I've used a Command Seal on Archer.
context: Wait just a minute!\What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer. response:	I ordered him not to attack you, as long as our alliance stands.
context: What, did you forget your lunch money or something?\I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands. response:	I know it doesn't make up for anything, but I'm sorry.
context: I can share my lunch with you if\Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry. response:	That isn't something you should be apologizing for.
context: Of course I didn't, you numbskull!\Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for. response:	I gave him free rein yesterday, so I'm responsible.
context: Over there, you'll be sitting in the wind.\Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible. response:	Okay.
context: Sorry.\About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay. response:	If that's what you say, I'll go along with it.
context: About yesterday, I mean.\I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it. response:	Besides, I was partly to blame, and if he hadn't been there, I...
context: I've used a Command Seal on Archer.\I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I... response:	Let's call it even.
context: I ordered him not to attack you, as long as our alliance stands.\I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even. response:	Yeah.
context: I know it doesn't make up for anything, but I'm sorry.\That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah. response:	So where is Archer today?
context: That isn't something you should be apologizing for.\I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah.\So where is Archer today? response:	I left him at home.
context: I gave him free rein yesterday, so I'm responsible.\Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah.\So where is Archer today?\I left him at home. response:	Oh.
context: Okay.\If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah.\So where is Archer today?\I left him at home.\Oh. response:	Crap, lunch break is over!
context: If that's what you say, I'll go along with it.\Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah.\So where is Archer today?\I left him at home.\Oh.\Crap, lunch break is over! response:	Hang out with me for a bit.
context: Besides, I was partly to blame, and if he hadn't been there, I...\Let's call it even.\Yeah.\So where is Archer today?\I left him at home.\Oh.\Crap, lunch break is over!\Hang out with me for a bit. response:	Skipping a class every once in a while won't do any harm, right?
context: Let's call it even.\Yeah.\So where is Archer today?\I left him at home.\Oh.\Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right? response:	Why are you so fixated on strengthening magic?
context: Yeah.\So where is Archer today?\I left him at home.\Oh.\Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic? response:	I've tried different kinds, but that's the only one I can do.
context: So where is Archer today?\I left him at home.\Oh.\Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do. response:	I can store up simple power, alter its flow,
context: I left him at home.\Oh.\Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow, response:	and convert and store mana in various objects.
context: Oh.\Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects. response:	Should you be telling me this?
context: Crap, lunch break is over!\Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this? response:	You told me yours, so it wouldn't be fair if I didn't.
context: Hang out with me for a bit.\Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't. response:	I showed you earlier, but this is my Magic Crest.
context: Skipping a class every once in a while won't do any harm, right?\Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest. response:	In the Tohsaka family, we pass down conversion techniques.
context: Why are you so fixated on strengthening magic?\I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques. response:	Our specialty is the transfer of power, either in ourselves or in others.
context: I've tried different kinds, but that's the only one I can do.\I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others. response:	Did you know that the Matous are a mage family?
context: I can store up simple power, alter its flow,\and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family? response:	Yes.
context: and convert and store mana in various objects.\Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes. response:	But Father told me that they're no longer considered a bloodline of mages.
context: Should you be telling me this?\You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages. response:	Wait a second!
context: You told me yours, so it wouldn't be fair if I didn't.\I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second! response:	You knew that Shinji was a Master?
context: I showed you earlier, but this is my Magic Crest.\In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master? response:	I'm sorry... I just found out this morning.
context: In the Tohsaka family, we pass down conversion techniques.\Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning. response:	I'd written him off as someone who couldn't possibly be a Master.
context: Our specialty is the transfer of power, either in ourselves or in others.\Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master. response:	What are you going to do about him?
context: Did you know that the Matous are a mage family?\Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him? response:	Attack him right away?
context: Yes.\But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away? response:	I wouldn't attack someone haphazardly just because he's a Master.
context: But Father told me that they're no longer considered a bloodline of mages.\Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master. response:	Actually, you did... You attacked me.
context: Wait a second!\You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me. response:	I only did because you weren't taking this seriously.
context: You knew that Shinji was a Master?\I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously. response:	It was an exceptional exception!
context: I'm sorry... I just found out this morning.\I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception! response:	Anyway, our enemy is the Master who's hiding at the school.
context: I'd written him off as someone who couldn't possibly be a Master.\What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school. response:	For now, let's focus on them.
context: What are you going to do about him?\Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them. response:	Then you're saying there are four here, at school?
context: Attack him right away?\I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school? response:	Wouldn't there have to be?
context: I wouldn't attack someone haphazardly just because he's a Master.\Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be? response:	As a Master, Shinji has no power.
context: Actually, you did... You attacked me.\I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power. response:	I told him I'd turn a blind eye if he behaved himself,
context: I only did because you weren't taking this seriously.\It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself, response:	so I don't expect any trouble from him.
context: It was an exceptional exception!\Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him. response:	Wait, Tohsaka...
context: Anyway, our enemy is the Master who's hiding at the school.\For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka... response:	Tell me more about that.
context: For now, let's focus on them.\Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that. response:	Shinji was the one who approached me.
context: Then you're saying there are four here, at school?\Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me. response:	He said, Since we're both Masters, shall we join forces?
context: Wouldn't there have to be?\As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces? response:	Naturally, I turned him down, but he wouldn't take no for an answer.
context: As a Master, Shinji has no power.\I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer. response:	So finally, I said, I already have Emiya-kun, so I don't need you.
context: I told him I'd turn a blind eye if he behaved himself,\so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you. response:	Right to his face!
context: so I don't expect any trouble from him.\Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face! response:	So that's why he was acting strangely...
context: Wait, Tohsaka...\Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely... response:	Well, what's the plan, Tohsaka?
context: Tell me more about that.\Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka? response:	Shinji might not be a mage, but he did put up that field.
context: Shinji was the one who approached me.\He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field. response:	You didn't notice that?
context: He said, Since we're both Masters, shall we join forces?\Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field.\You didn't notice that? response:	Oh, no.
context: Naturally, I turned him down, but he wouldn't take no for an answer.\So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field.\You didn't notice that?\Oh, no. response:	If we aren't careful, Shinji might...
context: So finally, I said, I already have Emiya-kun, so I don't need you.\Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field.\You didn't notice that?\Oh, no.\If we aren't careful, Shinji might... response:	That's great!
context: Right to his face!\So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field.\You didn't notice that?\Oh, no.\If we aren't careful, Shinji might...\That's great! response:	This is how Servants ought to be!
context: So that's why he was acting strangely...\Well, what's the plan, Tohsaka?\Shinji might not be a mage, but he did put up that field.\You didn't notice that?\Oh, no.\If we aren't careful, Shinji might...\That's great!\This is how Servants ought to be! response:	What's going on?
