context: It's been getting pretty hot lately, hasn't it? response:	There, there!
context: A test of courage!\It's not the season for that...\It'll be fun!\You're in this too.\No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice... response:	Would you like to wear a red gown?
context: It's not the season for that...\It'll be fun!\You're in this too.\No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown? response:	Would you like to wear a blue gown?
context: It'll be fun!\You're in this too.\No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown? response:	Would you like to wear a yellow gown?
context: You're in this too.\No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown? response:	If you answer red...
context: No! I'll get killed!\No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red... response:	you'll be covered in your own blood!
context: No one's going to kill you...\Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood! response:	If you answer blue...
context: Actually, you do get killed in one ghost story I've heard.\If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood!\If you answer blue... response:	your blood'll be gone and your body blue!
context: If you knock two doors to the right of the second floor girls' bathroom at night, you'll hear a voice...\Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue! response:	Wh-What about yellow?
context: Would you like to wear a red gown?\Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow? response:	Yellow?
context: Would you like to wear a blue gown?\Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow? response:	You'll be forced to eat so many bananas, your body will turn yellow!
context: Would you like to wear a yellow gown?\If you answer red...\you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow! response:	Like that could happen!
context: If you answer red...\you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen! response:	Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts
context: you'll be covered in your own blood!\If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts response:	The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!
context: If you answer blue...\your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts! response:	Applause!
context: your blood'll be gone and your body blue!\Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause! response:	What's a test of courage?
context: Wh-What about yellow?\Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage? response:	Well Kuu-chan, it's that thing...
context: Yellow?\You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage?\Well Kuu-chan, it's that thing... response:	You take a pen and stab it between your fingers!
context: You'll be forced to eat so many bananas, your body will turn yellow!\Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers! response:	Wait, are we doing that?!
context: Like that could happen!\Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?! response:	Are we?
context: Sign: First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts\The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we? response:	No, we aren't.
context: The First-Ever Little Busters Test of Courage: See, There Ain't No Ghosts!\Applause!\What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we?\No, we aren't. response:	I've hidden talismans on each floor of the building. Each team will find four.
context: Applause!\What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four. response:	This is the finish line.
context: What's a test of courage?\Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line. response:	It's like a real test!
context: Well Kuu-chan, it's that thing...\You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test! response:	We'll start by picking teams.
context: You take a pen and stab it between your fingers!\Wait, are we doing that?!\Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test!\We'll start by picking teams. response:	Me and Riki got split up!
context: Wait, are we doing that?!\Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test!\We'll start by picking teams.\Me and Riki got split up! response:	Just leave it to me.
context: Are we?\No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test!\We'll start by picking teams.\Me and Riki got split up!\Just leave it to me. response:	Anego!
context: No, we aren't.\I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test!\We'll start by picking teams.\Me and Riki got split up!\Just leave it to me.\Anego! response:	Alright, first will be Rin's team.
context: I've hidden talismans on each floor of the building. Each team will find four.\This is the finish line.\It's like a real test!\We'll start by picking teams.\Me and Riki got split up!\Just leave it to me.\Anego!\Alright, first will be Rin's team. response:	I'm going back.
context: This is the finish line.\It's like a real test!\We'll start by picking teams.\Me and Riki got split up!\Just leave it to me.\Anego!\Alright, first will be Rin's team.\I'm going back. response:	Let's do it!
context: It's like a real test!\We'll start by picking teams.\Me and Riki got split up!\Just leave it to me.\Anego!\Alright, first will be Rin's team.\I'm going back.\Let's do it! response:	Yay!
context: We'll start by picking teams.\Me and Riki got split up!\Just leave it to me.\Anego!\Alright, first will be Rin's team.\I'm going back.\Let's do it!\Yay! response:	It's dark...
context: Me and Riki got split up!\Just leave it to me.\Anego!\Alright, first will be Rin's team.\I'm going back.\Let's do it!\Yay!\It's dark... response:	I'm not scared... I'm not scared...
context: Just leave it to me.\Anego!\Alright, first will be Rin's team.\I'm going back.\Let's do it!\Yay!\It's dark...\I'm not scared... I'm not scared... response:	Call me for helper!
context: Anego!\Alright, first will be Rin's team.\I'm going back.\Let's do it!\Yay!\It's dark...\I'm not scared... I'm not scared...\Call me for helper! response:	There's nothing to be scared of with Belka and Strelka around!
context: Alright, first will be Rin's team.\I'm going back.\Let's do it!\Yay!\It's dark...\I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around! response:	Now then, let us go, Takumi no Kami!
context: I'm going back.\Let's do it!\Yay!\It's dark...\I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami! response:	They're not following us!
context: Let's do it!\Yay!\It's dark...\I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us! response:	Maybe the Disciplinary Committee trained them not to come into the building?
context: Yay!\It's dark...\I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building? response:	Oh, right...
context: It's dark...\I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right... response:	Well, good night, Belka, Strelka.
context: I'm not scared... I'm not scared...\Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka. response:	What do we do?
context: Call me for helper!\There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka.\What do we do? response:	I'm scared!
context: There's nothing to be scared of with Belka and Strelka around!\Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka.\What do we do?\I'm scared! response:	Leave it to me!
context: Now then, let us go, Takumi no Kami!\They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka.\What do we do?\I'm scared!\Leave it to me! response:	Cats!
context: They're not following us!\Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka.\What do we do?\I'm scared!\Leave it to me!\Cats! response:	Unlike the dogs, they're not trained!
context: Maybe the Disciplinary Committee trained them not to come into the building?\Oh, right...\Well, good night, Belka, Strelka.\What do we do?\I'm scared!\Leave it to me!\Cats!\Unlike the dogs, they're not trained! response:	Hey guys!
context: Oh, right...\Well, good night, Belka, Strelka.\What do we do?\I'm scared!\Leave it to me!\Cats!\Unlike the dogs, they're not trained!\Hey guys! response:	They all left...
context: Well, good night, Belka, Strelka.\What do we do?\I'm scared!\Leave it to me!\Cats!\Unlike the dogs, they're not trained!\Hey guys!\They all left... response:	Komari-chan...
context: What do we do?\I'm scared!\Leave it to me!\Cats!\Unlike the dogs, they're not trained!\Hey guys!\They all left...\Komari-chan... response:	Let's just go.
context: I'm scared!\Leave it to me!\Cats!\Unlike the dogs, they're not trained!\Hey guys!\They all left...\Komari-chan...\Let's just go. response:	Aren't you scared?
context: Leave it to me!\Cats!\Unlike the dogs, they're not trained!\Hey guys!\They all left...\Komari-chan...\Let's just go.\Aren't you scared? response:	Nope.
context: Cats!\Unlike the dogs, they're not trained!\Hey guys!\They all left...\Komari-chan...\Let's just go.\Aren't you scared?\Nope. response:	As long as you're with me, I won't be scared.
context: Unlike the dogs, they're not trained!\Hey guys!\They all left...\Komari-chan...\Let's just go.\Aren't you scared?\Nope.\As long as you're with me, I won't be scared. response:	And since I'm not scared, you two won't be scared, right?
context: Hey guys!\They all left...\Komari-chan...\Let's just go.\Aren't you scared?\Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right? response:	Yes!
context: They all left...\Komari-chan...\Let's just go.\Aren't you scared?\Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes! response:	But I'm scared...
context: Komari-chan...\Let's just go.\Aren't you scared?\Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared... response:	I'm scared too, then!
context: Let's just go.\Aren't you scared?\Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared...\I'm scared too, then! response:	I-I-It's okay!
context: Aren't you scared?\Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared...\I'm scared too, then!\I-I-It's okay! response:	I'm here!
context: Nope.\As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared...\I'm scared too, then!\I-I-It's okay!\I'm here! response:	It's about time for the next team to go.
context: As long as you're with me, I won't be scared.\And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared...\I'm scared too, then!\I-I-It's okay!\I'm here!\It's about time for the next team to go. response:	Okay.
context: And since I'm not scared, you two won't be scared, right?\Yes!\But I'm scared...\I'm scared too, then!\I-I-It's okay!\I'm here!\It's about time for the next team to go.\Okay. response:	Hey Riki, why don't you come with us?
context: Yes!\But I'm scared...\I'm scared too, then!\I-I-It's okay!\I'm here!\It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us? response:	We'll skip along shoulder-to-shoulder!
context: But I'm scared...\I'm scared too, then!\I-I-It's okay!\I'm here!\It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder! response:	That'd make me feel like an alien being taken to the authorities...
context: I'm scared too, then!\I-I-It's okay!\I'm here!\It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities... response:	Shall we go then?
context: I-I-It's okay!\I'm here!\It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then? response:	Let's go!
context: I'm here!\It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go! response:	This is our first stop.
context: It's about time for the next team to go.\Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go!\This is our first stop. response:	I'm scared...
context: Okay.\Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go!\This is our first stop.\I'm scared... response:	Me too...
context: Hey Riki, why don't you come with us?\We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go!\This is our first stop.\I'm scared...\Me too... response:	You two stay here.
context: We'll skip along shoulder-to-shoulder!\That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go!\This is our first stop.\I'm scared...\Me too...\You two stay here. response:	I'll take a look.
context: That'd make me feel like an alien being taken to the authorities...\Shall we go then?\Let's go!\This is our first stop.\I'm scared...\Me too...\You two stay here.\I'll take a look. response:	We don't know what my stupid brother might have set up.
context: Shall we go then?\Let's go!\This is our first stop.\I'm scared...\Me too...\You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up. response:	Alright!
context: Let's go!\This is our first stop.\I'm scared...\Me too...\You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up.\Alright! response:	I'll go!
context: This is our first stop.\I'm scared...\Me too...\You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up.\Alright!\I'll go! response:	I'm sure it'll be okay!
context: I'm scared...\Me too...\You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up.\Alright!\I'll go!\I'm sure it'll be okay! response:	You're so cool, Komari-san!
context: Me too...\You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up.\Alright!\I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san! response:	Here I go!
context: You two stay here.\I'll take a look.\We don't know what my stupid brother might have set up.\Alright!\I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go! response:	Do you see anything?
context: I'll take a look.\We don't know what my stupid brother might have set up.\Alright!\I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go!\Do you see anything? response:	No...
context: We don't know what my stupid brother might have set up.\Alright!\I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go!\Do you see anything?\No... response:	Komari-san?
context: Alright!\I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go!\Do you see anything?\No...\Komari-san? response:	Komari-chan died!
context: I'll go!\I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go!\Do you see anything?\No...\Komari-san?\Komari-chan died! response:	That hiiya scream just now kind of sounded like fear!
context: I'm sure it'll be okay!\You're so cool, Komari-san!\Here I go!\Do you see anything?\No...\Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear! response:	It was a joke, right?
context: You're so cool, Komari-san!\Here I go!\Do you see anything?\No...\Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right? response:	Don't die! Wake up!
context: Here I go!\Do you see anything?\No...\Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up! response:	You still have a chance! Don't give up!
context: Do you see anything?\No...\Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up! response:	Sounds like one of them's down for the count.
context: No...\Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count. response:	The first talisman is in Kyousuke's classroom.
context: Komari-san?\Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom. response:	Where are you going?
context: Komari-chan died!\That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going? response:	Kyousuke's classroom.
context: That hiiya scream just now kind of sounded like fear!\It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom. response:	It's this way.
context: It was a joke, right?\Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom.\It's this way. response:	This way's faster.
context: Don't die! Wake up!\You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom.\It's this way.\This way's faster. response:	Oh, really?
context: You still have a chance! Don't give up!\Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom.\It's this way.\This way's faster.\Oh, really? response:	Out of my way!
context: Sounds like one of them's down for the count.\The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom.\It's this way.\This way's faster.\Oh, really?\Out of my way! response:	So lame...
context: The first talisman is in Kyousuke's classroom.\Where are you going?\Kyousuke's classroom.\It's this way.\This way's faster.\Oh, really?\Out of my way!\So lame... response:	Why do my cheeks hurt?
context: Where are you going?\Kyousuke's classroom.\It's this way.\This way's faster.\Oh, really?\Out of my way!\So lame...\Why do my cheeks hurt? response:	A cheek demon attacked you.
context: Kyousuke's classroom.\It's this way.\This way's faster.\Oh, really?\Out of my way!\So lame...\Why do my cheeks hurt?\A cheek demon attacked you. response:	Demon?!
context: It's this way.\This way's faster.\Oh, really?\Out of my way!\So lame...\Why do my cheeks hurt?\A cheek demon attacked you.\Demon?! response:	And a forehead monster too.
context: This way's faster.\Oh, really?\Out of my way!\So lame...\Why do my cheeks hurt?\A cheek demon attacked you.\Demon?!\And a forehead monster too. response:	Scary!
context: Oh, really?\Out of my way!\So lame...\Why do my cheeks hurt?\A cheek demon attacked you.\Demon?!\And a forehead monster too.\Scary! response:	A yellow gown!
context: Out of my way!\So lame...\Why do my cheeks hurt?\A cheek demon attacked you.\Demon?!\And a forehead monster too.\Scary!\A yellow gown! response:	I knew this way would be
context: So lame...\Why do my cheeks hurt?\A cheek demon attacked you.\Demon?!\And a forehead monster too.\Scary!\A yellow gown!\I knew this way would be response:	Yellow!
context: Why do my cheeks hurt?\A cheek demon attacked you.\Demon?!\And a forehead monster too.\Scary!\A yellow gown!\I knew this way would be\Yellow! response:	This sure is fun!
context: A cheek demon attacked you.\Demon?!\And a forehead monster too.\Scary!\A yellow gown!\I knew this way would be\Yellow!\This sure is fun! response:	You guys seem fine.
context: Demon?!\And a forehead monster too.\Scary!\A yellow gown!\I knew this way would be\Yellow!\This sure is fun!\You guys seem fine. response:	Are you disappointed we aren't screaming and jumping into your arms?
context: And a forehead monster too.\Scary!\A yellow gown!\I knew this way would be\Yellow!\This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms? response:	Not really...
context: Scary!\A yellow gown!\I knew this way would be\Yellow!\This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really... response:	Alright, let's go.
context: A yellow gown!\I knew this way would be\Yellow!\This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go. response:	What's with this cursed melody?
context: I knew this way would be\Yellow!\This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go.\What's with this cursed melody? response:	It's an old cassette player.
context: Yellow!\This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go.\What's with this cursed melody?\It's an old cassette player. response:	What's with that piercing glare?
context: This sure is fun!\You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go.\What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare? response:	They're shiny one-yen coins.
context: You guys seem fine.\Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go.\What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins. response:	Here they are!
context: Are you disappointed we aren't screaming and jumping into your arms?\Not really...\Alright, let's go.\What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins.\Here they are! response:	Blood?
context: Not really...\Alright, let's go.\What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins.\Here they are!\Blood? response:	A severed hand!
context: Alright, let's go.\What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins.\Here they are!\Blood?\A severed hand! response:	That reminds me... Wasn't there some story about severed-hand ramen a while back?
context: What's with this cursed melody?\It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins.\Here they are!\Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back? response:	A glove and ketchup?
context: It's an old cassette player.\What's with that piercing glare?\They're shiny one-yen coins.\Here they are!\Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup? response:	Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.
context: What's with that piercing glare?\They're shiny one-yen coins.\Here they are!\Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass. response:	The last one's in the science room.
