context: Black crow! response:	We even got an apartment for him.
context: This is the city!\I can't believe how many people live here!\Turn it down!\If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors. response:	That lady was staring at me outside.
context: I can't believe how many people live here!\Turn it down!\If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside. response:	Niizuma-kun, I'm sorry to bring this up so suddenly,
context: Turn it down!\If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly, response:	but I don't suppose you could get a fifty-page draft ready?
context: If you insist...\So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready? response:	If you want a draft, there's one on the floor.
context: So you bought a sound system.\I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor. response:	This is your new work?
context: I bought it with what I had left over after giving the prize money to my parents.\You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work? response:	There's about four chapters there so far how does it look?
context: You shouldn't turn it up so loud.\Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look? response:	This, even though you're already about to be published.
context: Think of your neighbors.\That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published. response:	I can't calm down without drawing.
context: That lady was staring at me outside.\Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing. response:	I write what I come up with at school as soon as I get home.
context: Niizuma-kun, I'm sorry to bring this up so suddenly,\but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home. response:	This is great.
context: but I don't suppose you could get a fifty-page draft ready?\If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great. response:	Your stuff is getting better and better.
context: If you want a draft, there's one on the floor.\This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better. response:	We'll need the first page plus a spread in color.
context: This is your new work?\There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color. response:	I want to draw in color.
context: There's about four chapters there so far how does it look?\This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color. response:	I feel somewhat confident.
context: This, even though you're already about to be published.\I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident. response:	When's the deadline?
context: I can't calm down without drawing.\I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident.\When's the deadline? response:	It would be great if you had it done by the start of March next year.
context: I write what I come up with at school as soon as I get home.\This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year. response:	I can easily get it done by sometime in January.
context: This is great.\Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January. response:	I would like you to come pick it up around that time.
context: Your stuff is getting better and better.\We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time. response:	I'm afraid of Tokyo trains and crowded places.
context: We'll need the first page plus a spread in color.\I want to draw in color.\I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places. response:	Alright, I understand. Well
context: I want to draw in color.\I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well response:	This doesn't read like a shounen manga.
context: I feel somewhat confident.\When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga. response:	Is this just some desperate gamble?
context: When's the deadline?\It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble? response:	There aren't even two months left until the Next deadline.
context: It would be great if you had it done by the start of March next year.\I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline. response:	But...
context: I can easily get it done by sometime in January.\I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But... response:	Shuujin, mind if I make the art like it was?
context: I would like you to come pick it up around that time.\I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was? response:	Like it was?
context: I'm afraid of Tokyo trains and crowded places.\Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was?\Like it was? response:	Well, I think a more dramatic style would suit Money and Intelligence better.
context: Alright, I understand. Well\This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better. response:	I see.
context: This doesn't read like a shounen manga.\Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see. response:	Well, Hattori-san didn't say anything about that, but I think you're right.
context: Is this just some desperate gamble?\There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right. response:	Yeah, me too.
context: There aren't even two months left until the Next deadline.\But...\Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too. response:	By the way, why have you been staring at that postcard survey?
context: But...\Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey? response:	Here.
context: Shuujin, mind if I make the art like it was?\Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here. response:	Please enter the numbers of manga you found entertaining, in order of interest.
context: Like it was?\Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest. response:	It always says that.
context: Well, I think a more dramatic style would suit Money and Intelligence better.\I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that. response:	There are twenty-one manga to choose from, and only three slots.
context: I see.\Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots. response:	That makes the probability of getting picked one in seven.
context: Well, Hattori-san didn't say anything about that, but I think you're right.\Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven. response:	Oh, twenty-one divided by three is seven.
context: Yeah, me too.\By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven. response:	Hattori-san said that if two out of ten people select a given manga, it will become popular.
context: By the way, why have you been staring at that postcard survey?\Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular. response:	That's one in five people. One fifth.
context: Here.\Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth. response:	I thought that would be easy,
context: Please enter the numbers of manga you found entertaining, in order of interest.\It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy, response:	but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.
context: It always says that.\There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized. response:	Yeah, I guess you're right.
context: There are twenty-one manga to choose from, and only three slots.\That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right. response:	Not everyone is going to submit a vote.
context: That makes the probability of getting picked one in seven.\Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote. response:	Anyway, there's no point in us calculating that now.
context: Oh, twenty-one divided by three is seven.\Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now. response:	If you have that kind of free time, start writing names.
context: Hattori-san said that if two out of ten people select a given manga, it will become popular.\That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names. response:	We have to turn them into clean copies, after all.
context: That's one in five people. One fifth.\I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all. response:	We can't hand a draft with your artwork.
context: I thought that would be easy,\but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork. response:	I know that, but it's a story about buying and selling the contents of human minds.
context: but getting the average from 1-to-7 to 1-to-5 is actually quite difficult, I've realized.\Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds. response:	The harder I think about it, the harder it gets.
context: Yeah, I guess you're right.\Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets. response:	Even though I came up with it, it's deeper than I thought.
context: Not everyone is going to submit a vote.\Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought. response:	Hattori-san told us to depict human greed realistically.
context: Anyway, there's no point in us calculating that now.\If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically. response:	And as repulsively as possible.
context: If you have that kind of free time, start writing names.\We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible. response:	Well it's about buying and selling, so shouldn't it be easy to come up with something?
context: We have to turn them into clean copies, after all.\We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something? response:	Well if it were up to you, Saikou, for how much would you sell the contents of your head?
context: We can't hand a draft with your artwork.\I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head? response:	Well, it would depend on who I'm selling it to, but...
context: I know that, but it's a story about buying and selling the contents of human minds.\The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but... response:	Ten million yen?
context: The harder I think about it, the harder it gets.\Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen? response:	That's a lot!
context: Even though I came up with it, it's deeper than I thought.\Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot! response:	But, it would be horrible to have someone know the inside of your head.
context: Hattori-san told us to depict human greed realistically.\And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head. response:	I wouldn't want to sell it to anyone I knew.
context: And as repulsively as possible.\Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew. response:	It would be easier to sell to a total stranger.
context: Well it's about buying and selling, so shouldn't it be easy to come up with something?\Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger. response:	So we need a rule saying that you can only buy from the original owner.
context: Well if it were up to you, Saikou, for how much would you sell the contents of your head?\Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner. response:	It would be problematic for a third person to obtain them.
context: Well, it would depend on who I'm selling it to, but...\Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them. response:	So you would sell for ten million, and buy the contents of Azuki's brain for nine million?
context: Ten million yen?\That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million? response:	Is that me and Azuki?
context: That's a lot!\But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki? response:	Anyway, as if I would buy!
context: But, it would be horrible to have someone know the inside of your head.\I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy! response:	I wouldn't want to know what's going on in the head of someone I love.
context: I wouldn't want to sell it to anyone I knew.\It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love. response:	If I knew, it would wreck the romance.
context: It would be easier to sell to a total stranger.\So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance. response:	Actually, rather than selling to her, I might even want to pay her to take a look in my head.
context: So we need a rule saying that you can only buy from the original owner.\It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head. response:	Why?
context: It would be problematic for a third person to obtain them.\So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why? response:	I want her to know how much I love her.
context: So you would sell for ten million, and buy the contents of Azuki's brain for nine million?\Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her. response:	Now that I think about it, I do want to take a peek in her head after all.
context: Is that me and Azuki?\Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all. response:	I bet she loves me just as much.
context: Anyway, as if I would buy!\I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much. response:	We would understand each other better than ever.
context: I wouldn't want to know what's going on in the head of someone I love.\If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever. response:	You're really into mutual love and understanding, huh.
context: If I knew, it would wreck the romance.\Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh. response:	So that's when I told her...
context: Actually, rather than selling to her, I might even want to pay her to take a look in my head.\Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her... response:	It's the first highlight, so let's make this panel a little larger.
context: Why?\I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger. response:	Then we should work on that line a bit more.
context: I want her to know how much I love her.\Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more. response:	Hold on, I'll think of something.
context: Now that I think about it, I do want to take a peek in her head after all.\I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something. response:	I want something striking, with impact.
context: I bet she loves me just as much.\We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact. response:	Wow, drawing a manga?
context: We would understand each other better than ever.\You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga? response:	Saikou, your art is so freaking awesome!
context: You're really into mutual love and understanding, huh.\So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome! response:	What? Huh? Manga?
context: So that's when I told her...\It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga? response:	Show me too.
context: It's the first highlight, so let's make this panel a little larger.\Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too. response:	Come on, we can't concentrate.
context: Then we should work on that line a bit more.\Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too.\Come on, we can't concentrate. response:	Don't be so cold.
context: Hold on, I'll think of something.\I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too.\Come on, we can't concentrate.\Don't be so cold. response:	I'll give you some advice.
context: I want something striking, with impact.\Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too.\Come on, we can't concentrate.\Don't be so cold.\I'll give you some advice. response:	What are you writing?
context: Wow, drawing a manga?\Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too.\Come on, we can't concentrate.\Don't be so cold.\I'll give you some advice.\What are you writing? response:	Something with erotic scenes?!
context: Saikou, your art is so freaking awesome!\What? Huh? Manga?\Show me too.\Come on, we can't concentrate.\Don't be so cold.\I'll give you some advice.\What are you writing?\Something with erotic scenes?! response:	Of course not. We're trying to get into Jack.
